ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.285,2.045,9.067,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 17:54:18,42.90977863592035
2.97,2.17,9.69,0.339,-0.001,0.16,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 17:54:19,39.44877089283275
2.548,2.257,9.234,0.078,0.036,-0.004,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 17:54:20,62.862701488035015
2.507,2.339,8.845,0.001,0.07,0.015,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 17:54:21,59.194327782853875
1.3,1.356,9.227,0.086,-0.133,0.142,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-19 17:54:22,67.89193731720405
1.555,1.872,9.862,-0.14,0.217,-0.064,17.0,2.4909039,2.8380735,9.050476,-0.6779039,-1.2160735,-0.66147614,-0.004690399,-0.19629602,-0.75218946,2017-04-19 17:54:23,67.5375601279333
1.491,1.465,9.353,-0.001,0.109,-0.021,17.0,1.8961072,2.9007037,9.173936,-0.40510714,-1.4357036,0.1790638,0.024344636,-0.17795175,-0.7428704,2017-04-19 17:54:24,70.6439313345533
0.614,2.087,8.985,0.12,0.681,-0.065,17.0,0.71541184,2.8058097,9.369418,-0.10141182,-0.71880984,-0.3844185,0.06802499,-0.1329105,-0.741611,2017-04-19 17:54:25,65.75884034109869
0.197,1.355,9.284,0.116,0.065,0.031,17.0,-0.25300366,2.697054,9.425088,0.45000365,-1.3420539,-0.14108753,0.10448288,-0.09239914,-0.72239804,2017-04-19 17:54:26,60.35834212250719
0.391,1.172,8.857,-0.216,0.168,-0.054,17.0,-0.3393646,2.536415,9.466881,0.73036456,-1.364415,-0.60988045,0.102403015,-0.082686625,-0.719544,2017-04-19 17:54:28,67.58743650316704
0.945,1.702,9.862,0.235,-0.245,-1.269,17.0,-0.5082947,2.2994967,9.519682,1.4532948,-0.5974966,0.34231853,0.09968932,-0.06850808,-0.72553504,2017-04-19 17:54:29,64.14793737146387
-0.241,1.263,9.235,0.207,-0.018,0.032,11.0,-1.1738038,1.4978032,9.620247,0.9328038,-0.2348032,-0.38524723,0.068284534,-0.069569185,-0.98907006,2017-04-19 17:54:30,38.11809253522565
-0.707,1.079,9.687,-0.139,-0.206,-0.19,15.0,-1.0780761,1.291309,9.661297,0.3710761,-0.212309,0.02570343,0.06312658,-0.05853188,-0.98820037,2017-04-19 17:54:31,45.106052199908476
