ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.5084076,4.640915,8.375748,10.0,0.5361664,4.940129,8.454469,0.09420216,-0.13748264,-0.014373779,0.2128807,-0.1537006,-0.47712627,2017-05-25 06:11:58,53.01154654217028
-0.76242065,5.164566,8.586502,13.0,-1.1707833,5.172115,8.249175,0.053958297,-0.088896275,0.0701437,0.26468217,-0.09670832,-0.5201186,2017-05-25 06:11:59,14.016159112208218
0.73831177,3.2232056,8.70784,16.0,0.51389855,3.7943537,9.028243,0.2243241,-0.5477588,0.39411926,0.15586619,-0.1240703,-0.5018804,2017-05-25 06:12:00,7.378880703663885
3.0883942,2.2525177,8.797241,18.0,2.6618702,2.1907513,9.180711,0.27280188,-0.009997368,-0.68231964,0.1199128,-0.13241966,0.046480156,2017-05-25 06:12:01,18.241054860597316
3.586502,1.805481,9.44223,11.0,3.6007109,2.0227582,8.894589,-0.03748989,-0.23035574,0.49013138,0.13504605,-0.16812117,0.16028896,2017-05-25 06:12:02,41.45404691994586
1.7984009,-1.3492432,8.918579,172.0,1.0391915,-0.2571385,9.748043,-0.38217473,-0.49381822,-0.91932774,-0.053204417,-0.042276695,-0.4837894,2017-05-25 06:12:03,56.05391374468262
-0.13659668,-0.052871704,9.99144,187.0,-0.0914994,-0.10449093,9.805667,-0.031296313,0.01447992,-0.020334244,-0.0023206866,0.00669056,-0.494882,2017-05-25 06:12:04,38.62344689742998
-0.21322632,-0.027328491,10.042526,188.0,-0.20254138,-0.02209924,9.804534,-0.012391314,0.014445525,0.01823616,0.0040728883,0.009556897,-0.48949718,2017-05-25 06:12:05,55.057804053653506
-0.14936829,-0.040100098,9.946732,187.0,-0.19466017,-0.026491158,9.804683,-0.0014487803,-2.4592318E-4,-0.0065870285,0.0037349672,0.009294524,-0.49455827,2017-05-25 06:12:06,59.68155000288184
-0.104660034,-0.072021484,9.902039,187.0,-0.12204775,-0.06649236,9.805665,0.018900007,-0.0047052205,-0.025128365,1.4633151E-4,0.00708494,-0.49643177,2017-05-25 06:12:07,58.73227851944576
-0.11105347,-0.07841492,9.908417,187.0,-0.11401289,-0.06706507,9.805758,-0.0148821995,0.008584678,0.009314537,-1.4881116E-4,0.0067426567,-0.48785964,2017-05-25 06:12:08,62.31631208173055
-0.11105347,-0.059249878,9.927582,184.0,-0.104856364,-0.07535925,9.8058,0.014028043,-0.0022937804,-0.015670776,-7.445274E-4,0.0065415725,-0.4880208,2017-05-25 06:12:09,19.140868556958374
-0.11105347,-0.07841492,9.908417,187.0,-0.096438,-0.070909135,9.80592,0.005513981,0.012368374,0.042749405,-7.5990515E-4,0.006055687,-0.48745346,2017-05-25 06:12:10,55.97046061066135
-0.07272339,-0.0975647,9.850952,188.0,-0.099148184,-0.07165827,9.805887,0.027324371,-0.025256269,-0.043904305,-7.248842E-4,0.006195084,-0.48759577,2017-05-25 06:12:11,58.81235919506656
-0.09188843,-0.059249878,9.870102,187.0,-0.093854375,-0.07558267,9.80591,0.0026769042,-0.0022597015,-0.010088921,-0.0010309046,0.006057042,-0.48763704,2017-05-25 06:12:12,45.78696572584626
-0.14936829,-0.059249878,9.946732,188.0,-0.121957116,-0.069087595,9.805649,-0.026224412,0.010510005,0.026515007,-3.7892372E-5,0.007146582,-0.4882641,2017-05-25 06:12:13,53.700354176458504
-0.11105347,-0.07841492,9.946732,187.0,-0.13772129,-0.054804947,9.80553,-0.01009424,0.01532276,0.011497498,9.877193E-4,0.00749278,-0.48798633,2017-05-25 06:12:14,21.19611536731024
-0.11105347,-0.07841492,9.927582,188.0,-0.095523536,-0.077581055,9.805878,0.004461311,-1.6284734E-4,-0.020588875,-0.0010770906,0.006181256,-0.48781586,2017-05-25 06:12:15,44.014199823488546
-0.09188843,-0.07841492,9.870102,190.0,-0.096886985,-0.0796306,9.805848,0.0057677776,0.001847893,0.024716377,-0.0010995943,0.0062990985,-0.4926338,2017-05-25 06:12:16,47.06941297944688
-0.07272339,-0.07841492,9.870102,187.0,-0.09195788,-0.07852509,9.805904,0.006333269,-0.018352114,-0.0185318,-0.0010426968,0.006306573,-0.49236754,2017-05-25 06:12:17,32.02439357406067
-0.07272339,-0.0975647,9.850952,188.0,-0.088879585,-0.074288085,9.805966,-0.0022329837,-0.0034783483,-0.002298355,-0.0010691594,0.005808588,-0.49181348,2017-05-25 06:12:18,34.41349692949042
-0.07272339,-0.07841492,9.831787,190.0,-0.09531971,-0.08034498,9.805858,0.01804886,0.0019006506,-0.028589249,-0.0011724493,0.006247165,-0.49238452,2017-05-25 06:12:19,52.9456157240569
-0.09188843,-0.0975647,9.870102,184.0,-0.09579643,-0.08348456,9.805827,0.0046265796,-0.013453916,0.009885788,-0.0012983646,0.006347442,-0.49258214,2017-05-25 06:12:20,12.890940141142945
-0.09188843,-0.07841492,9.870102,189.0,-0.0928073,-0.07854768,9.805896,0.0017135143,8.053109E-4,-0.019755363,-0.0011570972,0.006090289,-0.4921945,2017-05-25 06:12:21,56.46126358289148
-0.07272339,-0.07841492,9.889267,189.0,-0.10014377,-0.07036519,9.805886,0.009272054,-0.0073353425,0.041290283,-6.113865E-4,0.0062104035,-0.49197462,2017-05-25 06:12:22,52.08219592293829
-0.11105347,-0.07841492,9.908417,191.0,-0.103121966,-0.07955795,9.805785,-0.0071835667,0.0017200559,0.031511307,-9.3996024E-4,0.006573904,-0.4926065,2017-05-25 06:12:23,65.38462016983661
-0.09188843,-0.07841492,9.850952,190.0,-0.10089707,-0.07726766,9.805826,-0.00659021,-7.151365E-4,-1.039505E-4,-8.178315E-4,0.006530961,-0.49247724,2017-05-25 06:12:24,25.71210067432682
-0.07272339,-0.07841492,9.831787,189.0,-0.12675124,-0.061178505,9.80564,0.055393353,-0.035727113,-0.04117489,4.9504056E-4,0.0071590026,-0.49575955,2017-05-25 06:12:25,18.90840019780741
-0.12382507,-0.06564331,9.93396,185.0,-0.11111868,-0.06555896,9.805801,-0.024145707,0.0070951283,0.023360252,-1.5489644E-4,0.0065763453,-0.48771092,2017-05-25 06:12:26,18.651687732978395
-0.11105347,-0.059249878,9.889267,187.0,-0.13150215,-0.06499527,9.805553,0.02191323,-0.012695797,-0.0063409805,4.1984743E-4,0.007467393,-0.4926986,2017-05-25 06:12:27,8.646223102770568
-0.11105347,-0.07841492,9.889267,190.0,-0.102243796,-0.07007704,9.805866,-0.00783392,0.011495933,0.008969307,-5.459248E-4,0.006296397,-0.49197334,2017-05-25 06:12:28,43.839832973482366
-0.11105347,-0.0975647,9.870102,187.0,-0.1065752,-0.069675684,9.805823,-0.003374271,0.011147566,0.020180702,-4.1849597E-4,0.0064786663,-0.49210203,2017-05-25 06:12:29,61.64617480980247
-0.09188843,-0.07841492,9.889267,189.0,-0.10418168,-0.07205878,9.805832,-0.005932741,-0.0057066306,0.014199257,-5.839103E-4,0.00643226,-0.49215862,2017-05-25 06:12:30,54.831203019807106
-0.09188843,-0.07841492,9.850952,187.0,-0.09535729,-0.07705186,9.805884,0.0041192546,-8.3751976E-4,-0.0026636124,-0.0010270765,0.0061658677,-0.49214318,2017-05-25 06:12:31,51.91353377185987
-0.07272339,-0.0975647,9.870102,186.0,-0.10377805,-0.07149946,9.8058405,0.0126898065,0.01280088,0.007818222,-5.695621E-4,0.006400277,-0.49211138,2017-05-25 06:12:32,45.62599811083035
-0.07272339,-0.0975647,9.870102,188.0,-0.09231101,-0.083264604,9.805862,0.020186007,-0.013760343,-0.018474579,-0.0013774141,0.0061869747,-0.49240375,2017-05-25 06:12:33,51.2813411547561
-0.11105347,-0.07841492,9.850952,188.0,-0.103012,-0.07303991,9.805838,0.011855364,0.0143089,-0.043709755,-6.566853E-4,0.0064049773,-0.49217543,2017-05-25 06:12:34,43.67157192829324
-0.07272339,-0.07841492,9.850952,187.0,-0.10445886,-0.07600269,9.8057995,-0.005883947,-0.0018951595,0.016756058,-7.5017376E-4,0.0065437467,-0.4924014,2017-05-25 06:12:35,26.987460134911835
-0.09188843,-0.07841492,9.850952,188.0,-0.09921883,-0.07058316,9.805894,-0.010994673,0.011930816,3.5858154E-4,-6.448167E-4,0.006174755,-0.49189672,2017-05-25 06:12:36,46.20799861096647
-0.14936829,-0.07841492,9.908417,187.0,-0.095168635,-0.08413244,9.805828,-0.015294164,0.0062396973,0.003414154,-0.0013430717,0.0063358173,-0.4925558,2017-05-25 06:12:37,49.282911710865775
-0.13020325,-0.059249878,9.908417,187.0,-0.10111002,-0.078939945,9.805811,-0.00907664,0.0012017712,-6.084442E-4,-9.641829E-4,0.006468939,-0.4924574,2017-05-25 06:12:38,53.55724006138671
-0.11105347,-0.07841492,9.889267,186.0,-0.09987297,-0.07497298,9.805855,0.008743912,-0.0028718933,-0.010310173,-8.212294E-4,0.006314167,-0.49217927,2017-05-25 06:12:39,52.97187670854687
-0.1876831,-0.020935059,10.004211,188.0,-0.16843504,-0.034751315,9.805142,-0.01245448,0.011265129,0.008353233,0.0026644727,0.008354407,-0.4900739,2017-05-25 06:12:40,57.30931184434779
-0.13020325,-0.059249878,9.908417,185.0,-0.17971794,-0.039886378,9.804922,0.05309163,-0.01856964,-0.03417301,0.0023382404,0.008566258,-0.4986165,2017-05-25 06:12:41,58.499746030797375
-0.13020325,-0.040100098,9.870102,190.0,-0.11209347,-0.06947199,9.805763,0.02116549,-0.008347668,-5.1498413E-4,-3.2723794E-4,0.006715994,-0.48479542,2017-05-25 06:12:42,44.35577874901982
-0.11105347,-0.059249878,9.889267,185.0,-0.12046069,-0.064230725,9.8057,-0.008531578,0.005626552,-0.034173965,1.4522957E-4,0.0069589843,-0.48879963,2017-05-25 06:12:43,42.854469633776056
-0.13020325,-0.040100098,9.927582,188.0,-0.12477463,-0.057601858,9.805687,-0.004115641,-0.0010418855,-4.5394897E-4,5.8514555E-4,0.006982617,-0.49348184,2017-05-25 06:12:44,46.395268289696205
-0.13020325,-0.059249878,9.889267,185.0,-0.11239662,-0.06797657,9.805771,-0.016520433,0.009504572,0.009600639,-1.849614E-4,0.006694774,-0.49366763,2017-05-25 06:12:45,52.65671447608427
-0.11105347,-0.07841492,9.889267,188.0,-0.12786686,-0.06336196,9.805612,-7.520467E-4,0.00489717,-0.018692017,4.1135945E-4,0.0072644767,-0.49394104,2017-05-25 06:12:46,56.15201665547916
-0.09188843,-0.07841492,9.870102,188.0,-0.115655005,-0.06780095,9.805734,-0.013460189,-0.009976119,-0.008716583,-9.431934E-5,0.00683485,-0.49377373,2017-05-25 06:12:47,55.45532827521156
-0.11105347,-0.07841492,9.927582,187.0,-0.10742028,-0.06785537,9.805827,-0.0026059002,0.009254411,0.008813858,-3.0623618E-4,0.006470995,-0.4934817,2017-05-25 06:12:48,46.833551501664914
-0.13020325,-0.059249878,9.946732,189.0,-0.11268368,-0.07230413,9.805737,-0.016427688,-0.0054101795,0.007665634,-3.3947738E-4,0.0068180063,-0.49750772,2017-05-25 06:12:49,46.627373408776904
-0.11105347,-0.07841492,9.889267,188.0,-0.10319228,-0.070145585,9.805857,-0.00700444,-0.0076869503,0.0019979477,-5.2330474E-4,0.006340375,-0.49223006,2017-05-25 06:12:51,43.89091211968007
-0.09188843,-0.07841492,9.927582,187.0,-0.102898926,-0.077297054,9.805805,-0.007293083,-4.7074258E-4,0.0013685226,-8.4497046E-4,0.0065072523,-0.49264327,2017-05-25 06:12:52,33.13247157240663
-0.09188843,-0.059249878,9.889267,186.0,-0.11147874,-0.07265603,9.805748,0.0014652684,-0.0050810724,0.011190414,-4.2331955E-4,0.006771385,-0.49266994,2017-05-25 06:12:53,46.45911312116496
-0.13020325,-0.07841492,9.908417,186.0,-0.10745417,-0.068011895,9.805825,-0.0025802106,-0.009758003,0.009593964,-3.2146368E-4,0.0064759897,-0.49225384,2017-05-25 06:12:54,52.7731968962388
-0.07272339,-0.07841492,9.850952,187.0,-0.10268863,-0.07482875,9.805827,0.011856459,-0.002816476,0.0017271042,-7.4187183E-4,0.006435786,-0.49248964,2017-05-25 06:12:55,45.249577976311215
-0.09188843,-0.07841492,9.831787,187.0,-0.102350794,-0.075935856,9.805822,-0.004863791,-0.0025570095,0.028614044,-6.934577E-4,0.006567523,-0.4926121,2017-05-25 06:12:56,56.06960180186278
-0.09188843,-0.07841492,9.831787,187.0,-0.089661494,-0.07556609,9.805949,0.017587103,-0.0023018569,-0.006825447,-0.0011045305,0.005875681,-0.49207368,2017-05-25 06:12:57,21.15220345012622
-0.09188843,-0.0975647,9.870102,187.0,-0.08812962,-0.07948669,9.805932,0.015890956,0.0015089586,-0.008913994,-0.0013157736,0.0059063258,-0.49225226,2017-05-25 06:12:58,26.77477203830913
-0.09188843,-0.07841492,9.870102,189.0,-0.078648135,-0.08626374,9.805955,0.0063759238,0.008343682,0.027058601,-0.0018540856,0.005655761,-0.49231946,2017-05-25 06:12:59,7.846618607977155
-0.07272339,-0.07841492,9.870102,189.0,-0.08172813,-0.08333461,9.805956,-0.009599432,0.0054915845,-0.003148079,-0.0016472061,0.0057187974,-0.49225435,2017-05-25 06:13:00,54.73384063839673
-0.11105347,-0.059249878,9.850952,186.0,-0.08837725,-0.08618996,9.805873,-0.002851531,-0.010731414,-0.008961678,-0.0016042097,0.006086322,-0.49265924,2017-05-25 06:13:01,49.704720694909774
-0.07272339,-0.07841492,9.927582,188.0,-0.099354394,-0.07320444,9.805874,0.027490415,-0.004577264,0.036888123,-7.5505686E-4,0.0062468494,-0.49227595,2017-05-25 06:13:02,49.33013720574493
-0.05357361,-0.0975647,9.850952,192.0,-0.09377746,-0.07748259,9.805896,0.002519697,-4.112497E-4,-0.04005432,-0.0010845074,0.0061067906,-0.49233285,2017-05-25 06:13:03,32.40334699997144
-0.11105347,-0.07841492,9.908417,191.0,-0.102849424,-0.07920785,9.805791,-0.0074455068,0.0013771132,-0.008008957,-9.301557E-4,0.006553175,-0.49275476,2017-05-25 06:13:04,31.879954708444366
-0.05357361,-0.0975647,9.908417,186.0,-0.08925873,-0.0763998,9.805946,-0.021005005,0.017825887,0.05402565,-0.0011514033,0.0058787684,-0.4921089,2017-05-25 06:13:05,42.47536720627501
-0.09188843,-0.07841492,9.908417,188.0,-0.09184377,-0.07941485,9.805899,5.5909157E-4,0.0012911931,0.016335487,-0.0012184773,0.006069545,-0.49237922,2017-05-25 06:13:06,52.61211583320182
-0.07272339,-0.07841492,9.870102,189.0,-0.10547285,-0.07695977,9.805781,-0.004874289,-9.397641E-4,-0.020496368,-7.648133E-4,0.0066130515,-0.49271378,2017-05-25 06:13:07,49.42679178373823
-0.03440857,-0.0975647,9.889267,187.0,-0.09181408,-0.07573152,9.805928,6.791949E-4,-0.0020618439,0.0028591156,-0.0010572748,0.0059754853,-0.4921596,2017-05-25 06:13:08,44.114590777816304
-0.09188843,-0.0975647,9.889267,187.0,-0.10097711,-0.080583945,9.805799,-0.009163007,0.0028979257,-0.005227089,-0.0010381329,0.0065046973,-0.4927705,2017-05-25 06:13:09,62.037592212699586
-0.104660034,-0.072021484,9.921188,191.0,-0.15958029,-0.046025384,9.8052435,0.03839934,-0.025233496,-0.06567001,0.0019636014,0.008237476,-0.49234495,2017-05-25 06:13:10,61.4109599830423
-0.11105347,-0.07841492,9.882874,190.0,-0.11668582,-0.07122995,9.805697,0.0068858564,-0.006419778,-0.028162003,-2.3598297E-4,0.0069663804,-0.49182704,2017-05-25 06:13:11,46.43114408898988
-0.11105347,-0.059249878,9.946732,187.0,-0.11597229,-0.07328743,9.805691,0.0061708093,-0.0043363124,0.016033173,-2.0242418E-4,0.0068399664,-0.49588317,2017-05-25 06:13:12,57.62124901551879
-0.11105347,-0.059249878,9.946732,188.0,-0.12570928,-0.06652728,9.805619,-0.0029958338,-0.011094801,0.0051050186,2.3441148E-4,0.0072479923,-0.4960651,2017-05-25 06:13:13,55.452714032468
-0.11105347,-0.059249878,9.927582,189.0,-0.14599404,-0.047976755,9.805446,0.018123776,-0.010506455,0.0037593842,0.0015491311,0.007680825,-0.4938437,2017-05-25 06:13:14,54.963679416418486
-0.13020325,-0.06564331,9.91481,189.0,-0.11548947,-0.0665636,9.805744,-0.010526359,0.0012447014,0.006911278,-5.2354175E-5,0.006796295,-0.49265677,2017-05-25 06:13:15,59.52546345748602
-0.09188843,-0.07841492,9.908417,190.0,-0.12224837,-0.059745315,9.805706,-0.025661848,0.001208026,0.024071693,4.0546662E-4,0.0069257827,-0.49083492,2017-05-25 06:13:16,15.600935228665577
-0.13020325,-0.059249878,9.927582,189.0,-0.11590554,-0.06530521,9.805748,-0.013098806,0.006730832,0.02040577,5.47279E-7,0.0067831594,-0.49093875,2017-05-25 06:13:17,58.43803246208979
-0.11105347,-0.059249878,9.870102,190.0,-0.10684869,-0.06512904,9.805852,-0.022047043,0.0066761523,0.0017347336,-2.2076863E-4,0.0063763503,-0.490608,2017-05-25 06:13:18,46.438908984239674
-0.13020325,-0.07841492,9.870102,189.0,-0.09120858,-0.07570899,9.805934,0.019342355,-0.021144204,-0.027986526,-0.0010815834,0.0059462134,-0.49067852,2017-05-25 06:13:19,55.12644423296044
-0.09188843,-0.07841492,9.908417,185.0,-0.114607126,-0.064410485,9.805769,0.004703842,0.00580702,0.023403168,7.0274295E-6,0.006703085,-0.4908401,2017-05-25 06:13:20,60.18084548317967
-0.11105347,-0.07841492,9.889267,188.0,-0.113612786,-0.06835823,9.805754,0.023027591,-0.009272568,-0.009817123,-1.9168906E-4,0.006757761,-0.4910379,2017-05-25 06:13:21,57.54927816654633
-0.07272339,-0.072021484,9.850937,187.0,-0.114839,-0.06757001,9.805745,0.004897468,0.0025809407,-0.01781559,-1.1856479E-4,0.0067926254,-0.49198824,2017-05-25 06:13:22,36.62111662714608
-0.11743164,-0.06564331,9.921188,191.0,-0.10695925,-0.07045167,9.805814,-0.009363174,0.00553897,9.126663E-4,-4.479085E-4,0.00651487,-0.4914863,2017-05-25 06:13:23,39.7250455201125
-0.11105347,-0.059249878,9.908417,190.0,-0.10541009,-0.0754061,9.805794,0.014367394,-0.002403818,-0.03351593,-7.048873E-4,0.00657044,-0.49172953,2017-05-25 06:13:24,39.24586640967151
-0.11105347,-0.059249878,9.870102,187.0,-0.10700394,-0.06973478,9.805819,0.014959313,-0.005032219,-0.009063721,-5.7570124E-4,0.0065345587,-0.49159768,2017-05-25 06:13:25,47.39586694619811
-0.11105347,-0.0975647,9.870102,189.0,-0.117664985,-0.07294112,9.805673,-0.03046441,-0.004705809,0.056980133,-2.858167E-4,0.0070528295,-0.49202135,2017-05-25 06:13:26,33.02876228182232
-0.09188843,-0.07841492,9.889267,189.0,-0.10087586,-0.07374798,9.805854,0.010104917,-0.0038499758,-0.025214195,-7.4687647E-4,0.0063273273,-0.49146587,2017-05-25 06:13:27,46.16367386310203
-0.11105347,-0.059249878,9.850952,191.0,-0.11529909,-0.062305618,9.805775,-0.013641246,0.0037381947,0.014401436,1.2134148E-4,0.006681082,-0.49129573,2017-05-25 06:13:28,56.323857248202515
-0.09188843,-0.07841492,9.870102,187.0,-0.10728708,-0.068208344,9.805826,-0.0028696284,0.009528585,0.02062893,-3.4100094E-4,0.006473159,-0.49136278,2017-05-25 06:13:29,37.21915931215183
-0.09188843,-0.07841492,9.870102,188.0,-0.094810635,-0.08165131,9.805852,-0.015596762,0.003792785,-0.021719933,-0.0012479434,0.006256426,-0.4917247,2017-05-25 06:13:30,38.041200437560526
-0.09188843,-0.07841492,9.889267,184.0,-0.1002837,-0.06565797,9.805918,0.009279124,-0.012178265,-0.022240639,-4.0606142E-4,0.00609806,-0.490956,2017-05-25 06:13:31,51.02097450779943
