ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
8.839393,-3.7924154,2.2409728,2.0,8.880466,-3.5004294,2.2064962,0.0,-0.14982383,-0.013620348,2017-06-01 21:05:55,40.21593289339002
8.6095495,-3.6870706,3.4476504,5.0,8.771504,-3.677494,2.3426998,-0.17706451,-0.14982383,1.0079057,2017-06-01 21:05:56,40.284322729970896
8.695741,-3.9264908,2.4995465,5.0,8.580819,-3.800077,2.8466525,0.14982383,-0.040861044,-0.3405087,2017-06-01 21:05:57,39.25344407712521
8.801085,-3.8498764,2.1547816,2.0,8.64892,-3.881799,2.4925234,0.17706451,0.068101734,-0.36774936,2017-06-01 21:05:58,33.07564559576932
8.848969,-3.7828386,2.0973208,2.0,8.757884,-3.840938,2.1247742,0.10896278,0.068101734,-0.068101734,2017-06-01 21:06:00,50.00150762230242
8.839393,-3.8019924,2.1164744,2.0,8.812365,-3.759216,2.083913,0.08172209,0.10896278,0.08172209,2017-06-01 21:06:01,62.53712927588869
8.916007,-3.6391866,2.0685902,2.0,8.825985,-3.718355,2.083913,0.095342435,0.05448139,0.0,2017-06-01 21:06:02,47.44731873105871
8.916007,-3.620033,2.0590134,2.0,8.853226,-3.6638737,2.0566726,0.068101734,0.027240695,0.0,2017-06-01 21:06:03,63.06801087026565
8.954314,-3.6008794,2.0398598,2.0,8.880466,-3.5821512,2.0566726,0.08172209,0.027240695,-0.027240695,2017-06-01 21:06:04,54.38069358505953
9.002198,-3.4380736,2.087744,5.0,8.907707,-3.5140495,2.0566726,0.040861044,-0.013620348,0.027240695,2017-06-01 21:06:05,64.75479281546006
9.011775,-3.4284968,2.0685902,5.0,8.921328,-3.4731886,2.0975335,0.040861044,0.027240695,-0.027240695,2017-06-01 21:06:06,66.58786972297679
9.040505,-3.2082303,2.327164,5.0,8.962189,-3.3642259,2.1247742,0.040861044,0.068101734,0.16344418,2017-06-01 21:06:07,33.967965817099135
9.002198,-3.2561142,2.3463178,5.0,8.962189,-3.2552629,2.2745981,0.068101734,0.027240695,0.05448139,2017-06-01 21:06:08,62.97664076352392
9.002198,-3.2369606,2.3654714,5.0,8.962189,-3.2280223,2.2882183,0.08172209,0.027240695,0.040861044,2017-06-01 21:06:09,65.67787828579452
8.983045,-3.3327289,2.3080103,5.0,8.962189,-3.214402,2.3290794,0.08172209,-0.12258312,-0.10896278,2017-06-01 21:06:10,58.63674196249603
9.021352,-3.265691,2.2888567,5.0,8.948568,-3.2416425,2.3563201,0.10896278,0.027240695,-0.095342435,2017-06-01 21:06:11,64.03402051852635
9.011775,-3.2273839,2.336741,5.0,8.948568,-3.2280223,2.3426998,0.10896278,0.068101734,-0.027240695,2017-06-01 21:06:12,54.86944497792476
9.088389,-3.0358477,2.336741,5.0,9.00305,-3.1190596,2.315459,0.068101734,0.013620348,0.0,2017-06-01 21:06:13,65.39421391524213
9.088389,-2.8538885,2.528277,5.0,9.01667,-3.050958,2.3426998,0.068101734,0.12258312,0.14982383,2017-06-01 21:06:14,65.92508781031057
9.126697,-2.815581,2.4420857,5.0,9.043911,-2.860273,2.4380422,0.068101734,0.05448139,0.013620348,2017-06-01 21:06:15,34.815825781306465
9.165004,-2.767697,2.4133554,5.0,9.057531,-2.8057916,2.4516625,0.068101734,0.013620348,0.0,2017-06-01 21:06:16,58.28120241256636
9.14585,-2.7102363,2.480393,5.0,9.084772,-2.7649305,2.4108014,0.05448139,0.027240695,0.05448139,2017-06-01 21:06:17,51.32429942989368
9.174581,-2.72939,2.4516625,5.0,9.0983925,-2.6968286,2.4516625,0.040861044,-0.027240695,0.013620348,2017-06-01 21:06:18,35.50856974970641
9.126697,-2.7102363,2.5378537,5.0,9.0983925,-2.6968286,2.4380422,0.05448139,-0.08172209,0.013620348,2017-06-01 21:06:19,56.24839274123637
9.212888,-2.825158,2.1068976,5.0,9.084772,-2.7104492,2.465283,0.12258312,-0.12258312,-0.35412902,2017-06-01 21:06:20,66.59109866614172
8.944737,-3.41892,2.3942018,5.0,9.125632,-2.7240696,2.3018386,-0.095342435,-0.55843425,0.12258312,2017-06-01 21:06:21,57.48242398871149
8.7532015,-3.2848446,3.1411927,5.0,8.962189,-3.050958,2.547005,-0.14982383,-0.21792556,0.47671217,2017-06-01 21:06:22,42.19652215739971
8.781932,-3.0358477,3.3135753,5.0,8.757884,-3.2416425,2.9556153,0.12258312,0.27240694,0.17706451,2017-06-01 21:06:23,37.87777953999388
8.887277,-3.0550013,3.0358477,5.0,8.785125,-2.9828563,3.1599207,0.095342435,0.05448139,-0.10896278,2017-06-01 21:06:24,31.490771159601056
8.868123,-3.1316159,2.9783869,5.0,8.825985,-2.969236,3.050958,0.040861044,-0.05448139,-0.013620348,2017-06-01 21:06:25,35.22209212372903
8.887277,-3.1124623,2.930503,5.0,8.839605,-3.0237172,2.9556153,0.068101734,-0.068101734,-0.05448139,2017-06-01 21:06:26,61.930826401922104
8.925584,-3.016694,2.9113493,5.0,8.853226,-3.0645783,2.8875136,0.013620348,-0.068101734,0.013620348,2017-06-01 21:06:27,60.77326811745397
8.848969,-3.3039982,2.834735,5.0,8.853226,-3.0645783,2.8875136,0.05448139,0.013620348,0.068101734,2017-06-01 21:06:28,59.2808501547544
8.963891,-3.1986535,2.7868507,5.0,8.866846,-3.050958,2.860273,0.040861044,-0.013620348,0.05448139,2017-06-01 21:06:29,49.68783443190125
8.887277,-3.1890767,2.8060043,5.0,8.853226,-3.0645783,2.8738933,0.0,-0.14982383,-0.05448139,2017-06-01 21:06:30,47.75183725212695
8.954314,1.7908629,2.9113493,5.0,8.853226,-3.0237172,2.901134,0.040861044,3.5957716,1.1032481,2017-06-01 21:06:31,63.71259408861927
9.691729,0.92895025,-2.4516625,5.0,9.561484,-0.14982383,2.1383946,-0.3949901,1.2258313,-3.8545582,2017-06-01 21:06:32,63.65623484220794
9.174581,2.135628,0.6512229,5.0,9.588725,1.5799603,-1.2803127,0.16344418,0.23154591,0.3405087,2017-06-01 21:06:33,47.55348132906305
8.532935,3.5434184,2.0207062,5.0,9.602345,1.9613299,-0.027240695,-0.7763598,1.4709975,1.525479,2017-06-01 21:06:34,33.706478026911306
9.557653,2.7006595,0.6895301,5.0,9.261836,2.901134,1.4028958,0.0,-0.49033248,-0.98066497,2017-06-01 21:06:35,46.08282259514628
