ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
6.178,2.108,7.355,-0.013945371,-0.36055502,-0.11742735,7663.0,5.697268,2.265799,7.65302,0.176732,0.117201,-0.18102,0.331,-0.0143,0.8607,2017-06-07 07:55:29,70.55397669089919
6.629,1.922,7.551,-0.056689065,0.08168252,-0.019792303,5301.0,6.475379,1.98089,7.092181,0.124621,0.12711,0.056819,0.3681,-0.0535,0.8393,2017-06-07 07:55:30,71.16817984298072
6.08,2.324,7.266,0.030892748,0.10793263,-0.017977135,5462.0,6.014498,2.234076,7.415397,0.026502,0.138924,0.125603,0.3472,-0.0355,0.8406,2017-06-07 07:55:31,71.33235407122291
6.276,1.873,7.374,0.063234136,0.23176542,0.090810716,6030.0,6.409239,1.889313,7.177175,-0.133239,-0.016313,0.196825,0.3622,-0.0533,0.8447,2017-06-07 07:55:32,70.14193599240944
7.012,1.382,7.904,-0.08569683,-0.30973035,0.19312331,5955.0,6.20304,1.443695,7.456696,1.32796,0.399305,0.388304,0.3401,-0.064,0.8586,2017-06-07 07:55:33,70.66107707194614
6.658,0.392,6.884,0.22036827,-0.026494458,-0.11644995,5987.0,6.777645,0.139162,7.085597,-0.226645,0.556838,-0.005597,0.3591,-0.0984,0.8898,2017-06-07 07:55:34,72.0069717798801
8.973,1.549,4.452,0.028815778,0.26199493,0.006353085,1726.0,8.985086,1.119881,3.765757,0.222914,0.292119,0.941243,0.541,-0.1237,0.7817,2017-06-07 07:55:35,68.54319112375885
9.699,2.579,-0.245,0.004345929,-0.20279257,0.14905314,113.0,9.415142,2.741344,-5.98E-4,0.842858,-0.035344,-0.195402,0.6958,-0.126,0.6327,2017-06-07 07:55:36,68.02109173871817
9.267,2.177,1.029,-0.026477005,-0.059167467,-0.17601885,164.0,9.585728,2.022789,0.433647,0.319272,0.183211,-0.100647,0.673,-0.1575,0.6543,2017-06-07 07:55:37,71.2875441540115
10.228,2.245,0.764,-0.030369142,0.1267999,0.01853565,101.0,9.570165,2.08414,0.479735,0.530835,0.062859,0.029265,0.6729,-0.1504,0.6569,2017-06-07 07:55:38,73.17603727553015
8.1,1.441,2.814,-0.01038485,0.7645868,-0.32163364,960.0,9.406463,1.257546,2.469604,-0.247463,0.575454,0.589396,0.5906,-0.1589,0.7299,2017-06-07 07:55:39,71.75558423145878
9.699,1.745,1.794,-0.02867615,-0.16730954,0.00178026,313.0,9.438186,1.698676,2.047627,0.328814,0.056324,0.109372,0.6025,-0.1804,0.6934,2017-06-07 07:55:40,68.91613278803915
9.277,2.618,-0.254,0.06471769,0.112296015,0.12477528,125.0,9.482778,2.457334,-0.439333,-0.068778,0.023666,-0.050667,0.6943,-0.2005,0.5945,2017-06-07 07:55:41,70.8521043514919
9.62,2.304,-0.333,-0.15058906,0.043843266,0.08180469,137.0,9.513902,2.340019,-0.417187,-0.226902,-0.095019,0.104187,0.695,-0.1955,0.6019,2017-06-07 07:55:42,70.87671373060856
10.483,1.745,0.117,-0.13695785,0.07148966,0.61438173,155.0,9.688378,1.476016,-0.337879,0.627622,-0.231016,0.220879,0.6744,-0.2497,0.6077,2017-06-07 07:55:43,71.67630784022212
9.973,2.392,0.0,0.15645345,0.02778602,-0.34934986,161.0,9.681495,1.560112,-0.015861,0.644505,0.361888,-0.150139,0.6685,-0.232,0.6221,2017-06-07 07:55:44,71.1529946139282
12.474,1.912,-0.902,-0.17863688,0.0038921372,0.13224539,138.0,9.490559,2.459728,-0.191834,2.247441,-0.341728,-0.259166,0.6812,-0.2138,0.5939,2017-06-07 07:55:45,72.07854476874002
10.179,1.794,0.058,0.059010386,-0.09876952,0.11976612,183.0,9.632714,1.825567,0.21398,0.497286,-0.080567,-0.00898,0.6616,-0.2264,0.6213,2017-06-07 07:55:46,71.36080276031504
9.228,1.578,0.372,0.16814731,0.04494284,0.060040142,118.0,9.625531,1.858488,0.242112,-0.024531,-0.162488,0.002888,0.668,-0.2033,0.6328,2017-06-07 07:55:47,71.83997107802993
10.16,2.432,0.441,0.06738808,-0.019460686,-0.1320185,127.0,9.579144,2.018898,0.562933,0.619856,0.393102,0.143067,0.6516,-0.2158,0.6282,2017-06-07 07:55:48,71.46180777579758
9.149,1.99,0.411,0.15191552,0.13728946,-0.31446025,209.0,9.565377,2.07995,0.578794,-0.680377,0.02805,-0.373794,0.6517,-0.2138,0.6273,2017-06-07 07:55:49,70.52193803661117
9.385,1.961,0.392,0.009773977,-0.07698752,-0.083445325,242.0,9.630619,1.757932,0.568619,0.715381,0.223068,0.078381,0.6491,-0.2226,0.6344,2017-06-07 07:55:50,71.04091590023982
