ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
8.610199,3.8182373,1.8302612,-0.20011902,-0.6515045,-0.4869995,279.0,8.777528,3.230799,2.9474275,0.30325222,0.5038655,-1.0229876,0.23847546,-0.54115844,0.050275482,2017-06-09 09:43:15,-Infinity
8.2534485,4.6918793,1.8875427,0.031051636,-0.13371277,-0.0032348633,0.0,8.334234,4.7002454,2.1490989,0.013459206,0.11770201,-0.17185593,0.21758139,-0.5857344,-0.12271822,2017-06-09 09:43:15,-Infinity
8.246674,4.849991,1.8132477,7.324219E-4,0.04133606,0.0061035156,0.0,8.364543,4.7717233,1.8534994,-0.012681007,0.14957047,-0.07676172,0.210244,-0.60107845,-0.13951515,2017-06-09 09:43:15,-Infinity
9.513123,2.8779755,2.3165283,-0.07119751,-0.028259277,-0.031219482,0.0,9.053205,3.2169034,1.9650459,0.49084568,-0.20706224,0.18553734,0.16423485,-0.61060417,-0.060880776,2017-06-09 09:43:15,-Infinity
7.6895294,5.8105927,1.4775696,0.285614,0.048721313,0.061264038,0.0,8.345666,4.910307,1.5521377,-0.6804886,1.014576,-0.087522626,0.22822914,-0.60726804,-0.13049205,2017-06-09 09:43:15,-Infinity
8.262665,4.4310303,1.6153259,0.097961426,-0.34371948,-0.008514404,0.0,8.053112,5.5313306,0.8497977,0.12118912,-0.0990057,-0.12942123,0.23557378,-0.63338566,-0.17934461,2017-06-09 09:43:15,-Infinity
7.086487,6.34935,0.6706848,-0.62615967,-0.18663025,-1.0658875,0.0,8.525112,4.791814,0.7289468,-0.98125744,1.3380065,-0.5968519,0.311558,-0.6047856,-0.026653564,2017-06-09 09:43:15,-Infinity
9.535828,4.039444,0.22528076,0.21942139,0.17710876,0.21749878,0.0,8.61752,4.66554,0.37611732,0.5797701,-0.61951447,-0.120455176,0.23821953,-0.65121025,-0.10448891,2017-06-09 09:43:15,-Infinity
8.588226,3.7111206,-1.697113,0.31774902,-0.17338562,0.051834106,0.0,9.207402,3.2615726,-0.86964464,-0.64972305,0.46832848,-1.1308982,0.45685217,-0.571389,0.22145599,2017-06-09 09:43:16,-Infinity
9.03656,3.5112457,-1.1436462,0.010284424,-0.0025482178,0.01234436,0.0,9.149372,3.3663332,-1.0616876,-0.10435009,0.058834076,-0.11634076,0.47811544,-0.5694326,0.22829698,2017-06-09 09:43:17,-Infinity
8.415283,3.5725708,-1.3925934,-0.44729614,-0.40690613,-0.2885437,0.0,8.85258,3.9827085,-1.3929291,0.11772442,-0.34972048,-0.55396855,0.4899721,-0.56987566,0.20474342,2017-06-09 09:43:18,-Infinity
8.451141,5.046158,-0.7342377,-0.24227905,-0.023345947,0.10168457,0.0,8.620791,4.6519723,-0.45989108,-0.20954704,0.28638792,-0.062850714,0.20824686,-0.69526887,-0.14297204,2017-06-09 09:43:19,-Infinity
8.881302,4.495178,0.67941284,0.34536743,0.11933899,0.1542511,0.0,8.818314,4.2802396,0.29542515,0.13464832,0.36889553,0.29363266,0.17046712,-0.6751877,-0.14579959,2017-06-09 09:43:20,-Infinity
7.960312,5.4152527,0.73213196,-0.16802979,-0.017120361,0.08332825,0.0,8.256437,5.2613034,0.56596935,-0.28769684,0.083366394,0.05029291,0.16866787,-0.6653531,-0.22812484,2017-06-09 09:43:21,-Infinity
7.629486,5.983185,0.7926483,-0.025756836,-0.031295776,-0.001663208,0.0,7.897572,5.7780237,0.6427974,-0.18738079,0.23771572,0.13646519,0.17013004,-0.66202885,-0.27080357,2017-06-09 09:43:22,-Infinity
7.620682,6.0210114,0.8477478,-0.030776978,-0.024642944,0.03437805,0.0,7.801331,5.8858304,0.8164678,-0.11798239,0.22227526,0.069636405,0.16233172,-0.6572824,-0.28945455,2017-06-09 09:43:23,-Infinity
