ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.2813187,-0.12330139,9.388862,3.0,2017-08-06 16:11:22,39.52802050553346
-0.25737667,-0.142455,9.431957,3.0,2017-08-06 16:11:23,62.74135253234899
-0.23822308,-0.11372458,9.436746,3.0,2017-08-06 16:11:24,71.33352706812514
-0.3196259,-0.11372458,9.360131,3.0,2017-08-06 16:11:25,43.19414811541304
-0.33877954,-0.14724341,9.431957,2.0,2017-08-06 16:11:26,44.138738500183095
-0.29568392,-0.16639702,9.39365,3.0,2017-08-06 16:11:27,42.64988173470012
-0.36272156,-0.17597382,9.388862,3.0,2017-08-06 16:11:28,40.87534528938509
-0.30047232,-0.17597382,9.355343,2.0,2017-08-06 16:11:29,42.670004711072096
-0.24301147,-0.075417355,9.374496,3.0,2017-08-06 16:11:30,46.34884623746668
-0.2669535,-0.094570965,9.384073,3.0,2017-08-06 16:11:31,45.825554135604996
-0.32920274,-0.1376666,9.431957,3.0,2017-08-06 16:11:32,54.66511210007175
-0.36750996,-0.15682021,9.388862,3.0,2017-08-06 16:11:33,49.339478961312366
-0.30526072,-0.15203181,9.42238,3.0,2017-08-06 16:11:34,46.15250842168007
-0.25258827,-0.1376666,9.379285,2.0,2017-08-06 16:11:35,44.50397337026722
-0.25737667,-0.142455,9.412804,3.0,2017-08-06 16:11:36,73.459653120133
-0.2717419,-0.1376666,9.417592,3.0,2017-08-06 16:11:37,68.03922648695615
-0.2717419,-0.09935937,9.336189,3.0,2017-08-06 16:11:38,46.296757427307256
-0.35314476,-0.142455,9.39365,2.0,2017-08-06 16:11:39,47.178912210673204
-0.29568392,-0.15682021,9.350554,2.0,2017-08-06 16:11:40,65.44806779177412
-0.25737667,-0.17597382,9.465476,3.0,2017-08-06 16:11:41,72.27322697743949
-0.2861071,-0.142455,9.408015,3.0,2017-08-06 16:11:42,74.35651766396013
-0.23343466,-0.094570965,9.412804,3.0,2017-08-06 16:11:43,71.38544076993756
-0.24779987,-0.10414778,9.398438,3.0,2017-08-06 16:11:44,59.19038054825624
-0.3866636,-0.12330139,9.460688,3.0,2017-08-06 16:11:45,53.527359872625496
-0.2908955,-0.108936176,9.317036,3.0,2017-08-06 16:11:46,68.8552338343772
-0.3866636,-0.1376666,9.431957,3.0,2017-08-06 16:11:47,68.7232911369529
-0.21428105,-0.11851298,9.412804,3.0,2017-08-06 16:11:48,66.34707822094785
-0.23822308,-0.08499416,9.417592,3.0,2017-08-06 16:11:49,66.45124187297392
-0.30047232,-0.09935937,9.408015,3.0,2017-08-06 16:11:50,70.85004258781046
-0.34356794,-0.11372458,9.42238,3.0,2017-08-06 16:11:51,68.90966752613717
-0.35793316,-0.16160862,9.408015,3.0,2017-08-06 16:11:52,62.56147168945857
-0.30526072,-0.1376666,9.498995,3.0,2017-08-06 16:11:53,48.675230969740184
-0.2717419,-0.14724341,9.431957,3.0,2017-08-06 16:11:54,66.7806703399925
-0.2861071,-0.142455,9.431957,3.0,2017-08-06 16:11:55,71.4115338242017
-0.24779987,-0.11372458,9.42238,3.0,2017-08-06 16:11:57,68.5822913973409
