ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.149,-0.076,9.883,1.0,-0.9747173,-0.26118174,10.871674,-0.28928274,0.18518174,-0.7966738,-0.04623646,0.0014950499,0.95602256,2017-08-30 21:16:08,36.7371563978051
-1.149,-0.114,9.845,1.0,-1.1449654,-0.094182484,9.860436,0.034965396,-0.019817516,0.022563934,-0.056707278,0.011987155,0.95651346,2017-08-30 21:16:09,25.59956861731871
-1.149,-0.076,9.807,1.0,-1.1421319,-0.09647318,9.821096,0.03213191,-0.01752682,-0.01409626,-0.056033596,0.015199592,0.938079,2017-08-30 21:16:10,41.9298423687559
-1.11,-0.076,9.807,1.0,-1.1209456,-0.11600384,9.813823,0.010945559,0.002003841,-0.045823097,-0.054897316,0.015829183,0.9257117,2017-08-30 21:16:11,37.16245307632377
-1.149,-0.114,9.807,1.0,-1.1353459,-0.09634882,9.7887745,0.025345922,-0.017651178,0.01822567,-0.055617463,0.016124375,0.93190235,2017-08-30 21:16:12,42.84239365933534
-1.11,-0.114,9.768,2.0,-1.1279373,-0.086370565,9.782101,0.017937303,-0.027629435,0.024899483,-0.05517578,0.0163045,0.93302155,2017-08-30 21:16:13,39.421254081569785
-1.11,-0.076,9.807,2.0,-1.1347114,-0.09850909,9.801105,0.02471137,-0.015490912,-0.033104897,-0.05547837,0.016262863,0.9301341,2017-08-30 21:16:14,45.1777106384247
-1.149,-0.114,9.768,2.0,-1.1150966,-0.08395143,9.794849,-0.03390348,-0.030048572,0.012150764,-0.053660423,0.018643618,0.9158237,2017-08-30 21:16:15,36.47961779187062
-1.11,-0.114,9.845,2.0,-1.1196944,-0.09613575,9.797705,-0.029305696,-0.01786425,-0.029705048,-0.05376667,0.01913664,0.90849155,2017-08-30 21:16:16,37.0168512805752
-1.11,-0.114,9.807,2.0,-1.1177882,-0.089990675,9.796473,0.0077881813,-0.024009325,0.010527611,-0.053919576,0.018349973,0.9162881,2017-08-30 21:16:17,29.379029026027595
-1.11,-0.076,9.768,1.0,-1.1181679,-0.087860614,9.782282,0.008167863,-0.026139386,0.024718285,-0.054148193,0.017958447,0.9200818,2017-08-30 21:16:18,32.59329367574239
-1.149,-0.076,9.807,2.0,-1.1272073,-0.100735925,9.797279,-0.02179277,-0.013264075,-0.029279709,-0.05506981,0.016431952,0.9274562,2017-08-30 21:16:19,36.82700568243959
-1.11,-0.076,9.807,2.0,-1.1128342,-0.081575565,9.814426,-0.036165833,0.0055755675,-0.007426262,-0.05390244,0.017176382,0.92656654,2017-08-30 21:16:20,37.06741112240057
-1.11,-0.114,9.807,1.0,-1.1398562,-0.09442612,9.799391,0.029856205,-0.019573882,0.0076093674,-0.054995622,0.018622825,0.915908,2017-08-30 21:16:21,36.4625516458237
-1.11,-0.114,9.807,1.0,-1.134791,-0.09455901,9.810454,0.024791002,-0.019440994,-0.0034542084,-0.05433377,0.019554887,0.9080305,2017-08-30 21:16:23,35.2657645233807
-1.149,-0.076,9.768,1.0,-1.1340019,-0.11509373,9.802166,0.024001837,0.039093733,0.004834175,-0.054698396,0.0188313,0.90630966,2017-08-30 21:16:24,40.87350990481945
-1.11,-0.114,9.807,2.0,-1.1229514,-0.09933858,9.806672,-0.02604866,-0.014661416,3.2806396E-4,-0.053440873,0.02038172,0.89784545,2017-08-30 21:16:25,27.601042801007072
-1.11,-0.114,9.807,1.0,-1.1196285,-0.09946732,9.798204,-0.0293715,-0.014532678,0.008795738,-0.054193445,0.017917328,0.91645104,2017-08-30 21:16:26,40.94032238923708
-1.11,-0.076,9.845,2.0,-1.1276299,-0.10952717,9.814577,-0.021370173,-0.0044728294,-0.0075769424,-0.05566112,0.014147523,0.9392732,2017-08-30 21:16:27,36.74376544687795
-1.149,-0.076,9.807,2.0,-1.1429743,-0.10345262,9.813688,-0.006025791,-0.010547377,-0.006688118,-0.055863276,0.016234433,0.9296296,2017-08-30 21:16:28,40.6955999536769
-1.149,-0.114,9.807,2.0,-1.126647,-0.10422524,9.798881,0.016646981,-0.009774759,0.008119583,-0.054612108,0.017826864,0.9164958,2017-08-30 21:16:29,54.68275780238288
-1.149,-0.114,9.807,2.0,-1.1093594,-0.10205073,9.79981,-0.039640665,0.026050732,0.0071897507,-0.053677913,0.01784566,0.9145719,2017-08-30 21:16:30,37.714408096798515
-1.11,-0.114,9.807,2.0,-1.1316961,-0.10774355,9.800546,0.02169609,-0.0062564537,0.006454468,-0.05494629,0.01763652,0.91737026,2017-08-30 21:16:31,42.52931283939197
-1.149,-0.076,9.807,2.0,-1.1243213,-0.094554104,9.799584,0.014321327,-0.019445896,0.0074157715,-0.054497663,0.017650455,0.920669,2017-08-30 21:16:32,41.475317386022425
-1.11,-0.114,9.807,2.0,-1.1349728,-0.11116071,9.811779,-0.014027238,-0.0028392896,-0.043779373,-0.05541925,0.016494857,0.924524,2017-08-30 21:16:33,38.619980362086025
-1.11,-0.114,9.807,2.0,-1.1373608,-0.10698368,9.80789,-0.011639237,-0.0070163235,0.03711033,-0.0557387,0.0158353,0.9305512,2017-08-30 21:16:34,37.655447942769634
-1.149,-0.114,9.807,2.0,-1.1351777,-0.11369508,9.802441,-0.013822317,-3.0492246E-4,0.004559517,-0.05542503,0.016745448,0.92212427,2017-08-30 21:16:35,41.97590388645465
-1.11,-0.114,9.807,2.0,-1.1210561,-0.10070896,9.807207,0.011056066,-0.013291039,-2.0694733E-4,-0.05388516,0.018900806,0.9087498,2017-08-30 21:16:36,28.302427231538868
-1.11,-0.076,9.807,1.0,-1.122357,-0.107237905,9.791757,0.012356997,-0.006762095,0.01524353,-0.054177493,0.018622026,0.9089953,2017-08-30 21:16:37,36.112711665563694
-1.11,-0.114,9.807,1.0,-1.1336874,-0.10809848,9.825024,-0.015312672,-0.005901523,0.019976616,-0.05444883,0.018992038,0.90717113,2017-08-30 21:16:38,22.991843570224525
-1.11,-0.114,9.807,1.0,-1.1311166,-0.11088562,9.817651,-0.01788342,-0.00311438,-0.010650635,-0.054688726,0.018061869,0.9129117,2017-08-30 21:16:39,40.073652180041776
-1.149,-0.114,9.807,1.0,-1.1263846,-0.114645414,9.807046,0.016384602,6.45414E-4,-4.5776367E-5,-0.05433665,0.018617624,0.90682125,2017-08-30 21:16:40,34.52572211593466
-1.11,-0.114,9.807,1.0,-1.1274877,-0.11466371,9.793979,0.017487645,6.637126E-4,0.013021469,-0.05393091,0.020140862,0.8951111,2017-08-30 21:16:42,21.092116158873175
-1.149,-0.114,9.807,1.0,-1.1190974,-0.114057116,9.799408,0.009097338,5.711615E-5,0.0075922012,-0.05411461,0.018267773,0.9086719,2017-08-30 21:16:43,37.81806966490224
-1.11,-0.114,9.768,1.0,-1.1189278,-0.11295051,9.8069725,0.008927822,-0.0010494888,2.7656555E-5,-0.054613337,0.01651878,0.9217495,2017-08-30 21:16:44,36.49350596352818
-1.149,-0.114,9.807,1.0,-1.1409357,-0.11399476,9.799647,-0.008064389,-5.237758E-6,0.007352829,-0.055418845,0.017793816,0.91546464,2017-08-30 21:16:45,36.932872859161854
-1.11,-0.114,9.807,1.0,-1.1235656,-0.10400763,9.796189,-0.025434494,-0.0099923685,0.010810852,-0.05431196,0.018287338,0.912766,2017-08-30 21:16:46,48.004674862870296
-1.11,-0.114,9.807,1.0,-1.1272376,-0.1065679,9.8006935,-0.02176249,-0.007432103,0.0063066483,-0.05474224,0.017522087,0.9179669,2017-08-30 21:16:47,41.915972879138856
-1.11,-0.114,9.807,1.0,-1.1337483,-0.11395115,9.821799,0.023748279,-4.8853457E-5,-0.014799118,-0.05525081,0.016690185,0.92202187,2017-08-30 21:16:48,39.191734568403575
-1.11,-0.114,9.807,1.0,-1.1403403,-0.10679266,9.806472,-0.00865972,-0.0072073415,5.283356E-4,-0.055412125,0.017470134,0.91997963,2017-08-30 21:16:49,28.241137524915434
-1.149,-0.114,9.807,1.0,-1.1241398,-0.11290984,9.806381,-0.024860263,-0.0010901615,6.1893463E-4,-0.05429975,0.018363368,0.90903866,2017-08-30 21:16:50,34.055665343155276
-1.149,-0.114,9.807,1.0,-1.125611,-0.11398888,9.790183,-0.023389101,-1.1123717E-5,-0.022183418,-0.054900844,0.017071087,0.91860133,2017-08-30 21:16:51,30.45859287604296
-1.149,-0.114,9.807,1.0,-1.1302608,-0.108320534,9.802687,0.02026081,-0.005679466,0.004313469,-0.055136338,0.016754344,0.9231623,2017-08-30 21:16:52,31.997688322793042
-1.149,-0.114,9.807,1.0,-1.115449,-0.1153447,9.796739,-0.033551097,0.0013447031,0.010261536,-0.05405427,0.017942674,0.9101627,2017-08-30 21:16:53,20.42320891489171
-1.149,-0.114,9.807,1.0,-1.1224297,-0.11400223,9.829625,-0.02657032,2.2277236E-6,-0.02262497,-0.054162778,0.018098956,0.9100773,2017-08-30 21:16:54,28.045620107809302
-1.149,-0.114,9.807,1.0,-1.1364244,-0.112969436,9.806452,0.026424408,-0.0010305643,5.4836273E-4,-0.05460706,0.0193519,0.9033765,2017-08-30 21:16:55,46.20693531221923
-1.149,-0.114,9.768,1.0,-1.1314306,-0.11400402,9.792982,0.021430612,4.0233135E-6,0.014018059,-0.05437873,0.019498415,0.90122753,2017-08-30 21:16:56,43.02115434600063
-1.149,-0.114,9.768,1.0,-1.1410822,-0.113832876,9.799916,-0.007917881,0.03783288,-0.03191662,-0.05549757,0.017562859,0.9171847,2017-08-30 21:16:57,32.94996370018201
-1.11,-0.114,9.768,1.0,-1.1277276,-0.113404594,9.775624,0.017727613,-5.954057E-4,-0.007624626,-0.05524582,0.01658495,0.9226546,2017-08-30 21:16:58,41.07960965635186
-1.149,-0.114,9.807,1.0,-1.1338077,-0.10570211,9.779912,0.023807645,-0.00829789,0.027088165,-0.055504017,0.016568318,0.9259747,2017-08-30 21:16:59,24.156277871565656
-1.149,-0.114,9.768,1.0,-1.140503,-0.112502806,9.786777,0.030503035,-0.0014971942,0.020223618,-0.055809367,0.016691525,0.9237412,2017-08-30 21:17:01,19.230481119475943
-1.11,-0.114,9.768,1.0,-1.126743,-0.11098002,9.793364,-0.02225709,-0.003019981,-0.025363922,-0.054732304,0.017679978,0.91535294,2017-08-30 21:17:02,46.606637076357856
-1.149,-0.114,9.807,1.0,-1.1234256,-0.11465596,9.794926,-0.025574446,6.5595657E-4,-0.02692604,-0.054977465,0.016361065,0.923022,2017-08-30 21:17:03,40.15496732184687
-1.149,-0.114,9.807,1.0,-1.1262879,-0.114153564,9.774425,-0.022712111,-0.038846433,0.032575607,-0.05570661,0.014726558,0.9345297,2017-08-30 21:17:04,57.251775331976106
-1.149,-0.114,9.768,1.0,-1.1277137,-0.10684739,9.793163,-0.021286368,-0.0071526095,-0.02516365,-0.055213578,0.0162202,0.92705405,2017-08-30 21:17:05,47.64207461804262
-1.11,-0.114,9.768,1.0,-1.1326587,-0.115283735,9.774125,-0.016341329,0.001283735,0.03287506,-0.054977737,0.018312175,0.91034544,2017-08-30 21:17:06,47.40710402251061
-1.11,-0.114,9.807,1.0,-1.1273715,-0.11400218,9.788567,0.017371535,2.1830201E-6,-0.02056694,-0.054395165,0.018919718,0.9051525,2017-08-30 21:17:07,43.98556684438536
-1.149,-0.114,9.807,1.0,-1.1228265,-0.1151167,9.784703,-0.026173592,0.0011167005,-0.016703606,-0.054629568,0.017592106,0.9141315,2017-08-30 21:17:08,45.29334203311131
-1.149,-0.114,9.768,1.0,-1.1281563,-0.10838184,9.79282,-0.020843744,-0.0056181625,0.014180183,-0.054570343,0.018367019,0.91139615,2017-08-30 21:17:09,35.57328296318442
-1.149,-0.153,9.807,1.0,-1.1337258,-0.11394059,9.784585,0.023725748,-5.941093E-5,0.022415161,-0.054963097,0.018310547,0.91084915,2017-08-30 21:17:10,38.62455403981003
-1.149,-0.114,9.807,1.0,-1.1458647,-0.10149043,9.791618,0.03586471,-0.0125095695,-0.023618698,-0.054975975,0.01982243,0.905578,2017-08-30 21:17:11,51.56674537204803
-1.11,-0.114,9.807,1.0,-1.132246,-0.11392979,9.799653,0.022246003,-7.020682E-5,0.007347107,-0.05484504,0.01815034,0.9116134,2017-08-30 21:17:12,30.831325857487563
-1.11,-0.114,9.768,1.0,-1.1289831,-0.11902726,9.78392,-0.020016909,0.005027257,-0.015920639,-0.055192117,0.016912356,0.9185954,2017-08-30 21:17:13,32.522916034492525
-1.11,-0.153,9.768,1.0,-1.1226522,-0.11474514,9.787218,0.012652159,7.4514E-4,0.019782066,-0.054003663,0.019352669,0.90071017,2017-08-30 21:17:14,47.09647293119311
-1.149,-0.114,9.807,1.0,-1.1335925,-0.11376848,9.797291,0.023592472,-2.3151934E-4,-0.029291153,-0.054113097,0.020456158,0.8939063,2017-08-30 21:17:15,46.050276142904345
-1.149,-0.114,9.807,1.0,-1.1351641,-0.12747449,9.796339,-0.013835907,0.013474487,0.010661125,-0.05528667,0.017557768,0.91182435,2017-08-30 21:17:16,50.75159858187015
-1.11,-0.114,9.845,1.0,-1.1432681,-0.11410977,9.79264,0.033268094,1.09769404E-4,0.014360428,-0.056033995,0.016324138,0.9259766,2017-08-30 21:17:17,35.87518590877754
-1.11,-0.114,9.807,1.0,-1.1327828,-0.114000134,9.79797,0.022782803,1.3411045E-7,-0.029970169,-0.05555688,0.015971163,0.9270188,2017-08-30 21:17:18,51.21806000348655
-1.149,-0.114,9.807,1.0,-1.1322658,-0.12080379,9.798948,-0.016734242,0.04480379,0.008051872,-0.055532467,0.016069759,0.9241264,2017-08-30 21:17:20,51.19789091970099
-1.11,-0.114,9.807,1.0,-1.1245031,-0.11407295,9.793064,-0.024496913,7.2948635E-5,-0.025064468,-0.054323208,0.018608818,0.9069973,2017-08-30 21:17:21,48.99003247123559
-1.11,-0.114,9.807,1.0,-1.1237905,-0.11466188,9.803297,-0.025209546,6.618798E-4,0.0037031174,-0.0542933,0.018410778,0.9080455,2017-08-30 21:17:22,45.57703202511924
-1.149,-0.114,9.807,1.0,-1.1352943,-0.1140008,9.79987,0.025294304,7.972121E-7,0.007130623,-0.055082124,0.017913584,0.9137785,2017-08-30 21:17:23,53.40197494169842
-1.11,-0.114,9.807,1.0,-1.1228278,-0.11714849,9.798369,-0.02617228,0.0031484887,0.008630753,-0.054747686,0.016990153,0.9176453,2017-08-30 21:17:24,49.605903821313646
-1.11,-0.114,9.807,1.0,-1.1358714,-0.11682083,9.795223,0.025871396,0.002820827,0.011776924,-0.05558946,0.016521035,0.92283607,2017-08-30 21:17:25,46.27395433654887
-1.149,-0.153,9.768,2.0,-1.1146554,-0.11399867,9.796431,-0.034344673,-1.3336539E-6,-0.028430939,-0.054306336,0.017013816,0.9174002,2017-08-30 21:17:26,43.96063838874006
-1.149,-0.114,9.807,1.0,-1.123451,-0.12442379,9.788026,-0.025549054,0.010423787,0.018974304,-0.054759115,0.017388059,0.91248494,2017-08-30 21:17:27,44.32683380357752
-1.11,-0.114,9.807,1.0,-1.1494125,-0.11419023,9.806455,0.0394125,-0.03880977,5.455017E-4,-0.055098623,0.01992216,0.9006434,2017-08-30 21:17:28,39.97907426823963
-1.149,-0.114,9.807,1.0,-1.1339717,-0.12128044,9.815493,0.023971677,0.007280439,-0.00849247,-0.05477299,0.018466942,0.90672344,2017-08-30 21:17:29,35.38782182785283
-1.11,-0.114,9.807,1.0,-1.1265839,-0.12011208,9.80393,-0.022416115,0.0061120763,0.0030698776,-0.05448057,0.01837067,0.9068625,2017-08-30 21:17:30,50.69640748896485
-1.149,-0.114,9.768,1.0,-1.1317195,-0.10843493,9.78601,-0.017280579,-0.0055650696,0.020990372,-0.05443679,0.019418774,0.90401334,2017-08-30 21:17:31,52.057529259332284
-1.149,-0.114,9.768,2.0,-1.1419537,-0.113956735,9.807108,-0.007046342,-4.326552E-5,-1.077652E-4,-0.055174973,0.018557096,0.9099435,2017-08-30 21:17:32,35.78602168204176
-1.149,-0.114,9.768,2.0,-1.123472,-0.11425002,9.799618,-0.025528073,-0.038749978,-0.03161812,-0.054484263,0.017849417,0.9124308,2017-08-30 21:17:33,37.65153053835932
-1.149,-0.153,9.807,2.0,-1.1300817,-0.11387775,9.790242,0.02008164,-1.2224913E-4,0.016757965,-0.055367734,0.0162981,0.9246113,2017-08-30 21:17:34,49.03376520444721
-1.149,-0.114,9.807,1.0,-1.1319155,-0.13035962,9.78986,-0.017084599,0.01635962,0.017140388,-0.05563193,0.01604563,0.92126817,2017-08-30 21:17:35,45.59496546444764
-1.11,-0.114,9.807,1.0,-1.1490966,-0.11416356,9.788202,9.6559525E-5,1.635626E-4,0.018797874,-0.055432558,0.019255407,0.9059969,2017-08-30 21:17:36,51.501838285423915
-1.149,-0.114,9.807,1.0,-1.1399394,-0.1170259,9.800455,-0.009060621,-0.0359741,0.006545067,-0.05527966,0.018094428,0.91209096,2017-08-30 21:17:37,41.70307649281619
-1.149,-0.114,9.807,1.0,-1.132187,-0.10906928,9.806972,0.022186995,-0.0049307197,2.861023E-5,-0.05437777,0.019299854,0.9044833,2017-08-30 21:17:39,47.70466268888789
-1.11,-0.114,9.768,1.0,-1.1367142,-0.113996014,9.798723,-0.012285829,-3.9860606E-6,0.008276939,-0.054271065,0.020459436,0.89433837,2017-08-30 21:17:40,50.67309530885283
-1.11,-0.114,9.807,1.0,-1.1381356,-0.12048531,9.8072405,-0.010864496,0.006485313,-2.4032593E-4,-0.054956455,0.018710237,0.9059223,2017-08-30 21:17:41,39.22219594265057
-1.149,-0.114,9.807,1.0,-1.1336907,-0.11636504,9.801899,-0.015309334,0.0023650378,0.005101204,-0.055007137,0.017884446,0.9129192,2017-08-30 21:17:42,21.429964927154934
-1.149,-0.153,9.807,1.0,-1.1370269,-0.116869636,9.806938,-0.011973143,0.0028696358,6.198883E-5,-0.05474292,0.019108197,0.9039746,2017-08-30 21:17:43,18.30843564462583
-1.149,-0.114,9.807,1.0,-1.1420621,-0.113750234,9.798269,-0.0069379807,-2.497658E-4,0.008730888,-0.054961473,0.01935036,0.90414983,2017-08-30 21:17:44,19.23516217617571
-1.149,-0.114,9.807,1.0,-1.142754,-0.12165516,9.787068,-0.00624609,0.0076551586,0.019931793,-0.055455133,0.018342258,0.9092835,2017-08-30 21:17:45,39.86256237172554
-1.11,-0.114,9.807,1.0,-1.1228433,-0.122021645,9.783572,-0.026156783,0.008021645,0.023427963,-0.054241404,0.018888582,0.9018323,2017-08-30 21:17:46,37.57382126176326
-1.149,-0.114,9.807,1.0,-1.1232021,-0.12569013,9.786628,-0.025797963,0.011690132,0.02037239,-0.054435283,0.01838567,0.90445995,2017-08-30 21:17:47,36.622298094667
-1.11,-0.114,9.768,1.0,-1.1221085,-0.114622556,9.802303,-0.02689159,-0.03837744,0.004696846,-0.054093953,0.018751604,0.9051858,2017-08-30 21:17:48,40.62846562835101
-1.149,-0.114,9.768,1.0,-1.1275947,-0.12069211,9.797635,0.017594695,0.0066921115,0.009365082,-0.054823026,0.017618768,0.91255474,2017-08-30 21:17:49,41.77515152717746
-1.11,-0.114,9.768,1.0,-1.1351614,-0.115109764,9.78222,-0.013838649,0.001109764,-0.014220238,-0.055332333,0.017468855,0.9168213,2017-08-30 21:17:50,47.007279890647666
-1.149,-0.114,9.807,1.0,-1.1261543,-0.124474086,9.805035,0.01615429,-0.028525911,0.03996563,-0.054773536,0.017464163,0.9120923,2017-08-30 21:17:51,51.72208136098633
-1.149,-0.114,9.807,1.0,-1.1244681,-0.11387496,9.807902,-0.02453196,-1.250431E-4,-0.039902687,-0.053946238,0.01941417,0.90053487,2017-08-30 21:17:52,40.40943738775991
-1.11,-0.114,9.807,1.0,-1.1435853,-0.114702575,9.796583,0.03358531,7.0257485E-4,0.010416985,-0.05481732,0.020021765,0.89884394,2017-08-30 21:17:53,28.42284938162424
