ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
3.922,0.039,9.453,-0.3490448,-0.017440796,0.24432373,338.0,4.5799103,1.1862183,9.10379,-0.43562317,-1.4353027,0.10954285,0.23936462,0.009841919,0.92541504,2017-10-28 10:38:27,51.76585952745489
2.618,-0.451,10.199,-0.06980896,0.052352905,-0.052352905,360.0,2.6345978,-0.30821228,9.948807,-0.07702637,-0.12423706,-0.091156006,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:29,54.727529164333006
2.677,0.029,10.111,0.0,-0.20942688,-0.06980896,372.0,2.6633148,0.07676697,9.9253235,-0.04788208,0.04776001,0.028411865,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:30,53.24829303542713
3.079,-0.294,10.042,0.0,0.10470581,0.03489685,371.0,2.9063873,-0.33918762,9.861465,-0.31939697,0.060684204,0.06285095,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:31,72.79627943209894
2.167,-0.225,11.17,0.19197083,-0.03489685,0.087249756,401.0,2.2738495,-0.292984,9.98172,0.2258606,-0.16790771,0.37605286,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:32,53.926454613586984
3.452,-0.99,9.64,-0.03489685,0.31414795,-0.06980896,386.0,2.4535675,-0.16972351,9.9882965,-0.02053833,-0.63734436,0.74409485,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:33,51.16686916384792
2.608,-0.441,10.405,0.06980896,-0.122161865,0.0,375.0,2.41687,-0.49041748,9.960129,-0.023071289,0.0393219,0.3397827,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:34,55.08845398794162
3.118,-0.147,9.983,0.087249756,0.017440796,0.06980896,366.0,3.0151978,-0.3361206,9.794296,0.023864746,0.16351318,-0.03276062,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:35,72.92290461050511
3.128,-0.186,10.012,0.0,0.0,0.06980896,360.0,3.068039,-0.1395874,9.776001,-0.028961182,-0.042800903,0.023773193,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:36,73.36879454540514
3.148,-0.137,10.003,0.0,0.0,-0.017440796,352.0,3.0729523,-0.17063904,9.793823,0.062210083,0.10395813,-0.061706543,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:37,76.19606154958645
2.951,-0.245,9.885,0.0,-0.03489685,0.017440796,368.0,2.6786804,-0.27459717,9.914734,0.2731018,0.06375122,-0.3944397,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:38,71.66773581298006
2.765,-0.117,10.111,0.0,0.0,-0.017440796,351.0,2.6504974,-0.19537354,9.924652,0.0708313,-0.005645752,-0.03857422,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:39,70.14774366130843
2.932,-0.254,10.032,-0.017440796,0.0,-0.017440796,356.0,2.8465881,-0.22549438,9.869476,-7.019043E-4,0.004852295,-0.041244507,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:40,70.2194764213827
2.942,-0.049,10.13,0.0,0.0,0.06980896,361.0,2.9670868,-0.10240173,9.813843,-0.033920288,0.08377075,0.02418518,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:41,68.57076881908208
2.961,-0.166,10.042,0.0,0.0,0.06980896,358.0,2.979126,-0.10194397,9.81514,-0.037124634,-0.05102539,-0.06341553,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:42,75.3357302091956
3.03,-0.196,9.934,0.017440796,0.0,0.052352905,348.0,2.8449554,-0.08758545,9.861755,0.040145874,-0.027145386,0.08216858,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:43,75.67206831469635
3.099,-0.019,10.081,0.0,0.0,-0.03489685,349.0,3.050354,-0.04385376,9.795227,-0.0024414063,0.03503418,0.042800903,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:44,72.19317071283393
3.049,-0.068,10.12,0.0,0.0,0.03489685,346.0,3.0303345,-0.02909851,9.788422,0.008743286,-0.066986084,0.011352539,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:45,69.56361828128829
2.951,0.058,9.973,0.0,0.0,0.0,355.0,2.9302979,-0.021148682,9.822861,-0.036361694,-0.0072784424,0.015167236,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:46,61.78567760855578
2.785,0.068,10.071,0.0,0.0,-0.087249756,354.0,2.7303314,0.0899353,9.876892,0.029251099,0.006149292,0.05722046,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:47,75.18521755546718
2.873,0.156,10.022,0.03489685,0.0,0.06980896,347.0,2.7915802,0.032943726,9.874619,0.025848389,0.120025635,-0.046401978,0.16682434,-0.049621582,0.9566498,2017-10-28 10:38:48,73.1019868364826
