ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
8.429408,-1.068028,4.47902,-0.7412806,2.5992174,-0.57824004,16.0,8.221352,-0.3191542,5.3364706,-1.3825288,0.55990577,0.065698504,-0.47738677,0.0041974345,-0.8782877,2016-12-05 14:04:41,60.453734452411666
5.4513683,-1.9566561,8.998704,0.03346737,-0.6244185,0.17451195,20.0,4.492194,-1.7387241,8.542097,-0.7104063,0.22630394,-0.20783962,-0.2410066,0.07993807,-0.9660634,2016-12-05 14:04:42,67.3943038695268
6.514612,-1.766492,8.128016,0.087235376,-0.1844985,-0.033228032,18.0,5.7681026,-2.0442088,7.6629357,-0.77521396,-0.24781668,-0.5129209,-0.31553864,0.09866282,-0.9431047,2016-12-05 14:04:43,78.1572468191147
7.21188,-1.792804,7.39726,-0.07651263,-0.008530498,-0.06255603,16.0,6.5710535,-2.0844493,6.974721,-0.79271865,-0.29044938,-0.48831955,-0.3661361,0.10164947,-0.9243812,2016-12-05 14:04:44,68.61455478787474
8.3002405,-0.558532,5.7300363,-0.8072686,0.0036894977,9.879693E-4,15.0,7.757183,-1.3981711,5.8345203,-0.6040537,-0.8372471,0.1140525,-0.44681957,0.053614892,-0.8914672,2016-12-05 14:04:45,66.84510493647284
8.20456,-1.789216,6.644976,0.37318337,-0.6732985,-0.44626403,13.0,7.185999,-2.3070004,6.2617545,-1.5292531,-1.5343843,-1.5828093,-0.41177732,0.105730094,-0.9035386,2016-12-05 14:04:46,79.646484775879
9.582353,-1.724632,4.0699883,-7.486306E-4,-0.0011985004,0.0034319684,10.0,8.73725,-2.3866012,3.7596536,-0.6023142,-0.6512052,-0.68946636,-0.54467124,0.107908756,-0.82957935,2016-12-05 14:04:47,75.75467231996139
9.283352,-1.703104,4.573504,-6.7038834E-4,0.0012545884,9.2212856E-4,9.0,8.651099,-2.2063699,4.0571933,-0.67052495,-0.49967796,-0.5007631,-0.534172,0.08832347,-0.83765274,2016-12-05 14:04:48,80.6154455782601
9.320428,-1.6959281,4.565132,-5.5802613E-4,0.0011614859,0.0032590106,16.0,8.646473,-2.143227,4.1006703,-0.676348,-0.44012293,-0.43575758,-0.5332604,0.08097782,-0.8384843,2016-12-05 14:04:49,69.80944741333752
9.309664,-1.693536,4.523272,0.0019853376,0.0011029989,6.7327917E-4,16.0,8.653479,-2.0110712,4.152507,-0.66694945,-0.3187313,-0.38152942,-0.5318139,0.0738586,-0.84019345,2016-12-05 14:04:50,77.71731764511694
9.312057,-1.7007121,4.549584,-4.3018535E-4,9.576529E-4,5.3843856E-4,15.0,8.661427,-1.8908676,4.192216,-0.660197,-0.18656756,-0.3489961,-0.53083646,0.06685118,-0.84143984,2016-12-05 14:04:51,76.47451375927547
9.395776,-1.7377881,4.5448003,-4.2770803E-4,-0.00144656,4.5778602E-4,18.0,8.664255,-1.8386227,4.20958,-0.6777011,-0.13910657,-0.3519643,-0.53046036,0.06311147,-0.8418834,2016-12-05 14:04:52,71.38513660922878
9.31684,-1.6791841,4.56872,0.0020930767,9.777546E-4,-0.0020056143,18.0,8.666777,-1.8007417,4.220749,-0.656044,-0.10481369,-0.31209114,-0.53025246,0.060283568,-0.8421441,2016-12-05 14:04:53,80.02505212559582
9.347937,-1.69832,4.523272,-2.4170056E-4,-0.0015111864,0.0027738959,12.0,8.672168,-1.7525872,4.2299337,-0.6040087,-0.07699118,-0.36270636,-0.53011537,0.057542328,-0.8424486,2016-12-05 14:04:54,78.5310797059414
9.327604,-1.7007121,4.560348,-1.6913936E-4,9.6318126E-4,2.1313131E-4,14.0,8.671943,-1.7466019,4.2328696,-0.61738956,-0.026754005,-0.35618252,-0.530115,0.05623001,-0.8423974,2016-12-05 14:04:55,75.28472003990308
9.362288,-1.69832,4.516096,-0.0025420673,0.005851537,-0.0023326352,13.0,8.668588,-1.7455999,4.240152,-0.6243325,-0.055651747,-0.32019642,-0.5298343,0.055571206,-0.8425258,2016-12-05 14:04:56,79.64436456737721
9.363484,-1.693536,4.516096,-1.8212944E-5,-0.0063842386,0.0024776235,13.0,8.668566,-1.7369071,4.243763,-0.6147861,-0.027823096,-0.36681673,-0.5297769,0.05444998,-0.84254444,2016-12-05 14:04:58,77.61082059926818
9.313252,-1.7007121,4.563936,6.489456E-5,-0.0015338361,-9.11206E-5,13.0,8.6643095,-1.7409863,4.2507777,-0.6262188,-0.03788228,-0.3167463,-0.52949154,0.05393911,-0.84263724,2016-12-05 14:04:59,66.62470679588166
9.353916,-1.688752,4.5388203,-0.0022859015,-0.0014751852,-1.5798211E-4,13.0,8.668835,-1.7289909,4.2464437,-0.6252812,-0.036650985,-0.32586423,-0.5298249,0.052699193,-0.84242934,2016-12-05 14:05:00,68.79541998005149
9.309664,-1.7054961,4.578288,-0.0022912547,9.4783306E-4,-2.007708E-4,13.0,8.673176,-1.7025583,4.2482576,-0.6592121,-0.006630232,-0.2941501,-0.5298467,0.05159024,-0.8425619,2016-12-05 14:05:01,79.09930961299237
9.31684,-1.6959281,4.551976,2.6663393E-4,-0.001508519,0.0021790043,13.0,8.676369,-1.6843659,4.248992,-0.64405954,0.019934097,-0.3101602,-0.52984846,0.051208563,-0.84269565,2016-12-05 14:05:02,79.57734242941112
9.34076,-1.69832,4.547192,0.002762545,9.5295906E-4,-3.7789345E-4,13.0,8.675985,-1.6823554,4.250574,-0.654011,0.015964609,-0.29063803,-0.52978987,0.051027525,-0.842734,2016-12-05 14:05:03,77.90128348926997
9.312057,-1.7043,4.614168,3.518276E-4,0.0010143816,-4.9390644E-4,12.0,8.6805525,-1.6595103,4.2502265,-0.63509125,0.031633742,-0.31610155,-0.52990276,0.050018694,-0.8427822,2016-12-05 14:05:04,76.73222416174555
9.322821,-1.6851641,4.567524,0.0028475076,0.0034843534,0.0018359497,13.0,8.67866,-1.6638986,4.252376,-0.66329616,0.03920549,-0.29362026,-0.5297758,0.050267477,-0.8428434,2016-12-05 14:05:05,78.99653148421861
9.296508,-1.697124,4.578288,4.6341494E-4,0.0010586828,0.0017720237,12.0,8.678376,-1.6663325,4.2520003,-0.68989193,0.042751495,-0.29638767,-0.52980065,0.050195467,-0.8427987,2016-12-05 14:05:06,75.18278208901701
9.294116,-1.7043,4.584268,-0.0019354336,0.0010593534,-7.337779E-4,13.0,8.679941,-1.6480504,4.2559323,-0.62972295,0.026349662,-0.35704002,-0.5297048,0.049200524,-0.84293437,2016-12-05 14:05:07,76.40233125484568
9.314448,-1.6959281,4.603404,5.173348E-4,0.0059695244,-8.5213035E-4,12.0,8.683241,-1.6213096,4.2594714,-0.5845634,0.0686385,-0.3080527,-0.5296356,0.0480996,-0.8431199,2016-12-05 14:05:08,69.90467213992943
9.307272,-1.69234,4.5878563,5.627461E-4,0.0010612309,0.0014102459,13.0,8.680028,-1.6214087,4.2659755,-0.64757603,0.07691139,-0.30633274,-0.5293205,0.04812149,-0.84331614,2016-12-05 14:05:09,69.72966714831304
9.327604,-1.703104,4.563936,0.0030910708,0.0010893792,-0.0011729524,13.0,8.681365,-1.6209195,4.2634416,-0.63906246,0.08218466,-0.3076707,-0.52945536,0.04798008,-0.84322387,2016-12-05 14:05:10,76.83476645260957
9.326408,-1.6851641,4.584268,-0.0017139167,0.0010268241,0.0010914952,13.0,8.679748,-1.6230966,4.2659044,-0.5892524,0.066851474,-0.3566355,-0.5293572,0.04775361,-0.843243,2016-12-05 14:05:11,72.46235728409101
9.290528,-1.7007121,4.589052,-0.0016281679,-0.0014105886,9.6181035E-4,12.0,8.682018,-1.6180712,4.2631884,-0.6455857,0.08981676,-0.31868806,-0.52951694,0.047430735,-0.84315956,2016-12-05 14:05:12,69.71787853976329
9.297704,-1.706692,4.589052,-0.0015253127,-0.0014182031,0.0032792091,12.0,8.687745,-1.6114622,4.254018,-0.6099591,0.07968173,-0.32785863,-0.5299209,0.04784685,-0.8430093,2016-12-05 14:05:13,66.67580560315719
9.297704,-1.69832,4.597424,9.947009E-4,-0.0014512986,0.0031531453,13.0,8.702998,-1.5973624,4.228078,-0.6018816,0.10932956,-0.3561904,-0.531211,0.04735921,-0.84229046,2016-12-05 14:05:14,75.95028278892778
