ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
7.285556,-0.47225627,6.7785835,2.663161E-4,-0.018109497,-0.002396845,22.7738,7.1649747,-0.46884027,6.6793447,0.107412815,-0.018379778,0.119589806,-0.05692,-0.395232,-0.071157,41.705566,27.452187,2017-05-12 21:19:02,-Infinity
7.2867527,-0.49440265,6.7767878,0.0,-0.018109497,-0.002396845,22.7738,7.1541967,-0.47192702,6.6906695,0.13255596,-0.02247563,0.08611822,0.011185,-0.398429,0.086024,41.99639,27.392326,2017-05-12 21:19:03,38.190237868442146
7.270592,-0.47644615,6.7600284,0.0013315806,-0.018642128,-0.004261058,22.7148,7.159192,-0.47159016,6.6853466,0.122173786,-0.0054545403,0.11957312,0.007701,-0.398852,0.077925,41.99639,27.392326,2017-05-12 21:19:04,56.979781219480266
7.269395,-0.492607,6.7743936,0.0015978967,-0.016777916,-0.00479369,22.7272,7.1593184,-0.46720356,6.6855183,0.10349226,-0.017023742,0.11221886,0.007954,-0.398836,0.077947,41.99639,27.392326,2017-05-12 21:19:05,76.05590545690534
7.2789717,-0.4770447,6.815694,0.0015978967,-0.019707393,-0.0039947415,22.7272,7.1602902,-0.47419184,6.6839876,0.101323605,-0.0052470565,0.111953735,0.009709,-0.398895,0.082837,41.99639,27.391708,2017-05-12 21:19:06,69.92836270081658
7.265804,-0.47105917,6.7947445,-2.663161E-4,-0.01784318,-0.004261058,22.7738,7.1613874,-0.4754889,6.6827207,0.10860586,0.008021027,0.0868845,0.012444,-0.3989,0.089243,41.99639,27.391708,2017-05-12 21:19:07,74.75234939326361
7.267599,-0.47105917,6.7684083,-2.663161E-4,-0.019707393,-0.0026631611,22.7272,7.1599536,-0.4714147,6.684542,0.11482811,-0.017601013,0.09463978,0.016773,-0.398625,0.098655,41.997616,27.304495,2017-05-12 21:19:09,75.0924684183276
7.257424,-0.48003745,6.794146,5.326322E-4,-0.01917476,-0.0039947415,22.7738,7.159049,-0.46780875,6.6857686,0.11992264,0.012311876,0.09341335,0.018609,-0.398465,0.102416,41.997616,27.304495,2017-05-12 21:19:10,67.69074296286814
7.2981253,-0.46686932,6.8067155,0.0015978967,-0.019441076,-0.004527374,22.7738,7.1576705,-0.4731129,6.6868687,0.08957815,-0.0045303404,0.09889746,0.020786,-0.398287,0.108089,41.997616,27.304495,2017-05-12 21:19:11,73.71232988023823
7.2711906,-0.46806642,6.7983356,-2.663161E-4,-0.020772656,-0.0039947415,22.7614,7.155732,-0.4701739,6.6891494,0.11725426,-0.008666456,0.097215176,0.020064,-0.398178,0.106106,41.997616,27.188385,2017-05-12 21:19:12,72.54202791929248
7.2789717,-0.46387658,6.7845693,2.663161E-4,-0.018642128,-0.0029294773,22.7148,7.155845,-0.47387746,6.688768,0.11474705,-0.01094839,0.088618755,0.020407,-0.398185,0.107355,41.997616,27.188385,2017-05-12 21:19:13,74.28876843057446
7.281366,-0.48482585,6.7522473,0.0015978967,-0.018109497,-0.0018642128,22.7148,7.1635046,-0.46816975,6.6809654,0.103496075,-0.0214445,0.1095891,0.021662,-0.398618,0.109351,41.997616,27.188385,2017-05-12 21:19:14,73.38343379652385
7.277176,-0.4830302,6.803723,0.0,-0.017576864,-0.0037284256,22.7738,7.156682,-0.47172594,6.6880245,0.14144325,0.008447915,0.07798958,0.016587,-0.39841,0.098328,41.997616,27.188385,2017-05-12 21:19:15,73.31168951947303
7.2580223,-0.46926352,6.770204,-5.326322E-4,-0.019973708,-0.0039947415,22.7148,7.160341,-0.475253,6.683861,0.124017715,-5.9461594E-4,0.11567211,0.011164,-0.398865,0.086301,41.997616,27.188385,2017-05-12 21:19:16,75.71072561299454
7.2604165,-0.47644615,6.795343,2.663161E-4,-0.019707393,-0.0029294773,22.7614,7.159534,-0.47359315,6.6848392,0.12542343,-0.0016559064,0.08596325,0.008221,-0.398874,0.079365,41.997616,27.188385,2017-05-12 21:19:17,71.69123821800346
7.2670007,-0.4842273,6.7869635,2.663161E-4,-0.01917476,-0.004527374,22.7738,7.158146,-0.4721693,6.6864243,0.1357894,-0.009065241,0.09694767,0.00877,-0.398761,0.080462,41.997616,27.10449,2017-05-12 21:19:18,57.297872457324914
7.27957,-0.46986207,6.809708,0.0,-0.020506341,-0.002130529,22.7738,7.16262,-0.47859973,6.6811795,0.10378218,0.0051463544,0.09620714,0.010168,-0.399063,0.08441,41.997616,27.10449,2017-05-12 21:19:19,72.52289031098752
7.2687964,-0.47285482,6.7785835,-2.663161E-4,-0.018109497,-0.002396845,22.7272,7.160293,-0.47101945,6.6842117,0.09832811,-0.016799152,0.08180237,0.012968,-0.398788,0.089895,41.997616,27.10449,2017-05-12 21:19:20,66.02933006513305
7.277176,-0.46447513,6.7624226,0.0,-0.019707393,-0.0029294773,22.7272,7.156663,-0.47399268,6.6878867,0.10076094,0.019692898,0.10266781,0.015255,-0.398472,0.095566,42.091652,27.107054,2017-05-12 21:19:21,54.43383265808375
7.2699933,-0.4794389,6.779182,0.0,-0.018109497,-0.0029294773,22.7272,7.1528964,-0.46753082,6.69237,0.1218853,-0.013703734,0.092199326,0.019105,-0.398019,0.103633,42.091652,27.107054,2017-05-12 21:19:22,52.87662114835086
7.271789,-0.5033809,6.7959414,-0.0013315806,-0.020240024,-0.0053263223,23.1804,7.158413,-0.47264418,6.68611,0.10320091,-0.030138165,0.09007931,0.020352,-0.398358,0.107023,42.091652,27.107054,2017-05-12 21:19:23,68.68595418091351
7.275979,-0.49679685,6.8132997,-0.0013315806,-0.019707393,-0.002130529,23.1804,7.1624217,-0.4675362,6.682171,0.10637474,-0.017289639,0.08743429,0.021158,-0.398568,0.108142,42.091652,26.964638,2017-05-12 21:19:24,61.14813288897642
7.271789,-0.47465047,6.7809777,5.326322E-4,-0.021038974,-0.0031957934,22.7148,7.1598034,-0.47173128,6.684688,0.11078882,-0.009503275,0.096888065,0.019734,-0.39848,0.105468,42.091652,26.964638,2017-05-12 21:19:25,74.79912458140939
7.269395,-0.4938041,6.7869635,2.663161E-4,-0.019707393,-0.002130529,22.7148,7.1610274,-0.47478318,6.6831512,0.08801699,-0.004655719,0.09004545,0.019043,-0.398612,0.104249,42.091652,26.964638,2017-05-12 21:19:26,62.69875177999857
7.256227,-0.46507367,6.7869635,-2.663161E-4,-0.019973708,-0.0029294773,22.7738,7.1562586,-0.47239524,6.6884327,0.11253786,-0.029190004,0.084764004,0.015797,-0.398416,0.096612,42.368267,26.997112,2017-05-12 21:19:27,73.46352865306423
7.2741833,-0.4758476,6.809708,2.663161E-4,-0.017310547,-0.002396845,22.7738,7.158356,-0.47122133,6.686271,0.12959385,-0.011210322,0.07196188,0.01182,-0.398692,0.087324,42.368267,26.997112,2017-05-12 21:19:28,72.50295792185511
7.277775,-0.47884035,6.806117,0.0018642128,-0.019441076,-0.002396845,22.7738,7.1596246,-0.47077334,6.684942,0.10378504,0.0056996644,0.13135052,0.009791,-0.398832,0.082602,42.368267,26.997112,2017-05-12 21:19:29,65.41297554864278
7.2634096,-0.49081135,6.7929487,2.663161E-4,-0.01917476,-0.0034621095,22.7738,7.156055,-0.4774152,6.688287,0.1157341,-0.0038193464,0.10406351,0.009423,-0.398627,0.082653,42.368267,26.997112,2017-05-12 21:19:30,57.06847208828439
7.265205,-0.48123455,6.8079123,2.663161E-4,-0.020240024,-0.0029294773,22.7272,7.1542683,-0.47173634,6.690606,0.12410498,-0.0065054595,0.09037161,0.010641,-0.398448,0.084752,42.368267,26.997112,2017-05-12 21:19:31,38.44730026367567
7.28795,-0.47285482,6.777985,7.9894834E-4,-0.020772656,-0.0015978967,22.7148,7.156143,-0.477454,6.688199,0.109660625,-0.009167492,0.088588715,0.012242,-0.398556,0.089114,42.368267,26.997112,2017-05-12 21:19:32,74.79051616652296
7.2550297,-0.48482585,6.773795,-0.0010652645,-0.019973708,-0.0026631611,22.7272,7.16198,-0.4661095,6.6827407,0.10442209,-0.00195691,0.08626604,0.016657,-0.398745,0.097684,42.368267,26.997112,2017-05-12 21:19:33,65.94797006841453
7.2729864,-0.47405192,6.7965403,-2.663161E-4,-0.019707393,-0.0013315806,22.7738,7.1571374,-0.46900767,6.6877327,0.12003851,-0.021803677,0.10102606,0.019352,-0.398304,0.104303,42.368267,26.997112,2017-05-12 21:19:34,48.48271142646912
7.264008,-0.46387658,6.8067155,0.002130529,-0.020506341,-0.002396845,22.7272,7.1627197,-0.4725782,6.6814976,0.10607672,-0.010452002,0.10367012,0.019957,-0.398673,0.106027,42.368267,26.997112,2017-05-12 21:19:35,36.9543296885862
7.2610154,-0.47105917,6.7624226,-0.0010652645,-0.020240024,-0.002396845,22.7738,7.1565113,-0.47442123,6.6880136,0.10210991,0.013537407,0.0935626,0.021662,-0.398167,0.11028,42.02402,26.981346,2017-05-12 21:19:36,68.99504496025011
7.2490444,-0.480636,6.785766,2.663161E-4,-0.019973708,-0.005060006,22.7148,7.1552467,-0.4751576,6.6893144,0.11953497,-0.01445666,0.12937212,0.021249,-0.398106,0.109454,42.02402,26.981346,2017-05-12 21:19:37,54.347909741066815
7.2807674,-0.49919105,6.7923503,5.326322E-4,-0.019441076,-0.002130529,22.7272,7.158847,-0.47225344,6.6856737,0.11294222,-0.014368057,0.082734585,0.020603,-0.398373,0.107539,42.02402,26.981346,2017-05-12 21:19:38,51.01133724051234
7.265804,-0.47644615,6.8228765,0.0010652645,-0.019707393,-0.0018642128,22.7148,7.158537,-0.47667,6.685691,0.11265373,-0.0039660037,0.102469444,0.020984,-0.398352,0.108972,42.151897,26.956774,2017-05-12 21:19:39,72.7845708958092
7.270592,-0.48362875,6.801927,0.0,-0.02130529,-0.0026631611,22.7614,7.155612,-0.47082457,6.689234,0.11797285,-0.006818682,0.09533548,0.014364,-0.398419,0.093144,42.151897,26.956774,2017-05-12 21:19:40,52.220554788659754
7.2753806,-0.49081135,6.7863646,-2.663161E-4,-0.020772656,-0.0037284256,22.7272,7.154589,-0.47521916,6.690015,0.123185635,-0.0012269914,0.095152855,0.010929,-0.398478,0.085848,42.151897,26.956774,2017-05-12 21:19:41,73.51956814938276
7.2711906,-0.49679685,6.758233,-2.663161E-4,-0.019973708,-0.0037284256,22.7738,7.15759,-0.47331485,6.6869464,0.13574696,-0.016897947,0.11617756,0.009412,-0.398713,0.082086,42.1727,26.956774,2017-05-12 21:19:42,66.27864689635643
7.2634096,-0.480636,6.8007298,7.9894834E-4,-0.020772656,-0.0031957934,22.7272,7.1568575,-0.4680558,6.6880937,0.12151575,-0.008988887,0.085103035,0.010478,-0.398613,0.083873,42.1727,26.956774,2017-05-12 21:19:43,56.993762686511715
7.277176,-0.47764325,6.805518,0.0015978967,-0.020506341,-0.0039947415,22.7272,7.15553,-0.47107986,6.6893015,0.1090765,-0.010753244,0.11801243,0.012027,-0.398492,0.087825,42.1727,26.956774,2017-05-12 21:19:44,63.107836623889625
7.275979,-0.47105917,6.75524,-7.9894834E-4,-0.022370555,-0.004261058,22.7272,7.1589923,-0.4720971,6.6855283,0.106212616,0.0016364753,0.102033615,0.015665,-0.398607,0.096224,42.1727,26.73435,2017-05-12 21:19:45,74.62472022824986
7.2646065,-0.47105917,6.7761893,7.9894834E-4,-0.017576864,-0.00479369,22.7738,7.157058,-0.47092664,6.687682,0.12251234,-0.013300657,0.088507175,0.017946,-0.398373,0.10133,42.1727,26.73435,2017-05-12 21:19:46,67.75221866576503
7.293337,-0.47105917,6.794146,2.663161E-4,-0.01917476,-0.002396845,22.7272,7.153687,-0.4753821,6.6909714,0.12767887,-0.0028597116,0.08641529,0.02019,-0.398055,0.107091,42.1727,26.73435,2017-05-12 21:19:47,45.930781486299786
7.2568254,-0.5009867,6.795343,7.9894834E-4,-0.019707393,-0.0029294773,22.7738,7.161229,-0.4722953,6.6831136,0.11774254,-0.008340687,0.075717926,0.022819,-0.398416,0.112559,42.34824,26.741299,2017-05-12 21:19:48,72.238021161335
7.27957,-0.47345337,6.8067155,0.002130529,-0.020506341,-0.002130529,22.7738,7.160803,-0.46959957,6.6837635,0.09183264,-0.014627725,0.13193035,0.023121,-0.398357,0.112919,42.34824,26.741299,2017-05-12 21:19:49,72.39364294201667
7.2687964,-0.4842273,6.770204,0.0,-0.020772656,-0.004261058,22.7738,7.153313,-0.4710672,6.691671,0.113089085,-0.0035832822,0.08990526,0.02391,-0.397804,0.115066,42.34824,26.741299,2017-05-12 21:19:50,54.3567512784543
7.2789717,-0.48243165,6.805518,7.9894834E-4,-0.02130529,-0.0031957934,22.7738,7.1543193,-0.47126552,6.690585,0.09891462,0.00499475,0.12271452,0.021778,-0.397996,0.110193,42.34824,26.741299,2017-05-12 21:19:51,72.23914709867978
7.268198,-0.48243165,6.7881603,2.663161E-4,-0.02130529,-0.0026631611,22.7738,7.158093,-0.47061715,6.686588,0.10531664,0.00733912,0.09558725,0.01518,-0.398558,0.094943,42.34824,26.741299,2017-05-12 21:19:52,58.15302826739937
7.2544312,-0.48482585,6.805518,2.663161E-4,-0.021038974,-0.002130529,22.7272,7.1530666,-0.4687385,6.6921053,0.11812401,-0.0053134263,0.10682917,0.011678,-0.398323,0.086768,42.34824,26.741299,2017-05-12 21:19:53,56.137809595877435
