ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.255249,6.080124,7.884552,0.0,-1.3631475,6.142738,7.5219007,0.63716626,-0.24825191,-0.39357233,0.21614517,-0.26414216,-0.8391264,2017-05-21 23:40:28,35.11455119292447
0.05883789,6.962723,7.001953,1.0,-0.0069469735,6.716543,7.145515,0.18540186,0.18658495,0.12545252,0.16238748,-0.3306213,-0.834892,2017-05-21 23:40:29,46.359337359916715
0.3334198,6.001663,8.061066,0.0,0.8512806,6.09846,7.632463,0.09175968,-0.07193565,-0.08275843,0.06972499,-0.32556278,-0.8858833,2017-05-21 23:40:30,58.237466649159245
1.4513855,6.0997314,7.9041595,0.0,1.515157,5.8266907,7.7410827,0.012758255,-0.07841492,0.26960993,0.043773994,-0.3215563,-0.874958,2017-05-21 23:40:31,60.4306056333843
0.6276245,6.1585693,8.100296,1.0,0.88809836,6.0252995,7.6861844,-0.023508072,0.03886509,-0.079829216,0.06963185,-0.32134882,-0.88394874,2017-05-21 23:40:32,40.49412405919034
0.66685486,6.2566376,7.708023,0.0,0.76841754,6.0591984,7.6724205,0.03560239,0.012262344,-0.07218838,0.08545359,-0.31861123,-0.8737881,2017-05-21 23:40:33,55.14534676729827
3.9030457,-3.2558136,10.748093,0.0,1.7135044,1.1713805,9.584475,1.8943951,-2.73206,-1.0736179,0.09308767,0.051599175,0.9899767,2017-05-21 23:40:34,37.209426531505095
-1.1964111,-0.11767578,10.0224,0.0,0.27656135,-0.23573807,9.799915,-1.3558345,-0.12323487,-0.73314,0.010321499,-0.015390839,0.96248287,2017-05-21 23:40:35,43.165934098530684
-1.5298309,-0.09806824,9.845871,0.0,-1.4373467,-0.12974897,9.699876,-0.0680629,-0.017336369,-0.027910233,0.07301224,0.010639499,-0.9957839,2017-05-21 23:40:36,51.47105121028362
-1.9024963,0.3530426,10.806931,1.0,-1.5031455,-0.121156745,9.690008,-0.09452748,0.09833438,0.16900826,0.07151248,0.028862456,-0.95155036,2017-05-21 23:40:37,53.226688475909256
-1.5102234,-0.13729858,9.98317,1.0,-1.4876617,-0.12716292,9.692321,0.010714889,0.04980783,0.050969124,0.07549068,0.011416613,-0.99498695,2017-05-21 23:40:39,42.401542803880844
-1.5690613,-0.11767578,9.787033,1.0,-1.489031,-0.11611348,9.692249,0.02326107,1.6383827E-5,-0.018935204,0.07010215,0.030307122,-0.9432019,2017-05-21 23:40:40,40.217918522329796
-1.5690613,-0.13729858,9.728195,0.0,-1.4912969,-0.10861897,9.691988,-0.007500291,0.010807969,-0.02547741,0.07375996,0.020140376,-0.9783976,2017-05-21 23:40:41,42.64585751284649
-1.4513855,-0.11767578,9.787033,0.0,-1.4872239,-0.11742482,9.692511,-0.023280501,0.0041051134,0.019709587,0.07351763,0.020362958,-0.97887534,2017-05-21 23:40:42,44.008827033066055
-1.4906158,-0.15690613,9.865494,0.0,-1.4891099,-0.11708938,9.692225,0.008922577,0.0014825314,0.009508133,0.07360309,0.020411607,-0.9787469,2017-05-21 23:40:43,37.34307169891046
-1.4906158,-0.09806824,9.826263,0.0,-1.4902369,-0.11995716,9.692017,-0.015814543,-0.016996719,-3.2138824E-4,0.0736324,0.020565487,-0.97874475,2017-05-21 23:40:44,46.79477098344901
-1.5102234,-0.13729858,9.767426,1.0,-1.4857358,-0.11533497,9.692764,0.008690834,-0.0060515404,-0.034212112,0.07346683,0.02022874,-0.9789197,2017-05-21 23:40:45,50.858298884728114
-1.5494537,-0.11767578,9.806656,0.0,-1.486287,-0.12652583,9.69254,0.001984477,-2.0316243E-4,-0.006795883,0.07341238,0.020703316,-0.9791526,2017-05-21 23:40:46,49.668065012268386
-1.470993,-0.13729858,9.826263,1.0,-1.4900483,-0.1083281,9.692183,0.005872369,0.0031401813,0.016917229,0.07370698,0.02008706,-0.97847104,2017-05-21 23:40:47,48.18435719603905
-1.470993,-0.07846069,9.845871,0.0,-1.4857173,-0.12052173,9.692703,-0.011007786,-0.019630253,0.048418045,0.073429406,0.020439489,-0.9790456,2017-05-21 23:40:48,48.35309515031981
-1.5298309,-0.11767578,9.845871,0.0,-1.4897704,-0.113863446,9.692162,-5.7423115E-4,-0.009625673,0.01571846,0.073655136,0.020302378,-0.9786257,2017-05-21 23:40:49,49.00469544523447
