ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.279925,-0.33518824,-0.80445176,1.2825077,0.64066285,1.8375647,158.0,0.99408025,0.09032963,-0.0603732,-0.057012677,-0.18092611,0.14678429,0.69448245,-0.21378757,0.6117928,2017-06-01 13:52:18,38.89330070816093
8.791509,-2.7006595,-3.0550013,-0.11157386,-0.6536163,0.59050953,121.0,0.9233383,-0.28515828,-0.2571597,-0.042829692,0.019293845,0.013999522,0.68261427,-0.40313604,0.5924519,2017-06-01 13:52:18,45.67202014913779
8.935161,-2.1260512,-1.8483237,0.2163234,-0.092464834,-0.015984997,143.0,0.94979703,-0.23578449,-0.20564833,-0.051817894,0.022264183,0.018157437,0.6693623,-0.39292336,0.6053425,2017-06-01 13:52:19,50.170981567409534
8.963891,-1.8483237,-1.6376339,0.17504428,-0.013362371,0.19193056,151.0,0.9631941,-0.19639273,-0.18354043,-0.048611283,0.008120254,0.015552744,0.6719244,-0.37636933,0.6077329,2017-06-01 13:52:20,54.96461858279907
8.992621,-2.3175871,-3.6008794,-0.24846871,-0.7648576,-0.23427981,121.0,0.9437441,-0.1865606,-0.273024,-0.022410393,0.031385645,-0.11653867,0.68580616,-0.38202453,0.59089696,2017-06-01 13:52:21,34.241480093484455
-0.41180268,-5.171476,11.540052,-3.6330793,0.60149807,-1.4810697,118.0,-0.06696471,-0.2627201,0.9625455,0.090700775,-0.33650038,0.23167598,-0.10275957,0.014741728,-0.98383343,2017-06-01 13:52:22,39.1026189695996
-0.90021986,-1.1683705,9.720459,0.25116074,0.06581637,0.045285664,109.0,-0.08784142,-0.11902119,0.98899835,-0.005929008,-0.0039697513,0.0019285083,-0.055698987,-0.049462583,0.9773257,2017-06-01 13:52:23,44.99736699531965
-0.90021986,-1.1587936,9.758766,-0.06406087,-0.019880429,0.14643233,109.0,-0.08952405,-0.11867625,0.98888904,-4.717037E-4,-0.0023637414,0.0010481477,-0.05646765,-0.048952326,0.97699815,2017-06-01 13:52:24,48.512158729475026
-0.8523358,-1.1779473,9.730036,0.028445292,-0.0028700028,-0.03911866,109.0,-0.09005026,-0.120104775,0.9886686,1.7172843E-4,-0.0011064261,0.0032129884,-0.05625098,-0.049863,0.9768734,2017-06-01 13:52:25,34.55145714233953
-0.8810662,-1.1875241,9.720459,-0.0011202479,-0.018939914,-0.14816499,108.0,-0.09370432,-0.11945306,0.988408,0.0039040074,-0.0016323328,0.0034964085,-0.057808902,-0.049181312,0.97724223,2017-06-01 13:52:26,44.62795638284685
