ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
8.743,0.957,3.629,25.0,2017-06-07 16:26:25,-Infinity
8.667,0.919,3.668,25.0,2017-06-07 16:26:26,-Infinity
8.667,0.996,3.782,25.0,2017-06-07 16:26:27,-Infinity
8.59,0.996,3.668,25.0,2017-06-07 16:26:28,-Infinity
8.667,0.996,3.782,28.0,2017-06-07 16:26:29,-Infinity
8.705,1.034,3.706,28.0,2017-06-07 16:26:30,-Infinity
8.743,1.034,3.591,25.0,2017-06-07 16:26:31,-Infinity
8.667,1.072,3.821,25.0,2017-06-07 16:26:32,-Infinity
8.59,1.072,3.744,25.0,2017-06-07 16:26:33,-Infinity
7.594,2.145,4.434,28.0,2017-06-07 16:26:34,-Infinity
0.584,6.665,5.621,26.0,2017-06-07 16:26:35,-Infinity
2.308,8.964,2.48,33.0,2017-06-07 16:26:36,-Infinity
0.775,9.5,2.059,22.0,2017-06-07 16:26:37,-Infinity
0.392,9.347,3.514,32.0,2017-06-07 16:26:38,-Infinity
0.469,9.308,3.514,32.0,2017-06-07 16:26:39,-Infinity
0.545,9.385,2.557,25.0,2017-06-07 16:26:40,-Infinity
-0.143,9.308,2.442,25.0,2017-06-07 16:26:41,-Infinity
1.465,9.385,2.174,25.0,2017-06-07 16:26:42,-Infinity
