ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.906,0.477,9.62,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-10 06:18:34,-3.4098307607369978
0.72,0.385,9.958,-0.036770582,-0.01438849,-0.012656542,30.0,-0.029422343,-0.08303285,-0.13867378,0.040037934,-0.022668943,0.06451418,2017-06-10 06:18:35,21.888296494387344
0.504,0.407,9.735,-0.09419131,0.09552358,0.082600586,30.0,-0.030681789,-0.085004985,-0.042007446,0.044253528,-0.018510694,0.06286507,2017-06-10 06:18:36,31.231127964089097
0.669,0.363,9.935,-0.053956833,-0.047428723,-0.015187849,30.0,0.14151818,-0.32029194,0.39973927,0.048374195,-0.01735835,0.06261872,2017-06-10 06:18:37,65.62907144752073
0.894,0.637,9.947,-0.075939246,0.0552891,-0.0102584595,30.0,0.08263987,-0.23370749,0.12106037,0.05910791,-0.032241996,0.043368082,2017-06-10 06:18:38,67.43040514134259
1.353,0.734,9.834,0.007194245,-0.6397549,-0.2704503,30.0,0.11692417,-0.2350061,-0.01998043,0.05787949,-0.063314326,0.0049224175,2017-06-10 06:18:39,35.033421386039635
1.226,1.17,9.937,-0.2151612,0.17745803,-0.013988809,30.0,0.5463058,-0.2829275,-0.24310303,0.08748771,-0.05708027,-0.018907147,2017-06-10 06:18:40,52.37073729127957
-1.908,3.609,7.739,0.6240341,0.13589129,0.3377298,30.0,0.1366961,-0.47490335,-0.29691124,0.18718801,0.08673039,0.074475326,2017-06-10 06:18:41,52.456523529166226
-1.551,2.449,9.451,-0.024513721,-0.2475353,0.3804956,30.0,-0.78535604,-0.7424934,0.015824318,0.1404488,0.13824086,0.20141493,2017-06-10 06:18:42,55.85767838196983
-0.107,2.488,9.176,-0.05262457,-0.10218492,0.022648549,30.0,-0.38598955,-0.68630195,0.5292444,0.17752849,0.06347532,0.29582667,2017-06-10 06:18:43,35.63950256119946
1.441,-1.287,9.668,0.08153477,0.47788435,0.015321077,10.0,-1.8465786,-0.27503824,-1.7053432,0.04900934,-0.14814132,0.44849685,2017-06-10 06:18:44,48.67543637861485
1.371,-1.27,9.732,-0.0025313082,-0.005861977,-5.32907E-4,30.0,-0.0385648,-0.15950042,-0.016897202,-0.009134882,-0.07353914,0.45279855,2017-06-10 06:18:45,62.61006408285361
1.374,-1.683,9.805,-1.3322676E-4,-0.005861977,-0.01638689,30.0,-0.040086985,-0.19770986,-0.037938118,-0.009331938,-0.069923915,0.45121133,2017-06-10 06:18:46,31.66495735514529
1.006,-1.323,9.747,-0.0025313082,-0.0070610177,-0.0017319478,30.0,-0.09676659,-0.26715314,-0.09965515,-0.01456189,-0.058334973,0.44356143,2017-06-10 06:18:47,56.517955545664634
1.01,-1.316,9.751,-0.0038635759,-0.005861977,6.6613377E-4,30.0,-0.05731964,-0.23552996,-0.04291725,-0.016970797,-0.05689748,0.44011477,2017-06-10 06:18:48,37.579669490827406
