ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.524,-0.153,9.807,0.0,2017-06-18 20:42:51,57.81557176267056
3.524,-0.153,9.807,0.0,2017-06-18 20:42:52,69.09840615601712
3.524,-0.153,9.807,0.0,2017-06-18 20:42:53,52.028714273005576
3.524,-0.153,9.807,0.0,2017-06-18 20:42:54,67.78524583339876
3.524,-0.153,9.807,0.0,2017-06-18 20:42:55,66.49665120380938
3.524,-0.153,9.807,0.0,2017-06-18 20:42:56,73.76363758704721
3.524,-0.153,9.807,0.0,2017-06-18 20:42:57,68.76487603398873
3.524,-0.153,9.807,0.0,2017-06-18 20:42:58,62.46203143608316
3.524,-0.153,9.807,0.0,2017-06-18 20:42:59,67.2342482257507
3.524,-0.153,9.807,0.0,2017-06-18 20:43:00,45.228553801176346
3.524,-0.153,9.807,0.0,2017-06-18 20:43:01,66.25431640866148
3.524,-0.153,9.807,0.0,2017-06-18 20:43:02,67.98723586816234
3.524,-0.153,9.807,0.0,2017-06-18 20:43:03,48.433393963384326
3.524,-0.153,9.807,0.0,2017-06-18 20:43:04,65.27940194994437
3.524,-0.153,9.807,0.0,2017-06-18 20:43:05,63.851752039060905
3.524,-0.153,9.807,0.0,2017-06-18 20:43:06,63.41429812714046
3.524,-0.153,9.807,0.0,2017-06-18 20:43:07,59.846350302078754
3.524,-0.153,9.807,0.0,2017-06-18 20:43:08,59.11585034983561
3.524,-0.153,9.807,0.0,2017-06-18 20:43:09,51.14858213697023
3.524,-0.153,9.807,0.0,2017-06-18 20:43:10,59.09016159627603
3.524,-0.306,9.807,0.0,2017-06-18 20:43:11,63.709071011513686
3.371,-0.153,9.96,0.0,2017-06-18 20:43:12,61.27956087897081
3.371,-0.153,9.96,0.0,2017-06-18 20:43:13,66.94201742068688
3.371,-0.153,9.96,0.0,2017-06-18 20:43:14,61.09973652187797
3.371,-0.153,9.96,0.0,2017-06-18 20:43:15,66.10243854658187
3.371,-0.153,9.96,0.0,2017-06-18 20:43:16,62.026985628955806
3.371,-0.153,9.96,0.0,2017-06-18 20:43:17,67.02751980890675
3.371,-0.153,9.807,0.0,2017-06-18 20:43:19,59.50268020628677
3.371,-0.153,9.807,0.0,2017-06-18 20:43:20,46.5040159641747
3.371,-0.153,9.807,0.0,2017-06-18 20:43:21,64.37945423328227
3.371,-0.153,9.807,0.0,2017-06-18 20:43:22,59.7229253094461
3.371,-0.153,9.807,0.0,2017-06-18 20:43:23,51.99954449845507
3.371,-0.153,9.807,0.0,2017-06-18 20:43:24,49.25545483819114
3.371,-0.153,9.807,0.0,2017-06-18 20:43:25,60.050268561158965
3.371,-0.153,9.807,0.0,2017-06-18 20:43:26,66.67800676085835
3.371,-0.153,9.807,0.0,2017-06-18 20:43:27,51.50620296864476
3.371,-0.153,9.807,0.0,2017-06-18 20:43:28,66.47898431394624
3.371,-0.153,9.807,0.0,2017-06-18 20:43:29,66.08778875930277
3.371,-0.153,9.807,0.0,2017-06-18 20:43:30,67.34557272032512
3.371,-0.153,9.807,0.0,2017-06-18 20:43:31,62.46522870357792
3.371,-0.153,9.807,0.0,2017-06-18 20:43:32,66.37476260991527
3.371,-0.153,9.807,0.0,2017-06-18 20:43:33,62.058742232993225
3.371,-0.153,9.807,0.0,2017-06-18 20:43:34,64.01580541768966
3.371,-0.153,9.807,0.0,2017-06-18 20:43:35,65.87426382875171
3.371,-0.153,9.807,0.0,2017-06-18 20:43:36,54.82877821954887
3.371,-0.153,9.807,0.0,2017-06-18 20:43:37,66.71842004088813
3.371,-0.153,9.807,0.0,2017-06-18 20:43:38,57.621015194252756
3.524,-0.153,9.807,0.0,2017-06-18 20:43:39,47.11506332088129
3.371,-0.153,9.807,0.0,2017-06-18 20:43:40,58.45883170854995
3.371,-0.153,9.807,0.0,2017-06-18 20:43:41,60.023616907492084
3.371,-0.153,9.807,0.0,2017-06-18 20:43:42,62.16195875274617
3.371,-0.153,9.807,0.0,2017-06-18 20:43:43,59.28500830711023
3.371,-0.153,9.807,0.0,2017-06-18 20:43:44,51.83670168961585
3.371,-0.153,9.807,0.0,2017-06-18 20:43:45,55.247532885563714
3.371,-0.153,9.807,0.0,2017-06-18 20:43:46,60.87582859249259
3.371,-0.153,9.807,0.0,2017-06-18 20:43:47,62.6502931073999
3.371,-0.153,9.807,0.0,2017-06-18 20:43:48,57.8438177701662
3.371,-0.153,9.807,0.0,2017-06-18 20:43:49,67.49193812033039
3.371,-0.153,9.807,0.0,2017-06-18 20:43:50,49.717711879425615
3.371,-0.153,9.807,0.0,2017-06-18 20:43:51,60.819407527688874
3.371,-0.153,9.807,0.0,2017-06-18 20:43:52,65.57683277375952
3.371,-0.153,9.807,0.0,2017-06-18 20:43:53,62.749445668585395
3.371,-0.153,9.96,0.0,2017-06-18 20:43:54,63.52606634571377
3.524,-0.153,9.96,0.0,2017-06-18 20:43:55,66.05368137661986
3.524,-0.153,9.96,0.0,2017-06-18 20:43:57,60.13007934368198
3.371,-0.153,9.96,0.0,2017-06-18 20:43:58,59.745855158768755
3.371,-0.153,9.96,0.0,2017-06-18 20:43:59,66.6699363967964
3.371,-0.153,9.96,0.0,2017-06-18 20:44:00,62.62327342254737
3.371,-0.153,9.807,0.0,2017-06-18 20:44:01,65.98486014981803
3.371,-0.153,9.807,0.0,2017-06-18 20:44:02,66.07183410102877
3.371,-0.153,9.807,0.0,2017-06-18 20:44:03,65.1786963706367
3.371,-0.153,9.807,0.0,2017-06-18 20:44:04,63.273829318863626
3.371,-0.153,9.807,0.0,2017-06-18 20:44:05,61.03922314897065
3.371,-0.153,9.807,0.0,2017-06-18 20:44:06,60.0924638529046
3.371,-0.153,9.807,0.0,2017-06-18 20:44:07,62.40487587231776
3.371,-0.153,9.807,0.0,2017-06-18 20:44:08,63.183984093898566
3.371,-0.153,9.807,0.0,2017-06-18 20:44:09,50.89591324891201
3.371,-0.153,9.807,0.0,2017-06-18 20:44:10,64.42267361171551
3.371,-0.153,9.807,0.0,2017-06-18 20:44:11,66.41230057086864
3.371,-0.153,9.807,0.0,2017-06-18 20:44:12,65.10652945235488
3.371,-0.153,9.807,0.0,2017-06-18 20:44:13,67.81742267596958
3.371,-0.153,9.807,0.0,2017-06-18 20:44:14,55.597140139383534
3.371,-0.153,9.807,0.0,2017-06-18 20:44:15,58.802877763230406
3.371,-0.153,9.807,0.0,2017-06-18 20:44:16,66.76551036025579
3.524,-0.153,9.807,0.0,2017-06-18 20:44:17,69.50133785840512
3.524,-0.153,9.807,0.0,2017-06-18 20:44:18,61.216241732553456
3.371,-0.153,9.807,0.0,2017-06-18 20:44:19,62.5509184112896
3.371,-0.153,9.807,0.0,2017-06-18 20:44:20,67.4151619727923
3.371,-0.153,9.807,0.0,2017-06-18 20:44:21,63.64972177946059
3.371,-0.153,9.807,0.0,2017-06-18 20:44:22,61.31803381952605
3.371,-0.153,9.807,0.0,2017-06-18 20:44:23,59.740310251784756
3.371,-0.153,9.807,0.0,2017-06-18 20:44:24,61.363832347861944
3.371,-0.153,9.807,0.0,2017-06-18 20:44:25,63.57648529228425
3.371,-0.153,9.807,0.0,2017-06-18 20:44:26,57.378470803392865
3.371,-0.153,9.807,0.0,2017-06-18 20:44:27,36.6542001706474
