ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,21.343994,39.948044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-10 21:23:38,62.54191326774801
3.8249054,5.8986664,-6.469986,0.11878967,-0.2848816,0.07662964,23.216003,24.386597,3.8784115,6.21787,-6.516625,0.10622692,-0.1739893,-0.37615442,0.6264812,0.65346533,0.4170346,2017-10-10 21:23:38,75.31816919038853
3.6671143,5.9802094,-6.1966705,0.14201355,0.13699341,-0.028381348,18.608002,24.576492,3.536642,6.3645844,-6.569217,0.32513022,-0.1552062,-0.18352127,0.62236017,0.6701561,0.3920942,2017-10-10 21:23:39,77.29114892930795
3.756195,5.7975006,-6.494766,0.017044067,-0.20043945,0.049560547,18.608002,24.72641,3.77988,6.1209364,-6.6646104,0.13031054,-0.03200388,0.31861544,0.63220257,0.6642677,0.38995552,2017-10-10 21:23:40,83.18530844698492
5.4118347,5.8666077,-5.0443115,0.33247375,0.3583374,-0.7830353,18.608002,24.866333,3.6216917,6.913181,-5.9381537,0.60637736,-1.0897436,0.08580303,0.6322025,0.63344014,0.42761752,2017-10-10 21:23:41,79.87886795657113
6.7321014,3.1987,-7.5865784,1.0862579,1.7612457,1.2102509,30.912003,25.006256,7.2460737,1.4987452,-6.4357257,-0.2862053,1.2941011,-0.98562145,-0.4811126,-0.755678,-0.27861094,2017-10-10 21:23:42,76.48295227208274
-0.92523193,1.975174,17.03209,-1.3670044,-0.43096924,-1.3579407,311.2,25.136185,0.022941437,3.1598327,9.283605,-0.42411867,-1.1834855,6.774459,0.070995554,-0.13145441,-0.87091315,2017-10-10 21:23:44,76.15809022582906
-7.6658173,4.7990875,-4.63089,-0.1602478,0.1478424,0.06512451,48.656006,25.276108,-6.5099583,4.859109,-5.4936233,-0.70334435,-0.96940136,0.24969387,0.8678841,-0.16715027,-0.4187145,2017-10-10 21:23:45,69.41763426247019
4.560974,4.8462524,-7.449875,-0.5901489,-0.4502716,0.38209534,39.104004,25.386047,5.912072,3.962203,-6.746758,-0.9913831,1.150662,-0.674757,0.33876482,-0.85372657,-0.075502895,2017-10-10 21:23:46,72.48296377203759
3.9985504,4.9082947,-7.6684875,-1.1446533,-0.42108154,1.1759338,23.904007,25.495987,2.652256,4.779471,-8.142026,1.4853518,1.1599402,-0.02795124,-0.21191311,-0.93474364,-0.27205494,2017-10-10 21:23:47,79.84408146441487
