ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.7476654,0.5207672,10.638611,3.0517578E-4,0.0030975342,6.5612793E-4,681.6,40.55771,0.67304635,0.4727503,9.772099,0.011795521,0.0024222732,-0.008176804,0.03351384,-0.025287012,0.3071849,2017-10-11 14:34:33,57.547353366660474
0.852005,0.5227051,10.641113,0.003189087,0.0039367676,7.6293945E-4,596.0,40.677643,0.7583575,0.47006705,9.765978,0.0059306026,0.0063151717,-0.014720917,0.034508575,-0.029313968,0.30386183,2017-10-11 14:34:34,53.03209777452325
0.8549347,0.5053406,10.6129,0.0013275146,0.0012664795,0.0013275146,596.0,40.777588,0.75966835,0.47677496,9.765551,0.05117619,0.007406354,-0.012724876,0.034894936,-0.029707689,0.3009816,2017-10-11 14:34:35,38.96814520453942
0.7374878,0.52116394,10.616287,0.0023956299,0.006668091,0.0012207031,596.0,40.86754,0.65041894,0.47779468,9.773385,0.04069507,-0.0028744936,0.001947403,0.033327255,-0.024247423,0.3018017,2017-10-11 14:34:36,44.12122908712264
0.84228516,0.52941895,10.621216,-3.8146973E-4,-0.004470825,0.0017700195,596.0,40.947495,0.7507975,0.4804257,9.766058,0.031526864,0.010988355,0.006504059,0.03507608,-0.029358035,0.30276316,2017-10-11 14:34:37,43.59336628486894
0.74609375,0.5121765,10.612549,0.0012512207,0.008331299,-3.3569336E-4,596.0,41.02745,0.64925814,0.4812751,9.773292,0.03506416,-0.008207917,-0.023572922,0.033455707,-0.024116587,0.30343416,2017-10-11 14:34:38,40.06389285148693
0.7595062,0.5068207,10.6237335,0.0012207031,0.005859375,0.0014648438,661.6,41.197357,0.66320014,0.48141053,9.772348,0.04371935,-0.0231089,0.0055570602,0.03365217,-0.024756448,0.30286196,2017-10-11 14:34:39,42.420211528701415
0.73677063,0.51542664,10.622604,2.746582E-4,0.0033569336,0.0012207031,661.6,41.26732,0.6562452,0.48181155,9.772799,0.02737689,0.0027945638,-0.0065317154,0.03356045,-0.024558846,0.301005,2017-10-11 14:34:40,45.36212403870705
0.75323486,0.530838,10.614609,7.7819824E-4,0.004989624,0.0015563965,661.6,41.287308,0.6577044,0.47881114,9.772847,0.04627174,0.014530838,-0.015039444,0.033369288,-0.024577564,0.30173838,2017-10-11 14:34:41,46.32280302002947
0.7424469,0.50860596,10.626099,0.0010375977,0.0045166016,0.0011901855,661.6,41.31729,0.6571818,0.4763954,9.773001,0.018394351,-0.010169923,0.004173279,0.03329234,-0.024592077,0.30182213,2017-10-11 14:34:42,42.05780525117997
0.75038147,0.51138306,10.579742,4.8828125E-4,-0.024719238,0.0010528564,661.6,41.33728,0.7039624,0.47756496,9.769686,-0.008773744,-0.010441422,-0.009307861,0.033903167,-0.02633824,0.30078766,2017-10-11 14:34:43,45.22446271294716
0.8293762,0.51942444,10.624115,9.3078613E-4,0.0051116943,7.6293945E-4,661.6,41.33728,0.73326695,0.47536904,9.767637,0.03453058,0.008548021,-6.122589E-4,0.034379456,-0.02847695,0.30016878,2017-10-11 14:34:44,43.87566333842203
0.73979187,0.5157318,10.614975,-4.4250488E-4,0.0045928955,0.0010681152,661.6,41.35727,0.6392377,0.47177833,9.774415,0.03809172,0.003686607,-0.019583702,0.032790985,-0.023894226,0.30081958,2017-10-11 14:34:45,41.545337597316106
0.74523926,0.5098572,10.611557,3.3569336E-4,3.9672852E-4,6.2561035E-4,661.6,41.37726,0.6509905,0.47245896,9.773606,0.052786052,-0.0021957755,0.004640579,0.03299868,-0.024565833,0.29903346,2017-10-11 14:34:46,38.718657046977036
0.74661255,0.5063782,10.615799,0.0015869141,0.0038757324,-9.0026855E-4,661.6,41.387253,0.656028,0.47127897,9.773327,0.029310286,-0.01171571,0.014807701,0.032984603,-0.024731474,0.2984391,2017-10-11 14:34:47,42.05890740645195
0.73065186,0.50268555,10.590485,4.272461E-4,0.0050964355,0.0023956299,661.6,41.37726,0.65213126,0.47080687,9.77361,0.02551055,-0.00497216,-0.04015255,0.032874748,-0.024587985,0.29801217,2017-10-11 14:34:48,45.5406277658956
0.7375946,0.51257324,10.626709,0.003250122,-0.0015258789,0.001083374,661.6,41.35727,0.6807509,0.47543022,9.771435,0.04173535,0.003961265,0.09654808,0.033425048,-0.025782656,0.29873037,2017-10-11 14:34:49,40.03925060544026
0.747879,0.5140228,10.61554,-0.0013122559,0.0014038086,0.0025634766,661.6,41.327286,0.6759231,0.46627375,9.772211,0.036464095,0.003317356,-0.006087303,0.032989416,-0.025764318,0.29835722,2017-10-11 14:34:50,38.47784857925252
0.7311249,0.50942993,10.6019745,9.0026855E-4,-5.340576E-4,-0.001449585,661.6,41.31729,0.67928344,0.467573,9.771915,0.0045437217,-0.0061637163,6.4754486E-4,0.03313119,-0.02593852,0.2985151,2017-10-11 14:34:51,43.16256273304988
0.73446655,0.5083008,10.612228,-7.6293945E-5,4.8828125E-4,9.1552734E-4,661.6,41.287308,0.6770462,0.46264213,9.7723055,-0.003611505,0.01367569,0.011334419,0.032855157,-0.025890402,0.2995583,2017-10-11 14:34:52,45.47927581200394
0.72540283,0.5017395,10.616287,-3.6621094E-4,9.0026855E-4,6.1035156E-4,661.6,41.26732,0.68163747,0.463776,9.771933,-0.013460338,0.0051965117,0.009226799,0.03300908,-0.02609331,0.2995508,2017-10-11 14:34:53,40.43587288906216
0.73628235,0.5089264,10.598282,0.0017700195,-0.0024719238,0.0022735596,661.6,41.24733,0.6792739,0.46368358,9.772102,0.0036591291,0.015013158,-0.009666443,0.032995798,-0.026024781,0.2995057,2017-10-11 14:34:54,41.415806691572016
0.7373657,0.50665283,10.598465,0.0014190674,-3.8146973E-4,2.746582E-4,661.6,41.22734,0.6778024,0.46282297,9.772244,0.011123717,0.011078179,0.0017137527,0.032944813,-0.025871156,0.29940984,2017-10-11 14:34:55,35.61828203462953
0.7234192,0.5035553,10.609528,-0.0012512207,-0.0012359619,4.119873E-4,661.6,41.197357,0.67730784,0.45978063,9.772423,-0.021689117,-0.0058528483,0.0014181137,0.032733567,-0.025926575,0.2995017,2017-10-11 14:34:56,43.13290039641401
0.7268524,0.50109863,10.604446,-7.9345703E-4,-0.0027923584,-3.2043457E-4,661.6,41.167374,0.67584014,0.46046078,9.772492,-0.023858905,-0.0043150485,-0.016768456,0.032785296,-0.025853608,0.2994372,2017-10-11 14:34:57,44.85672303897751
0.73153687,0.49435425,10.597137,-9.460449E-4,-0.0017089844,-0.0015869141,661.6,41.147385,0.6805713,0.46362326,9.772015,0.0011702776,-0.013553858,0.011361122,0.0329833,-0.02607493,0.29954425,2017-10-11 14:34:58,39.60570509920123
0.72798157,0.4963379,10.607605,9.765625E-4,-0.0015563965,3.3569336E-4,661.6,41.127396,0.67465746,0.4610813,9.772545,-0.0067367554,0.011964083,0.014904022,0.032847255,-0.025851725,0.29942042,2017-10-11 14:34:59,44.05258185859135
0.7239075,0.50024414,10.609833,0.0,-0.0012969971,3.6621094E-4,661.6,41.107407,0.6840162,0.45903808,9.77199,-0.02049166,-0.007377386,0.010454178,0.032839354,-0.026297359,0.29973733,2017-10-11 14:35:00,45.86967427219796
0.7428436,0.49543762,10.603256,-0.0013580322,0.0066223145,-1.5258789E-5,661.6,41.077423,0.6738244,0.46127555,9.7725935,0.0011686683,-0.013504446,-0.026115417,0.03285825,-0.025891347,0.29971933,2017-10-11 14:35:01,45.83475399755051
0.73283386,0.49768066,10.598663,0.0019683838,-0.0010986328,-0.0030059814,661.6,41.057434,0.685281,0.4603982,9.771838,-0.01578772,-0.0028078854,0.011963844,0.03286602,-0.026353685,0.29966992,2017-10-11 14:35:02,44.45864590006643
0.72720337,0.48960876,10.612427,-0.002456665,0.0043029785,1.8310547E-4,661.6,41.037445,0.68300706,0.45677692,9.772166,-3.4230947E-4,-0.0133654475,0.031638145,0.032513373,-0.026244543,0.2974914,2017-10-11 14:35:03,44.50893238153077
0.7269592,0.50424194,10.590881,0.0010528564,-0.0022735596,0.0013580322,661.6,41.02745,0.68283594,0.45989597,9.772033,-0.021447718,-0.012976617,0.012688637,0.03281021,-0.026210856,0.29956058,2017-10-11 14:35:04,36.582568110665136
0.7285309,0.50354004,10.602249,0.0010223389,-0.002822876,-0.0018920898,661.6,41.00746,0.6766348,0.46040863,9.77244,-4.4363737E-4,0.001962304,-0.008030891,0.032812357,-0.025957346,0.3000959,2017-10-11 14:35:05,44.930185891763614
0.7420502,0.4996338,10.597992,-9.0026855E-4,-0.005874634,0.0016326904,661.6,40.987473,0.6852045,0.46289936,9.771725,-0.006146848,-0.013903797,-0.0011987686,0.033051237,-0.026283994,0.3002657,2017-10-11 14:35:06,35.939909116797466
0.7238617,0.49775696,10.595947,-5.950928E-4,0.0024414063,0.0021209717,661.6,40.967484,0.67077917,0.46096787,9.772817,-0.008570254,0.002464354,-6.0272217E-4,0.03270053,-0.025620278,0.29988697,2017-10-11 14:35:07,36.52188151075238
0.7133789,0.4915161,10.606186,0.001159668,-0.007171631,0.0020599365,661.6,40.95749,0.6651543,0.45390177,9.773532,-0.03471744,5.9887767E-4,0.034116745,0.032407265,-0.025655543,0.3000817,2017-10-11 14:35:08,39.82013930658781
0.73031616,0.5008087,10.599319,-3.0517578E-5,7.171631E-4,0.0022277832,661.6,40.9375,0.6774577,0.45743197,9.772522,-0.016815126,0.01959619,0.0096235275,0.03260909,-0.025988726,0.30003932,2017-10-11 14:35:09,43.26531486244494
0.7313385,0.48693848,10.5937805,6.1035156E-5,-0.0027923584,0.0017700195,661.6,40.91751,0.67202395,0.4506732,9.7732115,0.0012120605,-0.004071772,-5.893707E-4,0.032220364,-0.025823763,0.29904288,2017-10-11 14:35:10,51.71079026074735
0.73573303,0.4921112,10.604309,4.8828125E-4,3.5095215E-4,-0.0012969971,661.6,40.897522,0.6743148,0.45581007,9.772816,-0.003847599,0.008181304,-0.01115036,0.03249432,-0.025871322,0.29962966,2017-10-11 14:35:11,47.00444844941447
0.71876526,0.493515,10.600372,-0.0014038086,-0.0032806396,0.0010223389,661.6,40.887527,0.6735001,0.45822936,9.7727585,-0.017231464,-0.013514787,-0.014541626,0.032663226,-0.025776427,0.2995219,2017-10-11 14:35:12,41.27307111396482
0.72442627,0.49838257,10.606003,-0.0016021729,2.593994E-4,0.0015258789,661.6,40.877533,0.6694345,0.45447662,9.773213,-0.015142858,0.0073599517,0.011187553,0.032309163,-0.025634708,0.29951018,2017-10-11 14:35:13,42.152225320142605
0.7289429,0.5030365,10.60643,1.2207031E-4,5.950928E-4,-9.1552734E-4,661.6,40.877533,0.6686583,0.45548227,9.773219,-0.010971546,-0.0011020303,0.014403343,0.03240586,-0.025597483,0.2994604,2017-10-11 14:35:14,42.5514638305545
0.72428894,0.4907074,10.597855,-7.6293945E-5,-0.003540039,0.0011444092,661.6,40.86754,0.67659897,0.4545587,9.772716,-0.007481158,-0.010778934,2.1743774E-4,0.032479033,-0.025964474,0.2996984,2017-10-11 14:35:15,39.83019999645349
0.72428894,0.49414063,10.591919,0.0021209717,-0.0020141602,-5.0354004E-4,661.6,40.857544,0.6735092,0.4578416,9.772776,-0.018266141,1.7115474E-4,-0.0037841797,0.032593314,-0.025821824,0.29957077,2017-10-11 14:35:16,41.10011581448268
