ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-1.7621324,1.5227122,9.356541,0.013439035,0.02565634,0.010995574,15.0,-1.7171999,1.127,9.5891,-0.0782,0.4192,-0.0098,0.104185,-0.015385,-0.90216297,2017-10-19 20:37:25,31.538734330061327
-0.8714894,1.7238252,9.059659,-0.002443461,-0.36774087,0.037873644,15.0,-1.2906,1.1983,9.6472,-0.0535,0.7909,0.021699999,0.090161,-6.64E-4,-0.734807,2017-10-19 20:37:26,36.643725142461335
4.8841715,0.5650316,7.345411,-0.7244862,-0.16737708,0.5510005,17.0,6.7837,0.9769,7.014,-0.90809995,-0.6403,-3.5454998,-0.23908299,-0.291929,-0.682902,2017-10-19 20:37:27,56.907649778593104
4.5394063,-3.9360676,-2.135628,-0.453262,-0.5925393,0.82344633,7.0,7.7766,-5.9013,-0.9313,2.0349,0.0169,-0.031799998,-0.739721,-0.017255,-0.526236,2017-10-19 20:37:28,51.854312741444524
-0.6703765,-9.662998,0.36391866,0.07574729,1.3060299,-0.16737708,0.0,-1.599,-9.6602,-0.541,0.7576,-0.4698,0.6166,-0.487615,0.538344,-0.427229,2017-10-19 20:37:29,51.68898115065196
-3.1124623,-9.107543,-1.4269443,-0.095294975,-1.1093313,-0.37873647,0.0,-3.1327999,-9.282599,0.4342,1.1866,0.0635,-0.64959997,-0.482103,0.495416,-0.32952,2017-10-19 20:37:30,67.72293299211698
-0.80445176,-11.405977,7.0964136,-0.37995818,0.35430184,0.4642576,0.0,-2.9754,-9.296599,-0.9424,1.0624,0.4989,-0.7564,-0.49869,0.547137,-0.335164,2017-10-19 20:37:31,67.81322311449455
-2.336741,-8.408437,2.2409728,-0.4813618,-0.7415904,-0.12705997,0.0,-3.0748,-9.3115,-0.1083,-1.9002,1.0625,0.4294,-0.449445,0.550931,-0.378015,2017-10-19 20:37:32,50.58318677293633
0.12449849,-9.749189,0.32561144,0.2968805,2.6132815,0.7476991,0.0,-1.7609999,-9.6472,0.0067999996,0.7589,-0.1785,0.3561,-0.220349,0.671637,-0.621583,2017-10-19 20:37:33,63.761863252578394
-3.2082303,-9.892841,-2.6719291,0.44348818,-0.16737708,0.042760566,0.0,-2.2292,-9.5458,0.2774,0.8336,2.8409,-2.1832,-0.295405,-0.63134,0.70155,2017-10-19 20:37:34,69.63697426931844
-2.6910827,-11.903971,1.3694834,-1.8558086,-0.03176499,-0.23090707,0.0,-3.4912999,-9.1015,1.0685999,2.1742,-2.0059,5.0069,0.210781,0.633312,-0.743885,2017-10-19 20:37:35,62.34767859835767
-1.8866309,-9.615114,-0.17238252,0.061086524,-0.3652974,0.028099801,0.0,-2.5960999,-9.4471,-0.426,-0.0632,-0.1092,0.2003,-0.250423,-0.677503,0.689027,2017-10-19 20:37:36,65.88910948953026
-1.8483237,-9.528923,-0.5746084,-0.056199603,-0.3359759,-0.0012217305,0.0,-2.4508,-9.4895,-0.334,-0.0383,-0.0481,-0.5661,-0.279348,-0.662567,0.687539,2017-10-19 20:37:37,61.59662970319814
-1.7525556,-9.787497,0.009576807,0.15149458,0.02443461,-0.04520403,0.0,-2.0381,-9.591,-0.1654,0.0391,-0.1647,0.0635,-0.284133,-0.653992,0.687075,2017-10-19 20:37:38,65.6426846402439
-3.6487634,-8.63828,-0.4405331,0.1685988,-0.14049901,1.078788,0.0,-5.0715,-8.3885,-0.2871,-1.0386,0.6024,1.0747,-0.007801,0.717342,-0.59223,2017-10-19 20:37:39,44.65259084985448
-4.817134,-7.52737,1.1204864,0.119729586,-0.20525073,-0.47891834,0.0,-4.2264,-8.761,1.2454,-0.43219998,0.4073,0.4605,-0.153672,0.642561,-0.581698,2017-10-19 20:37:40,56.93505191412556
-2.4133554,-11.84651,-6.531382,1.7311921,-2.6914723,-0.3494149,0.0,-1.3960999,-9.6714,0.82729995,-4.7655,0.75699997,-4.9561996,-0.534372,0.415047,-0.363951,2017-10-19 20:37:41,60.99360542235543
-1.2545617,-8.7053175,-0.095768064,-0.37140608,-0.52656585,-0.04520403,0.0,-2.2340999,-9.5078,0.8832,0.93649995,0.58739996,-0.95089996,-0.349796,0.57672,-0.526915,2017-10-19 20:37:42,71.40187418597995
-3.169923,-8.973468,1.388637,-0.22235495,-0.17470746,0.12950343,0.0,-2.7893,-9.349299,0.9896,-0.021499999,-0.2439,0.2102,-0.325751,0.586027,-0.518352,2017-10-19 20:37:44,63.08767416785695
-2.9113493,-9.260772,1.2354081,-0.014660766,-0.073303826,-0.017104227,0.0,-2.7740998,-9.3287,1.2033,-0.1933,-0.1463,0.050499998,-0.349285,0.562714,-0.497537,2017-10-19 20:37:45,60.188149811664424
-2.5474305,-9.193734,1.7717092,-0.004886922,-0.056199603,0.07574729,0.0,-2.5853,-9.3335,1.5396,-0.0149,-0.073,0.26139998,-0.350079,0.546755,-0.507819,2017-10-19 20:37:46,67.72511787822557
-3.4380736,-8.992621,1.1204864,0.021991149,-0.03176499,0.03176499,0.0,-3.1917,-9.1888,1.2443,-0.20709999,0.0111,-0.117,-0.331048,0.571804,-0.490241,2017-10-19 20:37:47,65.11077981205949
-2.3654714,-9.442732,0.7661445,-0.09162979,-0.3726278,-0.008552114,0.0,-3.1792998,-9.2527,0.67039996,-0.40559998,-0.0539,0.5808,-0.351141,0.585247,-0.470517,2017-10-19 20:37:48,68.7948985078118
-2.7581203,-9.3661175,1.1204864,0.021991149,0.02565634,0.018325957,0.0,-2.6643,-9.4053,0.78169996,0.18969999,-0.1794,-0.1751,-0.404192,0.544765,-0.448406,2017-10-19 20:37:49,72.88831988902413
-2.8060043,-9.452309,1.1492168,-0.05009095,0.12583824,0.06841691,0.0,-2.9545999,-9.300099,0.97309995,0.13,-0.29189998,0.3931,-0.354377,0.56991297,-0.481486,2017-10-19 20:37:50,67.41009607875053
-3.5625722,-8.839393,2.1547816,-0.16737708,-0.14049901,0.061086524,0.0,-3.4768999,-8.9116,2.1592999,0.3263,-0.3085,0.3132,-0.269992,0.563033,-0.533368,2017-10-19 20:37:51,69.75203231271257
-3.6966474,-8.829816,2.2026656,-0.20158553,-0.073303826,0.014660766,0.0,-3.0128,-9.1616,1.7767999,-0.2838,0.072799996,-0.19569999,-0.37027898,0.521824,-0.456446,2017-10-19 20:37:52,68.98802463245761
-2.4708161,-9.222465,1.4748282,-0.10995574,-0.12339478,0.0,0.0,-2.5058,-9.3859,1.3393999,-0.0139999995,-0.0512,0.1628,-0.36667,0.545215,-0.49586,2017-10-19 20:37:53,71.66290898458111
