ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
0.78146744,0.34093434,9.874885,285.0,0.7899802,0.35412902,9.779409,0.040861044,0.0,0.05448139,2017-11-20 01:56:30,NaN
0.5803545,0.38881835,9.031444,31.0,0.7899802,0.35412902,9.779409,-0.62653595,-0.23154591,-0.013620348,2017-11-20 01:56:31,NaN
3.23313,1.8636466,9.476856,28.0,1.0487667,0.5448139,9.738548,1.6616825,1.7842655,-0.8853226,2017-11-20 01:56:32,NaN
3.5108573,0.704853,9.543195,84.0,2.5606253,1.2530719,9.384419,0.939804,-0.5448139,0.05448139,2017-11-20 01:56:33,NaN
4.4398074,1.1741165,9.003014,107.0,3.4595683,0.87170225,9.139253,0.83084124,0.27240694,-0.28602728,2017-11-20 01:56:34,NaN
4.6888046,1.2220006,8.974583,141.0,4.1814466,0.99428535,8.825985,0.44947144,0.21792556,0.12258312,2017-11-20 01:56:35,NaN
4.5164223,1.1549629,9.021967,152.0,4.440233,1.1304889,8.676161,0.12258312,0.013620348,0.36774936,2017-11-20 01:56:36,NaN
4.5930367,1.1741165,9.003014,142.0,4.440233,1.1304889,8.676161,0.12258312,-0.013620348,0.28602728,2017-11-20 01:56:37,NaN
4.82288,1.1836933,8.83243,147.0,4.4129925,1.1168685,8.689781,0.36774936,0.05448139,0.13620347,2017-11-20 01:56:38,NaN
4.82288,1.1741165,8.917722,163.0,4.5219555,1.1032481,8.6353,0.24516624,0.08172209,0.35412902,2017-11-20 01:56:40,NaN
4.6504974,1.1549629,9.154643,158.0,4.562816,1.1032481,8.621679,0.068101734,0.05448139,0.4086104,2017-11-20 01:56:41,NaN
4.6888046,1.1262325,8.974583,152.0,4.4947147,1.1168685,8.64892,0.13620347,0.040861044,0.35412902,2017-11-20 01:56:42,NaN
4.6983814,1.1358093,8.936675,153.0,4.467474,1.1168685,8.66254,0.24516624,0.027240695,0.19068487,2017-11-20 01:56:43,NaN
4.727112,1.1166557,8.984059,160.0,4.4947147,1.1032481,8.64892,0.21792556,0.040861044,0.29964766,2017-11-20 01:56:44,NaN
4.6983814,1.0879252,8.984059,155.0,4.4947147,1.1032481,8.64892,0.17706451,-0.040861044,0.3405087,2017-11-20 01:56:45,NaN
4.4685383,1.0975021,8.927198,136.0,4.4947147,1.1032481,8.64892,-0.040861044,0.013620348,0.38136974,2017-11-20 01:56:46,NaN
4.2865787,1.049618,9.751685,101.0,4.3448906,1.0760074,8.730643,-0.027240695,-0.068101734,0.10896278,2017-11-20 01:56:47,NaN
4.353616,1.0687716,9.220982,108.0,4.276789,1.0487667,8.771504,0.10896278,0.0,0.31326798,2017-11-20 01:56:48,NaN
4.2865787,1.1262325,9.239936,105.0,4.2086873,1.0351465,8.798745,0.068101734,0.040861044,0.44947144,2017-11-20 01:56:49,NaN
4.525999,1.0975021,9.069351,110.0,4.154206,1.0215261,8.825985,0.3949901,0.095342435,0.50395286,2017-11-20 01:56:50,NaN
1.499728,0.36966473,10.045467,135.0,4.33127,1.0487667,8.744264,-2.0975335,-0.51757324,1.7842655,2017-11-20 01:56:51,NaN
1.0975021,0.05363012,9.865407,20.0,2.7240696,0.6537767,9.39804,-1.6753027,-0.61291564,0.47671217,2017-11-20 01:56:52,NaN
1.1358093,0.09193735,9.85593,277.0,1.1304889,0.10896278,9.752169,0.0,-0.027240695,0.23154591,2017-11-20 01:56:53,NaN
1.0783484,0.05363012,10.168667,279.0,1.0623871,0.08172209,9.752169,0.0,-0.068101734,0.16344418,2017-11-20 01:56:54,NaN
1.0975021,0.063206926,10.235005,280.0,1.0623871,0.068101734,9.752169,0.05448139,-0.027240695,0.068101734,2017-11-20 01:56:55,NaN
1.049618,0.05363012,10.045467,277.0,1.0487667,0.068101734,9.752169,0.013620348,-0.027240695,0.35412902,2017-11-20 01:56:56,NaN
1.0687716,0.044053312,10.073898,286.0,0.99428535,0.05448139,9.765789,0.05448139,-0.013620348,0.12258312,2017-11-20 01:56:57,NaN
1.0304644,0.11109096,10.216052,277.0,0.99428535,0.040861044,9.765789,0.05448139,0.0,0.12258312,2017-11-20 01:56:58,NaN
1.0783484,0.034476504,9.893838,276.0,1.0215261,0.05448139,9.752169,0.05448139,0.013620348,0.16344418,2017-11-20 01:56:59,NaN
1.0208876,0.07278373,10.386635,276.0,1.0351465,0.05448139,9.752169,0.013620348,-0.013620348,0.5448139,2017-11-20 01:57:00,NaN
1.0113108,0.07278373,9.846454,280.0,1.0351465,0.05448139,9.752169,0.027240695,-0.013620348,0.13620347,2017-11-20 01:57:01,NaN
1.0975021,0.063206926,9.950699,276.0,1.0351465,0.05448139,9.752169,0.013620348,0.013620348,0.2043052,2017-11-20 01:57:02,NaN
1.1070789,0.063206926,9.998083,276.0,1.0215261,0.05448139,9.765789,0.05448139,-0.027240695,0.19068487,2017-11-20 01:57:03,NaN
4.3057323,0.5995081,8.993537,45.0,1.8115062,0.14982383,9.643206,2.4244218,0.36774936,0.13620347,2017-11-20 01:57:04,NaN
4.861187,0.3217807,8.936675,58.0,3.9771414,0.38136974,8.962189,0.8853226,-0.040861044,-0.27240694,2017-11-20 01:57:05,NaN
4.803726,0.38881835,8.993537,36.0,4.590057,0.38136974,8.66254,0.23154591,0.0,0.46309182,2017-11-20 01:57:06,NaN
4.861187,0.35051113,8.927198,36.0,4.6445384,0.3405087,8.6353,0.21792556,0.027240695,0.36774936,2017-11-20 01:57:07,NaN
4.8899174,0.35051113,8.851384,38.0,4.658159,0.35412902,8.621679,0.24516624,-0.013620348,0.24516624,2017-11-20 01:57:08,NaN
4.3919234,0.41754878,9.16412,38.0,4.562816,0.35412902,8.676161,-0.16344418,0.027240695,0.49033248,2017-11-20 01:57:09,NaN
4.5068455,0.37924156,9.107259,44.0,4.33127,0.35412902,8.798745,0.2043052,0.040861044,0.24516624,2017-11-20 01:57:10,NaN
5.407065,0.4367024,8.661847,36.0,4.3993726,0.36774936,8.757884,0.96704465,0.068101734,-0.16344418,2017-11-20 01:57:11,NaN
5.215529,0.37924156,8.8703375,34.0,4.903325,0.36774936,8.4854765,0.29964766,-0.013620348,-0.10896278,2017-11-20 01:57:12,NaN
5.1006074,0.36966473,8.036374,33.0,5.0667696,0.36774936,8.390134,-0.013620348,0.013620348,0.43585113,2017-11-20 01:57:13,NaN
6.0008273,0.27389666,8.235388,36.0,5.1621118,0.36774936,8.335652,0.7899802,-0.10896278,-0.013620348,2017-11-20 01:57:14,NaN
6.4126296,0.40797198,8.131143,116.0,5.7069254,0.31326798,7.967903,0.027240695,-0.040861044,0.42223078,2017-11-20 01:57:15,NaN
6.4988213,0.38881835,7.8278832,220.0,5.7069254,0.28602728,7.967903,0.6537767,0.027240695,0.21792556,2017-11-20 01:57:16,NaN
6.383899,0.22601265,7.9416056,171.0,5.938472,0.27240694,7.804459,0.51757324,-0.040861044,0.12258312,2017-11-20 01:57:17,NaN
6.288131,0.21643583,7.9416056,225.0,6.1291566,0.27240694,7.6546354,0.17706451,-0.040861044,0.32688835,2017-11-20 01:57:18,NaN
6.4413605,0.1781286,8.007943,230.0,6.101916,0.21792556,7.681876,0.31326798,-0.068101734,0.25878662,2017-11-20 01:57:19,NaN
6.4317837,0.1493982,7.951082,221.0,6.101916,0.17706451,7.681876,0.28602728,-0.013620348,0.25878662,2017-11-20 01:57:20,NaN
6.393476,0.1493982,7.98899,231.0,6.1563973,0.16344418,7.641015,0.25878662,-0.027240695,-0.4086104,2017-11-20 01:57:21,NaN
6.3743224,0.13982138,7.98899,226.0,6.1563973,0.14982383,7.6273947,0.19068487,-0.040861044,0.3405087,2017-11-20 01:57:22,NaN
6.297708,0.1493982,8.045851,230.0,6.0610547,0.14982383,7.7091165,0.19068487,0.0,0.43585113,2017-11-20 01:57:23,NaN
6.259401,0.15897499,8.16905,230.0,6.0065737,0.14982383,7.7499776,0.23154591,0.013620348,0.35412902,2017-11-20 01:57:24,NaN
6.058288,0.21643583,8.879814,230.0,5.952092,0.16344418,7.7908387,0.17706451,0.040861044,0.36774936,2017-11-20 01:57:26,NaN
6.1349025,0.18770541,8.140619,230.0,5.8431287,0.17706451,7.8725605,0.31326798,0.027240695,0.31326798,2017-11-20 01:57:27,NaN
5.96252,0.21643583,8.150096,230.0,5.8703694,0.19068487,7.85894,0.08172209,0.0,0.38136974,2017-11-20 01:57:28,NaN
6.106172,0.18770541,8.045851,226.0,5.8431287,0.19068487,7.8725605,0.28602728,-0.05448139,0.08172209,2017-11-20 01:57:29,NaN
6.0295577,0.23558944,8.055327,220.0,5.856749,0.19068487,7.8725605,0.13620347,0.013620348,0.3949901,2017-11-20 01:57:30,NaN
6.0965953,0.015322892,8.2164345,226.0,5.8431287,0.14982383,7.8725605,0.28602728,-0.14982383,0.38136974,2017-11-20 01:57:31,NaN
6.1444793,-0.022984335,8.273296,225.0,5.8295083,0.068101734,7.886181,0.27240694,-0.05448139,0.32688835,2017-11-20 01:57:32,NaN
6.115749,-0.022984335,7.9795127,221.0,5.8431287,0.027240695,7.8725605,0.27240694,-0.013620348,0.2043052,2017-11-20 01:57:33,NaN
6.1349025,0.005746085,8.112188,220.0,5.856749,0.013620348,7.8725605,0.23154591,-0.027240695,0.29964766,2017-11-20 01:57:34,NaN
6.106172,-0.0038307216,8.19748,220.0,5.856749,0.013620348,7.8725605,0.23154591,0.0,0.42223078,2017-11-20 01:57:35,NaN
6.0965953,0.015322892,8.434402,216.0,5.856749,0.013620348,7.85894,0.23154591,-0.027240695,0.27240694,2017-11-20 01:57:36,NaN
6.154056,0.05363012,8.159573,226.0,5.856749,0.013620348,7.85894,0.38136974,-0.013620348,0.29964766,2017-11-20 01:57:37,NaN
6.163633,0.015322892,8.045851,226.0,5.88399,0.027240695,7.8453197,0.23154591,0.013620348,0.62653595,2017-11-20 01:57:38,NaN
6.211517,0.005746085,7.8847446,226.0,5.9112306,0.027240695,7.8317,0.23154591,-0.013620348,0.4086104,2017-11-20 01:57:39,NaN
6.1732097,0.024899699,7.903698,230.0,5.89761,0.027240695,7.8317,0.25878662,-0.013620348,0.31326798,2017-11-20 01:57:40,NaN
6.1923633,0.034476504,8.188004,226.0,5.924851,0.027240695,7.8180795,0.2043052,0.027240695,0.8172208,2017-11-20 01:57:41,NaN
6.211517,0.063206926,7.865791,220.0,5.88399,0.027240695,7.8453197,0.38136974,0.013620348,-0.10896278,2017-11-20 01:57:42,NaN
6.1827865,0.015322892,8.112188,225.0,5.9112306,0.040861044,7.8317,0.27240694,-0.040861044,0.32688835,2017-11-20 01:57:43,NaN
6.211517,-0.022984335,8.131143,224.0,5.952092,0.040861044,7.7908387,0.25878662,-0.040861044,0.28602728,2017-11-20 01:57:44,NaN
6.20194,0.034476504,8.131143,226.0,5.9657125,0.027240695,7.7908387,0.24516624,-0.027240695,0.35412902,2017-11-20 01:57:45,NaN
5.8667517,0.044053312,8.320681,229.0,5.89761,0.027240695,7.8317,0.040861044,0.013620348,0.49033248,2017-11-20 01:57:46,NaN
