ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.6968231,-0.15690613,9.620331,1.0,0.17453292,0.030920202,-0.0,-0.011740592,0.13575944,-0.9901896,0.13575944,-0.011740592,0.9901896,2017-11-21 19:32:50,44.653967947546136
2.687027,-0.088256836,9.590897,1.0,0.17453292,0.19047582,-0.0,-0.020044921,-0.13431421,0.9722535,-0.13431421,-0.020044921,-0.9722535,2017-11-21 19:32:51,31.454962498378734
2.657608,-0.088256836,9.522263,3.0,0.17453292,0.19687052,-1.27854466E14,-0.021684647,-0.13490596,0.97086155,-0.13490596,-0.021684647,-0.97086155,2017-11-21 19:32:52,29.471234225990656
2.7752838,-0.05883789,9.561478,1.0,0.17453292,0.18902595,-1.27854466E14,-0.024236074,-0.13877618,0.9718143,-0.13877618,-0.024236074,-0.9718143,2017-11-21 19:32:53,55.01721063224598
2.716446,-0.06864929,9.610519,3.0,0.17453292,0.19761886,-1.0469387E-38,-0.024180798,-0.13777997,0.97024673,-0.13777997,-0.024180798,-0.97024673,2017-11-21 19:32:54,57.320151233849
2.7458649,-0.029418945,9.5516815,3.0,0.17453292,0.2008847,-1.0469387E-38,-0.024159437,-0.13716896,0.969663,-0.13716896,-0.024159437,-0.969663,2017-11-21 19:32:56,57.41693634400505
2.7654724,-0.07846069,9.600708,3.0,0.17453292,0.19033696,-1.0469387E-38,-0.023405757,-0.13776776,0.9717222,-0.13776776,-0.023405757,-0.9717222,2017-11-21 19:32:57,52.1214018411818
2.7556763,-0.06864929,9.54187,1.0,0.17453292,0.1846924,-1.8890782E31,-0.02281021,-0.1390035,0.9726492,-0.1390035,-0.02281021,-0.9726492,2017-11-21 19:32:58,59.024180074021295
2.7458649,-0.06864929,9.5516815,1.0,0.17453292,0.19054641,-1.8890782E31,-0.02394891,-0.13935019,0.9714422,-0.13935019,-0.02394891,-0.9714422,2017-11-21 19:32:59,52.09530727483447
2.7360535,-0.07846069,9.590897,3.0,0.17453292,0.19503072,-1.8890782E31,-0.023053719,-0.13772777,0.9708051,-0.13772777,-0.023053719,-0.9708051,2017-11-21 19:33:00,46.342823299973794
2.7850952,-0.039230347,9.610519,3.0,0.17453292,0.18597943,-1.0469387E-38,-0.023494925,-0.13879551,0.9724173,-0.13879551,-0.023494925,-0.9724173,2017-11-21 19:33:01,63.044445125685854
2.7654724,-0.088256836,9.5811,3.0,0.17453292,0.1941874,-1.0469387E-38,-0.023259815,-0.13799414,0.9709314,-0.13799414,-0.023259815,-0.9709314,2017-11-21 19:33:02,63.613514775643964
2.7850952,-0.039230347,9.492844,3.0,0.17453292,0.18977593,-1.0469387E-38,-0.023723567,-0.13953198,0.9715725,-0.13953198,-0.023723567,-0.9715725,2017-11-21 19:33:03,36.425570622827145
2.8145142,-0.05883789,9.620331,3.0,0.17453292,0.18840468,-1.0469387E-38,-0.023089021,-0.13885784,0.9719512,-0.13885784,-0.023089021,-0.9719512,2017-11-21 19:33:04,55.138511802580226
2.7752838,-0.088256836,9.610519,3.0,0.17453292,0.18928035,-1.0469387E-38,-0.02305113,-0.13807462,0.9718935,-0.13807462,-0.02305113,-0.9718935,2017-11-21 19:33:05,56.9448029732072
2.7752838,-0.04902649,9.5516815,1.0,0.17453292,0.18698487,-1.0469387E-38,-0.024060227,-0.13860442,0.97223794,-0.13860442,-0.024060227,-0.97223794,2017-11-21 19:33:06,29.343129843155836
2.7556763,-0.039230347,9.5811,1.0,0.17453292,0.18608733,-1.0469387E-38,-0.023488265,-0.13920993,0.9723376,-0.13920993,-0.023488265,-0.9723376,2017-11-21 19:33:07,30.089376699550723
2.7654724,-0.05883789,9.5516815,1.0,0.17453292,0.18728256,-1.0469387E-38,-0.023838913,-0.13877459,0.97216177,-0.13877459,-0.023838913,-0.97216177,2017-11-21 19:33:08,39.410780749865665
2.8047028,-0.06864929,9.5516815,3.0,0.17453292,0.18752767,-1.0469387E-38,-0.02362693,-0.13958254,0.97200406,-0.13958254,-0.02362693,-0.97200406,2017-11-21 19:33:09,62.17965740658465
2.7360535,-0.10787964,9.571289,1.0,0.17453292,0.18634114,-1.0469387E-38,-0.023153305,-0.13880107,0.9723555,-0.13880107,-0.023153305,-0.9723555,2017-11-21 19:33:10,61.85474673993008
2.7752838,-0.039230347,9.620331,1.0,0.17453292,0.1836943,-1.0469387E-38,-0.02348664,-0.1400434,0.97267294,-0.1400434,-0.02348664,-0.97267294,2017-11-21 19:33:11,33.25652336992543
2.7752838,-0.088256836,9.630127,1.0,0.17453292,0.1841945,-1.0469387E-38,-0.022792747,-0.13958341,0.97266096,-0.13958341,-0.022792747,-0.97266096,2017-11-21 19:33:12,65.78055625605414
2.7458649,-0.088256836,9.630127,1.0,0.17453292,0.18496236,-4.224586E-39,-0.023230715,-0.13976118,0.97247934,-0.13976118,-0.023230715,-0.97247934,2017-11-21 19:33:13,49.82035113130835
2.8047028,-0.04902649,9.5516815,1.0,0.17453292,0.18150254,-4.224586E-39,-0.022895955,-0.1408919,0.9729759,-0.1408919,-0.022895955,-0.9729759,2017-11-21 19:33:14,36.85923589321257
2.726242,-0.05883789,9.522263,1.0,0.17453292,0.18436728,-4.224586E-39,-0.022521801,-0.13808884,0.9728479,-0.13808884,-0.022521801,-0.9728479,2017-11-21 19:33:15,52.67770464894419
2.7654724,0.0,9.522263,1.0,0.17453292,0.18704617,-4.224586E-39,-0.02401007,-0.13892446,0.9721817,-0.13892446,-0.02401007,-0.9721817,2017-11-21 19:33:16,52.23506121648035
2.7556763,-0.039230347,9.512451,1.0,0.17453292,0.18888892,-4.224586E-39,-0.024346696,-0.13937399,0.9717526,-0.13937399,-0.024346696,-0.9717526,2017-11-21 19:33:17,53.679231228604095
2.7654724,-0.05883789,9.5811,1.0,0.17453292,0.1897438,-4.224586E-39,-0.024382873,-0.13865997,0.97168726,-0.13865997,-0.024382873,-0.97168726,2017-11-21 19:33:18,61.4549328822432
2.8145142,-0.019607544,9.600708,1.0,0.17453292,0.1832879,-4.224586E-39,-0.023289058,-0.1396254,0.97281444,-0.1396254,-0.023289058,-0.97281444,2017-11-21 19:33:19,47.287653517640265
2.7850952,-0.04902649,9.571289,1.0,0.17453292,0.182614,-4.224586E-39,-0.02263475,-0.13939802,0.9729892,-0.13939802,-0.02263475,-0.9729892,2017-11-21 19:33:20,57.04223079824373
2.7948914,-0.019607544,9.54187,1.0,0.17453292,0.18139388,-4.224586E-39,-0.023704099,-0.13963349,0.9731582,-0.13963349,-0.023704099,-0.9731582,2017-11-21 19:33:21,56.38523498804225
2.7948914,-0.019607544,9.54187,1.0,0.17453292,0.18212922,-4.224586E-39,-0.02390713,-0.14014986,0.97294164,-0.14014986,-0.02390713,-0.97294164,2017-11-21 19:33:22,60.77399132563866
2.7948914,-0.07846069,9.5516815,3.0,0.17453292,0.18320945,-4.224586E-39,-0.023138631,-0.14019339,0.9727511,-0.14019339,-0.023138631,-0.9727511,2017-11-21 19:33:23,63.1610269937937
2.7752838,-0.039230347,9.463425,3.0,0.17453292,0.18424131,-4.224586E-39,-0.023715466,-0.13949256,0.9726431,-0.13949256,-0.023715466,-0.9726431,2017-11-21 19:33:24,44.702504058935574
2.7948914,-0.06864929,9.54187,3.0,0.17453292,0.18319348,-4.224586E-39,-0.023172189,-0.14032938,0.97273374,-0.14032938,-0.023172189,-0.97273374,2017-11-21 19:33:25,49.71996455701975
2.7850952,-0.04902649,9.54187,3.0,0.17453292,0.18379438,-4.224586E-39,-0.023669422,-0.13986227,0.9726757,-0.13986227,-0.023669422,-0.9726757,2017-11-21 19:33:26,58.11994345417791
2.8047028,-0.019607544,9.590897,1.0,0.17453292,0.18453026,-4.224586E-39,-0.02424029,-0.13928817,0.97260463,-0.13928817,-0.02424029,-0.97260463,2017-11-21 19:33:27,44.09232751486117
2.8145142,-0.009811401,9.492844,3.0,0.17453292,0.17878656,-4.224586E-39,-0.02292265,-0.14071767,0.9735032,-0.14071767,-0.02292265,-0.9735032,2017-11-21 19:33:28,38.13442461102777
2.8145142,-0.04902649,9.54187,1.0,0.17453292,0.18076254,-4.224586E-39,-0.023334024,-0.14021452,0.9732011,-0.14021452,-0.023334024,-0.9732011,2017-11-21 19:33:29,61.93185666722211
2.7654724,-0.029418945,9.5811,1.0,0.17453292,0.18410915,-4.224586E-39,-0.023353806,-0.13935429,0.97269666,-0.13935429,-0.023353806,-0.97269666,2017-11-21 19:33:30,53.17774611961777
2.8145142,-0.06864929,9.5516815,1.0,0.17453292,0.1851719,-4.224586E-39,-0.023282511,-0.13928312,0.9725068,-0.13928312,-0.023282511,-0.9725068,2017-11-21 19:33:31,49.74836184155776
2.8047028,-0.04902649,9.463425,1.0,0.17453292,0.17584781,-4.224586E-39,-0.022706065,-0.14070688,0.9740449,-0.14070688,-0.022706065,-0.9740449,2017-11-21 19:33:32,63.354550887833625
2.8047028,-0.05883789,9.5516815,1.0,0.17453292,0.17793937,-4.224586E-39,-0.023123834,-0.13950218,0.97382855,-0.13950218,-0.023123834,-0.97382855,2017-11-21 19:33:33,60.15963503932525
2.7850952,-0.05883789,9.561478,1.0,0.17453292,0.17572224,-4.224586E-39,-0.022869712,-0.14049566,0.9740943,-0.14049566,-0.022869712,-0.9740943,2017-11-21 19:33:34,62.08688058183541
2.7948914,-0.039230347,9.610519,3.0,0.17453292,0.17506112,-4.224586E-39,-0.02302911,-0.14056315,0.97419983,-0.14056315,-0.02302911,-0.97419983,2017-11-21 19:33:35,56.08234026828383
2.8145142,-0.009811401,9.5811,3.0,0.17453292,0.1758741,-4.224586E-39,-0.022902459,-0.14077428,0.97402585,-0.14077428,-0.022902459,-0.97402585,2017-11-21 19:33:36,61.31509456173791
2.7752838,-0.06864929,9.532059,3.0,0.17453292,0.17590478,-4.224586E-39,-0.023203636,-0.14026687,0.9740864,-0.14026687,-0.023203636,-0.9740864,2017-11-21 19:33:37,51.27950414575051
2.7948914,-0.05883789,9.483032,3.0,0.17453292,0.17463031,-4.224586E-39,-0.02261498,-0.13993461,0.9743773,-0.13993461,-0.02261498,-0.9743773,2017-11-21 19:33:38,54.82230295890761
2.8341217,-0.04902649,9.512451,1.0,0.17453292,0.17404789,-4.224586E-39,-0.022467587,-0.14044172,0.97441196,-0.14044172,-0.022467587,-0.97441196,2017-11-21 19:33:39,60.738894353404696
2.8243103,-0.04902649,9.492844,3.0,0.17453292,0.17593752,-4.224586E-39,-0.02339501,-0.14058438,0.97403014,-0.14058438,-0.02339501,-0.97403014,2017-11-21 19:33:40,57.43647632504537
2.843933,-0.04902649,9.50264,3.0,0.17453292,0.17665114,-4.224586E-39,-0.022034321,-0.13991171,0.97402954,-0.13991171,-0.022034321,-0.97402954,2017-11-21 19:33:41,64.25071475561525
2.7850952,-0.06864929,9.5516815,3.0,0.17453292,0.17592366,-4.224586E-39,-0.023005622,-0.14057165,0.9740437,-0.14057165,-0.023005622,-0.9740437,2017-11-21 19:33:42,58.6662394608737
2.8243103,-0.06864929,9.50264,3.0,0.17453292,0.17658088,-4.224586E-39,-0.022763558,-0.14001548,0.9740106,-0.14001548,-0.022763558,-0.9740106,2017-11-21 19:33:43,52.278823279183094
2.8047028,-0.039230347,9.561478,1.0,0.17453292,0.17412561,-4.224586E-39,-0.022743933,-0.14129296,0.9742686,-0.14129296,-0.022743933,-0.9742686,2017-11-21 19:33:44,59.62722436532124
2.7850952,-0.07846069,9.590897,1.0,0.17453292,0.18294229,-4.224586E-39,-0.023670755,-0.14027071,0.9727774,-0.14027071,-0.023670755,-0.9727774,2017-11-21 19:33:45,61.467197512377105
2.8341217,-0.04902649,9.5811,1.0,0.17453292,0.17494373,-1.8890782E31,-0.023504999,-0.14097294,0.9741503,-0.14097294,-0.023504999,-0.9741503,2017-11-21 19:33:46,44.61267619846552
2.8047028,-0.06864929,9.532059,1.0,0.17453292,0.17499973,-1.8890782E31,-0.023539305,-0.14085409,0.9741566,-0.14085409,-0.023539305,-0.9741566,2017-11-21 19:33:47,59.277330250140565
2.8047028,-0.039230347,9.620331,1.0,0.17453292,0.17569295,-1.8890782E31,-0.02307746,-0.14025722,0.974129,-0.14025722,-0.02307746,-0.974129,2017-11-21 19:33:48,65.61902734992246
2.7850952,0.0,9.50264,1.0,0.17453292,0.17605947,-1.8890782E31,-0.023570413,-0.13998729,0.97408986,-0.13998729,-0.023570413,-0.97408986,2017-11-21 19:33:49,63.167441188812774
2.8341217,-0.05883789,9.659546,1.0,0.17453292,0.17558326,-1.8890782E31,-0.02303359,-0.14034452,0.97413725,-0.14034452,-0.02303359,-0.97413725,2017-11-21 19:33:50,58.75084004445881
2.8145142,-0.009811401,9.522263,3.0,0.17453292,0.17590079,-1.8890782E31,-0.022533258,-0.14005263,0.9741337,-0.14005263,-0.022533258,-0.9741337,2017-11-21 19:33:51,34.32958961734405
2.7850952,-0.019607544,9.620331,3.0,0.17453292,0.17524326,-1.8890782E31,-0.022481922,-0.14058957,0.97417605,-0.14058957,-0.022481922,-0.97417605,2017-11-21 19:33:52,63.120886584230064
2.8145142,-0.039230347,9.50264,3.0,0.17453292,0.17471339,-1.8890782E31,-0.023334768,-0.14107613,0.9741808,-0.14107613,-0.023334768,-0.9741808,2017-11-21 19:33:53,42.16015153912359
2.7850952,-0.039230347,9.610519,3.0,0.17453292,0.17530978,-1.8890782E31,-0.023161458,-0.14049336,0.97416204,-0.14049336,-0.023161458,-0.97416204,2017-11-21 19:33:54,59.54250660866676
2.8145142,-0.039230347,9.571289,1.0,0.17453292,0.17404297,-1.8890782E31,-0.02308109,-0.14125323,0.9742812,-0.14125323,-0.02308109,-0.9742812,2017-11-21 19:33:55,63.91021980757386
2.8047028,-0.04902649,9.600708,1.0,0.17453292,0.17587383,-1.8890782E31,-0.022951918,-0.13958518,0.97419584,-0.13958518,-0.022951918,-0.97419584,2017-11-21 19:33:56,47.19541594206988
