ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-1.963,9.768,-0.593,7.0,2016-12-31 09:22:28,-Infinity
-0.469,9.807,-1.857,8.0,2016-12-31 09:22:29,-Infinity
0.143,9.615,-2.126,8.0,2016-12-31 09:22:30,-Infinity
6.885,5.286,4.96,19.0,2016-12-31 09:22:31,-Infinity
-7.518,0.306,-5.956,4.0,2016-12-31 09:22:32,-Infinity
-4.568,1.494,-9.174,0.0,2016-12-31 09:22:33,-Infinity
8.265,3.524,-3.658,7.0,2016-12-31 09:22:34,-Infinity
9.031,3.601,-1.015,9.0,2016-12-31 09:22:35,-Infinity
8.571,5.018,-1.589,8.0,2016-12-31 09:22:36,-Infinity
7.996,6.359,0.44,16.0,2016-12-31 09:22:37,-Infinity
8.494,5.478,-1.015,9.0,2016-12-31 09:22:38,-Infinity
8.111,5.324,-1.168,10.0,2016-12-31 09:22:39,-Infinity
7.881,4.903,-0.747,10.0,2016-12-31 09:22:40,-Infinity
8.916,3.332,0.823,12.0,2016-12-31 09:22:41,-Infinity
7.652,5.516,0.478,12.0,2016-12-31 09:22:42,-Infinity
8.571,5.095,-0.095,12.0,2016-12-31 09:22:43,-Infinity
7.881,5.439,0.44,10.0,2016-12-31 09:22:44,-Infinity
8.418,5.056,0.44,12.0,2016-12-31 09:22:45,-Infinity
8.533,4.941,0.325,12.0,2016-12-31 09:22:46,-Infinity
8.494,4.98,0.363,12.0,2016-12-31 09:22:47,-Infinity
8.456,4.903,0.363,12.0,2016-12-31 09:22:48,-Infinity
8.763,4.865,0.632,12.0,2016-12-31 09:22:49,-Infinity
8.456,4.788,0.785,12.0,2016-12-31 09:22:50,-Infinity
8.571,4.711,0.325,12.0,2016-12-31 09:22:51,-Infinity
8.648,4.673,0.44,12.0,2016-12-31 09:22:52,-Infinity
8.609,4.711,0.287,12.0,2016-12-31 09:22:53,-Infinity
8.686,4.788,0.249,12.0,2016-12-31 09:22:54,-Infinity
8.571,4.788,0.44,12.0,2016-12-31 09:22:55,-Infinity
8.724,4.597,0.44,12.0,2016-12-31 09:22:56,-Infinity
8.763,4.597,0.517,12.0,2016-12-31 09:22:57,-Infinity
8.686,4.558,0.402,12.0,2016-12-31 09:22:59,-Infinity
8.648,4.558,0.517,12.0,2016-12-31 09:23:00,-Infinity
8.801,4.558,0.363,12.0,2016-12-31 09:23:01,-Infinity
8.839,4.52,0.517,12.0,2016-12-31 09:23:02,-Infinity
8.839,4.482,0.287,12.0,2016-12-31 09:23:03,-Infinity
8.763,4.443,0.517,12.0,2016-12-31 09:23:04,-Infinity
9.337,3.064,1.206,12.0,2016-12-31 09:23:05,-Infinity
9.261,3.026,1.513,12.0,2016-12-31 09:23:06,-Infinity
9.222,3.064,1.436,12.0,2016-12-31 09:23:07,-Infinity
9.261,3.026,1.436,14.0,2016-12-31 09:23:08,-Infinity
9.261,2.988,1.551,14.0,2016-12-31 09:23:09,-Infinity
9.146,3.064,1.474,14.0,2016-12-31 09:23:10,-Infinity
9.222,3.026,1.628,14.0,2016-12-31 09:23:11,-Infinity
8.839,4.443,0.9,12.0,2016-12-31 09:23:12,-Infinity
8.801,4.213,0.823,12.0,2016-12-31 09:23:13,-Infinity
8.954,4.099,1.015,12.0,2016-12-31 09:23:14,-Infinity
8.992,3.754,1.398,14.0,2016-12-31 09:23:15,-Infinity
9.069,3.715,1.13,14.0,2016-12-31 09:23:16,-Infinity
8.226,3.486,2.279,14.0,2016-12-31 09:23:17,-Infinity
9.337,2.49,1.819,15.0,2016-12-31 09:23:18,-Infinity
9.337,2.336,1.781,15.0,2016-12-31 09:23:19,-Infinity
9.605,2.106,2.126,13.0,2016-12-31 09:23:20,-Infinity
9.414,2.26,1.666,13.0,2016-12-31 09:23:21,-Infinity
9.376,2.336,1.704,13.0,2016-12-31 09:23:22,-Infinity
9.376,2.528,1.589,13.0,2016-12-31 09:23:23,-Infinity
9.452,2.451,2.087,13.0,2016-12-31 09:23:24,-Infinity
9.376,2.336,1.743,13.0,2016-12-31 09:23:25,-Infinity
9.376,2.221,1.666,13.0,2016-12-31 09:23:26,-Infinity
9.414,2.26,1.819,15.0,2016-12-31 09:23:27,-Infinity
9.337,2.26,1.666,15.0,2016-12-31 09:23:28,-Infinity
9.376,2.298,1.819,15.0,2016-12-31 09:23:29,-Infinity
9.337,2.298,1.704,15.0,2016-12-31 09:23:30,-Infinity
9.376,2.26,1.857,15.0,2016-12-31 09:23:31,-Infinity
9.414,2.221,1.896,15.0,2016-12-31 09:23:32,-Infinity
9.414,2.221,1.781,15.0,2016-12-31 09:23:33,-Infinity
9.414,2.221,2.011,15.0,2016-12-31 09:23:35,-Infinity
9.414,2.298,2.547,15.0,2016-12-31 09:23:36,-Infinity
9.299,2.26,1.666,15.0,2016-12-31 09:23:37,-Infinity
9.414,2.26,1.819,15.0,2016-12-31 09:23:38,-Infinity
9.414,2.183,1.819,15.0,2016-12-31 09:23:39,-Infinity
9.414,2.221,1.781,15.0,2016-12-31 09:23:40,-Infinity
9.414,2.221,1.819,15.0,2016-12-31 09:23:41,-Infinity
9.376,2.221,1.781,15.0,2016-12-31 09:23:42,-Infinity
9.376,2.26,2.011,15.0,2016-12-31 09:23:43,-Infinity
9.337,2.26,1.704,15.0,2016-12-31 09:23:44,-Infinity
9.376,2.298,1.934,15.0,2016-12-31 09:23:45,-Infinity
9.414,2.183,1.857,15.0,2016-12-31 09:23:46,-Infinity
9.414,2.145,1.398,15.0,2016-12-31 09:23:47,-Infinity
9.376,2.183,1.896,15.0,2016-12-31 09:23:48,-Infinity
9.452,2.221,1.743,15.0,2016-12-31 09:23:49,-Infinity
9.376,2.298,1.781,15.0,2016-12-31 09:23:50,-Infinity
9.414,2.26,1.857,15.0,2016-12-31 09:23:51,-Infinity
9.376,2.26,1.781,15.0,2016-12-31 09:23:52,-Infinity
