ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
3.8786068,0.45968673,8.963891,51.0,2017-01-27 12:24:34,NaN
4.2425256,0.58418524,8.810662,45.0,2017-01-27 12:24:35,NaN
3.7732618,0.51714754,9.011775,48.0,2017-01-27 12:24:36,NaN
4.156334,0.4405331,8.829816,46.0,2017-01-27 12:24:37,NaN
5.2768207,1.043872,8.360553,43.0,2017-01-27 12:24:38,NaN
5.439626,-0.8331822,8.255207,50.0,2017-01-27 12:24:39,NaN
5.142745,-1.1013328,8.178593,41.0,2017-01-27 12:24:40,NaN
4.3957543,-1.0630256,8.686164,46.0,2017-01-27 12:24:41,NaN
4.501099,-1.3120226,8.63828,34.0,2017-01-27 12:24:42,NaN
3.2465374,2.1547816,8.063671,59.0,2017-01-27 12:24:43,NaN
-0.19153613,0.39264908,9.672575,43.0,2017-01-27 12:24:44,NaN
-0.18195933,0.40222588,9.653421,48.0,2017-01-27 12:24:45,NaN
-0.18195933,0.38307226,9.653421,45.0,2017-01-27 12:24:46,NaN
-0.18195933,0.38307226,9.662998,45.0,2017-01-27 12:24:47,NaN
-0.17238252,0.39264908,9.662998,45.0,2017-01-27 12:24:49,NaN
-0.16280572,0.40222588,9.653421,48.0,2017-01-27 12:24:50,NaN
0.1436521,1.1779473,9.682152,31.0,2017-01-27 12:24:51,NaN
6.7803793,0.7469909,6.895301,48.0,2017-01-27 12:24:52,NaN
2.0590134,3.4572272,8.944737,44.0,2017-01-27 12:24:53,NaN
0.7469909,1.7812861,9.576807,23.0,2017-01-27 12:24:54,NaN
1.0534488,0.9768343,9.586384,7.0,2017-01-27 12:24:55,NaN
0.6895301,1.340753,9.557653,5.0,2017-01-27 12:24:56,NaN
0.38307226,1.4460979,10.093954,12.0,2017-01-27 12:24:57,NaN
0.4213795,1.4269443,9.615114,49.0,2017-01-27 12:24:58,NaN
0.4213795,1.4173675,9.624691,47.0,2017-01-27 12:24:59,NaN
0.41180268,1.4269443,9.634268,50.0,2017-01-27 12:25:00,NaN
0.4213795,1.4269443,9.643845,52.0,2017-01-27 12:25:01,NaN
0.4309563,1.4077905,9.624691,50.0,2017-01-27 12:25:02,NaN
0.41180268,1.4077905,9.624691,46.0,2017-01-27 12:25:03,NaN
0.4213795,1.4173675,9.624691,49.0,2017-01-27 12:25:04,NaN
0.4213795,1.3982137,9.624691,52.0,2017-01-27 12:25:05,NaN
0.4213795,1.4077905,9.624691,51.0,2017-01-27 12:25:06,NaN
0.41180268,1.4173675,9.624691,53.0,2017-01-27 12:25:07,NaN
0.41180268,1.4077905,9.634268,51.0,2017-01-27 12:25:08,NaN
0.41180268,1.4173675,9.634268,53.0,2017-01-27 12:25:09,NaN
0.40222588,1.3982137,9.624691,53.0,2017-01-27 12:25:10,NaN
0.40222588,1.4077905,9.634268,53.0,2017-01-27 12:25:11,NaN
0.40222588,1.4077905,9.643845,53.0,2017-01-27 12:25:12,NaN
0.40222588,1.3982137,9.624691,53.0,2017-01-27 12:25:13,NaN
0.41180268,1.4077905,9.634268,54.0,2017-01-27 12:25:14,NaN
0.40222588,1.4077905,9.634268,55.0,2017-01-27 12:25:15,NaN
0.40222588,1.3982137,9.634268,54.0,2017-01-27 12:25:16,NaN
0.39264908,1.3982137,9.643845,54.0,2017-01-27 12:25:17,NaN
