ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
-2.7447128,-2.936249,8.930643,0.0,-3.214402,-2.7921712,8.839605,0.46309182,-0.13620347,0.0,2017-02-03 06:49:42,43.724209013315644
-2.6776752,-2.8596344,8.960747,0.0,-2.8057916,-2.941995,8.934948,0.13620347,0.08172209,-0.08172209,2017-02-03 06:49:43,39.00586781040046
-0.063206926,-0.45585597,11.91087,0.0,-2.669588,-2.8875136,8.989429,-1.2803127,3.3914666,-0.14982383,2017-02-03 06:49:45,45.32584420860875
-0.65696895,9.274179,1.3546481,0.0,-2.941995,1.1713499,9.289077,2.901134,10.691973,-8.22669,2017-02-03 06:49:46,58.2874593844518
-0.13982138,9.015606,1.3345792,0.0,-1.525479,8.594439,4.4810944,0.6946377,0.46309182,-2.165635,2017-02-03 06:49:47,35.40752650916395
-0.8389283,10.337205,2.9802258,0.0,-0.55843425,9.547864,2.2064962,0.8036005,0.5448139,-0.8580819,2017-02-03 06:49:48,54.461966440479245
0.5209783,9.0347595,3.331431,0.0,-0.14982383,9.316318,3.0645783,0.8036005,-0.14982383,0.5448139,2017-02-03 06:49:49,60.015464654108904
0.9232042,8.82407,2.4785044,0.0,0.667397,9.071152,3.677494,-0.14982383,-0.10896278,-0.98066497,2017-02-03 06:49:50,52.9343643995787
0.2624045,8.8528,2.9902604,0.0,0.7627395,9.357179,2.8875136,-0.42223078,-0.47671217,0.13620347,2017-02-03 06:49:51,49.05092093919217
0.21452047,8.804916,3.2009833,0.0,0.31326798,9.302697,3.13268,-0.12258312,-0.46309182,0.027240695,2017-02-03 06:49:52,28.663676539786152
0.63589996,8.996452,2.7594683,0.0,0.23154591,9.248216,3.296124,1.0079057,-0.3949901,-0.35412902,2017-02-03 06:49:53,36.7921404706594
1.4116213,8.345229,3.803049,0.0,1.0351465,9.139253,3.405087,0.16344418,-0.667397,1.2258313,2017-02-03 06:49:54,43.119657596250775
1.3924677,8.718725,3.5923262,0.0,1.3892754,8.975809,3.718355,-0.2043052,-0.25878662,-0.58567494,2017-02-03 06:49:55,39.498220275468945
1.2105083,8.364383,4.0238066,0.0,1.4709975,9.01667,3.5957716,-0.17706451,-0.5992953,0.50395286,2017-02-03 06:49:56,43.539649217052805
1.1434708,8.37396,4.1241508,0.0,1.4028958,8.812365,4.0861044,-0.24516624,-0.44947144,0.08172209,2017-02-03 06:49:57,45.262029128823194
1.1243172,8.364383,4.244564,0.0,1.2122109,8.717022,4.33127,-0.12258312,-0.36774936,-0.095342435,2017-02-03 06:49:58,28.35159266152179
1.1243172,8.326076,4.1943917,0.0,1.1577295,8.703402,4.385752,-0.027240695,-0.4086104,-0.21792556,2017-02-03 06:49:59,28.790806402007682
1.1243172,8.326076,4.1341853,0.0,1.1577295,8.689781,4.3993726,-0.05448139,-0.38136974,-0.2043052,2017-02-03 06:50:00,29.04866785115778
1.0955867,8.345229,4.2044263,0.0,1.1441091,8.703402,4.3993726,-0.095342435,-0.38136974,-0.13620347,2017-02-03 06:50:01,33.917863655608386
