ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.636,1.601,0.839,-0.0017319478,0.00532907,0.0070610177,0.0,9.64,1.605,0.811,0.005,-0.014,-0.002,-0.225421,-0.638613,-0.35559,2017-07-08 08:37:22,72.10559419944082
9.655,1.621,0.809,-0.001598721,0.0065281107,0.0055955234,0.0,9.639,1.607,0.816,-0.013,0.023,-0.036,-0.223253,-0.639153,-0.353673,2017-07-08 08:37:23,68.69401567406376
9.194,-0.29,2.476,-0.07180922,2.0419664,1.4211297,0.0,9.582,0.016,2.086,-0.142,-0.247,-0.639,-0.264255,-0.569023,-0.329176,2017-07-08 08:37:24,70.80816110238148
10.136,-5.821,4.879,-0.83533174,-0.26072475,0.8714362,0.0,6.812,-6.948,1.217,0.126,0.441,-0.486,-0.500545,-0.432895,-0.046774,2017-07-08 08:37:25,56.32900816214227
5.203,-8.273,-1.415,0.2664535,0.1300293,-0.021449506,0.0,5.28,-8.174,-1.21,0.01,-0.009,-0.263,-0.636402,-0.395884,-0.011267,2017-07-08 08:37:26,70.95079294104056
6.056,-7.753,0.525,-0.029043432,-0.01638689,-0.019051425,0.0,6.046,-7.697,0.597,-0.009,-0.016,-0.072,-0.553106,-0.404462,-0.025044,2017-07-08 08:37:27,74.79950329047271
6.125,-7.684,0.368,0.0075939246,-0.002131628,0.0018651745,0.0,6.073,-7.681,0.519,0.041,0.017,-0.131,-0.560498,-0.399189,-0.036361,2017-07-08 08:37:28,68.26950650323872
6.174,-7.635,0.495,-2.664535E-4,0.003730349,-0.001065814,0.0,6.098,-7.653,0.631,0.065,0.018,-0.145,-0.556556,-0.397531,-0.038288,2017-07-08 08:37:29,61.687545526041674
5.948,-7.812,0.368,0.1309619,0.01105782,-0.08646416,0.0,5.881,-7.832,0.471,0.045,0.001,-0.167,-0.568726,-0.390525,-0.030666,2017-07-08 08:37:30,63.073141313822546
6.076,-7.674,0.544,0.03077538,0.00492939,-0.0094591,0.0,5.998,-7.728,0.681,0.106,0.024,-0.244,-0.55504,-0.396477,-0.029087,2017-07-08 08:37:31,40.1752348716674
6.125,-7.664,0.603,-0.08752998,-0.038902212,-0.004662936,0.0,5.991,-7.714,0.869,0.125,0.051,-0.203,-0.549699,-0.391781,-0.030321,2017-07-08 08:37:32,72.50331202749832
6.194,-7.615,0.554,-1.3322676E-4,0.001065814,0.011457501,0.0,6.056,-7.677,0.737,0.127,0.071,-0.193,-0.555461,-0.392255,-0.038891,2017-07-08 08:37:33,64.6995384383664
6.194,-7.606,0.584,9.3258725E-4,-1.3322676E-4,0.0035971224,0.0,6.068,-7.67,0.715,0.134,0.064,-0.141,-0.559367,-0.388104,-0.045909,2017-07-08 08:37:34,74.91093466205359
6.203,-7.625,0.594,-0.005462297,-0.0027977617,0.0022648547,0.0,6.093,-7.653,0.68,0.1,0.047,-0.106,-0.562418,-0.385984,-0.051803,2017-07-08 08:37:35,64.0793591630171
6.203,-7.615,0.594,-0.001065814,0.001598721,-3.9968026E-4,0.0,6.112,-7.639,0.664,0.09,0.025,-0.068,-0.563372,-0.385634,-0.054396,2017-07-08 08:37:36,56.80943533814421
6.223,-7.606,0.574,7.993605E-4,-6.6613377E-4,0.0038635759,0.0,6.126,-7.63,0.649,0.086,0.044,-0.075,-0.56418,-0.38548,-0.056245,2017-07-08 08:37:37,61.77010511538268
6.223,-7.586,0.594,0.001065814,0.0059952037,0.0018651745,0.0,6.134,-7.623,0.646,0.078,0.037,-0.003,-0.56483,-0.384725,-0.058049,2017-07-08 08:37:38,61.72354046786638
6.252,-7.566,0.603,0.0038635759,0.004396483,0.0,0.0,6.146,-7.614,0.632,0.076,0.048,-0.048,-0.565543,-0.384605,-0.05969,2017-07-08 08:37:39,71.94372669836518
6.262,-7.566,0.584,0.002131628,-0.001065814,-0.0014654943,0.0,6.154,-7.609,0.631,0.078,0.043,-0.037,-0.56622,-0.383638,-0.061626,2017-07-08 08:37:40,66.12855232630565
6.252,-7.557,0.594,0.0,-0.0019984012,-0.003730349,0.0,6.161,-7.603,0.627,0.087,0.044,-0.032,-0.566862,-0.383006,-0.063257,2017-07-08 08:37:41,62.63943417114422
6.262,-7.557,0.603,-0.0061284304,-0.003730349,0.0057287505,0.0,6.17,-7.596,0.631,0.091,0.059,-0.028,-0.567079,-0.382411,-0.064744,2017-07-08 08:37:42,70.59225766507409
6.252,-7.576,0.633,-0.011723954,-0.0050626164,5.32907E-4,0.0,6.169,-7.596,0.638,0.092,0.039,-0.005,-0.567525,-0.381275,-0.066002,2017-07-08 08:37:43,64.17118624719988
5.684,-7.87,1.466,0.086730614,-0.025446309,-0.0051958435,0.0,5.664,-7.876,1.427,0.038,-0.003,0.088,-0.550714,-0.352031,-0.041395,2017-07-08 08:37:44,68.60257808246581
5.791,-7.723,1.79,-0.010791367,0.020783374,-0.04676259,0.0,5.79,-7.75,1.606,-0.008,-0.031,0.085,-0.539989,-0.35568,-0.045124,2017-07-08 08:37:45,70.68441023719092
5.89,-7.684,1.672,-0.00985878,-0.0059952037,0.0059952037,0.0,5.894,-7.684,1.542,0.004,0.01,0.139,-0.541063,-0.358615,-0.052467,2017-07-08 08:37:46,55.320140594755216
5.899,-7.664,1.702,-0.005462297,-0.001598721,0.0062616575,0.0,5.89,-7.685,1.551,0.008,0.011,0.14,-0.542005,-0.356522,-0.054813,2017-07-08 08:37:47,68.49803087519683
5.909,-7.674,1.692,-0.0055955234,-0.0038635759,-5.32907E-4,0.0,5.89,-7.683,1.56,0.018,0.028,0.131,-0.542875,-0.354547,-0.057436,2017-07-08 08:37:48,74.55119364770127
5.929,-7.645,1.692,-0.0067945644,-0.004662936,0.0034638955,0.0,5.894,-7.677,1.576,0.034,0.032,0.105,-0.542847,-0.353435,-0.05908,2017-07-08 08:37:49,71.45205569299927
5.919,-7.664,1.653,0.023714362,0.021449506,-0.013322676,0.0,5.89,-7.676,1.595,0.048,0.021,0.116,-0.542581,-0.352482,-0.059723,2017-07-08 08:37:50,69.85066737362398
5.939,-7.576,1.996,-0.013988809,-0.001598721,-0.010791367,0.0,5.897,-7.577,1.994,0.041,0.02,0.03,-0.528616,-0.344812,-0.064589,2017-07-08 08:37:51,64.12323141657238
5.968,-7.527,2.045,-5.32907E-4,-0.0011990408,0.0059952037,0.0,5.91,-7.563,2.005,0.047,0.016,0.019,-0.528517,-0.344081,-0.066846,2017-07-08 08:37:52,66.43526946097077
5.978,-7.517,2.035,3.9968026E-4,-0.0017319478,0.0039968025,0.0,5.914,-7.559,2.008,0.064,0.042,0.023,-0.528421,-0.344007,-0.067279,2017-07-08 08:37:53,64.50683119239966
5.978,-7.508,2.025,0.0,0.004662936,0.00492939,0.0,5.918,-7.556,2.012,0.069,0.019,0.003,-0.528267,-0.343989,-0.067648,2017-07-08 08:37:54,74.97782027699877
5.988,-7.537,2.025,0.00532907,0.004263256,-0.0025313082,0.0,5.917,-7.556,2.012,0.069,0.018,0.01,-0.528297,-0.343926,-0.067642,2017-07-08 08:37:55,76.11089745615025
5.997,-7.498,2.016,-1.3322676E-4,-0.050626166,0.0061284304,0.0,5.923,-7.553,2.006,0.064,0.026,0.038,-0.528467,-0.344135,-0.068105,2017-07-08 08:37:56,73.17328510971257
5.929,-7.468,2.31,0.047295496,-0.0030642152,-0.0070610177,0.0,5.861,-7.532,2.253,0.057,0.015,-0.022,-0.519316,-0.339759,-0.064211,2017-07-08 08:37:57,74.28038309831246
6.017,-7.429,2.28,0.002131628,0.0017319478,0.0025313082,0.0,5.963,-7.446,2.268,0.063,0.017,0.002,-0.513926,-0.346733,-0.064053,2017-07-08 08:37:58,64.36211711970475
6.037,-7.439,2.241,-0.004396483,-0.0023980816,-0.003197442,0.0,5.97,-7.442,2.264,0.046,0.003,-0.013,-0.51387,-0.347079,-0.064291,2017-07-08 08:37:59,46.168222682214235
6.056,-7.419,2.221,-0.016520116,0.0209166,0.00492939,0.0,5.974,-7.44,2.262,0.062,0.021,-0.031,-0.513802,-0.347371,-0.064318,2017-07-08 08:38:00,72.14299577522242
6.301,-7.468,0.888,0.066613376,0.05369038,0.025579536,0.0,6.247,-7.479,1.094,0.06,0.018,-0.198,-0.560836,-0.360086,-0.093074,2017-07-08 08:38:01,67.591247387422
