ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.7282226,-0.2703064,9.042133,9897.0,0.8173116,2.4805553,9.452473,-0.0025811791,-2.9474528,0.39173603,0.016392209,-0.110893644,-0.82581997,2017-08-01 16:11:52,40.666253315504875
3.762326,-2.8214538,8.554004,8130.0,3.253134,-1.7756033,9.079358,0.03537798,-0.7941599,-0.45104504,-0.18317184,0.059411004,-0.9643618,2017-08-01 16:11:53,44.60501405725775
3.7207305,-2.8602111,8.886949,7989.0,3.233674,-2.4886546,8.917418,0.033938885,-0.048749447,-0.009325981,-0.19173673,0.090533905,-0.95600045,2017-08-01 16:11:54,44.39551735213918
3.7585418,-2.883847,8.854974,7827.0,3.2647376,-2.634626,8.864007,0.02187705,0.016071558,-0.010605812,-0.14297847,-0.1660464,-0.032072097,2017-08-01 16:11:55,45.388276381198835
3.819989,-2.852658,8.89448,7810.0,3.2924771,-2.605667,8.862307,0.021334171,0.0226717,0.018885612,-0.13850239,-0.17019166,-0.013292943,2017-08-01 16:11:56,38.07137207718571
3.8228118,-2.8148468,8.926455,7826.0,3.2947896,-2.5355182,8.881773,-0.004208088,0.028139353,0.0048160553,-0.13498642,-0.16995177,-0.014125298,2017-08-01 16:11:57,44.79849806347042
3.7746093,-2.7543457,8.926455,7893.0,3.2887824,-2.488591,8.897259,-0.019108772,0.010093689,-0.011314392,-0.13213159,-0.17002147,-0.012577792,2017-08-01 16:11:58,49.67644978196447
3.6498382,-2.6853454,9.042133,7264.0,3.2068152,-2.4544032,8.936589,-0.08018494,-8.583069E-5,0.059638977,-0.13126658,-0.1666562,-0.013605971,2017-08-01 16:11:59,53.06260996794286
3.7075012,-2.7997253,8.925513,7110.0,3.2194657,-2.5143406,8.915353,-0.0019481182,0.018722057,0.018421173,-0.13543974,-0.1646195,-0.024833532,2017-08-01 16:12:00,48.949923034124716
3.6489074,-2.8214538,8.956548,7138.0,3.1839063,-2.5250585,8.925089,0.02064681,-0.062022924,0.0018339157,-0.13620475,-0.16213788,-0.025559507,2017-08-01 16:12:01,39.56493714216817
