ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,-0.3496802,-0.98507464,0.19509594,80.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-23 09:02:19,-2.6836087891061307
8.681,0.815,6.483,-0.53304905,-0.078891255,0.12899786,80.0,4.160917,0.5706014,-3.0221548,-0.21099897,-0.037409898,-0.9308487,2017-08-23 09:02:20,24.607686810533277
7.978,-1.282,4.826,-0.6012793,1.4200426,0.078891255,30.0,4.308406,1.5126336,-3.4355097,-0.24331824,0.090457655,-0.923801,2017-08-23 09:02:21,39.46356732519221
6.628,-5.127,1.41,-0.17803837,-0.16311301,0.12686567,10.0,3.5111165,2.9699602,-2.2462883,-0.31530002,0.46647725,-0.8053312,2017-08-23 09:02:22,33.97136669578929
7.631,-6.126,2.292,-0.20042644,0.22814499,-0.036247335,10.0,0.747674,0.20270395,-0.23881578,0.42881536,-0.42443958,0.7972143,2017-08-23 09:02:23,37.06065203982684
4.792,0.854,9.794,0.5042644,0.63965887,-0.5,10.0,-0.5108938,0.30466744,1.9544048,-0.28243837,-0.054661926,-0.94063246,2017-08-23 09:02:24,33.587412198727485
5.485,2.943,8.388,0.52025586,0.31130064,0.043710023,30.0,-0.43605042,0.86351025,-0.7489505,-0.28889155,-0.1487244,-0.9314911,2017-08-23 09:02:25,67.0208971329286
4.568,2.616,8.54,-0.011727079,0.035181236,0.02771855,30.0,-0.10778189,0.057207584,-0.11594772,-0.2324251,-0.15847485,-0.94734603,2017-08-23 09:02:26,51.004565883236246
1.996,-0.131,6.957,0.39339018,0.75692964,-0.19296375,30.0,-2.0476344,-2.5413935,-2.0673175,-0.20559809,-0.14435533,-0.95451075,2017-08-23 09:02:27,33.619571667344474
0.835,0.316,11.311,-0.62473345,1.0223881,-0.015991472,5.0,1.4551084,0.7127355,3.117015,-0.010242086,0.009569605,-0.9736068,2017-08-23 09:02:29,32.69030872202434
-0.942,0.433,10.018,-0.0074626864,-0.0021321962,-0.06289978,10.0,-0.58891827,0.29212692,0.10871506,-9.4991864E-4,0.0036363872,-0.97747856,2017-08-23 09:02:30,73.87017992451874
-0.055,0.207,10.026,-0.0042643924,0.0021321962,0.0,0.0,-0.020056881,0.045585796,0.011310577,-0.006530569,0.0031332143,-0.9774478,2017-08-23 09:02:31,54.75459180861218
-0.067,0.213,10.044,-0.0031982942,-0.0053304904,0.0,0.0,-0.028990924,0.030756596,0.005894661,-0.0064470707,0.0031202,-0.9787438,2017-08-23 09:02:32,35.73254724893986
-0.065,0.193,10.048,0.0031982942,0.0010660981,0.0010660981,0.0,-0.029589497,0.046318915,0.023851395,-0.006410417,0.0031948288,-0.9810571,2017-08-23 09:02:33,29.920674328011145
-0.064,0.207,10.04,0.0042643924,-0.0021321962,0.0,0.0,-0.03796921,0.04033341,0.008887291,-0.006410417,0.0031948288,-0.9810571,2017-08-23 09:02:34,38.53913245782437
-0.055,0.211,10.045,-0.0031982942,0.0021321962,0.0010660981,0.0,-0.035575002,0.03973486,0.01068306,-0.006410417,0.0031948288,-0.9810571,2017-08-23 09:02:35,33.30121947138296
-0.056,0.213,10.035,-0.0031982942,0.0,0.0,0.0,-0.028392375,0.039734844,0.0286417,-0.006365818,0.0032827933,-0.9836296,2017-08-23 09:02:36,30.743067029733304
-0.057,0.204,10.038,-0.0031982942,-0.0021321962,0.0,0.0,-0.028392404,0.037340675,0.0023031235,-0.0061597847,0.0036547822,-0.99258155,2017-08-23 09:02:37,28.688475532169996
-0.04,0.21,10.036,0.0010660981,0.0042643924,0.0,0.0,-0.014027223,0.041530512,0.0052957535,-0.00605614,0.0038240768,-0.99556375,2017-08-23 09:02:38,30.837219708185994
-0.057,0.199,10.029,0.0,0.0010660981,0.0,0.0,-0.03258229,0.03734066,0.014275551,-0.0060090646,0.0038976334,-0.9966336,2017-08-23 09:02:39,27.74735740063672
-0.071,0.198,10.05,-0.0021321962,0.0,0.0,0.0,-0.030188091,0.029559504,0.016669273,-0.0060090646,0.0038976334,-0.9966336,2017-08-23 09:02:40,26.677082593321856
-0.059,0.204,10.058,-0.0010660981,0.0,0.0,0.0,-0.03138519,0.031953696,0.0076904297,-0.0059858817,0.0039331443,-0.9970997,2017-08-23 09:02:41,39.59053043695156
-0.058,0.197,10.042,-0.0010660981,0.0010660981,0.0010660981,0.0,-0.032582298,0.032552253,0.010084152,-0.005876973,0.0040940926,-0.9987883,2017-08-23 09:02:42,39.12335831300602
-0.049,0.198,10.045,0.0010660981,0.0,0.0,0.0,-0.023604028,0.04033338,0.0112838745,-0.005822332,0.0041714315,-0.99934465,2017-08-23 09:02:43,38.05712532558712
-0.049,0.194,10.05,0.0010660981,0.0,0.0,0.0,-0.035575032,0.037340652,0.01906395,-0.0057919244,0.00421355,-0.99957573,2017-08-23 09:02:44,45.29995386520191
-0.057,0.194,10.034,0.0,0.0010660981,0.0,0.0,-0.024801128,0.022975445,0.0023040771,-0.0057919244,0.00421355,-0.99957573,2017-08-23 09:02:45,48.62163728582243
1.8,0.202,10.085,-0.0031982942,-0.03411514,0.06289978,0.0,1.6168151,-0.1467832,0.102025986,-0.009148563,0.004088234,-0.9996076,2017-08-23 09:02:46,34.52770227973214
-0.492,0.22,10.004,0.0063965884,0.0031982942,0.06609808,5.0,-1.1804669,0.24848029,0.12082958,-0.033690676,0.005338152,-0.99908006,2017-08-23 09:02:47,61.465987440241264
-0.078,0.195,10.048,-0.0010660981,0.0031982942,0.0,0.0,-0.19655158,0.009019867,0.014369965,-0.012715527,0.0032502157,-0.9996689,2017-08-23 09:02:48,61.156228336044435
-0.084,0.198,10.056,0.0,0.0010660981,0.0,0.0,-0.13304114,0.015987102,0.0038938522,-0.009607171,0.0030902838,-0.99973863,2017-08-23 09:02:49,37.69977957514085
-0.082,0.203,10.043,0.0010660981,0.0,0.0,0.0,-0.13962516,0.014790006,-0.0020923615,-0.00959268,0.0031349664,-0.99982333,2017-08-23 09:02:50,54.07024288904252
-0.084,0.209,10.042,-0.0010660981,0.0021321962,0.0,0.0,-0.1234643,0.014790013,0.0068864822,-0.009557394,0.0032409488,-0.9999376,2017-08-23 09:02:51,54.41812666509625
-0.073,0.197,10.044,-0.0010660981,0.0,0.0,0.0,-0.12645702,0.0058117583,0.01646328,-0.009558576,0.0032374572,-0.99993575,2017-08-23 09:02:52,30.98848131890859
-0.084,0.207,10.049,0.0,0.0010660981,0.0010660981,0.0,-0.12047153,0.013592921,0.0110759735,-0.00954617,0.0032738599,-0.9999482,2017-08-23 09:02:53,27.881511022430768
-0.084,0.207,10.044,0.0,0.0021321962,0.0,0.0,-0.13064687,0.017782766,0.009878159,0.009539674,-0.0032927373,0.9999489,2017-08-23 09:02:54,49.89648706718371
-0.081,0.207,10.041,0.0,0.0010660981,0.0,0.0,-0.13124539,0.018979866,0.018857956,0.009527647,-0.0033273748,0.9999399,2017-08-23 09:02:55,31.38064511171528
-0.086,0.205,10.041,-0.0010660981,0.0,0.0,0.0,-0.13363963,0.009403061,0.015863419,0.009527227,-0.003328581,0.9999395,2017-08-23 09:02:56,30.621220066441705
-0.1,0.198,10.043,0.0,0.0,0.0010660981,0.0,-0.11987298,0.012395814,0.026638031,0.00951909,-0.0033517822,0.9999258,2017-08-23 09:02:57,27.300114041098126
-0.082,0.193,10.053,0.0,0.0010660981,0.0,0.0,-0.13423818,0.004016109,0.020651817,0.00951909,-0.0033517822,0.9999258,2017-08-23 09:02:58,30.696514787721657
-0.086,0.197,10.042,0.0010660981,0.0,0.0,0.0,-0.13184398,0.012994364,0.017062187,0.009520361,-0.0033481685,0.9999283,2017-08-23 09:02:59,28.989821453754075
-0.09,0.183,10.057,0.0010660981,0.0010660981,0.0,0.0,-0.13124542,0.0016219094,0.015864372,0.009520361,-0.0033481685,0.9999283,2017-08-23 09:03:00,31.78764556643252
-0.08,0.197,10.038,0.0,0.0010660981,0.0,0.0,-0.14740628,0.0058117583,0.014667511,0.009520361,-0.0033481685,0.9999283,2017-08-23 09:03:01,36.17277566923215
-0.107,0.201,10.042,0.0,0.0,0.0010660981,0.0,-0.117478766,0.012994364,0.021251678,0.009520361,-0.0033481685,0.9999283,2017-08-23 09:03:02,34.58341530799769
