ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,-0.10470581,-0.17451477,-1.3089447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-28 19:12:44,62.074671502626856
0.0,0.0,0.0,-0.10470581,-0.17451477,-1.3089447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-28 19:12:44,60.18517284899795
0.0,0.0,0.0,-0.10470581,-0.17451477,-1.3089447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-28 19:12:44,59.15112540440862
0.0,0.0,0.0,-0.10470581,-0.17451477,-1.3089447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-28 19:12:45,62.842209819993435
4.903,0.009,8.81,0.017440796,-0.15707397,-0.15707397,3.0,3.9418488,-0.5119324,8.950409,0.866333,0.69924927,0.14035034,0.19721985,-0.06434631,0.96131897,2016-12-28 19:12:45,61.285744422408584
4.941,-0.229,8.399,-0.17451477,0.03489685,-0.17451477,2.0,4.887848,-0.1025238,8.429749,-0.004135132,-0.122024536,-0.35299683,0.2505951,-0.068374634,0.9367218,2016-12-28 19:12:46,63.21675290135279
3.045,2.212,6.292,0.64575195,0.06980896,0.45376587,0.0,4.352112,0.5552521,8.209595,-1.009018,2.2621918,-2.7629852,0.24203491,-0.021011353,0.94799805,2016-12-28 19:12:47,67.11126170814657
0.095,-0.162,9.893,-0.22688293,1.2216797,0.19197083,7.0,2.2152557,0.4710083,9.991028,-2.1034546,-0.621048,-0.07356262,-0.09832764,-0.051986694,-0.9559479,2016-12-28 19:12:48,60.28828110620468
0.086,-0.201,10.008,0.0,0.0,-0.087249756,10.0,0.090270996,-0.18049622,9.755753,0.021514893,-0.044067383,0.124435425,-0.0066223145,0.00793457,-0.97317505,2016-12-28 19:12:49,60.87118121953081
0.105,-0.201,9.931,0.0,0.0,0.0,10.0,0.09629822,-0.19862366,9.745346,-0.021759033,0.048568726,0.096588135,-0.007019043,0.008865356,-0.9762573,2016-12-28 19:12:50,61.670268977076546
