ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.545878,-0.05746084,9.605537,6.0,2017-01-28 21:05:09,NaN
-0.545878,-0.05746084,9.605537,6.0,2017-01-28 21:05:10,NaN
-1.3215994,-0.20111294,9.634268,3.0,2017-01-28 21:05:11,NaN
-2.7102363,0.0,9.174581,6.0,2017-01-28 21:05:12,NaN
-2.6910827,0.009576807,9.184157,15.0,2017-01-28 21:05:13,NaN
-2.6910827,0.009576807,9.184157,3.0,2017-01-28 21:05:14,NaN
-2.681506,0.009576807,9.165004,3.0,2017-01-28 21:05:15,NaN
-2.6719291,0.009576807,9.165004,3.0,2017-01-28 21:05:16,NaN
-2.6910827,0.009576807,9.193734,3.0,2017-01-28 21:05:17,NaN
-2.6910827,0.009576807,9.184157,3.0,2017-01-28 21:05:18,NaN
-2.6910827,0.0,9.174581,0.0,2017-01-28 21:05:19,NaN
-2.681506,0.009576807,9.184157,0.0,2017-01-28 21:05:20,NaN
-2.6910827,0.0,9.174581,0.0,2017-01-28 21:05:21,NaN
-2.681506,0.0,9.174581,0.0,2017-01-28 21:05:22,NaN
-2.6910827,0.009576807,9.174581,0.0,2017-01-28 21:05:23,NaN
-2.6910827,0.009576807,9.193734,0.0,2017-01-28 21:05:24,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:05:25,NaN
-2.6910827,-0.009576807,9.203311,0.0,2017-01-28 21:05:26,NaN
-2.6910827,0.009576807,9.184157,0.0,2017-01-28 21:05:27,NaN
-2.7006595,0.0,9.184157,0.0,2017-01-28 21:05:29,NaN
-2.7006595,0.009576807,9.174581,0.0,2017-01-28 21:05:30,NaN
-2.7102363,0.0,9.193734,0.0,2017-01-28 21:05:31,NaN
-2.6910827,0.009576807,9.184157,0.0,2017-01-28 21:05:32,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:05:33,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:05:34,NaN
-2.6910827,-0.009576807,9.203311,0.0,2017-01-28 21:05:35,NaN
-2.7006595,0.009576807,9.184157,0.0,2017-01-28 21:05:36,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:05:37,NaN
-2.6910827,-0.009576807,9.193734,0.0,2017-01-28 21:05:38,NaN
-2.6910827,0.0,9.174581,0.0,2017-01-28 21:05:39,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:05:40,NaN
-2.6910827,0.0,9.174581,0.0,2017-01-28 21:05:41,NaN
-2.7006595,-0.009576807,9.184157,0.0,2017-01-28 21:05:42,NaN
-2.6910827,0.009576807,9.174581,0.0,2017-01-28 21:05:43,NaN
-2.6910827,0.009576807,9.165004,0.0,2017-01-28 21:05:44,NaN
-2.7006595,-0.009576807,9.184157,0.0,2017-01-28 21:05:45,NaN
-2.6910827,0.009576807,9.174581,0.0,2017-01-28 21:05:46,NaN
-2.7006595,0.0,9.174581,0.0,2017-01-28 21:05:47,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:05:48,NaN
-2.6910827,0.0,9.174581,0.0,2017-01-28 21:05:49,NaN
-2.7006595,0.009576807,9.184157,0.0,2017-01-28 21:05:50,NaN
-2.7006595,0.0,9.184157,0.0,2017-01-28 21:05:51,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:05:52,NaN
-2.7006595,0.009576807,9.184157,0.0,2017-01-28 21:05:53,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:05:54,NaN
-2.7006595,-0.009576807,9.184157,0.0,2017-01-28 21:05:55,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:05:57,NaN
-2.7006595,-0.009576807,9.184157,0.0,2017-01-28 21:05:58,NaN
-2.7006595,-0.019153614,9.193734,0.0,2017-01-28 21:05:59,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:06:00,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:06:01,NaN
-2.6910827,0.0,9.193734,0.0,2017-01-28 21:06:02,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:06:03,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:06:04,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:06:05,NaN
-2.6910827,0.0,9.184157,0.0,2017-01-28 21:06:06,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:06:07,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:06:08,NaN
-2.6910827,0.009576807,9.184157,0.0,2017-01-28 21:06:09,NaN
-2.7006595,0.0,9.184157,0.0,2017-01-28 21:06:10,NaN
-2.6910827,0.0,9.184157,0.0,2017-01-28 21:06:11,NaN
-2.7006595,0.009576807,9.184157,0.0,2017-01-28 21:06:12,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:06:13,NaN
-2.7006595,0.0,9.174581,0.0,2017-01-28 21:06:14,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:06:15,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:06:16,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:06:17,NaN
-2.7006595,-0.009576807,9.212888,0.0,2017-01-28 21:06:18,NaN
-2.6910827,0.0,9.193734,0.0,2017-01-28 21:06:19,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:06:20,NaN
-2.6910827,-0.009576807,9.184157,0.0,2017-01-28 21:06:21,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:06:23,NaN
-2.7102363,0.0,9.193734,0.0,2017-01-28 21:06:24,NaN
-2.6910827,0.0,9.184157,0.0,2017-01-28 21:06:25,NaN
-2.7006595,-0.009576807,9.184157,0.0,2017-01-28 21:06:26,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:06:27,NaN
-2.7006595,-0.019153614,9.212888,0.0,2017-01-28 21:06:28,NaN
-2.6910827,-0.019153614,9.193734,0.0,2017-01-28 21:06:29,NaN
-2.6910827,-0.019153614,9.203311,0.0,2017-01-28 21:06:30,NaN
-2.6910827,0.0,9.203311,0.0,2017-01-28 21:06:31,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:06:32,NaN
-2.6910827,0.0,9.193734,0.0,2017-01-28 21:06:33,NaN
-2.6910827,0.0,9.203311,0.0,2017-01-28 21:06:34,NaN
-2.719813,-0.009576807,9.212888,0.0,2017-01-28 21:06:35,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:06:36,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:06:37,NaN
-2.7102363,0.0,9.193734,0.0,2017-01-28 21:06:38,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:06:39,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:06:40,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:06:41,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:06:42,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:06:44,NaN
-2.719813,-0.019153614,9.222465,0.0,2017-01-28 21:06:45,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:06:46,NaN
-2.72939,-0.019153614,9.212888,0.0,2017-01-28 21:06:47,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:06:48,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:06:49,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:06:50,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:06:51,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:06:52,NaN
-2.719813,-0.009576807,9.212888,0.0,2017-01-28 21:06:53,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:06:54,NaN
-2.719813,-0.009576807,9.203311,0.0,2017-01-28 21:06:55,NaN
-2.72939,-0.02873042,9.212888,0.0,2017-01-28 21:06:56,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:06:57,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:06:58,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:06:59,NaN
-2.719813,-0.019153614,9.193734,0.0,2017-01-28 21:07:00,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:07:01,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:07:02,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:04,NaN
-2.7006595,-0.019153614,9.184157,0.0,2017-01-28 21:07:05,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:07:06,NaN
-2.719813,-0.009576807,9.193734,0.0,2017-01-28 21:07:07,NaN
-2.719813,-0.009576807,9.174581,0.0,2017-01-28 21:07:08,NaN
-2.719813,-0.019153614,9.193734,0.0,2017-01-28 21:07:09,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:07:10,NaN
-2.7102363,0.0,9.203311,0.0,2017-01-28 21:07:11,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:12,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:07:13,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:14,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:07:15,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:16,NaN
-2.719813,-0.02873042,9.203311,0.0,2017-01-28 21:07:17,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:07:18,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:07:19,NaN
-2.7006595,0.0,9.203311,0.0,2017-01-28 21:07:20,NaN
-2.7006595,-0.009576807,9.212888,0.0,2017-01-28 21:07:21,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:07:22,NaN
-2.7102363,0.0,9.203311,0.0,2017-01-28 21:07:23,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:07:24,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:07:25,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:07:26,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:27,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:07:28,NaN
-2.719813,-0.009576807,9.193734,0.0,2017-01-28 21:07:29,NaN
-2.7006595,0.0,9.193734,0.0,2017-01-28 21:07:31,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:07:32,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:07:33,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:07:34,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:07:35,NaN
-2.7102363,0.0,9.203311,0.0,2017-01-28 21:07:36,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:07:37,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:38,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:07:39,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:07:40,NaN
-2.7102363,-0.019153614,9.184157,0.0,2017-01-28 21:07:41,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:07:42,NaN
-2.7102363,-0.02873042,9.212888,0.0,2017-01-28 21:07:43,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:07:44,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:07:45,NaN
-2.719813,-0.02873042,9.203311,0.0,2017-01-28 21:07:46,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:07:47,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:07:48,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:07:49,NaN
-2.7006595,-0.019153614,9.212888,0.0,2017-01-28 21:07:51,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:07:52,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:07:53,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:07:54,NaN
-2.7102363,-0.009576807,9.184157,0.0,2017-01-28 21:07:55,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:07:56,NaN
-2.7102363,-0.019153614,9.184157,0.0,2017-01-28 21:07:57,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:07:58,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:07:59,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:08:00,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:01,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:08:02,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:08:03,NaN
-2.7006595,-0.019153614,9.212888,0.0,2017-01-28 21:08:04,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:08:05,NaN
-2.719813,-0.02873042,9.203311,0.0,2017-01-28 21:08:06,NaN
-2.719813,-0.019153614,9.193734,0.0,2017-01-28 21:08:07,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:08:08,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:08:10,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:11,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:08:12,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:08:13,NaN
-2.7006595,-0.02873042,9.203311,0.0,2017-01-28 21:08:14,NaN
-2.7006595,-0.009576807,9.193734,0.0,2017-01-28 21:08:15,NaN
-2.719813,-0.009576807,9.193734,0.0,2017-01-28 21:08:16,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:08:17,NaN
-2.7102363,-0.02873042,9.212888,0.0,2017-01-28 21:08:18,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:08:19,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:20,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:21,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:22,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:08:23,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:08:24,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:25,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:08:26,NaN
-2.719813,-0.009576807,9.203311,0.0,2017-01-28 21:08:27,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:08:29,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:08:30,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:31,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:32,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:08:33,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:34,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:08:35,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:08:36,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:08:37,NaN
-2.719813,-0.038307227,9.203311,0.0,2017-01-28 21:08:38,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:08:39,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:08:40,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:08:41,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:08:42,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:08:43,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:08:44,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:08:45,NaN
-2.719813,-0.009576807,9.232041,0.0,2017-01-28 21:08:46,NaN
-2.7006595,-0.009576807,9.212888,0.0,2017-01-28 21:08:47,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:08:48,NaN
-2.7006595,-0.02873042,9.193734,0.0,2017-01-28 21:08:49,NaN
-2.7102363,-0.02873042,9.203311,0.0,2017-01-28 21:08:50,NaN
-2.7006595,-0.02873042,9.193734,0.0,2017-01-28 21:08:51,NaN
-2.72939,-0.038307227,9.212888,0.0,2017-01-28 21:08:52,NaN
-2.7102363,-0.009576807,9.184157,0.0,2017-01-28 21:08:53,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:08:54,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:08:55,NaN
-2.7006595,-0.02873042,9.203311,0.0,2017-01-28 21:08:56,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:08:58,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:08:59,NaN
-2.719813,-0.02873042,9.203311,0.0,2017-01-28 21:09:00,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:09:01,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:09:02,NaN
-2.7102363,-0.009576807,9.203311,0.0,2017-01-28 21:09:03,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:04,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:09:05,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:06,NaN
-2.72939,-0.019153614,9.203311,0.0,2017-01-28 21:09:07,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:09:08,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:09:09,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:09:10,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:09:11,NaN
-2.7006595,-0.019153614,9.212888,0.0,2017-01-28 21:09:12,NaN
-2.7006595,-0.019153614,9.193734,0.0,2017-01-28 21:09:13,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:09:14,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:15,NaN
-2.7102363,-0.02873042,9.203311,0.0,2017-01-28 21:09:16,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:09:18,NaN
-2.7102363,-0.009576807,9.193734,0.0,2017-01-28 21:09:19,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:09:20,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:21,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:22,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:09:23,NaN
-2.7006595,-0.019153614,9.193734,0.0,2017-01-28 21:09:24,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:09:25,NaN
-2.7102363,-0.019153614,9.193734,0.0,2017-01-28 21:09:26,NaN
-2.7006595,-0.019153614,9.193734,0.0,2017-01-28 21:09:27,NaN
-2.7006595,-0.02873042,9.203311,0.0,2017-01-28 21:09:28,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:29,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:30,NaN
-2.719813,-0.02873042,9.203311,0.0,2017-01-28 21:09:31,NaN
-2.7006595,-0.019153614,9.193734,0.0,2017-01-28 21:09:32,NaN
-2.719813,-0.019153614,9.184157,0.0,2017-01-28 21:09:33,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:34,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:35,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:09:36,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:38,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:39,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:40,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:41,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:42,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:43,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:44,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:09:45,NaN
-2.7102363,-0.019153614,9.212888,0.0,2017-01-28 21:09:46,NaN
-2.7102363,-0.019153614,9.203311,0.0,2017-01-28 21:09:47,NaN
-2.7102363,-0.019153614,9.222465,0.0,2017-01-28 21:09:48,NaN
-2.719813,-0.02873042,9.212888,0.0,2017-01-28 21:09:49,NaN
-2.719813,-0.02873042,9.222465,0.0,2017-01-28 21:09:50,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:51,NaN
-2.7102363,-0.009576807,9.212888,0.0,2017-01-28 21:09:52,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:53,NaN
-2.719813,-0.019153614,9.203311,0.0,2017-01-28 21:09:54,NaN
-2.7102363,-0.02873042,9.203311,0.0,2017-01-28 21:09:55,NaN
-2.7102363,-0.02873042,9.203311,0.0,2017-01-28 21:09:57,NaN
-2.719813,-0.019153614,9.212888,0.0,2017-01-28 21:09:58,NaN
-2.7006595,-0.009576807,9.203311,0.0,2017-01-28 21:09:59,NaN
-2.7006595,-0.019153614,9.203311,0.0,2017-01-28 21:10:00,NaN
