ACC_X,ACC_Y,ACC_Z,TIME,VOICE
-0.30645782,0.30645782,9.959879,2017-03-14 12:45:01,70.07618283004467
-0.30645782,0.45968673,9.80665,2017-03-14 12:45:02,35.775622556728585
-0.30645782,0.30645782,9.959879,2017-03-14 12:45:03,35.28371030145485
-2.7581203,-0.30645782,9.80665,2017-03-14 12:45:04,36.13062442399865
-2.2984335,-0.15322891,9.500193,2017-03-14 12:45:05,36.490363536646086
-1.685518,0.0,9.653421,2017-03-14 12:45:06,38.39073629607232
-0.91937345,0.15322891,9.653421,2017-03-14 12:45:08,48.03323725447076
1.2258313,0.45968673,-9.500193,2017-03-14 12:45:09,46.1512551967449
-9.346964,0.45968673,-5.209783,2017-03-14 12:45:10,43.94292847815822
0.91937345,-0.15322891,-8.42759,2017-03-14 12:45:11,42.5193811043535
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:12,42.59119907829748
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:13,47.397742661902306
0.91937345,0.30645782,-9.959879,2017-03-14 12:45:14,48.85762409379812
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:15,46.15041103300384
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:16,52.89030371865611
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:17,69.08638500486691
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:19,49.71413655413783
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:20,53.87177608877677
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:21,52.15338602251564
0.91937345,0.15322891,-9.959879,2017-03-14 12:45:22,45.215881795088684
0.7661445,0.30645782,-9.80665,2017-03-14 12:45:23,40.620439972811575
0.7661445,0.30645782,-9.959879,2017-03-14 12:45:24,39.66005444126735
0.7661445,0.15322891,-9.80665,2017-03-14 12:45:25,41.12280051873233
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:26,41.520275842935874
0.7661445,0.30645782,-9.959879,2017-03-14 12:45:27,51.2637270233987
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:28,47.620871974380776
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:29,46.712839847876765
0.7661445,0.30645782,-9.959879,2017-03-14 12:45:30,48.10248865181311
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:32,47.623881341671215
0.7661445,0.30645782,-9.80665,2017-03-14 12:45:33,45.06728950041847
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:34,41.8688176411778
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:35,41.6650452286219
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:36,41.82472386293397
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:38,44.27538438904753
0.61291564,-0.15322891,-9.80665,2017-03-14 12:45:39,40.66331968513729
0.45968673,0.30645782,-9.80665,2017-03-14 12:45:40,53.099253514095196
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:41,39.66035530352265
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:43,47.67879116652388
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:44,48.851275401074574
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:45,49.97491461924112
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:46,44.99517671726213
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:48,39.723853777535595
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:49,54.04755585475768
0.61291564,0.15322891,-9.80665,2017-03-14 12:45:50,52.652103997154995
0.61291564,0.30645782,-9.80665,2017-03-14 12:45:51,56.630589932182716
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:52,40.73692079431101
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:54,37.892981977911106
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:55,40.52317371328754
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:56,40.68056722877951
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:57,38.595164930587025
0.61291564,0.30645782,-9.959879,2017-03-14 12:45:59,40.51572363641732
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:02,51.385715875467845
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:03,48.74011026340917
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:04,42.449538251422354
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:06,37.410826264655995
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:08,47.987704466636984
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:09,60.22807975274715
0.61291564,0.15322891,-9.80665,2017-03-14 12:46:10,65.31815536168895
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:12,58.61559837222164
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:13,52.6179593266047
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:14,52.25284828747472
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:16,39.941883089509986
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:17,40.38025605139993
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:19,42.48398180507023
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:20,43.13440135925041
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:22,43.50133681381729
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:23,46.35458593669021
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:25,58.77154898433791
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:27,62.84162483427394
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:27,58.170715512152846
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:31,39.86610277950401
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:32,40.237809358751626
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:34,40.71942457557804
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:35,40.302075244662745
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:36,44.95978398781983
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:38,45.57870426667532
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:39,38.125666178585064
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:41,56.04992574119156
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:43,61.25198474323832
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:44,69.09136691797093
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:45,67.0177067315207
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:46,58.43496172028634
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:47,57.82509843973408
0.61291564,0.30645782,-9.959879,2017-03-14 12:46:49,46.59749844325148
0.7661445,0.30645782,-9.959879,2017-03-14 12:46:50,55.32720642449391
0.7661445,0.30645782,-9.80665,2017-03-14 12:46:51,57.20725918959979
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:52,46.810404428640666
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:53,44.11507317199011
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:54,51.68568553054654
0.7661445,0.30645782,-9.80665,2017-03-14 12:46:55,48.9299822464561
0.7661445,0.30645782,-9.80665,2017-03-14 12:46:56,44.1668262437291
0.7661445,0.30645782,-9.80665,2017-03-14 12:46:57,44.81219735604101
0.61291564,0.30645782,-9.80665,2017-03-14 12:46:58,45.46757969306998
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:00,49.24089776078131
0.7661445,0.30645782,-9.959879,2017-03-14 12:47:01,49.89632983114998
0.7661445,0.30645782,-9.959879,2017-03-14 12:47:02,50.27368387928928
0.7661445,0.30645782,-9.959879,2017-03-14 12:47:03,47.80257045548161
0.7661445,0.30645782,-9.80665,2017-03-14 12:47:04,44.69218921815666
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:05,41.15587826578998
0.7661445,0.30645782,-9.959879,2017-03-14 12:47:06,40.62495757168722
0.7661445,0.30645782,-9.959879,2017-03-14 12:47:08,44.51414673165751
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:09,43.57721174061481
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:10,56.89885997902457
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:11,57.24248819779056
0.7661445,0.30645782,-9.80665,2017-03-14 12:47:12,40.6889135044677
0.7661445,0.30645782,-9.80665,2017-03-14 12:47:13,35.139486490737475
0.7661445,0.30645782,-9.80665,2017-03-14 12:47:14,41.13178684014645
0.7661445,0.30645782,-9.80665,2017-03-14 12:47:15,45.60824734829537
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:16,41.3357071588328
0.61291564,0.30645782,-9.80665,2017-03-14 12:47:17,38.19513989370274
