ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
8.123527,-0.0796072,5.749077,-0.0010652645,-0.013582122,-0.0055926386,20.1726,8.009547,-0.06011837,5.6580753,0.13133717,-0.0027294233,0.09997988,0.252522,-0.384384,0.493108,48.668755,26.22117,2017-05-27 07:45:18,-Infinity
8.118738,-0.0664391,5.7227407,-0.0010652645,-0.012250541,-0.008255799,20.2192,8.0062065,-0.06823446,5.6627007,0.11253166,-0.014964052,0.08936882,0.252073,-0.384372,0.49334,48.668755,26.22117,2017-05-27 07:45:19,48.83004470223497
8.128913,-0.06584055,5.755062,-0.0018642128,-0.014647386,-0.0077231675,21.0914,8.005273,-0.06355244,5.6640787,0.12423897,0.0036973953,0.071231365,0.252208,-0.384192,0.493271,48.668755,26.22117,2017-05-27 07:45:20,54.67554959213119
8.128913,-0.079008654,5.7640405,-0.0018642128,-0.016777916,-0.0053263223,8.0084,8.007548,-0.06932488,5.6607976,0.108795166,0.015455343,0.07750511,0.25209,-0.384487,0.493331,48.165375,26.576355,2017-05-27 07:45:21,38.72040275370935
8.140884,-0.0700304,5.7335143,-7.9894834E-4,-0.013315806,-0.007456851,20.6382,8.009199,-0.06806202,5.658475,0.108940125,0.008805532,0.09419298,0.252209,-0.384563,0.493269,48.165375,26.576355,2017-05-27 07:45:22,40.55523820503804
8.129512,-0.06943185,5.7400985,-0.0018642128,-0.0127831735,-0.00479369,20.2316,8.00874,-0.067965284,5.6591153,0.121370316,-0.0038607642,0.07918739,0.252193,-0.384531,0.493277,48.165375,26.576355,2017-05-27 07:45:23,58.94089278728141
8.106767,-0.078410104,5.7347116,-2.663161E-4,-0.01438107,-0.007456851,21.0914,8.005271,-0.07093641,5.6639986,0.14997864,-0.004480943,0.0934577,0.251931,-0.384379,0.493414,48.165375,26.492397,2017-05-27 07:45:24,60.31121896967232
8.121731,-0.06464344,5.7586536,-2.663161E-4,-0.013582122,-0.006657903,20.6258,8.003051,-0.06793781,5.6671724,0.12227154,-0.017056346,0.069933414,0.251947,-0.384158,0.493406,48.165375,26.492397,2017-05-27 07:45:25,35.157794935800304
8.120534,-0.077213004,5.741296,-7.9894834E-4,-0.014647386,-0.0058589545,20.1726,8.008222,-0.0680176,5.6598606,0.1111145,-0.008596852,0.10118723,0.252168,-0.384498,0.49329,48.165375,26.492397,2017-05-27 07:45:26,56.72885685797137
8.099585,-0.059855044,5.7442884,-5.326322E-4,-0.013848438,-0.0055926386,21.0914,8.00568,-0.073059976,5.663389,0.093904495,0.013204932,0.08089924,0.251869,-0.38446,0.493445,48.220413,26.554333,2017-05-27 07:45:27,48.91742872002858
8.121132,-0.08379706,5.720945,-7.9894834E-4,-0.014647386,-0.0058589545,21.0914,8.010861,-0.06880904,5.656109,0.091116905,-0.006608315,0.105537415,0.252253,-0.384691,0.493245,48.220413,26.554333,2017-05-27 07:45:28,48.56633305380929
8.116942,-0.08678981,5.74369,-0.0018642128,-0.015180019,-0.005060006,21.4732,8.005202,-0.07224048,5.664075,0.09677601,-0.010958031,0.11911917,0.251879,-0.384408,0.49344,48.220413,26.554333,2017-05-27 07:45:29,51.58092809022204
8.112753,-0.05626374,5.755661,-7.9894834E-4,-0.01438107,-0.0055926386,23.9782,8.002841,-0.06570201,5.6674848,0.13924026,-0.010912441,0.06124115,0.252022,-0.384088,0.493367,48.35194,26.52881,2017-05-27 07:45:30,69.08398728458957
8.109161,-0.060453594,5.7628436,-0.0015978967,-0.01571265,-0.006924219,24.8504,8.00803,-0.06633885,5.6601453,0.08676624,0.004089609,0.070376396,0.252223,-0.384443,0.493262,48.35194,26.52881,2017-05-27 07:45:31,43.823703637637635
8.133701,-0.075417355,5.7604494,-0.0010652645,-0.014114754,-0.005060006,25.2912,8.00157,-0.07039952,5.669225,0.10699272,-0.0014265254,0.07147169,0.251791,-0.384124,0.493487,48.75848,26.387629,2017-05-27 07:45:32,36.09711103518893
8.1343,-0.07062895,5.7227407,-0.0015978967,-0.016245283,-0.00479369,3.7218,8.002988,-0.07387889,5.667179,0.122932434,-0.005728312,0.075912,0.251722,-0.384305,0.493522,48.75848,26.387629,2017-05-27 07:45:33,45.28383114463811
8.11395,-0.06943185,5.7586536,-2.663161E-4,-0.013848438,-0.007190535,3.7342,8.003306,-0.07018296,5.666778,0.13099384,0.018109068,0.07212353,0.251874,-0.384232,0.493443,48.75848,26.387629,2017-05-27 07:45:34,70.40945998984286
8.121731,-0.08080431,5.751471,0.0,-0.015446335,-0.0053263223,4.1874,8.00188,-0.07152297,5.6687727,0.11566162,-0.005091481,0.06055212,0.251762,-0.384173,0.493501,48.75848,26.387629,2017-05-27 07:45:35,51.92861999332786
8.106169,-0.05566519,5.761048,-0.0013315806,-0.014114754,-0.0063915867,3.7218,8.003255,-0.068419166,5.666869,0.12027168,-0.009392388,0.100762844,0.251938,-0.384184,0.49341,48.75848,26.387629,2017-05-27 07:45:36,51.34044539043441
8.1402855,-0.054468088,5.78499,-0.0013315806,-0.015446335,-0.0055926386,3.7218,8.004713,-0.06828502,5.6648097,0.11641884,-0.0023439303,0.08905554,0.252006,-0.384276,0.493374,48.75848,26.387629,2017-05-27 07:45:37,51.33718476758561
