ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
7.784,-2.902,1.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-10 14:54:26,72.99949604751353
9.5,-2.51,1.64,-0.028643752,-0.06781242,0.037436716,0.0,9.297,-2.356,2.045,0.133,-0.084,-0.111,-0.231201,-0.585045,-0.099322,2017-08-10 14:54:27,72.21643639137534
9.255,-2.147,2.101,0.009059419,0.011457501,-0.009992006,0.0,9.321,-2.231,2.074,-0.046,0.015,0.036,-0.207204,-0.592718,-0.078702,2017-08-10 14:54:28,68.88356373644962
9.265,-2.186,2.209,-0.005861977,9.3258725E-4,-0.001598721,0.0,9.31,-2.197,2.157,0.022,-0.018,-0.046,-0.20448,-0.590086,-0.079379,2017-08-10 14:54:29,74.41156688746253
9.304,-2.177,2.199,0.0019984012,-0.010125233,7.993605E-4,0.0,9.309,-2.189,2.168,0.023,0.012,0.079,-0.209786,-0.587717,-0.087265,2017-08-10 14:54:30,69.74201277032358
9.235,-2.157,2.277,-0.0034638955,-0.016786572,0.018651744,0.0,9.307,-2.176,2.19,-0.072,0.048,0.096,-0.213761,-0.585338,-0.093967,2017-08-10 14:54:31,63.56782928502512
9.245,-2.147,2.228,-0.004796163,0.020250466,-0.001598721,0.0,9.313,-2.182,2.158,0.029,-0.033,-0.038,-0.213659,-0.586752,-0.092793,2017-08-10 14:54:32,73.55204178342362
9.314,-2.196,2.199,-0.004130029,0.029842792,-0.007860378,0.0,9.309,-2.162,2.196,0.014,-0.014,-0.076,-0.214868,-0.58469,-0.096726,2017-08-10 14:54:33,64.10342148679571
9.343,-2.206,2.209,-0.008659739,0.024114043,-0.012256861,0.0,9.309,-2.159,2.197,-0.093,0.022,0.03,-0.216724,-0.583928,-0.099434,2017-08-10 14:54:34,67.53697777734678
9.304,-2.167,2.248,-0.002664535,-0.007460698,-0.004796163,0.0,9.307,-2.164,2.204,-0.032,-0.002,0.063,-0.217324,-0.583432,-0.099924,2017-08-10 14:54:35,76.60905165535367
