ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.009,3.246,9.021,100.0,2017-10-26 09:28:14,30.378006480187878
2.461,2.384,9.012,100.0,2017-10-26 09:28:15,16.204735890354037
0.076,1.12,11.128,100.0,2017-10-26 09:28:16,27.819845469620073
-4.156,-1.599,8.581,0.0,2017-10-26 09:28:17,26.662290470435536
-0.095,0.076,9.835,0.0,2017-10-26 09:28:18,53.07293535003211
-0.095,0.067,9.807,0.0,2017-10-26 09:28:19,40.61371145812697
-0.009,0.038,9.778,0.0,2017-10-26 09:28:20,28.753614335530195
-0.086,0.057,9.835,0.0,2017-10-26 09:28:21,32.41207834229029
-0.047,0.057,9.816,0.0,2017-10-26 09:28:22,30.435318911777095
-0.067,0.047,9.787,0.0,2017-10-26 09:28:23,29.76904960546848
-0.028,0.038,9.749,0.0,2017-10-26 09:28:24,41.6881901911203
-0.047,0.047,9.807,0.0,2017-10-26 09:28:25,43.733895533827926
-0.057,0.047,9.845,0.0,2017-10-26 09:28:26,25.477398616233913
-0.057,0.057,9.835,0.0,2017-10-26 09:28:27,25.141000604643384
-0.047,0.047,9.816,0.0,2017-10-26 09:28:28,27.641330617063026
-0.086,0.076,9.787,0.0,2017-10-26 09:28:29,23.977618435356742
-0.105,0.067,9.826,0.0,2017-10-26 09:28:30,29.400585682863042
-0.095,0.067,9.826,0.0,2017-10-26 09:28:31,32.301157380363286
-0.076,0.047,9.778,0.0,2017-10-26 09:28:32,32.673042156937974
-0.057,0.057,9.759,0.0,2017-10-26 09:28:33,33.41019871936568
-0.057,0.067,9.854,0.0,2017-10-26 09:28:34,36.514652282977146
-0.038,0.038,9.807,0.0,2017-10-26 09:28:35,29.874100618817863
-0.047,0.057,9.816,0.0,2017-10-26 09:28:36,28.21859463889172
-0.057,0.057,9.807,0.0,2017-10-26 09:28:37,34.260166547028355
-0.057,0.057,9.845,0.0,2017-10-26 09:28:38,56.29072148704971
-0.067,0.047,9.807,0.0,2017-10-26 09:28:39,47.74836275157507
-0.086,0.067,9.864,0.0,2017-10-26 09:28:40,33.09681931404867
-0.105,0.076,9.826,0.0,2017-10-26 09:28:41,39.389742877791264
-0.047,0.067,9.835,0.0,2017-10-26 09:28:42,32.00499953756938
-0.105,0.057,9.807,0.0,2017-10-26 09:28:43,34.559440851895005
-0.057,0.057,9.797,0.0,2017-10-26 09:28:44,35.74942894161147
-0.057,0.047,9.807,0.0,2017-10-26 09:28:45,41.679380905766585
-0.057,0.067,9.797,0.0,2017-10-26 09:28:46,37.04727885757068
-0.009,0.038,9.797,0.0,2017-10-26 09:28:47,37.10624189289558
-0.067,0.076,9.816,0.0,2017-10-26 09:28:49,38.37243645748903
-0.038,0.057,9.807,0.0,2017-10-26 09:28:50,42.49656184843719
-0.047,0.047,9.807,0.0,2017-10-26 09:28:51,30.09439276034893
-0.067,0.047,9.797,0.0,2017-10-26 09:28:52,37.555091437606585
-0.019,0.047,9.787,0.0,2017-10-26 09:28:53,45.29274892651463
-0.086,0.067,9.854,0.0,2017-10-26 09:28:54,30.293322465518155
-0.019,0.047,9.807,0.0,2017-10-26 09:28:55,29.055824529516194
-0.038,0.057,9.807,0.0,2017-10-26 09:28:56,27.44432804169356
-0.019,0.028,9.787,0.0,2017-10-26 09:28:57,27.603068670529957
0.0,0.019,9.778,0.0,2017-10-26 09:28:58,25.754404361335954
-0.038,0.038,9.826,0.0,2017-10-26 09:28:59,22.062617784081144
-0.047,0.057,9.816,0.0,2017-10-26 09:29:00,27.069460282484165
