ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
1.3098602,-0.035003662,9.898987,164.0,1.2981083,-0.021797813,9.72033,-0.01336503,-0.012784086,-0.009421349,0.05180025,-0.04144643,0.78945935,2017-11-04 16:55:43,52.8138830693348
1.0299988,-0.22383118,9.947601,161.0,1.0484015,-0.17438766,9.748889,0.0034661293,-0.024124756,0.03542137,0.03708598,-0.03914366,0.802778,2017-11-04 16:55:44,48.79429638408688
1.0963135,-0.2489624,9.991669,157.0,1.045382,-0.19876751,9.748747,0.019804955,-0.0030251294,-0.0017690659,0.035619546,-0.04151068,0.78532916,2017-11-04 16:55:45,46.35041152977321
1.0913391,-0.2283783,9.9565735,158.0,1.0522761,-0.20021234,9.747975,0.015264273,-0.01877971,0.041825294,0.0371702,-0.039724715,0.8033238,2017-11-04 16:55:46,45.51199363825403
1.0287628,-0.20501709,9.893997,158.0,1.0602871,-0.20674466,9.74697,-0.038412333,0.0040527135,-0.013363838,0.037409946,-0.040537745,0.80506986,2017-11-04 16:55:47,46.28097120264823
1.1010284,-0.3305359,9.923477,139.0,1.0713269,-0.28060445,9.7439165,-0.002734542,-0.04841706,0.018714905,0.034907863,-0.044122152,0.7913829,2017-11-04 16:55:48,50.13131709844791
1.0422211,-0.23674011,9.960846,125.0,1.0521655,-0.25160533,9.746796,-0.03182149,0.02009669,0.011390686,0.03636822,-0.041582104,0.814105,2017-11-04 16:55:49,50.6498477815422
1.0316467,-0.23536682,9.955719,123.0,1.0355694,-0.24090773,9.748843,-0.019300938,0.047815263,0.007660866,0.03510174,-0.042563863,0.7890918,2017-11-04 16:55:50,47.18601116804535
1.0981445,-0.23556519,9.8853,127.0,1.0625588,-0.26318923,9.745362,-0.03906381,-0.033776134,0.001004219,0.03598291,-0.042424954,0.80830467,2017-11-04 16:55:51,50.18361522337624
1.0984039,-0.29426575,9.924286,135.0,1.047634,-0.25898147,9.747091,0.0016323328,0.0125953555,-0.011349678,0.035130404,-0.041752085,0.8040127,2017-11-04 16:55:52,52.869499248951584
1.0651245,-0.2489624,9.919861,137.0,1.0583413,-0.2786592,9.745391,-0.009889245,0.02709046,-0.003944397,0.034523956,-0.043948065,0.7963682,2017-11-04 16:55:53,46.95585668154603
1.0983429,-0.27230835,9.961288,144.0,1.0558162,-0.27628893,9.745732,0.022755384,0.009154379,0.03305626,0.034946803,-0.04341258,0.80258983,2017-11-04 16:55:54,49.89033797358536
1.0017395,-0.2986145,9.939545,146.0,1.0545133,-0.27933106,9.745787,-0.055019736,-0.011296809,0.021558762,0.03566925,-0.04278861,0.81438166,2017-11-04 16:55:55,52.2790875606284
1.0981293,-0.2942047,9.924133,146.0,1.0552607,-0.2688019,9.746002,0.038922787,-0.010787487,-0.008407593,0.035004627,-0.042178404,0.8046172,2017-11-04 16:55:56,46.39740930833389
1.1090088,-0.24258423,9.933289,150.0,1.0458277,-0.23486903,9.747895,-0.014067888,0.03357832,-0.015390396,0.035426788,-0.040917806,0.80411905,2017-11-04 16:55:57,46.134487250754006
1.0914154,-0.23536682,9.885101,147.0,1.0491927,-0.231819,9.747607,0.009709239,5.735606E-4,-0.02475071,0.035203412,-0.042470153,0.7873385,2017-11-04 16:55:58,48.6340669912142
1.0167236,-0.27142334,9.930664,147.0,1.033951,-0.25048628,9.748774,-0.038425803,-0.01580149,-0.017982483,0.036295116,-0.040417086,0.82332826,2017-11-04 16:55:59,48.99200522142745
1.0596619,-0.31271362,9.923782,149.0,1.0320166,-0.2506455,9.748975,-0.030914187,2.3585558E-4,-0.009026527,0.03429868,-0.042326957,0.80058837,2017-11-04 16:56:00,49.288915765455165
1.0944061,-0.32557678,9.975327,153.0,1.0418205,-0.28038976,9.747122,0.03366053,-0.025667518,0.025576591,0.034699373,-0.04279097,0.80883265,2017-11-04 16:56:01,52.62567864833828
1.0912628,-0.26301575,9.91983,148.0,1.0479413,-0.2532571,9.747209,0.015372515,-0.0031621456,-0.036156654,0.036545422,-0.041171957,0.81969917,2017-11-04 16:56:02,49.913563791090276
1.0591125,-0.21574402,9.936127,157.0,1.0549389,-0.23297998,9.746959,-0.037679434,0.008381158,0.04126072,0.036026314,-0.042165056,0.7997783,2017-11-04 16:56:03,48.387075187409636
1.074646,-0.25497437,9.943939,155.0,1.0601406,-0.26449496,9.74559,-0.0063699484,0.014728814,0.0064468384,0.035465468,-0.043074157,0.8023493,2017-11-04 16:56:04,52.80838942846839
1.0789185,-0.25497437,9.905518,150.0,1.0675129,-0.2708827,9.74461,-0.0061564445,0.020364732,5.950928E-4,0.036611617,-0.042693693,0.81638163,2017-11-04 16:56:05,49.61610085248583
