ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
-0.22601265,-0.45585597,9.78357,0.0,-0.25878662,-0.36774936,9.80665,0.13620347,-0.013620348,-0.17706451,2016-12-07 05:45:23,43.31459152472375
-0.21643583,-0.45585597,9.833742,0.0,-0.19068487,-0.4086104,9.80665,-0.013620348,-0.013620348,0.013620348,2016-12-07 05:45:24,34.218295492156386
-0.27389666,-0.44627917,9.803638,0.0,-0.2043052,-0.4086104,9.80665,-0.027240695,-0.013620348,0.013620348,2016-12-07 05:45:25,35.16640918756261
-0.24516626,-0.4750096,9.843777,0.0,-0.23154591,-0.4086104,9.80665,-0.013620348,0.013620348,0.10896278,2016-12-07 05:45:26,37.9776726331099
-0.22601265,-0.4654328,9.833742,0.0,-0.25878662,-0.42223078,9.80665,0.013620348,0.0,0.013620348,2016-12-07 05:45:27,37.69989582812636
-0.26431987,-0.37924153,9.813673,0.0,-0.24516624,-0.42223078,9.80665,0.0,-0.068101734,0.013620348,2016-12-07 05:45:28,37.08887027778646
-0.25474307,-0.44627917,9.823708,0.0,-0.24516624,-0.4086104,9.80665,-0.027240695,-0.013620348,-0.040861044,2016-12-07 05:45:29,36.37139194244095
-0.23558944,-0.43670237,9.833742,0.0,-0.24516624,-0.3949901,9.80665,0.0,-0.013620348,0.0,2016-12-07 05:45:30,30.75731679735344
-0.27389666,-0.4750096,9.773536,0.0,-0.25878662,-0.43585113,9.80665,0.013620348,-0.040861044,-0.013620348,2016-12-07 05:45:31,39.80884992076925
-0.24516626,-0.41754875,9.823708,0.0,-0.25878662,-0.43585113,9.80665,-0.040861044,0.0,-0.040861044,2016-12-07 05:45:32,43.1978391987301
-0.27389666,-0.4750096,9.723363,0.0,-0.25878662,-0.44947144,9.79303,0.0,-0.027240695,0.027240695,2016-12-07 05:45:33,62.31664616761314
-0.19728222,-0.43670237,9.78357,0.0,-0.23154591,-0.44947144,9.80665,0.013620348,0.013620348,-0.013620348,2016-12-07 05:45:34,69.28601121752473
-0.23558944,-0.43670237,9.773536,0.0,-0.24516624,-0.44947144,9.79303,-0.013620348,0.0,-0.013620348,2016-12-07 05:45:35,64.45767952689661
-0.2930503,-0.43670237,9.813673,0.0,-0.23154591,-0.43585113,9.80665,-0.027240695,-0.027240695,-0.013620348,2016-12-07 05:45:36,36.681062379327315
-0.21643583,-0.43670237,9.793605,0.0,-0.24516624,-0.43585113,9.80665,0.027240695,-0.027240695,-0.027240695,2016-12-07 05:45:37,31.62030170651214
-0.20685902,-0.41754875,9.763501,0.0,-0.24516624,-0.43585113,9.80665,0.027240695,-0.027240695,-0.05448139,2016-12-07 05:45:38,29.24671718672451
-0.23558944,-0.43670237,9.78357,0.0,-0.23154591,-0.43585113,9.80665,-0.05448139,0.0,0.013620348,2016-12-07 05:45:39,34.02292824666955
-0.19728222,-0.42712554,9.803638,0.0,-0.23154591,-0.43585113,9.80665,-0.013620348,0.0,0.027240695,2016-12-07 05:45:40,32.919977167173386
-0.22601265,-0.4654328,9.78357,0.0,-0.24516624,-0.43585113,9.80665,0.013620348,-0.027240695,-0.027240695,2016-12-07 05:45:41,36.486127675596244
-0.23558944,-0.44627917,9.78357,0.0,-0.23154591,-0.43585113,9.80665,-0.013620348,0.0,-0.027240695,2016-12-07 05:45:42,43.523900853907904
