ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.035,4.404,8.743,-0.014662666,0.0061094444,-0.017106444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-09 08:40:13,12.225437429833086
-0.114,4.487,8.996,-0.09286355,0.014662666,-0.030547222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-09 08:40:14,23.685610658789518
1.592,12.184,6.529,0.5254122,-1.3770688,-0.14173912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-09 08:40:15,26.12383865943872
-1.147,2.583,-9.199,-0.009775111,0.008553222,-0.019550223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-09 08:40:16,27.186322287656427
-1.249,2.701,-9.335,-0.010997,-0.008553222,-0.025659667,0.0,-0.6442258,9.11754,3.5532842,-0.5617742,-6.42354,-12.896284,0.08994963,-0.55744237,-0.8220295,2016-12-09 08:40:17,30.220530297592575
-1.257,2.76,-9.268,-0.0012218889,0.0048875557,-0.02077211,0.0,-1.2157983,9.698515,0.79438543,-0.06820178,-6.918515,-10.113386,0.11813747,-0.6674887,-0.73425275,2016-12-09 08:40:18,33.0888764239599
-1.355,2.799,-9.289,-0.0048875557,0.0,-0.017106444,0.0,-1.7887651,8.890163,-3.7330587,0.48176503,-6.1331635,-5.579941,-0.15047368,0.8171234,0.55640215,2016-12-09 08:40:19,36.23086631764124
-1.268,2.712,-9.297,0.0012218889,0.0024437779,-0.025659667,0.0,-1.8764832,6.2583833,-7.3131275,0.61548316,-3.4973834,-1.9938726,-0.16947567,0.91877294,0.35444686,2016-12-09 08:40:20,39.01251296146188
-1.298,2.778,-9.312,-0.0036656666,0.0,-0.029325332,0.0,-1.6541696,3.772352,-8.899633,0.39116955,-0.9673519,-0.38036633,-0.17031738,0.9616377,0.20898698,2016-12-09 08:40:21,35.2064675142949
-1.257,2.767,-9.273,-0.0012218889,0.0012218889,-0.019550223,0.0,-1.4406717,2.2787235,-9.4288025,0.15667164,0.47627664,0.17480278,-0.14927486,0.9790057,0.12715788,2016-12-09 08:40:22,35.06902145472731
-1.22,2.738,-9.326,-0.0012218889,0.0024437779,-0.03176911,0.0,-1.3053108,1.6906456,-9.571223,0.048310876,1.0643545,0.26122284,-0.096407,0.9892938,0.092806175,2016-12-09 08:40:23,32.24540649582838
-1.274,2.768,-9.27,-0.0036656666,-0.0012218889,-0.023215888,0.0,-1.2380364,1.5582601,-9.602577,-0.031963587,1.2147399,0.26557732,-0.010174038,0.99473196,0.08051052,2016-12-09 08:40:24,28.711782830762353
-1.244,2.773,-9.262,-0.0036656666,0.0012218889,-0.030547222,0.0,-1.2186087,1.6494162,-9.5898285,-0.04939127,1.1045837,0.28282833,0.11240301,0.9880844,0.076961756,2016-12-09 08:40:25,28.220990912139786
-1.268,2.727,-9.298,-0.0012218889,-0.0012218889,-0.02077211,0.0,-1.2592598,1.8289227,-9.551947,0.012259841,0.9430773,0.30294704,0.2673532,0.95683646,0.07300699,2016-12-09 08:40:26,29.174188315513273
-1.277,2.744,-9.303,-0.0024437779,0.0024437779,-0.02077211,0.0,-1.3293023,2.0355995,-9.500507,0.07630229,0.7314005,0.21250725,0.42899927,0.8946232,0.064785555,2016-12-09 08:40:27,28.026825475424076
