ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
7.585,-1.072,-1.915,0.0,2016-12-14 20:54:18,-Infinity
10.113,2.375,-2.375,0.0,2016-12-14 20:54:19,-Infinity
8.466,2.681,-4.482,0.0,2016-12-14 20:54:20,-Infinity
7.891,2.528,-4.826,0.0,2016-12-14 20:54:21,-Infinity
8.236,2.49,-4.558,0.0,2016-12-14 20:54:22,-Infinity
9.002,2.719,-4.98,0.0,2016-12-14 20:54:23,-Infinity
8.734,2.834,-4.75,0.0,2016-12-14 20:54:24,-Infinity
8.581,2.604,-4.826,0.0,2016-12-14 20:54:25,-Infinity
8.236,2.681,-4.597,0.0,2016-12-14 20:54:26,-Infinity
9.04,2.221,-4.06,0.0,2016-12-14 20:54:27,-Infinity
8.389,2.681,-4.558,0.0,2016-12-14 20:54:28,-Infinity
8.274,2.528,-4.711,0.0,2016-12-14 20:54:29,-Infinity
8.198,2.413,-4.635,0.0,2016-12-14 20:54:30,-Infinity
8.274,2.873,-4.175,0.0,2016-12-14 20:54:31,-Infinity
8.312,2.873,-4.558,0.0,2016-12-14 20:54:32,-Infinity
8.274,2.26,-4.482,0.0,2016-12-14 20:54:33,-Infinity
8.657,2.796,-4.75,0.0,2016-12-14 20:54:34,-Infinity
8.542,2.49,-4.52,0.0,2016-12-14 20:54:35,-Infinity
8.351,3.754,-4.711,0.0,2016-12-14 20:54:36,-Infinity
7.661,3.447,-4.52,0.0,2016-12-14 20:54:38,-Infinity
7.968,2.643,-4.213,0.0,2016-12-14 20:54:39,-Infinity
7.585,2.834,-4.482,0.0,2016-12-14 20:54:40,-Infinity
8.619,0.842,-4.711,0.0,2016-12-14 20:54:41,-Infinity
10.036,2.758,-5.439,0.0,2016-12-14 20:54:42,-Infinity
9.04,3.371,-5.401,0.0,2016-12-14 20:54:43,-Infinity
8.542,2.643,-5.056,0.0,2016-12-14 20:54:44,-Infinity
8.696,2.643,-4.635,0.0,2016-12-14 20:54:45,-Infinity
8.772,2.911,-4.175,0.0,2016-12-14 20:54:46,-Infinity
8.427,2.911,-4.635,0.0,2016-12-14 20:54:47,-Infinity
6.512,1.11,-3.294,0.0,2016-12-14 20:54:48,-Infinity
8.274,3.562,-4.558,0.0,2016-12-14 20:54:49,-Infinity
8.581,3.639,-4.597,0.0,2016-12-14 20:54:50,-Infinity
8.083,2.566,-4.482,0.0,2016-12-14 20:54:51,-Infinity
8.006,2.413,-4.252,0.0,2016-12-14 20:54:52,-Infinity
7.585,2.49,-4.328,0.0,2016-12-14 20:54:53,-Infinity
8.351,3.102,-4.443,0.0,2016-12-14 20:54:54,-Infinity
8.236,2.719,-4.98,0.0,2016-12-14 20:54:55,-Infinity
8.351,2.949,-4.865,0.0,2016-12-14 20:54:56,-Infinity
8.427,2.643,-4.52,0.0,2016-12-14 20:54:57,-Infinity
8.236,2.796,-4.635,0.0,2016-12-14 20:54:58,-Infinity
8.083,2.834,-4.788,0.0,2016-12-14 20:54:59,-Infinity
8.236,2.873,-4.443,0.0,2016-12-14 20:55:00,-Infinity
7.968,2.681,-4.558,0.0,2016-12-14 20:55:01,-Infinity
8.274,2.604,-4.635,0.0,2016-12-14 20:55:02,-Infinity
8.121,2.451,-4.597,0.0,2016-12-14 20:55:03,-Infinity
8.198,2.796,-4.635,0.0,2016-12-14 20:55:04,-Infinity
8.274,2.834,-4.597,0.0,2016-12-14 20:55:05,-Infinity
8.274,2.873,-4.788,0.0,2016-12-14 20:55:06,-Infinity
8.198,2.758,-4.75,0.0,2016-12-14 20:55:07,-Infinity
8.389,2.873,-4.635,0.0,2016-12-14 20:55:08,-Infinity
8.198,2.643,-4.52,0.0,2016-12-14 20:55:09,-Infinity
8.236,2.681,-4.635,0.0,2016-12-14 20:55:11,-Infinity
8.274,2.681,-4.635,0.0,2016-12-14 20:55:12,-Infinity
9.04,2.26,-3.907,0.0,2016-12-14 20:55:13,-Infinity
8.504,3.102,-4.443,0.0,2016-12-14 20:55:14,-Infinity
8.81,2.873,-4.941,0.0,2016-12-14 20:55:15,-Infinity
8.427,2.911,-4.558,0.0,2016-12-14 20:55:16,-Infinity
8.236,2.911,-4.558,0.0,2016-12-14 20:55:17,-Infinity
8.159,2.988,-4.52,0.0,2016-12-14 20:55:18,-Infinity
8.312,3.332,-4.367,0.0,2016-12-14 20:55:19,-Infinity
8.236,2.873,-4.75,0.0,2016-12-14 20:55:20,-Infinity
8.083,2.413,-4.367,0.0,2016-12-14 20:55:21,-Infinity
8.044,2.451,-4.405,0.0,2016-12-14 20:55:22,-Infinity
8.236,2.643,-4.52,0.0,2016-12-14 20:55:23,-Infinity
8.427,2.988,-4.482,0.0,2016-12-14 20:55:24,-Infinity
8.198,2.643,-4.405,0.0,2016-12-14 20:55:25,-Infinity
8.351,2.719,-4.903,0.0,2016-12-14 20:55:26,-Infinity
8.427,2.911,-4.482,0.0,2016-12-14 20:55:27,-Infinity
8.236,3.217,-4.673,0.0,2016-12-14 20:55:28,-Infinity
8.083,3.639,-4.597,0.0,2016-12-14 20:55:29,-Infinity
8.389,2.528,-4.98,0.0,2016-12-14 20:55:30,-Infinity
8.236,3.601,-4.443,0.0,2016-12-14 20:55:31,-Infinity
8.198,3.179,-4.558,0.0,2016-12-14 20:55:32,-Infinity
8.159,3.102,-4.558,0.0,2016-12-14 20:55:33,-Infinity
8.159,2.834,-4.635,0.0,2016-12-14 20:55:34,-Infinity
8.159,2.796,-4.367,0.0,2016-12-14 20:55:35,-Infinity
8.274,2.834,-3.677,0.0,2016-12-14 20:55:36,-Infinity
7.968,2.719,-4.482,0.0,2016-12-14 20:55:37,-Infinity
8.121,2.796,-4.405,0.0,2016-12-14 20:55:38,-Infinity
7.929,2.719,-4.558,0.0,2016-12-14 20:55:39,-Infinity
7.585,2.604,-4.29,0.0,2016-12-14 20:55:40,-Infinity
7.316,3.217,-3.715,0.0,2016-12-14 20:55:41,-Infinity
7.814,2.566,-3.984,0.0,2016-12-14 20:55:42,-Infinity
8.006,2.604,-4.788,0.0,2016-12-14 20:55:43,-Infinity
8.466,2.758,-4.213,0.0,2016-12-14 20:55:44,-Infinity
8.159,2.451,-4.635,0.0,2016-12-14 20:55:45,-Infinity
8.351,2.681,-4.52,0.0,2016-12-14 20:55:46,-Infinity
8.236,2.681,-4.558,0.0,2016-12-14 20:55:47,-Infinity
8.427,2.834,-4.367,0.0,2016-12-14 20:55:48,-Infinity
8.274,2.719,-4.98,0.0,2016-12-14 20:55:49,-Infinity
8.236,2.834,-4.52,0.0,2016-12-14 20:55:51,-Infinity
8.236,2.834,-4.175,0.0,2016-12-14 20:55:52,-Infinity
8.198,2.834,-4.405,0.0,2016-12-14 20:55:53,-Infinity
8.389,2.834,-4.635,0.0,2016-12-14 20:55:54,-Infinity
8.236,2.681,-4.635,0.0,2016-12-14 20:55:55,-Infinity
8.351,2.796,-4.558,0.0,2016-12-14 20:55:56,-Infinity
8.044,3.256,-4.635,0.0,2016-12-14 20:55:57,-Infinity
8.542,2.911,-4.175,0.0,2016-12-14 20:55:58,-Infinity
8.351,2.949,-4.635,0.0,2016-12-14 20:55:59,-Infinity
8.581,3.064,-4.558,0.0,2016-12-14 20:56:00,-Infinity
8.581,2.873,-4.405,0.0,2016-12-14 20:56:01,-Infinity
8.504,2.988,-4.75,0.0,2016-12-14 20:56:02,-Infinity
8.236,2.758,-4.597,0.0,2016-12-14 20:56:03,-Infinity
8.427,2.643,-4.558,0.0,2016-12-14 20:56:04,-Infinity
8.236,2.988,-4.482,0.0,2016-12-14 20:56:05,-Infinity
8.504,2.988,-5.746,0.0,2016-12-14 20:56:06,-Infinity
8.389,3.447,-4.865,0.0,2016-12-14 20:56:07,-Infinity
8.657,3.064,-4.98,0.0,2016-12-14 20:56:08,-Infinity
8.657,2.796,-4.788,0.0,2016-12-14 20:56:09,-Infinity
8.236,2.528,-4.635,0.0,2016-12-14 20:56:10,-Infinity
8.274,2.566,-4.482,0.0,2016-12-14 20:56:11,-Infinity
8.198,2.681,-4.252,0.0,2016-12-14 20:56:12,-Infinity
8.159,2.566,-5.095,0.0,2016-12-14 20:56:13,-Infinity
8.389,2.643,-4.597,0.0,2016-12-14 20:56:14,-Infinity
8.351,2.643,-4.597,0.0,2016-12-14 20:56:15,-Infinity
8.198,2.604,-4.482,0.0,2016-12-14 20:56:16,-Infinity
8.312,2.643,-4.597,0.0,2016-12-14 20:56:17,-Infinity
8.657,2.26,-5.018,0.0,2016-12-14 20:56:18,-Infinity
8.619,2.911,-4.865,0.0,2016-12-14 20:56:19,-Infinity
8.696,3.102,-4.558,0.0,2016-12-14 20:56:20,-Infinity
8.466,2.873,-5.095,0.0,2016-12-14 20:56:21,-Infinity
8.504,2.719,-5.056,0.0,2016-12-14 20:56:23,-Infinity
