ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
2.882619,1.1971009,9.289502,90.0,2017-01-27 09:19:02,NaN
4.5298295,1.5131354,8.322245,84.0,2017-01-27 09:19:03,NaN
5.142745,2.6144683,7.680599,92.0,2017-01-27 09:19:04,NaN
5.861006,-0.5746084,7.9870567,94.0,2017-01-27 09:19:05,NaN
6.196194,-0.59376204,7.4986396,125.0,2017-01-27 09:19:06,NaN
5.746084,-0.19153613,7.9104424,139.0,2017-01-27 09:19:07,NaN
0.7469909,-1.2545617,10.409989,128.0,2017-01-27 09:19:08,NaN
0.45010993,-0.19153613,9.586384,101.0,2017-01-27 09:19:09,NaN
0.9576807,-0.45010993,9.797073,102.0,2017-01-27 09:19:10,NaN
0.89064306,0.095768064,9.615114,98.0,2017-01-27 09:19:11,NaN
0.8714894,0.08619126,9.605537,97.0,2017-01-27 09:19:12,NaN
0.8619126,0.076614454,9.624691,96.0,2017-01-27 09:19:13,NaN
0.8714894,0.08619126,9.615114,98.0,2017-01-27 09:19:14,NaN
0.8619126,0.095768064,9.624691,96.0,2017-01-27 09:19:16,NaN
0.8619126,0.08619126,9.615114,96.0,2017-01-27 09:19:17,NaN
0.8523358,0.076614454,9.615114,96.0,2017-01-27 09:19:18,NaN
0.8523358,0.076614454,9.615114,95.0,2017-01-27 09:19:19,NaN
0.842759,0.076614454,9.624691,94.0,2017-01-27 09:19:20,NaN
0.8619126,0.076614454,9.624691,93.0,2017-01-27 09:19:21,NaN
0.8619126,0.08619126,9.624691,92.0,2017-01-27 09:19:22,NaN
0.842759,0.095768064,9.615114,91.0,2017-01-27 09:19:23,NaN
0.8523358,0.06703765,9.615114,91.0,2017-01-27 09:19:24,NaN
0.842759,0.08619126,9.615114,89.0,2017-01-27 09:19:25,NaN
0.8523358,0.08619126,9.624691,89.0,2017-01-27 09:19:26,NaN
0.842759,0.076614454,9.615114,89.0,2017-01-27 09:19:27,NaN
0.8619126,0.095768064,9.615114,89.0,2017-01-27 09:19:28,NaN
0.8523358,0.076614454,9.624691,88.0,2017-01-27 09:19:29,NaN
0.8619126,0.08619126,9.615114,87.0,2017-01-27 09:19:30,NaN
0.8523358,0.076614454,9.615114,87.0,2017-01-27 09:19:31,NaN
0.8523358,0.08619126,9.615114,87.0,2017-01-27 09:19:32,NaN
0.842759,0.06703765,9.615114,86.0,2017-01-27 09:19:33,NaN
0.842759,0.08619126,9.624691,86.0,2017-01-27 09:19:34,NaN
0.8331822,0.076614454,9.634268,86.0,2017-01-27 09:19:35,NaN
0.842759,0.06703765,9.634268,86.0,2017-01-27 09:19:36,NaN
0.8331822,0.076614454,9.624691,84.0,2017-01-27 09:19:37,NaN
0.8523358,0.06703765,9.634268,83.0,2017-01-27 09:19:38,NaN
0.8619126,0.076614454,9.624691,83.0,2017-01-27 09:19:39,NaN
0.8523358,0.06703765,9.624691,83.0,2017-01-27 09:19:40,NaN
0.842759,0.06703765,9.624691,83.0,2017-01-27 09:19:42,NaN
0.8331822,0.06703765,9.634268,83.0,2017-01-27 09:19:43,NaN
0.842759,0.076614454,9.624691,83.0,2017-01-27 09:19:44,NaN
0.842759,0.076614454,9.634268,82.0,2017-01-27 09:19:45,NaN
0.8523358,0.06703765,9.624691,83.0,2017-01-27 09:19:46,NaN
0.8523358,0.08619126,9.615114,83.0,2017-01-27 09:19:47,NaN
0.8523358,0.08619126,9.615114,84.0,2017-01-27 09:19:48,NaN
0.8523358,0.076614454,9.624691,84.0,2017-01-27 09:19:49,NaN
0.842759,0.076614454,9.624691,84.0,2017-01-27 09:19:50,NaN
0.8331822,0.08619126,9.615114,86.0,2017-01-27 09:19:51,NaN
0.842759,0.076614454,9.615114,86.0,2017-01-27 09:19:52,NaN
0.8523358,0.06703765,9.624691,86.0,2017-01-27 09:19:53,NaN
0.842759,0.076614454,9.615114,87.0,2017-01-27 09:19:54,NaN
0.842759,0.076614454,9.624691,87.0,2017-01-27 09:19:55,NaN
0.842759,0.08619126,9.624691,88.0,2017-01-27 09:19:56,NaN
0.8523358,0.076614454,9.615114,90.0,2017-01-27 09:19:57,NaN
0.8523358,0.08619126,9.624691,91.0,2017-01-27 09:19:58,NaN
0.8523358,0.08619126,9.615114,91.0,2017-01-27 09:19:59,NaN
0.8523358,0.08619126,9.615114,93.0,2017-01-27 09:20:00,NaN
0.842759,0.076614454,9.615114,93.0,2017-01-27 09:20:02,NaN
0.8331822,0.076614454,9.624691,93.0,2017-01-27 09:20:03,NaN
0.842759,0.076614454,9.634268,94.0,2017-01-27 09:20:04,NaN
0.8331822,0.06703765,9.615114,94.0,2017-01-27 09:20:05,NaN
0.842759,0.06703765,9.634268,95.0,2017-01-27 09:20:06,NaN
0.842759,0.06703765,9.615114,93.0,2017-01-27 09:20:07,NaN
0.8331822,0.06703765,9.624691,95.0,2017-01-27 09:20:08,NaN
0.842759,0.06703765,9.624691,95.0,2017-01-27 09:20:09,NaN
0.8331822,0.076614454,9.624691,95.0,2017-01-27 09:20:10,NaN
0.842759,0.06703765,9.615114,95.0,2017-01-27 09:20:11,NaN
0.842759,0.08619126,9.615114,96.0,2017-01-27 09:20:12,NaN
0.8523358,0.076614454,9.605537,96.0,2017-01-27 09:20:13,NaN
0.8523358,0.08619126,9.615114,96.0,2017-01-27 09:20:14,NaN
0.842759,0.076614454,9.634268,96.0,2017-01-27 09:20:15,NaN
0.8331822,0.06703765,9.624691,96.0,2017-01-27 09:20:16,NaN
0.842759,0.06703765,9.615114,95.0,2017-01-27 09:20:17,NaN
0.842759,0.06703765,9.624691,94.0,2017-01-27 09:20:18,NaN
0.8331822,0.06703765,9.624691,94.0,2017-01-27 09:20:19,NaN
0.842759,0.06703765,9.615114,95.0,2017-01-27 09:20:20,NaN
0.82360536,0.06703765,9.615114,95.0,2017-01-27 09:20:21,NaN
0.8331822,0.06703765,9.624691,96.0,2017-01-27 09:20:23,NaN
0.8331822,0.076614454,9.615114,94.0,2017-01-27 09:20:24,NaN
0.8331822,0.076614454,9.624691,94.0,2017-01-27 09:20:25,NaN
0.8331822,0.076614454,9.615114,94.0,2017-01-27 09:20:26,NaN
0.8523358,0.076614454,9.605537,94.0,2017-01-27 09:20:27,NaN
0.8523358,0.08619126,9.624691,93.0,2017-01-27 09:20:28,NaN
0.842759,0.05746084,9.624691,93.0,2017-01-27 09:20:29,NaN
0.842759,0.06703765,9.624691,92.0,2017-01-27 09:20:30,NaN
0.8331822,0.06703765,9.624691,93.0,2017-01-27 09:20:31,NaN
0.8331822,0.076614454,9.624691,92.0,2017-01-27 09:20:32,NaN
0.8331822,0.076614454,9.615114,91.0,2017-01-27 09:20:33,NaN
0.8331822,0.076614454,9.624691,92.0,2017-01-27 09:20:34,NaN
0.842759,0.08619126,9.615114,90.0,2017-01-27 09:20:35,NaN
0.8523358,0.076614454,9.605537,90.0,2017-01-27 09:20:36,NaN
0.842759,0.06703765,9.624691,90.0,2017-01-27 09:20:37,NaN
0.8331822,0.06703765,9.624691,89.0,2017-01-27 09:20:38,NaN
0.8331822,0.076614454,9.615114,88.0,2017-01-27 09:20:39,NaN
0.8331822,0.05746084,9.615114,87.0,2017-01-27 09:20:40,NaN
0.82360536,0.076614454,9.624691,87.0,2017-01-27 09:20:41,NaN
0.842759,0.076614454,9.624691,87.0,2017-01-27 09:20:42,NaN
0.8331822,0.076614454,9.615114,88.0,2017-01-27 09:20:43,NaN
0.82360536,0.076614454,9.624691,87.0,2017-01-27 09:20:44,NaN
0.842759,0.06703765,9.605537,87.0,2017-01-27 09:20:45,NaN
0.8331822,0.076614454,9.605537,85.0,2017-01-27 09:20:46,NaN
0.8331822,0.06703765,9.615114,85.0,2017-01-27 09:20:47,NaN
0.842759,0.06703765,9.605537,85.0,2017-01-27 09:20:48,NaN
0.842759,0.076614454,9.615114,84.0,2017-01-27 09:20:49,NaN
0.8523358,0.06703765,9.624691,84.0,2017-01-27 09:20:50,NaN
0.842759,0.076614454,9.615114,83.0,2017-01-27 09:20:51,NaN
0.82360536,0.076614454,9.624691,83.0,2017-01-27 09:20:52,NaN
0.842759,0.076614454,9.624691,83.0,2017-01-27 09:20:53,NaN
0.842759,0.05746084,9.634268,83.0,2017-01-27 09:20:55,NaN
0.8331822,0.05746084,9.634268,83.0,2017-01-27 09:20:56,NaN
0.8331822,0.06703765,9.615114,83.0,2017-01-27 09:20:57,NaN
0.8331822,0.06703765,9.615114,85.0,2017-01-27 09:20:58,NaN
