ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
0.725,-0.09,9.713,10.0,2017-04-08 10:12:41,49.20638751637594
0.739,-0.085,9.703,10.0,2017-04-08 10:12:42,61.209621539617615
0.734,-0.056,9.689,10.0,2017-04-08 10:12:43,59.174169239278655
0.73,-0.094,9.665,10.0,2017-04-08 10:12:44,56.83800826584719
0.739,-0.08,9.708,10.0,2017-04-08 10:12:45,56.990353458957834
0.73,-0.085,9.698,10.0,2017-04-08 10:12:46,57.40269002640697
0.739,-0.099,9.689,10.0,2017-04-08 10:12:47,58.67535778929118
0.734,-0.08,9.684,10.0,2017-04-08 10:12:48,60.7787481941714
0.734,-0.061,9.698,10.0,2017-04-08 10:12:49,59.348200515188054
0.744,-0.066,9.703,10.0,2017-04-08 10:12:50,60.45841788310828
0.753,-0.066,9.684,10.0,2017-04-08 10:12:51,61.79058737747705
0.739,-0.056,9.703,11.0,2017-04-08 10:12:52,58.4943702593921
0.739,-0.08,9.693,11.0,2017-04-08 10:12:53,59.64345626222504
0.72,-0.051,9.708,11.0,2017-04-08 10:12:54,61.692881098122534
0.734,-0.061,9.689,11.0,2017-04-08 10:12:55,60.831313084627006
0.734,-0.085,9.693,11.0,2017-04-08 10:12:56,65.01071405604452
0.744,-0.066,9.703,10.0,2017-04-08 10:12:57,62.63313783928203
0.739,-0.07,9.698,10.0,2017-04-08 10:12:58,57.23711520421665
0.749,-0.07,9.708,10.0,2017-04-08 10:12:59,60.58055628185567
0.749,-0.066,9.708,10.0,2017-04-08 10:13:00,58.08024016719212
0.739,-0.066,9.698,10.0,2017-04-08 10:13:01,52.801438178755745
0.73,-0.075,9.689,10.0,2017-04-08 10:13:02,53.24795585306609
0.753,-0.085,9.693,10.0,2017-04-08 10:13:03,54.21076622234324
0.739,-0.066,9.698,10.0,2017-04-08 10:13:04,53.68067597148286
0.744,-0.09,9.708,10.0,2017-04-08 10:13:05,54.24133849623288
0.749,-0.066,9.698,10.0,2017-04-08 10:13:06,56.15545383111089
0.758,-0.075,9.698,10.0,2017-04-08 10:13:07,55.80047653354435
0.753,-0.066,9.693,10.0,2017-04-08 10:13:08,56.37524859823535
0.734,-0.066,9.698,10.0,2017-04-08 10:13:09,56.67456508606744
0.758,-0.09,9.646,10.0,2017-04-08 10:13:10,56.99336541327946
0.725,-0.075,9.684,10.0,2017-04-08 10:13:11,57.14829698752635
0.734,-0.08,9.698,10.0,2017-04-08 10:13:12,56.97727493399167
0.749,-0.066,9.703,10.0,2017-04-08 10:13:13,65.18762271249473
0.749,-0.07,9.713,10.0,2017-04-08 10:13:14,68.81802433966638
0.739,-0.08,9.689,10.0,2017-04-08 10:13:15,57.55667342838227
0.744,-0.075,9.679,10.0,2017-04-08 10:13:16,57.602884948397836
0.739,-0.066,9.703,10.0,2017-04-08 10:13:17,57.6360092777109
0.734,-0.075,9.689,10.0,2017-04-08 10:13:18,57.44916919001539
0.73,-0.094,9.703,10.0,2017-04-08 10:13:19,57.35207796945747
0.739,-0.08,9.698,10.0,2017-04-08 10:13:20,57.472728820847465
0.73,-0.075,9.693,10.0,2017-04-08 10:13:21,57.545872658943004
0.758,-0.066,9.67,10.0,2017-04-08 10:13:22,57.42026789367983
0.744,-0.066,9.713,10.0,2017-04-08 10:13:23,57.04957779029313
0.749,-0.066,9.684,10.0,2017-04-08 10:13:24,55.76918672085629
0.744,-0.056,9.67,10.0,2017-04-08 10:13:25,54.77944068597822
0.749,-0.046,9.689,10.0,2017-04-08 10:13:26,53.64195447305047
0.753,-0.066,9.689,10.0,2017-04-08 10:13:28,53.13650306171436
0.763,-0.075,9.684,10.0,2017-04-08 10:13:29,52.561106379361135
0.758,-0.07,9.679,10.0,2017-04-08 10:13:30,51.8740750161154
0.753,-0.066,9.708,10.0,2017-04-08 10:13:31,52.29983357121146
