ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
6.015432,-0.82719666,8.002021,-0.018325957,-0.16126843,-0.074830994,20.0,5.4432216,-0.5945504,8.135615,0.52253056,-0.25060284,0.023823738,-0.28959098,0.029727338,-0.95666367,39.621933,29.899595,2017-05-25 10:32:02,52.794571628282355
6.5457473,-0.8690952,7.728483,0.010995574,0.025045475,-0.013133603,8.0,6.077252,-0.55916786,7.6762443,0.4457507,-0.2901752,0.073786736,-0.3283202,0.030084163,-0.94408715,39.621933,29.899595,2017-05-25 10:32:03,70.69816739646622
6.600814,-0.801459,7.577648,-3.0543262E-4,6.1086525E-4,-0.030543262,13.0,6.2858224,-0.5116078,7.509799,0.30541468,-0.28566134,0.09837532,0.34073138,-0.03169339,0.93956685,39.621933,29.899595,2017-05-25 10:32:04,69.98094022589606
6.5840545,-0.9151836,7.675212,-0.0033597588,-0.01160644,-0.018325957,10.0,6.4269943,-0.5631832,7.3855915,0.18519211,-0.33823377,0.20462656,0.349447,-0.035736423,0.9361771,39.4081,29.899595,2017-05-25 10:32:05,61.70466085721707
6.736685,-0.8924387,7.483676,0.028099801,0.01985312,-3.0543262E-4,8.0,6.534246,-0.6036127,7.287638,0.1826868,-0.27625638,0.2475133,0.35662535,-0.036251206,0.93350595,39.4081,29.899595,2017-05-25 10:32:06,72.33568296086612
6.8881183,-0.57999533,7.3843164,-0.004886922,-0.05467244,-0.056505036,10.0,6.5940156,-0.5994576,7.2339478,0.2899127,0.014075279,0.15276289,0.36033258,-0.033667464,0.932214,39.4081,29.899595,2017-05-25 10:32:07,74.0213198071588
6.803124,-0.7212533,7.4962454,0.040011674,-0.02107485,0.004886922,7.0,6.605194,-0.578462,7.225455,0.17219257,-0.11406082,0.3102951,0.36115643,-0.033159163,0.931908,39.227077,29.899595,2017-05-25 10:32:08,74.94571067650415
6.825869,-0.7098808,7.460931,0.02443461,-0.0018325958,-0.016798794,13.0,6.6187725,-0.6036656,7.2109523,0.20889235,-0.11220074,0.24698591,0.36224774,-0.033324096,0.93148583,39.227077,29.899595,2017-05-25 10:32:09,75.63473244909044
6.7444663,-0.6003461,7.548918,-0.011911872,-0.005497787,-0.008857546,8.0,6.516407,-0.5506347,7.3077793,0.20531416,-0.016192555,0.29620552,0.3554335,-0.032295514,0.9341228,39.227077,29.899595,2017-05-25 10:32:10,73.15069021829844
6.692991,-1.1007342,7.3729444,-0.0033597588,-0.04642576,0.014049901,9.0,6.542969,-0.9238931,7.2461276,0.17336512,-0.18881214,0.13220358,-0.35807535,0.04651341,-0.9324802,39.189133,29.899595,2017-05-25 10:32:11,73.75469741343002
7.001843,-0.74399817,7.337031,0.04062254,-0.05589417,-0.06536258,7.0,6.6247644,-0.88849896,7.175893,0.3716917,0.1397124,0.14018917,-0.36335042,0.043884043,-0.9305275,39.189133,29.899595,2017-05-25 10:32:12,62.95860298174163
7.018004,-0.9163807,7.3352356,0.07422013,-0.0070249503,-0.03726278,8.0,6.6482224,-0.9070542,7.151838,0.38474512,-0.006932318,0.193573,-0.36510354,0.045337748,-0.929785,39.189133,29.899595,2017-05-25 10:32:13,73.75965014342351
6.8522053,-0.85652566,7.3986816,0.021685716,0.015882496,-0.01282817,7.0,6.649388,-0.85842264,7.156754,0.2309494,-0.021446466,0.13598442,-0.36513403,0.042846866,-0.9299061,38.933815,29.990232,2017-05-25 10:32:14,77.21919676947495
6.88333,-0.8714894,7.3406224,0.033292156,-0.015882496,-0.019547688,10.0,6.582189,-0.8632256,7.2180347,0.30712652,-0.03519863,0.113609314,-0.36078307,0.042047963,-0.9316019,38.933815,29.990232,2017-05-25 10:32:15,68.70390253065696
6.089652,1.198298,8.766968,-0.18692477,0.28038713,-0.40133846,20.0,5.6645913,0.24217176,8.001509,0.4723463,1.0315435,0.9480171,0.30471787,0.005309472,0.9521496,38.6721,30.106766,2017-05-25 10:32:16,70.70627024375206
7.347805,1.7477672,7.3765354,-1.0277808,-1.0522153,-0.3848451,69.0,6.492605,2.7876108,6.8004193,1.1556721,-1.1930724,0.38936853,0.3768858,0.096160196,0.9086765,38.6721,30.106766,2017-05-25 10:32:17,73.79282440709775
8.599973,0.8858546,4.455011,-0.058643065,0.071776666,0.0076358155,28.0,8.294384,0.87371236,5.158508,0.41213036,-0.015391052,-0.8333826,0.48574185,-0.036785975,0.859035,38.6721,30.106766,2017-05-25 10:32:18,70.46271224486262
7.4872675,1.0600328,7.5842323,-0.1685988,-0.59589905,-0.0571159,4.0,7.137983,0.6681075,6.6912794,0.23316574,0.36558902,1.091672,0.3914707,-0.059404027,0.8906763,38.6721,30.106766,2017-05-25 10:32:19,72.08501931165581
8.387487,1.2491747,5.312135,-0.17867808,-0.1337795,-0.015577064,21.0,8.270294,1.2825146,5.111535,0.21834755,-0.044712305,0.22753477,0.4790345,-0.097400084,0.8177553,38.6721,30.106766,2017-05-25 10:32:20,60.41758614878962
8.698733,1.2162545,5.0284224,0.004276057,0.06291912,-0.115453534,20.0,8.466042,1.2722541,4.783084,0.22491074,-0.04941559,0.30220032,0.49076995,-0.124797896,0.7951786,38.6721,30.106766,2017-05-25 10:32:21,58.03025888041234
8.866926,1.2892777,5.8717794,-0.2489276,-0.092240654,0.03176499,17.0,8.449816,1.0821967,4.8579698,0.4189062,0.2244389,1.0096202,0.48611578,-0.12558976,0.80240107,38.594467,30.082058,2017-05-25 10:32:22,64.66412720201025
6.6708446,4.7842135,2.779668,2.0463986,0.66950834,-0.56413406,28.0,7.767221,4.2542,4.2121797,-1.23943,0.42167616,-1.248158,0.53250396,-0.0031970465,0.74624056,38.594467,30.082058,2017-05-25 10:32:23,68.28894310867389
5.779603,1.447295,7.6506715,-1.4990633,1.7675385,-0.3371976,64.0,6.5677505,1.2062154,7.181928,-1.077846,0.60020983,-0.2746563,-0.35392678,-0.12456526,-0.91685116,38.594467,30.082058,2017-05-25 10:32:24,66.56816555093516
6.523601,-0.28431144,7.7889366,0.042455133,-0.0580322,0.050701816,68.0,6.215357,0.26969248,7.580699,0.25617027,-0.6120633,0.18010569,-0.32919994,-0.070250936,-0.92863536,38.594467,30.082058,2017-05-25 10:32:25,66.72616245811741
7.019201,0.2825158,7.2628107,0.009162978,-0.08674286,-0.022296581,70.0,6.510129,0.5028014,7.316816,0.547379,-0.19215375,-0.14977312,-0.3480126,-0.07447126,-0.9262033,38.594467,30.082058,2017-05-25 10:32:26,78.44206069788201
6.0585275,0.27593175,8.008006,0.2959642,0.24312437,0.11911872,65.0,6.5383472,0.24435814,7.304841,-0.61449385,0.15547355,1.1215515,-0.3535843,-0.057467494,-0.9262884,38.594467,30.082058,2017-05-25 10:32:27,79.03039024633904
6.9246297,0.9451111,7.3148847,0.04428773,-0.03634648,-0.020463986,67.0,6.698279,0.8717224,7.109398,0.23652649,0.13025099,0.13425922,-0.36000416,-0.08820969,-0.9230456,38.46873,30.082058,2017-05-25 10:32:28,75.46506819383146
6.747459,1.1414356,7.255628,0.05681047,-9.162979E-4,-0.029321533,68.0,6.6364136,1.0214145,7.1473846,0.11403799,0.115232706,0.12260866,-0.35708702,-0.0897204,-0.92565405,38.46873,30.082058,2017-05-25 10:32:29,74.31559090373577
6.7743936,0.9660604,7.1766195,-0.012217305,-0.06261369,0.060170226,68.0,6.6603913,0.92995965,7.137559,0.14153576,0.034903646,0.022301197,-0.35570168,-0.096772775,-0.9222455,38.46873,30.082058,2017-05-25 10:32:30,72.53629272824374
5.3540335,3.2716765,9.04709,0.32711834,-0.26542094,-0.096516706,88.0,3.946202,2.746456,8.547214,1.2791431,0.5772946,0.6291628,-0.14941163,-0.20231569,-0.91585624,38.46873,30.082058,2017-05-25 10:32:31,74.98499146553988
5.9783216,0.79846627,7.6309195,0.055588737,0.014660766,0.2434298,63.0,5.911207,1.4997538,7.679762,0.0024709702,-0.5917528,-0.0410614,-0.27918544,-0.17468223,-0.8996453,38.46873,30.082058,2017-05-25 10:32:32,74.1737988152761
6.087258,1.0749966,7.6823945,0.012217305,0.07819075,0.009162978,72.0,6.324827,1.0314953,7.4231377,-0.19626951,0.090188146,0.26703835,-0.31081095,-0.15867275,-0.892431,38.46873,30.082058,2017-05-25 10:32:33,73.45303181539558
6.393716,1.1139023,7.8589673,0.009162978,0.017715093,0.028710667,67.0,6.218438,1.0257491,7.513273,0.177073,0.085160494,0.41512632,-0.30429003,-0.15620905,-0.894833,38.46873,30.082058,2017-05-25 10:32:34,74.118748373277
6.4242415,0.9540894,7.9475527,-0.027794369,0.059253927,-0.03359759,75.0,6.3082514,0.90396124,7.4538045,0.12975693,0.079457104,0.5224786,-0.312771,-0.14950621,-0.895192,38.46873,30.082058,2017-05-25 10:32:35,71.80498106758249
6.5068417,0.7404069,7.6931686,0.033292156,0.0027488936,-0.04153884,73.0,6.3628106,0.7942422,7.4198527,0.12427902,-0.077178776,0.30144787,-0.31861815,-0.14206375,-0.8965309,38.46873,30.082058,2017-05-25 10:32:36,67.8829482659266
6.657676,0.6572084,7.6255326,0.053450707,0.052534413,-0.009773844,68.0,6.4452586,0.72909623,7.355097,0.2004466,-0.08565456,0.3231082,-0.3242554,-0.141688,-0.8936381,38.514267,29.923191,2017-05-25 10:32:37,71.21200431494127
6.573281,0.79248077,7.557896,-3.0543262E-4,-0.01282817,-0.046120327,63.0,6.4914646,0.7634465,7.3108435,0.12910175,-0.0050831437,0.24106741,-0.3290711,-0.13759504,-0.8981114,38.514267,29.923191,2017-05-25 10:32:38,63.28078420682757
6.703166,0.74519527,7.3723454,0.004886922,-0.004581489,-0.043066,63.0,6.568122,0.6931275,7.24912,0.1428256,0.053264856,0.11664152,-0.33605003,-0.13214281,-0.8988584,38.514267,29.923191,2017-05-25 10:32:39,69.95953794951663
6.654085,0.79726917,7.6147585,0.004581489,-0.011301007,-0.032070424,65.0,6.454974,0.76023006,7.3434153,0.22305298,0.0711565,0.2246561,-0.32683197,-0.13690422,-0.8988671,38.432495,29.923191,2017-05-25 10:32:40,71.9325505341019
6.5619082,0.65421563,7.711724,0.032070424,0.02687807,3.0543262E-4,67.0,6.409872,0.70124465,7.388652,0.18076658,-0.017700076,0.24346447,-0.32663673,-0.12914413,-0.90299416,38.432495,29.923191,2017-05-25 10:32:41,62.45327176546655
6.64391,0.58119243,7.6524673,0.032986723,0.0036651916,-0.011301007,67.0,6.4123626,0.57360333,7.3974977,0.24172258,0.035721004,0.26275063,-0.32620746,-0.1281879,-0.8987285,38.432495,29.810286,2017-05-25 10:32:42,68.84926805194172
6.537368,0.94331545,7.6081743,0.050396383,-0.032375857,0.034513887,68.0,6.3731647,0.7090676,7.4195943,0.19173622,0.25040877,0.17481327,-0.32363325,-0.12981951,-0.903182,38.432495,29.810286,2017-05-25 10:32:43,69.5118018880395
6.5385647,0.53570265,7.5985975,0.03756821,0.015882496,-0.037873644,67.0,6.354348,0.65518534,7.440657,0.15369081,-0.080576956,0.16153193,-0.32156172,-0.13144791,-0.8997233,38.432495,29.810286,2017-05-25 10:32:44,71.0252146122369
6.67683,0.7170634,7.4495587,0.022602014,0.0012217305,-0.021380283,67.0,6.496329,0.7345976,7.3094773,0.18289518,0.012991846,0.11434364,-0.3284802,-0.1393794,-0.8955162,38.432495,29.810286,2017-05-25 10:32:45,71.54063127702321
6.485294,0.5967548,7.690176,0.0030543262,0.007330383,0.0033597588,68.0,6.2969394,0.85474914,7.46916,0.19553709,-0.20951176,0.15637255,-0.31615776,-0.13877127,-0.90241563,38.432495,29.810286,2017-05-25 10:32:46,63.33491543491058
6.43741,0.9044097,7.5070195,0.025045475,-0.053450707,0.008246681,69.0,6.2510233,0.8795396,7.504766,0.19596338,0.026665747,0.021407127,-0.31515455,-0.13368458,-0.90775114,38.432495,29.810286,2017-05-25 10:32:47,70.86597498808432
6.4427967,0.9648633,7.5932107,0.028405234,0.047036625,-0.05131268,64.0,6.3345046,0.91176254,7.4305534,0.11667204,-0.0019658804,0.106992245,-0.32034647,-0.13666081,-0.90571755,38.590405,29.61806,2017-05-25 10:32:48,74.793194675422
6.4661403,1.0749966,7.715315,0.029626964,0.0012217305,-0.013133603,63.0,6.3000846,0.9565428,7.45415,0.1882019,0.098701656,0.26894617,-0.31841272,-0.13623172,-0.908112,38.590405,29.61806,2017-05-25 10:32:49,76.32962080059781
6.5601125,0.9175778,7.5165963,0.0018325958,-0.008552114,-0.024129177,72.0,6.377431,0.9153796,7.3932977,0.1814847,0.017760515,0.10474348,-0.3233028,-0.13603082,-0.9060762,38.590405,29.61806,2017-05-25 10:32:50,74.74440698900804
6.393117,0.8026561,7.530363,0.0030543262,-0.0290161,-0.014660766,69.0,6.25928,0.8830584,7.4974666,0.15119505,-0.09057766,0.060429573,-0.31718057,-0.13057408,-0.91013163,38.590405,29.530964,2017-05-25 10:32:51,74.10372165692068
6.4469867,0.9187749,7.5495167,0.04062254,-0.038789943,-0.03604105,73.0,6.212044,0.9242482,7.53171,0.21219778,-0.007867515,0.027981758,-0.3138217,-0.13181463,-0.9110054,38.590405,29.530964,2017-05-25 10:32:52,72.00958056310341
6.4272346,0.9044097,7.6201453,0.02321288,0.003970624,-0.056199603,75.0,6.2592025,0.89645684,7.49594,0.18479156,0.03728181,0.09607315,-0.31670284,-0.13238657,-0.90910006,38.590405,29.530964,2017-05-25 10:32:53,72.98225366729635
6.4182563,1.0378864,7.817667,-0.009468411,0.0018325958,-0.04153884,69.0,6.2394395,0.95962846,7.5045924,0.16325426,0.060899973,0.31726456,-0.314985,-0.13483131,-0.90987885,38.590405,29.492493,2017-05-25 10:32:54,75.08138498971782
6.5020533,1.002572,7.6309195,0.024129177,-0.008857546,-0.021991149,71.0,6.387629,0.97881055,7.3763485,0.094073296,0.021367192,0.2312274,-0.32544532,-0.13404313,-0.9094865,38.590405,29.492493,2017-05-25 10:32:55,72.57636219944139
6.467936,0.9792285,7.6764092,0.050396383,-0.004276057,0.02565634,76.0,6.2819285,0.9876056,7.465413,0.16984653,-0.008377075,0.19782782,-0.31721756,-0.13680771,-0.90901244,38.590405,29.492493,2017-05-25 10:32:56,72.76439573418781
6.3847375,0.8888474,7.429208,0.0580322,-0.036651913,0.16768251,76.0,6.2949433,0.96579444,7.457299,0.09518099,0.026602149,0.036551952,-0.3165669,-0.13941033,-0.9064845,38.660778,29.41766,2017-05-25 10:32:57,76.52751964277005
6.488885,1.5424645,7.1275387,0.11301007,-0.08032878,0.044593163,76.0,6.3543262,1.1429282,7.3815064,0.13515759,0.3666159,-0.18812752,-0.31836453,-0.1482578,-0.9053028,38.660778,29.41766,2017-05-25 10:32:58,75.94140718258085
6.7187285,1.8070238,7.6410947,0.634689,0.09682214,0.4538729,85.0,5.8939753,2.0019746,7.5778327,0.83313274,-0.2883247,-0.0013813972,-0.19979228,-0.27091795,-0.77146035,38.660778,29.41766,2017-05-25 10:32:59,66.97230440303915
6.963536,2.9670146,7.171831,0.48655418,-0.26419923,0.37568212,74.0,6.460676,2.143306,7.059482,0.5339842,0.82789826,0.12192583,-0.18484594,-0.32329777,-0.69103575,38.660778,29.351723,2017-05-25 10:33:00,73.95289686662016
6.218939,-0.7457938,8.224083,-0.43676865,0.172264,0.065973446,86.0,6.1480403,0.8873425,7.588453,-0.055395603,-1.248867,0.39740705,-0.19001596,-0.2788148,-0.640043,38.660778,29.351723,2017-05-25 10:33:01,76.53774730698944
6.6971807,0.9911995,7.121553,0.07727446,0.050701816,0.032986723,76.0,6.9276953,0.73880327,6.901566,-0.16587114,0.30207586,0.22058535,-0.26909792,-0.27543503,-0.7112358,38.660778,29.351723,2017-05-25 10:33:02,78.04306450158836
7.65965,0.46387658,7.267599,-0.01282817,0.21044308,0.22815818,84.0,6.8952637,0.6290943,6.9447794,0.73026896,-0.06825256,0.2456069,-0.24168225,-0.2970823,-0.6473621,38.660778,29.351723,2017-05-25 10:33:03,69.75710940458737
7.153875,0.7128736,7.335834,0.0693332,-0.042455133,-0.026267206,70.0,6.8190594,0.31413406,7.0407486,0.3485818,0.43405396,0.33099842,-0.24855429,-0.28122526,-0.64474875,38.660778,29.351723,2017-05-25 10:33:04,64.34995414972866
6.5002575,0.5542577,7.6387005,0.042760566,0.023823744,-0.036957346,77.0,6.2517743,0.5169158,7.5378046,0.18324137,0.025370896,0.22060585,-0.21976644,-0.25971895,-0.6641629,38.897587,29.177532,2017-05-25 10:33:05,68.55613296926057
6.5379663,0.78769237,8.037933,0.06688975,0.09040806,-0.06047566,83.0,6.262375,0.47230744,7.53193,0.25583935,0.22500378,0.46171093,-0.2211436,-0.25952125,-0.66108674,38.897587,29.177532,2017-05-25 10:33:06,68.14035385224992
6.545149,-0.27952304,7.9942393,0.35643986,-0.079107046,0.24007004,76.0,6.6056924,0.24131928,7.2440996,-0.071317196,-0.49271047,0.84590816,-0.19510491,-0.3037819,-0.53142935,38.897587,29.177532,2017-05-25 10:33:07,68.82588678663771
6.766014,0.31603462,7.2687964,0.19272798,0.11942416,0.31031954,80.0,6.7580166,0.53065264,7.0864663,0.019370079,-0.08712679,0.38942862,-0.22057277,-0.30066714,-0.6066603,38.813847,29.217398,2017-05-25 10:33:08,68.93975615866474
6.321291,0.5686229,7.849989,-0.013744468,0.058337633,-0.083383106,76.0,6.323158,0.510261,7.478482,-0.03897667,0.017660499,0.43076372,-0.19971906,-0.28110212,-0.603211,38.813847,29.217398,2017-05-25 10:33:09,74.7254964276726
6.5966244,0.59855044,7.5722613,0.07941248,0.054061573,0.023823744,79.0,6.4328027,0.7025816,7.3685694,0.18536949,-0.0770964,0.187531,-0.19475551,-0.2941677,-0.59794366,38.813847,29.217398,2017-05-25 10:33:10,71.58010319030082
6.50744,0.6314707,7.65127,-0.010995574,0.028710667,-0.03268129,80.0,6.391263,0.68709964,7.406081,0.09762192,-0.04365796,0.25596285,-0.19753812,-0.28892887,-0.60843366,38.84163,29.16331,2017-05-25 10:33:11,71.23723021673955
6.6774287,0.54767364,7.4908586,0.047647487,-0.009773844,-0.015577064,59.0,6.4951963,0.5361366,7.3277125,0.19540024,-0.011806428,0.11047363,-0.20156525,-0.29278412,-0.5913519,38.84163,29.16331,2017-05-25 10:33:12,68.68581639907113
6.895301,-0.009576807,7.252037,0.021991149,0.02565634,0.0021380284,81.0,6.709807,0.26376405,7.146979,0.20404911,-0.27453795,0.058371067,-0.21913984,-0.29609305,-0.5821147,38.84163,29.16331,2017-05-25 10:33:13,73.78164092930184
6.76781,0.39444473,7.3992805,-0.010995574,-3.0543262E-4,0.050396383,81.0,6.5625057,0.47928604,7.271465,0.18615055,-0.05371669,0.17390394,-0.20961283,-0.2921088,-0.59852934,38.864784,29.111801,2017-05-25 10:33:14,62.06667694183346
6.493075,0.2124854,7.9278,0.056505036,0.129198,-0.047647487,75.0,6.4006286,0.2964999,7.4239087,0.096636295,-0.14267245,0.4374528,-0.21162733,-0.277698,-0.6012931,38.864784,29.111801,2017-05-25 10:33:15,62.32855761206372
6.7468605,0.44532153,7.5483193,0.034208454,-0.056199603,-0.059864793,76.0,6.545022,0.356331,7.294252,0.1755023,0.08958909,0.22354126,-0.21144049,-0.28844047,-0.5918394,38.864784,29.111801,2017-05-25 10:33:16,62.42303426097141
6.7749925,0.50876784,7.5692687,0.04642576,0.06291912,-0.0421497,71.0,6.470799,0.39951167,7.3579574,0.32933235,0.11224893,0.18617201,-0.20893301,-0.2852994,-0.59768796,38.91133,29.06632,2017-05-25 10:33:17,70.57092400653063
6.43322,0.42916065,7.7799582,0.01863139,0.01985312,0.009468411,57.0,6.2410526,0.48710957,7.5486674,0.19156885,-0.07410979,0.20555353,-0.19444977,-0.27816474,-0.59747785,38.91133,29.06632,2017-05-25 10:33:18,64.27265920034654
6.715736,0.3226187,7.4693108,0.027794369,-0.03970624,-0.037873644,77.0,6.561959,0.35987025,7.2788444,0.15976238,-0.025879115,0.15275764,-0.21160336,-0.2897735,-0.59073114,38.91133,29.06632,2017-05-25 10:33:19,62.73550338958722
6.7851677,0.33997664,7.337031,0.033292156,-0.013133603,-0.0036651916,77.0,6.576635,0.3351514,7.2667694,0.19297028,0.0042266846,0.08522558,-0.21637172,-0.28745946,-0.5983219,38.91133,29.06632,2017-05-25 10:33:20,63.22624749273945
6.896498,0.19871874,7.197569,0.052839845,-0.10476339,-0.015882496,81.0,6.6865335,0.1838219,7.1712537,0.17704439,-0.02221328,0.03708887,-0.22476056,-0.28894573,-0.59111625,38.91133,29.06632,2017-05-25 10:33:21,75.18993685928348
7.0587053,0.22685061,7.133524,0.013744468,-0.014966198,-0.010079277,82.0,6.9725432,0.27919015,6.8902893,0.09573889,-0.014032304,0.21390581,-0.23219445,-0.307773,-0.58482856,38.91133,29.06632,2017-05-25 10:33:22,76.02762756149633
6.139332,0.13587095,8.069656,0.09896017,0.38728857,-0.19822577,79.0,6.3031106,0.3867118,7.502775,-0.23021793,-0.389106,0.53994656,-0.20358704,-0.27793887,-0.5978956,38.91133,29.02397,2017-05-25 10:33:23,70.80424620342576
