ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.06506208,0.27421063,0.958649,2017-06-04 16:54:43,2.948363623038273
0.741,5.503,8.392,-0.011727079,0.029850746,-0.03411514,225.0,-0.04939854,0.028711319,-0.010450363,0.06159967,0.27341622,0.959128,2017-06-04 16:54:44,39.97545974473105
3.511,4.251,6.625,-0.7473348,2.2974415,0.33901918,225.0,0.3114605,0.7111685,-1.9561658,-0.09020377,-0.22811238,-0.8809649,2017-06-04 16:54:45,37.25046595758706
3.693,-0.591,9.147,-0.15031983,0.06823028,-0.08955224,225.0,-0.68793416,-0.54085135,0.5521164,-0.18621477,-0.15300429,-0.7101692,2017-06-04 16:54:46,57.340719458782246
3.828,-0.55,9.007,0.023454158,-0.04477612,-0.0010660981,225.0,-0.17887235,-0.19964314,0.03984928,-0.18266061,-0.12412845,-0.7157105,2017-06-04 16:54:47,48.85273085588983
3.826,-0.644,9.094,-0.04904051,0.02771855,0.0,225.0,-0.08893299,-0.10430884,0.10735798,-0.18589811,-0.1136943,-0.71751744,2017-06-04 16:54:48,49.72939555042519
3.733,-0.843,9.053,-0.0031982942,0.0074626864,0.0063965884,225.0,-0.07071161,-0.09806621,0.011974335,-0.18812723,-0.10160501,-0.7184531,2017-06-04 16:54:49,45.938449125204166
4.498,-1.097,8.592,-0.0074626864,-0.0042643924,0.009594883,225.0,-0.013578415,-0.099006414,-0.0015411377,-0.23238589,-0.110272296,-0.72734225,2017-06-04 16:54:50,43.38066638052532
4.562,-1.279,8.618,-0.019189766,-0.0021321962,0.0010660981,225.0,0.039046764,-0.12128353,-0.0061359406,-0.23713586,-0.10578647,-0.72729814,2017-06-04 16:54:51,57.19626202197422
4.665,-1.74,8.359,-0.07249467,-0.05010661,0.0010660981,225.0,0.031589508,-0.15066838,-0.18026161,-0.25821826,-0.091038845,-0.7270627,2017-06-04 16:54:52,54.19166562083272
6.324,-0.483,7.916,0.08955224,-0.009594883,-0.2196162,225.0,0.78084564,0.009304225,0.18139458,-0.2743077,-0.16125247,-0.74545544,2017-06-04 16:54:53,35.898460131578936
5.503,-0.35,8.033,-0.0021321962,0.011727079,-0.0042643924,225.0,0.05318594,0.23254609,0.058890343,-0.27310732,-0.15036848,-0.75744146,2017-06-04 16:54:54,51.06814188810698
5.481,-0.383,8.108,-0.069296375,-0.025586354,0.03411514,225.0,0.12447119,0.17452413,-0.16742182,-0.26003408,-0.14279996,-0.7576198,2017-06-04 16:54:55,39.24590142477654
