ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.033428967,2.5833008,9.392008,651.0,-2.0263472,3.421351,8.964299,1.219642,-0.46010375,0.4152317,0.13587248,-0.15648197,-0.962431,2017-07-29 13:44:27,32.75063609319656
4.642331,2.68349,8.014146,106.0,3.0465178,2.237299,9.048956,0.5016756,-0.01945424,-0.23814297,0.19124961,0.09659639,0.96415675,2017-07-29 13:44:28,32.8570636119614
3.51846,2.4453003,8.887891,440.0,3.166109,2.216714,9.0128975,-0.20602632,0.47303534,-0.2388382,-0.1641058,-0.116358966,-0.9795386,2017-07-29 13:44:29,12.662537519845007
2.6025512,3.0889924,9.232117,630.0,2.2670076,3.2548935,8.968653,-0.12073064,0.053702116,0.1559782,0.043471936,-0.2039396,-0.6589895,2017-07-29 13:44:30,36.8384413657317
2.691388,3.1230195,9.18133,631.0,2.388901,3.2918544,8.923409,-0.17117047,0.02366066,0.10043812,0.05497622,-0.20496431,-0.6152115,2017-07-29 13:44:31,47.47074290068349
2.8284576,3.0181,9.11079,743.0,2.2335563,3.2674098,8.972494,0.00851512,-0.013478756,0.056604385,0.06150367,-0.19696355,-0.6112337,2017-07-29 13:44:32,50.50511199396225
2.8568084,2.9651673,9.09292,621.0,2.2987044,3.175656,8.988969,0.02839017,-0.022518873,0.021169662,0.052389663,-0.19756939,-0.61781996,2017-07-29 13:44:33,40.04154853352854
2.475888,-0.1096161,10.3560295,688.0,1.5364746,1.8902707,9.49929,0.31182182,-1.4329807,0.25477028,0.008202316,-0.12491489,-0.72722596,2017-07-29 13:44:34,43.72768470000997
0.3774994,-0.54821473,9.965723,506.0,-0.36849988,0.29241946,9.795361,0.10305649,-0.3431709,-0.5793762,0.017558044,0.0016311824,-0.83546984,2017-07-29 13:44:35,5.242337993653036
1.1591918,0.3648712,8.987581,416.0,0.5081491,0.27487123,9.789618,0.18444216,0.3614343,-0.6740551,-0.012626986,-0.026626403,-0.8064217,2017-07-29 13:44:36,5.409548089261326
-1.8929169,1.3186066,9.56412,586.0,-1.0787072,1.6932061,9.598949,-0.91006625,-0.29617882,-0.99730015,0.09765685,-0.03244883,-0.77171487,2017-07-29 13:44:37,45.511372215538806
-0.9921295,2.375354,10.001464,272.0,-0.23853838,1.5680485,9.677537,-0.97155595,0.8703525,0.48015308,0.07240331,-0.03661598,-0.5784558,2017-07-29 13:44:38,45.36065340291637
1.6913574,0.6777374,9.504862,202.0,-0.5644181,1.1393903,9.723868,1.377324,-0.14257991,-0.029539108,0.06438577,0.008671035,-0.3196438,2017-07-29 13:44:39,31.56928501137134
1.1384094,2.6419098,7.1281796,286.0,-0.1610666,3.8036926,9.0374975,0.94804096,-0.2655058,-2.0118074,0.19869006,-0.02890204,-0.23789454,2017-07-29 13:44:40,28.16961763511395
0.23760682,2.3838685,7.7799654,48.0,0.4141974,1.2917085,9.712379,-0.48812747,1.0998703,-1.2420588,0.06425578,-0.02603184,-0.07437075,2017-07-29 13:44:41,15.997637065283099
-2.8012726,2.7780182,9.825585,53.0,-3.138521,2.3479648,8.989279,0.21318507,0.43792844,-0.12645054,0.14592622,0.14275809,-0.15023965,2017-07-29 13:44:42,33.21234877721451
0.2243622,3.173114,8.864372,64.0,-1.7366172,2.3169281,9.369439,1.432867,0.9309199,-0.0632143,0.14570165,0.033162426,-0.548549,2017-07-29 13:44:44,35.981961245609504
2.3341033,1.6475403,9.498287,61.0,2.0132277,1.3752221,9.49874,0.21585727,0.34047663,0.05106926,-0.037227582,-0.11759293,-0.7379397,2017-07-29 13:44:45,36.604283262859795
0.61097413,0.95941466,9.626204,74.0,0.64386684,1.8706713,9.6050205,-0.40497828,-0.508652,0.026684761,0.042201832,-0.09219151,-0.72056556,2017-07-29 13:44:46,1.8193286628446472
-0.17546386,0.9367401,9.686388,71.0,-0.4723384,1.2637433,9.713405,-0.19983268,-0.008557677,-0.030947685,0.058159,-0.037245262,-0.77258193,2017-07-29 13:44:47,-2.0738946722077207
-0.062030017,0.8100769,9.736234,69.0,-0.5617024,1.1443996,9.723437,0.022799134,0.0313617,-0.0012722015,0.059745815,-0.028836211,-0.7831167,2017-07-29 13:44:48,42.148642878748184
0.60908204,0.77699584,9.947853,69.0,-0.22327687,1.2863292,9.719357,0.27559382,-0.20741391,0.13240337,0.04740235,-0.046944138,-0.81299734,2017-07-29 13:44:49,43.85245971408045
0.8170288,0.11345214,9.658178,58.0,0.3321415,0.19925967,9.798998,-0.0029296577,0.18239515,-0.056415558,-0.008408756,-0.017872777,-0.8304001,2017-07-29 13:44:50,38.98733578142484
0.42664796,0.45183104,9.838749,64.0,0.022698516,0.6717413,9.78359,-0.080567166,0.033917665,0.020421982,0.018153166,-0.029089468,-0.82951075,2017-07-29 13:44:51,34.17526443657183
0.16198426,0.56053466,9.680756,64.0,-0.23095751,0.81739306,9.769796,-0.107667476,0.13801593,0.025195122,0.035140574,-0.02591752,-0.8022821,2017-07-29 13:44:52,35.51184582476557
-0.22745055,0.46602172,9.490757,65.0,-0.61769235,0.71042365,9.761359,-0.06340629,-0.18137157,-0.34385204,0.045442645,-0.010610265,-0.79967976,2017-07-29 13:44:53,30.45947927646892
-0.84656066,1.2344697,8.911408,102.0,-0.885265,1.745917,9.609291,-0.34945714,-0.18481684,-0.4681263,0.0962838,-0.028141834,-0.68083876,2017-07-29 13:44:54,36.18996262531954
-2.8305695,2.1050293,9.008275,140.0,-3.0076618,2.0570045,9.104565,-0.5577154,0.014165878,0.050730705,0.17948264,0.03673582,-0.68912727,2017-07-29 13:44:55,29.659164574202904
-1.8683503,1.8413117,9.368489,114.0,-2.6394997,2.004173,9.229666,0.30755877,0.015384674,-0.14280891,0.16903192,0.029090516,-0.6722138,2017-07-29 13:44:56,34.31883199343976
-0.6915466,0.013247669,8.373419,296.0,-2.194208,1.2688683,9.473427,0.9433038,-0.38308966,-1.2310982,0.13749053,0.050344262,-0.60375524,2017-07-29 13:44:57,52.15696756970214
4.670682,0.09643859,8.407276,178.0,3.391846,0.3887796,9.193183,1.2411966,0.25521937,-1.2029848,-0.08089756,-0.1398912,-0.59721136,2017-07-29 13:44:58,13.69505754278195
2.1299407,0.5567505,9.57824,222.0,1.7947735,0.8871168,9.600115,-0.35207105,0.07646924,0.18335056,-0.027605154,-0.10135437,-0.65936375,2017-07-29 13:44:59,18.37825089489339
3.175351,3.689212,7.086791,300.0,2.4260573,3.212024,8.942456,-0.014627218,0.750113,-0.3828802,-0.012645073,-0.20952733,-0.81426746,2017-07-29 13:45:00,38.99331457868813
2.1781433,4.925555,7.5043807,435.0,1.710035,4.48179,8.553346,-0.08732045,0.58409595,-1.2243824,0.055953324,-0.24651563,-0.8051909,2017-07-29 13:45:01,42.61669754840562
3.6621368,2.1853669,10.366384,567.0,2.6603692,3.415862,8.799131,0.84507823,-1.1118112,-0.69319725,-0.0147637315,-0.2142065,-0.7792082,2017-07-29 13:45:02,18.628392152111974
3.9939086,0.14747924,7.006853,640.0,-0.26410925,2.7102332,9.421001,2.908123,-1.8173311,-1.8899918,0.04626086,-0.13237274,-0.96196085,2017-07-29 13:45:03,23.480126384221954
-0.035571277,0.3932373,4.6677938,736.0,0.08549292,-0.33110383,9.800686,-1.4032074,0.49561766,1.4547625,0.0024498354,0.0066686403,-0.9993588,2017-07-29 13:45:04,45.00508231328528
-3.5045197,-1.4688537,6.0701,1419.0,-3.7349703,-2.7481697,8.641062,-0.53657746,1.3619764,-1.8856077,0.1680216,0.17662731,-0.9548461,2017-07-29 13:45:05,46.22081735404489
-1.3191712,-0.34403688,9.614907,1081.0,-2.7996688,-0.058184084,9.398343,1.0023918,-0.028034676,0.30342007,0.13892676,0.038951397,-0.9581403,2017-07-29 13:45:06,22.604627030575656
-1.5781586,0.812915,9.534969,1014.0,-2.103606,0.970534,9.529076,0.055423975,0.09665042,-0.007370949,0.11706283,-0.021180829,-0.9612241,2017-07-29 13:45:07,22.27259866186011
-1.7199433,0.89514464,9.439029,1050.0,-2.1990607,1.1661813,9.485491,-0.02354312,0.0075975657,0.131567,0.124117106,-0.031115787,-0.96309364,2017-07-29 13:45:08,37.40863566511236
-1.7530243,1.1011994,9.467254,1030.0,-2.1905584,1.3011333,9.469893,-0.03105402,0.05250597,-0.005665779,0.12543646,-0.037887726,-0.96233696,2017-07-29 13:45:09,16.031612946128945
-1.7955658,1.0936463,9.487007,1033.0,-2.2412722,1.3280729,9.454275,-0.017203808,0.012935042,0.023046494,0.12825759,-0.03893767,-0.9625306,2017-07-29 13:45:10,35.196454959914966
-1.592334,1.6768372,9.61679,997.0,-1.9479324,1.5961233,9.477781,-0.09198272,0.27471626,0.13299656,0.11628936,-0.056959923,-0.96524435,2017-07-29 13:45:11,0.624644644109386
-1.0185883,1.2798493,9.441853,972.0,-1.5422086,1.7568643,9.523938,0.038850546,-0.17944849,-0.057997704,0.09931893,-0.06745387,-0.9609719,2017-07-29 13:45:12,5.158324645985132
-1.5696595,1.2117951,9.527439,1040.0,-2.114976,1.4957129,9.458335,0.05225849,-0.025139332,0.08833599,0.1248084,-0.04671164,-0.9584259,2017-07-29 13:45:13,34.70066467842721
-1.861728,0.3913452,9.583874,1132.0,-2.2657034,0.865055,9.502034,-0.057518005,-0.16642791,0.08612728,0.12360338,-0.015915092,-0.964546,2017-07-29 13:45:14,42.30667929393825
-2.1774323,0.445224,9.393875,1175.0,-2.4621227,0.63351065,9.471378,0.010894775,-0.07886833,0.020432472,0.13071844,-0.0026088625,-0.9648809,2017-07-29 13:45:15,38.2288960054193
-2.1273377,0.17583007,9.448442,1183.0,-2.5686972,0.46968055,9.452597,-0.028539896,-0.037597597,0.007458687,0.13426399,0.0049888967,-0.9674817,2017-07-29 13:45:16,42.54353520904779
-1.9798768,0.11345214,9.59892,1163.0,-2.3910236,0.34339005,9.504498,0.14174509,-0.061761618,-0.18031788,0.124056414,0.010731625,-0.9658981,2017-07-29 13:45:17,44.20682155600198
-2.0999177,0.24577636,9.511451,1155.0,-2.3416476,0.3802589,9.515381,-0.08562374,0.022728533,0.015756607,0.12436687,0.0059649465,-0.96901935,2017-07-29 13:45:18,-0.7058107428570728
-2.2662842,0.23443907,9.536837,1203.0,-2.5759075,0.43329915,9.452373,-0.24778461,0.063456,0.05392742,0.13575892,0.0054103257,-0.9691752,2017-07-29 13:45:19,33.00488486568759
-2.1481202,0.21553344,9.561296,1144.0,-2.5324593,0.41315565,9.465006,-0.33332753,0.101944774,0.03949833,0.13084218,0.008256298,-0.9676733,2017-07-29 13:45:20,40.88827860473593
-1.803119,0.2713043,9.366607,1129.0,-2.3005,0.52930284,9.518294,-0.032997847,0.019379377,-0.048814774,0.12108602,-4.9511054E-5,-0.96760374,2017-07-29 13:45:21,5.112565225512119
-1.9704316,0.36015624,9.576343,1154.0,-2.3322694,0.52200234,9.510963,-0.092411995,0.07834071,0.08843422,0.12278368,8.73119E-5,-0.96831805,2017-07-29 13:45:22,32.05710046870384
-1.8825257,0.18812865,9.47477,1159.0,-2.3979025,0.500852,9.495768,-0.030198097,0.0050242543,0.056275368,0.12652113,0.003556384,-0.9636312,2017-07-29 13:45:23,30.557115226332904
-1.8258088,0.22026366,9.471946,1145.0,-2.3024735,0.48802823,9.520022,0.0014286041,-0.008092284,-0.026442528,0.1208684,0.0021830378,-0.9672167,2017-07-29 13:45:24,8.19235378170521
-1.8059571,0.16449279,9.545309,1142.0,-2.2872882,0.4264529,9.526638,-0.0016686916,-0.014508605,-0.07975483,0.119322374,0.0062289233,-0.9652033,2017-07-29 13:45:25,8.492466137620315
-1.8106873,0.37810057,9.470062,1131.0,-2.154784,0.5278947,9.552415,-0.12947083,0.09276107,0.00233078,0.1114278,0.002684422,-0.96185476,2017-07-29 13:45:26,36.20356498500857
-1.7482941,0.4168579,9.419276,1119.0,-2.2661917,0.73723084,9.512689,0.034606934,-0.050985336,-0.0881052,0.122395165,-0.002696071,-0.95032483,2017-07-29 13:45:27,29.142117181872223
-1.8201325,0.3629791,9.383535,1101.0,-2.181252,0.64742625,9.539044,-0.029747486,0.0060332417,-0.043008804,0.11481826,-0.0023475434,-0.95586944,2017-07-29 13:45:28,38.34035736595307
-1.7331727,0.12384337,9.516158,1138.0,-2.3100727,0.41277048,9.521742,0.028075218,-0.032259017,0.05827999,0.12122069,0.0137995025,-0.9507786,2017-07-29 13:45:29,15.626645328419341
