ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
2.71,-0.392,9.433,57.0,2016-11-22 11:18:42,-1.3756112916714316
2.49,-0.296,9.529,57.0,2016-11-22 11:18:43,36.75460944224056
2.375,-0.306,9.481,57.0,2016-11-22 11:18:44,37.32915030641983
-0.181,-0.402,9.174,80.0,2016-11-22 11:18:45,38.04960321957338
-1.762,2.451,13.513,62.0,2016-11-22 11:18:46,37.380136098569025
0.028,-1.666,9.787,76.0,2016-11-22 11:18:47,55.58593475821916
0.038,-1.676,9.778,74.0,2016-11-22 11:18:48,41.61616726045701
0.009,-1.637,9.797,76.0,2016-11-22 11:18:49,52.83684292433881
0.009,-1.647,9.826,75.0,2016-11-22 11:18:50,42.184996308285236
0.028,-1.647,9.835,75.0,2016-11-22 11:18:51,41.01402477473825
0.047,-1.666,9.807,75.0,2016-11-22 11:18:52,45.619109575930736
0.028,-1.676,9.826,76.0,2016-11-22 11:18:53,40.06271950280224
0.057,-1.676,9.816,76.0,2016-11-22 11:18:54,46.13468966322295
0.028,-1.656,9.778,76.0,2016-11-22 11:18:55,50.766830344591526
0.028,-1.656,9.826,75.0,2016-11-22 11:18:56,55.63718921358199
0.028,-1.647,9.807,76.0,2016-11-22 11:18:57,43.90131215984144
0.057,-1.666,9.826,76.0,2016-11-22 11:18:58,53.17971918212546
0.019,-1.666,9.826,74.0,2016-11-22 11:18:59,47.377442718232786
0.028,-1.647,9.787,74.0,2016-11-22 11:19:00,47.28329571077921
0.038,-1.647,9.931,13.0,2016-11-22 11:19:02,45.58108935163921
0.0,-1.676,9.826,46.0,2016-11-22 11:19:03,48.32935612897259
-0.057,-1.618,9.807,43.0,2016-11-22 11:19:04,41.69851103431709
0.0,-1.666,9.826,38.0,2016-11-22 11:19:05,41.810702279328495
0.0,-1.666,9.835,71.0,2016-11-22 11:19:06,42.373534088817465
0.019,-1.666,9.778,70.0,2016-11-22 11:19:07,49.027263941819044
0.0,-1.637,9.826,69.0,2016-11-22 11:19:08,40.70357369866567
0.0,-1.666,9.787,70.0,2016-11-22 11:19:09,39.40438707210096
-0.009,-1.666,9.816,70.0,2016-11-22 11:19:10,41.07907940299842
0.009,-1.666,9.845,71.0,2016-11-22 11:19:11,50.052249334184424
0.047,-1.666,9.807,71.0,2016-11-22 11:19:12,45.52565049891402
0.019,-1.676,9.845,71.0,2016-11-22 11:19:13,41.02497083909193
-0.019,-1.666,9.816,70.0,2016-11-22 11:19:14,41.55667018145274
0.019,-1.656,9.797,71.0,2016-11-22 11:19:15,42.06330405493473
0.009,-1.656,9.797,74.0,2016-11-22 11:19:16,42.06385151686579
0.0,-1.647,9.826,74.0,2016-11-22 11:19:17,42.84758710286245
0.028,-1.704,9.797,71.0,2016-11-22 11:19:18,42.633801832671935
0.019,-1.656,9.807,71.0,2016-11-22 11:19:19,43.82124413285855
0.0,-1.647,9.826,70.0,2016-11-22 11:19:20,43.10451571711194
-0.009,-1.666,9.807,74.0,2016-11-22 11:19:21,46.48443139233507
-0.009,-1.656,9.845,71.0,2016-11-22 11:19:22,44.76620920068396
0.009,-1.685,9.826,70.0,2016-11-22 11:19:23,48.62195790021965
0.028,-1.666,9.816,74.0,2016-11-22 11:19:24,42.5421106114983
0.028,-1.666,9.778,70.0,2016-11-22 11:19:25,47.45488305795285
-0.21,-1.714,9.366,71.0,2016-11-22 11:19:26,44.64164702382118
0.019,-1.628,9.797,71.0,2016-11-22 11:19:27,72.14370231767974
0.038,-1.628,9.807,71.0,2016-11-22 11:19:28,46.520717100253876
