ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
9.222465,2.4708161,-3.4093432,6.0,2017-01-26 18:07:47,NaN
9.308656,2.0207062,-3.4093432,6.0,2017-01-26 18:07:48,NaN
9.557653,1.1109096,-3.1603463,6.0,2017-01-26 18:07:49,NaN
7.383718,-1.9632454,-4.721366,6.0,2017-01-26 18:07:50,NaN
7.967903,-5.00867,-4.0318356,6.0,2017-01-26 18:07:51,NaN
6.5505357,-5.1810527,-5.5162406,6.0,2017-01-26 18:07:52,NaN
5.813122,-5.602432,-6.14831,6.0,2017-01-26 18:07:53,NaN
8.724471,-4.1659107,-1.292869,6.0,2017-01-26 18:07:54,NaN
7.4028716,-1.6089035,-5.6407394,9.0,2017-01-26 18:07:55,NaN
7.6710224,0.7182605,-6.655881,9.0,2017-01-26 18:07:56,NaN
7.929596,1.0534488,-6.1004257,6.0,2017-01-26 18:07:58,NaN
6.847417,-5.4300494,-5.046977,6.0,2017-01-26 18:07:59,NaN
5.813122,-5.813122,-5.4683566,6.0,2017-01-26 18:08:00,NaN
5.602432,-6.090849,-5.3725886,6.0,2017-01-26 18:08:01,NaN
4.8937483,-6.483498,-5.8226986,6.0,2017-01-26 18:08:02,NaN
5.142745,-6.397307,-5.48751,6.0,2017-01-26 18:08:03,NaN
5.267244,-6.445191,-5.3342814,6.0,2017-01-26 18:08:04,NaN
0.90021986,-4.596867,9.11712,152.0,2017-01-26 18:08:05,NaN
0.39264908,0.10534488,9.634268,6.0,2017-01-26 18:08:06,NaN
0.40222588,0.095768064,9.643845,6.0,2017-01-26 18:08:07,NaN
0.40222588,0.10534488,9.643845,6.0,2017-01-26 18:08:08,NaN
0.39264908,0.10534488,9.643845,6.0,2017-01-26 18:08:09,NaN
0.40222588,0.10534488,9.653421,6.0,2017-01-26 18:08:10,NaN
0.38307226,0.11492168,9.653421,6.0,2017-01-26 18:08:11,NaN
0.40222588,0.10534488,9.643845,6.0,2017-01-26 18:08:12,NaN
0.37349546,0.11492168,9.643845,6.0,2017-01-26 18:08:13,NaN
0.39264908,0.11492168,9.643845,6.0,2017-01-26 18:08:14,NaN
0.38307226,0.11492168,9.634268,6.0,2017-01-26 18:08:15,NaN
0.38307226,0.10534488,9.634268,6.0,2017-01-26 18:08:16,NaN
0.39264908,0.10534488,9.643845,6.0,2017-01-26 18:08:17,NaN
0.37349546,0.11492168,9.653421,6.0,2017-01-26 18:08:19,NaN
0.37349546,0.10534488,9.643845,6.0,2017-01-26 18:08:20,NaN
0.37349546,0.10534488,9.643845,6.0,2017-01-26 18:08:21,NaN
0.38307226,0.11492168,9.634268,6.0,2017-01-26 18:08:22,NaN
0.39264908,0.11492168,9.634268,6.0,2017-01-26 18:08:23,NaN
0.38307226,0.095768064,9.653421,6.0,2017-01-26 18:08:24,NaN
0.38307226,0.10534488,9.643845,6.0,2017-01-26 18:08:25,NaN
0.38307226,0.10534488,9.653421,6.0,2017-01-26 18:08:26,NaN
0.39264908,0.11492168,9.624691,6.0,2017-01-26 18:08:27,NaN
0.39264908,0.095768064,9.653421,6.0,2017-01-26 18:08:28,NaN
0.39264908,0.10534488,9.653421,6.0,2017-01-26 18:08:29,NaN
0.38307226,0.095768064,9.643845,6.0,2017-01-26 18:08:30,NaN
0.39264908,0.10534488,9.634268,49.0,2017-01-26 18:08:31,NaN
0.38307226,0.095768064,9.643845,46.0,2017-01-26 18:08:32,NaN
0.38307226,0.10534488,9.653421,46.0,2017-01-26 18:08:33,NaN
0.39264908,0.10534488,9.653421,6.0,2017-01-26 18:08:34,NaN
0.38307226,0.095768064,9.653421,6.0,2017-01-26 18:08:35,NaN
0.37349546,0.08619126,9.662998,6.0,2017-01-26 18:08:36,NaN
0.39264908,0.10534488,9.643845,6.0,2017-01-26 18:08:38,NaN
0.38307226,0.08619126,9.643845,6.0,2017-01-26 18:08:39,NaN
0.38307226,0.095768064,9.643845,6.0,2017-01-26 18:08:40,NaN
0.39264908,0.095768064,9.653421,6.0,2017-01-26 18:08:41,NaN
0.38307226,0.10534488,9.643845,49.0,2017-01-26 18:08:42,NaN
0.38307226,0.095768064,9.653421,9.0,2017-01-26 18:08:43,NaN
