ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
9.227253,1.3618219,2.9192157,14.0,8.812365,1.1713499,4.1269655,0.24516624,0.17706451,-1.1032481,2017-02-06 21:21:39,37.00199126333429
9.035717,1.3235147,3.0627835,14.0,9.220975,1.334794,3.0373375,-0.040861044,-0.013620348,0.013620348,2017-02-06 21:21:40,43.053350651810696
9.160215,1.3618219,3.2063518,10.0,9.220975,1.3211737,3.0645783,-0.095342435,-0.027240695,0.08172209,2017-02-06 21:21:41,41.922114349938056
9.054871,1.3905524,3.081926,14.0,9.207355,1.3075534,3.0918188,-0.12258312,0.08172209,0.14982383,2017-02-06 21:21:42,27.395476229768022
9.227253,1.3139379,3.1393533,14.0,9.193734,1.3620348,3.1190596,-0.08172209,-0.095342435,-0.19068487,2017-02-06 21:21:43,35.47164768145672
8.949526,1.0649409,3.3690622,14.0,9.193734,1.2666924,3.1599207,-0.12258312,-0.29964766,0.10896278,2017-02-06 21:21:44,28.33686190930319
9.006987,1.1128249,3.4552028,19.0,9.139253,1.0487667,3.405087,-0.05448139,0.0,0.0,2017-02-06 21:21:45,39.04612435423563
9.054871,1.0745177,3.3690622,14.0,9.112013,1.0760074,3.4595683,-0.08172209,0.027240695,-0.08172209,2017-02-06 21:21:46,31.445839363196875
8.75799,1.1415554,3.5317724,14.0,9.112013,1.0896277,3.4323275,0.027240695,-0.08172209,0.013620348,2017-02-06 21:21:47,31.41097517576876
9.064447,1.1319785,3.3499198,17.0,9.112013,1.0760074,3.4595683,-0.013620348,0.027240695,-0.08172209,2017-02-06 21:21:48,25.7524318699694
8.853758,1.6682798,3.407347,14.0,9.0983925,1.2122109,3.4323275,0.0,0.36774936,-0.013620348,2017-02-06 21:21:49,27.394767469532056
9.150639,1.8981231,3.03407,17.0,9.071152,1.5527196,3.3642259,-0.05448139,0.21792556,-0.21792556,2017-02-06 21:21:50,42.82556031051737
8.623915,1.7736247,2.880931,15.0,9.071152,1.7025435,3.296124,0.17706451,-0.31326798,-0.29964766,2017-02-06 21:21:51,35.17729088303367
9.112331,0.6339846,3.072355,16.0,9.180114,1.5390993,3.0645783,0.17706451,-0.3405087,-0.62653595,2017-02-06 21:21:52,34.81631008857349
9.006987,1.3330915,2.833075,14.0,9.261836,1.293933,2.941995,-0.3405087,-0.095342435,0.38136974,2017-02-06 21:21:53,33.10784002108451
9.102755,1.4288596,3.0053566,17.0,9.289077,1.1713499,2.9147542,-0.12258312,0.19068487,0.068101734,2017-02-06 21:21:54,30.64904689622763
9.074024,1.4192828,3.1010685,17.0,9.234595,1.375655,2.9964767,-0.13620347,0.0,0.10896278,2017-02-06 21:21:55,35.723562492293865
9.083601,1.3905524,3.043641,14.0,9.180114,1.4301364,3.1190596,-0.08172209,-0.040861044,-0.08172209,2017-02-06 21:21:56,38.55196621239047
9.160215,1.3713987,3.072355,10.0,9.193734,1.4301364,3.1054392,-0.068101734,-0.040861044,0.013620348,2017-02-06 21:21:57,27.218054646307486
9.121908,1.409706,3.1393533,14.0,9.207355,1.4165161,3.0645783,-0.08172209,-0.068101734,0.05448139,2017-02-06 21:21:58,39.85567828825858
