ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-2.29,9.097,2.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-01 09:39:35,41.16145266834931
8.673,2.193,2.2,-1.3834265,-0.87969625,0.30762058,0.0,7.708,1.995,5.724,0.875,0.52,-2.622,0.299256,-0.349559,0.409128,2017-07-01 09:39:36,76.66790865155683
9.369,-0.669,3.877,0.18745004,-0.07460698,0.12922995,0.0,8.101,-1.634,5.277,1.1,0.896,-1.537,0.141389,-0.460734,0.419581,2017-07-01 09:39:37,75.13156630521881
9.104,-1.14,3.279,0.07140954,0.1011191,0.0,0.0,9.13,-1.189,3.375,-0.006,-0.008,-0.214,0.182054,-0.541769,0.359266,2017-07-01 09:39:38,70.61113093654646
9.163,-0.993,3.436,0.0017319478,0.047428723,0.0034638955,0.0,9.121,-1.084,3.433,0.041,-0.006,-0.066,0.185284,-0.538608,0.35711,2017-07-01 09:39:39,73.52827986881198
9.163,-1.061,3.239,-0.005462297,0.008260058,-0.0073274714,0.0,9.135,-1.066,3.401,0.026,0.083,-0.16,0.180717,-0.542036,0.347912,2017-07-01 09:39:40,70.33521740253906
9.094,-1.002,3.367,0.011590728,-0.0050626164,0.001065814,0.0,9.108,-1.053,3.476,0.005,0.021,-0.07,0.179388,-0.539106,0.347945,2017-07-01 09:39:41,74.43657030190336
9.124,-1.042,3.416,-5.32907E-4,0.040101252,0.0022648547,0.0,9.1,-1.054,3.497,0.027,0.012,-0.092,0.176253,-0.539067,0.344343,2017-07-01 09:39:42,69.48185251167509
9.065,-1.051,3.445,5.32907E-4,0.0070610177,0.001065814,0.0,9.065,-1.057,3.587,-0.01,0.006,-0.102,0.18463,-0.532007,0.359568,2017-07-01 09:39:43,69.69289211878169
9.153,-0.983,3.387,-0.022915002,0.003330669,-0.0022648547,0.0,9.089,-1.046,3.528,-0.044,0.063,-0.083,0.176368,-0.537779,0.344972,2017-07-01 09:39:44,66.09118998426663
9.075,-1.032,3.416,-0.0077271517,-0.002131628,0.0,0.0,9.097,-1.045,3.508,0.026,0.072,-0.112,0.164309,-0.542145,0.327616,2017-07-01 09:39:45,36.59534746082513
9.065,-0.983,3.426,-0.007460698,-0.006394884,0.0029309886,0.0,9.1,-1.033,3.503,0.033,0.04,-0.077,0.163387,-0.542794,0.324969,2017-07-01 09:39:46,67.30050068484765
8.977,-0.963,3.504,0.0038635759,-0.01105782,0.009725553,0.0,9.108,-1.008,3.49,-0.128,0.042,0.004,0.165438,-0.542561,0.325252,2017-07-01 09:39:47,74.43940049019922
9.163,-1.012,3.426,-0.0094591,0.0,-0.0035971224,0.0,9.077,-1.07,3.552,0.007,0.048,-0.116,0.160707,-0.54142,0.325977,2017-07-01 09:39:48,68.22079294956089
9.104,-0.993,3.475,-0.007194245,-0.007860378,0.0013322675,0.0,9.071,-1.05,3.573,0.013,-0.01,-0.128,0.162471,-0.539769,0.327418,2017-07-01 09:39:49,69.3139073662555
9.085,-1.346,3.073,-0.27671197,-0.080202505,0.040900614,0.0,9.111,-1.14,3.442,-0.027,-0.172,-0.354,0.165623,-0.545201,0.335004,2017-07-01 09:39:50,65.5226099196461
8.692,-1.081,4.475,0.0102584595,-0.024114043,0.28030908,0.0,8.573,-1.395,4.552,0.236,-0.156,-0.312,0.145088,-0.495967,0.368555,2017-07-01 09:39:51,68.78664964105428
8.928,-2.552,3.298,0.012789768,-0.036237676,-0.007860378,0.0,8.835,-2.442,3.484,0.023,-0.109,-0.166,0.142587,-0.549819,0.411278,2017-07-01 09:39:52,62.776971364511034
9.036,-2.454,2.984,-0.060484946,-0.06195044,-0.026112443,0.0,8.954,-2.359,3.228,0.065,-0.086,-0.193,0.142624,-0.562161,0.39492,2017-07-01 09:39:53,72.75514647349853
9.036,-2.493,2.68,-0.017719159,0.03810285,0.08006928,0.0,9.038,-2.332,3.005,0.026,-0.091,-0.256,0.15036,-0.569093,0.39609,2017-07-01 09:39:54,73.27561058859604
9.006,-2.581,2.729,-0.005462297,-0.032640554,-0.013855582,0.0,8.985,-2.45,3.07,0.001,-0.15,-0.066,0.148878,-0.567201,0.404044,2017-07-01 09:39:55,65.96213345204988
8.526,-2.719,3.602,-0.02011724,-0.092459366,-0.057953637,0.0,8.862,-2.68,3.231,-0.013,-0.136,-0.07,0.13748,-0.561369,0.414282,2017-07-01 09:39:56,67.00201437794716
