ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TEMP_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.2942047,6.727356,7.4138336,-0.2168274,0.054519653,-0.006713867,47.0,36.602234,-0.81164014,6.633681,7.176761,0.5749328,0.33999825,0.32737112,0.06328616,-0.36066866,-0.92928886,2017-07-20 10:05:55,52.355747723376815
-0.21574402,6.688141,7.3157654,-0.052444458,-0.023223877,0.0087890625,45.0,36.602234,-0.30322665,6.5456285,7.296108,-0.0091404915,0.032856464,0.08295393,0.041120898,-0.35540274,-0.9315928,2017-07-20 10:05:56,43.83304425559449
-0.11767578,5.923218,7.5903473,0.017837524,0.055130005,-0.10519409,40.0,36.602234,-0.17763889,6.149708,7.6367483,0.13916652,-0.15466261,-0.17705488,0.03934039,-0.3302825,-0.9392726,2017-07-20 10:05:57,52.28131151308895
0.49032593,5.86438,7.8060913,-0.04725647,-0.092544556,-0.045806885,38.0,36.70224,0.63023704,5.9384875,7.77866,-0.19714838,-0.019795418,-0.031258583,0.026064882,-0.3204986,-0.9304039,2017-07-20 10:05:58,49.645667440611405
0.72569275,6.001663,8.080673,0.014663696,-0.037506104,-0.01966858,42.0,36.70224,0.9822669,5.9278474,7.7502365,-0.24417317,0.28529978,0.07745457,0.010506562,-0.3236318,-0.927887,2017-07-20 10:05:59,50.34541395181286
0.39227295,5.472107,7.9041595,0.070617676,0.13345337,0.036880493,42.0,36.70224,0.51827174,5.6328793,8.010772,0.09073192,-0.15004826,0.12438345,0.049179904,-0.29857272,-0.922298,2017-07-20 10:06:00,48.16799197770564
0.6864624,6.021286,7.6687927,0.017288208,-0.0027770996,2.4414063E-4,40.0,36.70224,0.7103429,6.0421624,7.6914287,-0.042632103,0.08447218,0.04548502,0.054614615,-0.32382637,-0.906674,2017-07-20 10:06:01,48.75411368671496
5.2955933,4.4718323,7.041168,0.15852356,-0.15968323,0.0847168,36.0,36.70224,5.215947,4.497411,6.9812303,0.38421392,-0.03895378,0.1785326,-0.13285726,-0.35553518,-0.81119424,2017-07-20 10:06:02,46.46252297221068
4.707199,3.2950287,8.237579,0.039764404,0.123550415,0.063568115,41.0,36.802246,4.748859,3.1745098,7.9712744,-0.024431229,-0.037977457,0.26231146,-0.09333023,-0.2913204,-0.74535775,2017-07-20 10:06:03,46.043975898312716
5.7663116,2.7458649,4.962158,2.810913,-2.1897278,0.1844635,33.0,36.802246,9.407491,1.10537,2.539223,-4.942855,3.0668025,2.0573766,-0.15300544,-0.58917314,-0.28767425,2017-07-20 10:06:04,45.234109997436875
0.019607544,1.6671295,-9.806656,0.62516785,-1.283493,-0.0045166016,7.0,36.802246,-0.30221644,1.5717709,-9.675153,0.97253776,0.35191214,-0.2755022,0.13757066,0.98710173,0.07750421,2017-07-20 10:06:05,41.32000121558404
-0.8041382,-0.3530426,-9.767426,0.02180481,0.0067443848,0.006652832,1.0,36.802246,-1.051488,-0.26142582,-9.746611,0.23750818,-0.16763037,-0.008595467,0.10513674,0.9929175,-0.01892903,2017-07-20 10:06:06,55.214990935183025
-0.7453003,-0.39227295,-9.924332,0.0061798096,0.009689331,0.0053100586,1.0,36.802246,-0.84989876,-0.3502384,-9.763473,0.11103088,0.01946938,0.050333977,0.11805118,0.9918984,-0.022878367,2017-07-20 10:06:07,49.78595566025733
-0.86299133,-0.39227295,-9.904724,-0.0028533936,-0.004486084,6.1035156E-4,1.0,36.802246,-0.82707185,-0.374501,-9.764532,-0.028967619,-0.014624119,0.02034378,0.1247842,0.99110115,-0.024238385,2017-07-20 10:06:08,46.27057460349416
-0.86299133,-0.39227295,-9.924332,-0.0011444092,-0.0027160645,7.9345703E-4,1.0,36.802246,-0.85411793,-0.3432281,-9.763353,0.041060627,-0.005513221,-0.077856064,0.12340027,0.9912441,-0.022770625,2017-07-20 10:06:09,44.96262710890822
-0.9218292,-0.3334198,-9.806656,-0.0023040771,-0.0030822754,8.544922E-4,1.0,36.902252,-0.81136686,-0.31324124,-9.768006,-0.061214328,-0.01631108,0.04273796,0.12709278,0.9908971,-0.021124698,2017-07-20 10:06:10,48.542930203639756
-0.8041382,-0.2942047,-9.826263,-0.0034637451,-0.0016174316,0.0018920898,1.0,36.902252,-0.8416831,-0.3445877,-9.764385,-0.013270438,-0.005164176,-0.027469635,0.12567186,0.9909852,-0.022853017,2017-07-20 10:06:11,54.17175810627867
-0.8825989,-0.2745819,-9.924332,9.918213E-4,-0.0018615723,0.002380371,1.0,36.902252,-0.82621336,-0.33075148,-9.766185,-0.02879405,0.020135343,-0.0049362183,0.12642862,0.9909352,-0.022082152,2017-07-20 10:06:12,47.59036179427732
-0.823761,-0.2942047,-9.826263,0.0022125244,-3.0517578E-5,0.0010986328,1.0,36.902252,-0.8445779,-0.32458416,-9.764821,-0.013297081,-0.0068693757,0.03694153,0.12522627,0.9910528,-0.021840125,2017-07-20 10:06:13,46.278135133220076
-0.86299133,-0.2745819,-9.826263,-0.001083374,-0.0031433105,9.765625E-4,1.0,36.902252,-0.82367504,-0.3082736,-9.767135,-0.015286565,-0.0038892627,0.051966667,0.12627853,0.9909788,-0.020921098,2017-07-20 10:06:14,44.39856590890365
-0.84336853,-0.2942047,-9.826263,-5.950928E-4,-0.0035705566,2.4414063E-4,1.0,36.902252,-0.84752876,-0.29745564,-9.765429,0.01033628,-0.014189035,-0.009280205,0.12468553,0.9911366,-0.020462506,2017-07-20 10:06:15,43.954721165068015
