ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,TIME,VOICE
3.1737537,5.050808,7.2649274,9.0,1.7297841,5.4890003,7.9542828,1.1304889,-0.2043052,-1.0896277,2016-12-08 17:48:19,65.52243346550915
3.2790987,5.85526,6.7531714,7.0,3.0237172,5.2165933,7.7499776,0.42223078,0.027240695,-0.35412902,2016-12-08 17:48:20,68.51165464185638
3.2407913,5.692454,7.064239,6.0,3.486809,5.3800373,7.4230895,-0.29964766,0.32688835,-0.49033248,2016-12-08 17:48:21,64.29541286912537
5.0699615,5.5679555,6.3317256,6.0,3.2688832,5.8431287,7.1643023,-1.5935806,-0.2043052,-0.17706451,2016-12-08 17:48:22,58.42071150113182
3.9686286,5.357266,6.482242,7.0,4.0452433,4.971427,7.43671,-0.040861044,-0.05448139,0.43585113,2016-12-08 17:48:23,59.32927950034707
2.5416846,3.269522,9.101229,9.0,3.718355,3.9090397,8.19945,-1.838747,-1.0215261,1.3075534,2016-12-08 17:48:24,62.71743606699235
4.0452433,1.9383457,8.569404,11.0,2.7649305,3.0645783,8.907707,1.1985906,-1.1985906,-0.068101734,2016-12-08 17:48:25,62.821813774810536
4.102704,2.1490355,8.549335,11.0,3.759216,2.2473574,8.785125,0.4086104,-0.17706451,-0.19068487,2016-12-08 17:48:26,60.11666911565497
3.5376725,1.9479226,9.432364,10.0,4.072484,2.1520147,8.66254,-0.55843425,0.14982383,0.8036005,2016-12-08 17:48:27,60.44215599734889
3.4897883,3.518519,8.699851,12.0,3.8545582,2.3563201,8.703402,-0.32688835,0.8853226,-0.43585113,2016-12-08 17:48:28,62.0128777512701
3.4323275,3.9782057,8.44899,9.0,3.650253,3.5004294,8.417375,0.040861044,1.0487667,-0.36774936,2016-12-08 17:48:29,65.68185330057888
3.451481,4.208049,8.168026,9.0,3.7047346,4.1814466,8.063246,-0.24516624,0.027240695,-0.13620347,2016-12-08 17:48:31,62.81755105791255
3.3557131,4.303817,8.157992,9.0,3.5004294,4.167826,8.172209,-0.2043052,0.040861044,0.13620347,2016-12-08 17:48:32,65.4600115476895
3.250368,4.2655096,8.178061,9.0,3.3369853,4.2495484,8.185829,-0.23154591,-0.10896278,0.068101734,2016-12-08 17:48:33,64.92297957496801
3.1833305,4.50493,7.9171653,9.0,3.2552629,4.2495484,8.22669,-0.14982383,0.38136974,0.095342435,2016-12-08 17:48:34,66.53826476296209
3.164177,4.466623,7.9272,9.0,3.2552629,4.358511,8.172209,-0.14982383,0.13620347,-0.08172209,2016-12-08 17:48:35,64.24600394757958
3.1067162,4.457046,8.057648,9.0,3.1735408,4.508335,8.117727,-0.05448139,-0.08172209,-0.12258312,2016-12-08 17:48:36,63.908703150450066
3.020525,4.447469,8.007476,9.0,3.1463003,4.5219555,8.117727,-0.16344418,-0.027240695,0.013620348,2016-12-08 17:48:37,66.27645213363499
3.0588322,4.447469,8.117854,9.0,3.1054392,4.5219555,8.131348,-0.05448139,-0.027240695,0.040861044,2016-12-08 17:48:38,66.31096240553634
2.5033772,3.662171,8.6195755,9.0,3.1190596,4.508335,8.144968,0.25878662,0.17706451,-0.2043052,2016-12-08 17:48:39,64.55181337138895
2.9247568,2.5512614,9.3621235,9.0,3.2688832,4.4538536,8.117727,0.91256326,-0.96704465,-0.5992953,2016-12-08 17:48:40,62.8434995778227
4.648582,3.7196317,7.676339,11.0,3.650253,3.881799,8.240311,1.1441091,0.36774936,-0.83084124,2016-12-08 17:48:41,61.4613168935908
3.9590518,2.4938004,8.418887,10.0,4.263169,3.3914666,8.158588,-0.29964766,-0.7218784,0.5448139,2016-12-08 17:48:42,65.04014412371357
3.8249767,2.4076092,8.529265,9.0,4.113345,2.8057916,8.458236,-0.12258312,-0.31326798,0.13620347,2016-12-08 17:48:43,64.19215905182675
3.6238637,2.369302,8.81023,10.0,3.9499006,2.628727,8.594439,-0.32688835,-0.24516624,0.095342435,2016-12-08 17:48:44,62.77257753747997
3.556826,2.1394587,8.790161,10.0,3.6911142,2.3699405,8.785125,-0.12258312,-0.24516624,0.027240695,2016-12-08 17:48:45,64.48305020472561
