ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.109881595,0.04017029,9.852279,18.0,-0.12632312,0.0011794165,9.805837,0.01260376,-0.0059916177,0.00440979,0.0052489396,0.004308738,-0.7714173,2017-03-08 10:18:49,33.79693228995927
0.109881595,0.054345705,9.883561,18.0,-0.107327625,0.009890543,9.806058,7.913038E-4,0.0040325606,-6.093979E-4,0.0045411005,0.0030949044,-0.7711601,2017-03-08 10:18:50,53.92179662343277
0.10704346,0.05718384,9.897779,18.0,-0.108587354,0.006060542,9.8060465,-0.004493192,-0.0010756797,-0.008032799,0.004363601,0.0034028394,-0.7715193,2017-03-08 10:18:51,56.692775629881126
0.11648865,0.043008424,9.8627,18.0,-0.102526814,0.0058147307,9.806112,-0.00408639,-4.753424E-4,0.0054826736,0.004260794,0.0031097073,-0.7713988,2017-03-08 10:18:52,59.56514095054892
0.11271973,0.04017029,9.863649,20.0,-0.10412352,0.0083145695,9.806094,0.0018786862,0.0018259864,0.016474724,0.004447408,0.0029828665,-0.77114403,2017-03-08 10:18:53,56.19954927735537
0.094760135,0.054345705,9.8627,20.0,-0.109168686,0.014273125,9.806032,-0.0103209615,0.011035639,-0.00319767,0.004590554,0.0028990007,-0.7709582,2017-03-08 10:18:54,57.363837459340054
0.10136719,0.04395447,9.867445,19.0,-0.107897736,0.008764147,9.806053,0.0020544156,0.0028749555,-0.016510963,0.0046065464,0.0031203544,-0.7711035,2017-03-08 10:18:55,23.4966598409663
0.111773685,0.05529175,9.871241,19.0,-0.10262897,0.006354152,9.806111,-0.0038098916,-0.008269316,-0.015211105,0.004305033,0.0030045342,-0.7712844,2017-03-08 10:18:56,53.44869977364118
0.111773685,0.04395447,9.852279,20.0,-0.10372031,0.01412631,9.806091,0.0058164,0.0018855631,-0.0078105927,0.0044678724,0.0028796338,-0.77105176,2017-03-08 10:18:57,57.42746948556999
0.111773685,0.046792604,9.882612,19.0,-0.10821543,0.012084369,9.806046,0.0036122426,-0.0050190156,0.008877754,0.0046465034,0.0030385596,-0.7710096,2017-03-08 10:18:58,52.192243461511225
0.11082764,0.0382782,9.875021,20.0,-0.10369989,0.012000178,9.806094,0.008511297,0.012548676,0.0056848526,0.004466493,0.0028948775,-0.771064,2017-03-08 10:18:59,46.94420749120822
0.10704346,0.04961548,9.8797655,20.0,-0.10476358,0.010491417,9.806085,-0.0028054863,-1.03854574E-4,0.010014534,0.0044596745,0.0029882137,-0.7711371,2017-03-08 10:19:00,35.566401540717195
0.111773685,0.043008424,9.866496,19.0,-0.10320463,0.010108606,9.806102,-2.836734E-4,-0.0034781517,-0.0059051514,0.004386129,0.0029523948,-0.7711758,2017-03-08 10:19:01,32.71266424297008
0.115542606,0.037332155,9.883561,16.0,-0.10156162,0.0060532135,9.806122,0.012223482,-0.0013503958,0.009067535,0.0041164816,0.003097171,-0.77151626,2017-03-08 10:19:02,51.41696096077874
0.10704346,0.052453615,9.852279,16.0,-0.109316245,0.00830128,9.806037,0.002890341,0.004898806,-0.019797325,0.0045679626,0.0032215829,-0.7712101,2017-03-08 10:19:03,57.88799747668178
0.10515137,0.05907593,9.869343,20.0,-0.1061544,0.007701,9.806072,0.0110008195,-0.013400532,-0.008255959,0.0044244807,0.0031420905,-0.7712787,2017-03-08 10:19:04,50.69582843455215
0.11271973,0.043008424,9.893999,18.0,-0.10550191,0.008593293,9.806079,0.0109574795,3.8374774E-4,0.015939713,0.004495866,0.0030519492,-0.77115124,2017-03-08 10:19:05,55.59529431534948
0.10515137,0.05529175,9.889255,18.0,-0.10777461,0.009629658,9.806053,-9.6606463E-4,-0.0014828136,0.0025253296,0.0044862935,0.0031683687,-0.7712434,2017-03-08 10:19:06,59.40439270333897
0.10704346,0.056237794,9.881663,18.0,-0.10817631,0.010378674,9.806048,0.0014109537,-0.0016351976,-0.00942421,0.004510319,0.0031782899,-0.7712295,2017-03-08 10:19:07,60.676196688322904
0.11271973,0.054345705,9.883561,18.0,-0.10613346,0.008226206,9.806072,0.0026591644,-0.003461223,-0.0020313263,0.004418414,0.0032305617,-0.7713476,2017-03-08 10:19:08,56.00234920820818
0.11271973,0.052453615,9.8541765,20.0,-0.10644858,0.0081042135,9.806069,0.0041517094,-0.0016719992,-0.0062036514,0.0044446196,0.0032453998,-0.77133524,2017-03-08 10:19:09,57.61333326887134
0.11082764,0.041116334,9.848483,20.0,-0.1041692,0.008504481,9.806093,0.001146391,-0.005164057,-0.0157938,0.004372371,0.0030462304,-0.7712554,2017-03-08 10:19:10,53.146860700542646
0.11271973,0.04773865,9.867445,21.0,-0.109080575,0.012096411,9.806036,0.0049989596,-0.0020824503,-6.7424774E-4,0.004680858,0.0030662506,-0.7709995,2017-03-08 10:19:11,42.80920728827632
0.102313235,0.044900514,9.8721895,20.0,-0.109408036,0.0057368465,9.806038,-0.0021534264,6.7601074E-4,0.0045251846,0.0044890866,0.0033243925,-0.77135307,2017-03-08 10:19:12,50.51444487324272
0.11082764,0.058129884,9.867445,19.0,-0.10961777,0.0084669795,9.806034,0.0013688207,0.005686164,8.869171E-5,0.0045144013,0.0031667287,-0.7712176,2017-03-08 10:19:13,50.665352868431775
0.11648865,0.050561525,9.849432,18.0,-0.103359476,0.008435673,9.806102,0.00716307,0.0027516494,-0.0019378662,0.0043803905,0.0031113662,-0.7712952,2017-03-08 10:19:14,33.95229987782458
0.11271973,0.044900514,9.893984,18.0,-0.10383532,0.009065221,9.806096,-0.005888343,0.0012478093,0.006731987,0.0044247396,0.0029885895,-0.771168,2017-03-08 10:19:15,44.263319965695416
0.117434695,0.0382782,9.874087,18.0,-0.10714253,0.009262525,9.806061,0.0064494684,-0.007967437,8.2302094E-4,0.0045135343,0.0031134484,-0.77118003,2017-03-08 10:19:17,50.52348447380054
0.10325928,0.050561525,9.885459,18.0,-0.10651334,0.011775849,9.806065,-0.004445769,-3.63335E-4,0.022385597,0.004569739,0.0029951655,-0.7710457,2017-03-08 10:19:18,55.49505130680953
0.098529056,0.04961548,9.865547,18.0,-0.10724128,0.00860007,9.80606,-0.008279905,6.5284595E-4,0.0038852692,0.0044960934,0.0031424463,-0.77121615,2017-03-08 10:19:19,53.8703602817181
0.107989505,0.050561525,9.882612,16.0,-0.10752691,0.010413166,9.806055,2.1633506E-4,-0.0028880946,-0.0061359406,0.0045697186,0.0030718015,-0.7711008,2017-03-08 10:19:20,33.260489679467405
0.111773685,0.050561525,9.860804,17.0,-0.10569161,0.0067140465,9.806079,0.0023539662,0.00357795,-0.0058488846,0.0043745525,0.0031654686,-0.77133924,2017-03-08 10:19:21,32.96097618342645
0.111773685,0.046792604,9.85511,21.0,-0.10810993,0.0117648225,9.806047,0.004235156,-0.0047662323,-0.0067367554,0.0046320716,0.0030475568,-0.77102876,2017-03-08 10:19:22,49.289768380783876
0.10325928,0.04395447,9.873138,21.0,-0.109829254,0.006835399,9.806033,0.0012686923,0.001046584,0.013254166,0.0045142914,0.0032334481,-0.7712656,2017-03-08 10:19:23,48.485718820362614
0.121218875,0.05718384,9.878817,21.0,-0.10325329,0.009478233,9.806102,-0.0063244402,-0.012228955,-0.0019207001,0.004375832,0.0031782934,-0.7713473,2017-03-08 10:19:24,46.026410311720724
0.106097415,0.048684694,9.858906,20.0,-0.10326731,0.008789029,9.806103,-0.0046755224,-9.73966E-4,-0.009331703,0.004346109,0.0030058133,-0.77124935,2017-03-08 10:19:25,38.6506629440533
0.113665774,0.048684694,9.887357,21.0,-0.100421585,0.0054244804,9.806134,0.0042663515,-0.0026684548,0.021644592,0.0041332534,0.003107867,-0.77150923,2017-03-08 10:19:26,50.66461795874591
