ACC_X,ACC_Y,ACC_Z,TIME,VOICE
5.1559134,5.0397944,6.0142345,2017-05-04 16:07:05,-Infinity
7.4627266,1.5011644,5.2684407,2017-05-04 16:07:06,-Infinity
7.645883,0.736217,5.345055,2017-05-04 16:07:07,-Infinity
7.28795,1.0067618,5.9663506,2017-05-04 16:07:08,-Infinity
6.9252286,0.7517793,6.4607534,2017-05-04 16:07:09,-Infinity
7.015011,0.81043726,6.4727244,2017-05-04 16:07:10,-Infinity
7.123947,0.7038953,6.283582,2017-05-04 16:07:11,63.27676893965417
7.513005,1.0594343,5.720945,2017-05-04 16:07:12,48.095036567297186
7.441179,1.043872,5.8107276,2017-05-04 16:07:13,40.03293277143446
7.6506715,1.1348516,5.378574,2017-05-04 16:07:14,40.73180646912143
9.436746,-0.24420857,-0.92296475,2017-05-04 16:07:15,42.65239742200035
2.3870192,3.1172507,8.652645,2017-05-04 16:07:16,38.00930908793224
3.4464533,2.8000188,8.495825,2017-05-04 16:07:18,43.064523711572576
8.631097,0.4237737,6.2129536,2017-05-04 16:07:19,42.940621250585636
8.239645,0.06703765,4.8482585,2017-05-04 16:07:20,39.36493478700251
6.7839704,-0.59495914,6.7731967,2017-05-04 16:07:21,39.66734228393123
7.6147585,-0.01316811,5.8346696,2017-05-04 16:07:22,53.998931437221465
7.562086,-0.1352724,5.638345,2017-05-04 16:07:23,41.34479326520675
7.78355,-0.2753332,5.3678,2017-05-04 16:07:24,58.23961402064629
7.8206596,0.020350715,5.507861,2017-05-04 16:07:25,55.28550194023789
7.6841903,0.046686932,5.5641246,2017-05-04 16:07:26,59.79756816754328
7.9367785,0.10534488,5.2085857,2017-05-04 16:07:27,53.96091337796578
7.7943234,-1.1145009,5.407305,2017-05-04 16:07:28,51.71657630072079
8.378509,-1.804031,4.4580035,2017-05-04 16:07:29,45.90078077386107
8.62152,-0.6979098,4.8937483,2017-05-04 16:07:30,43.512173125865544
7.991845,-0.736217,4.9548006,2017-05-04 16:07:31,59.1065649394436
8.380903,-0.724246,4.560954,2017-05-04 16:07:32,47.95946611296914
8.324639,-0.79487497,4.531027,2017-05-04 16:07:33,50.858523419571995
8.485051,-0.6584055,4.4340615,2017-05-04 16:07:34,46.58134836864062
8.438364,-0.47046062,4.3766007,2017-05-04 16:07:35,65.67546717042079
8.541314,-0.36870706,4.2640734,2017-05-04 16:07:36,45.67685362400455
8.548497,-0.24779987,4.247314,2017-05-04 16:07:37,41.1216768044812
8.597578,-0.20231004,4.1575313,2017-05-04 16:07:38,65.63412507655252
8.6095495,-0.16759412,4.1012673,2017-05-04 16:07:39,43.232760837058876
8.664616,-0.075417355,4.0198646,2017-05-04 16:07:40,44.37168075113477
8.65025,-0.08499416,4.027047,2017-05-04 16:07:41,62.995661324380556
8.65863,-0.017956512,4.009091,2017-05-04 16:07:42,60.03137980750878
8.626308,0.04070143,4.035427,2017-05-04 16:07:43,61.75011995701509
8.6334915,-0.09816227,4.0078936,2017-05-04 16:07:44,54.881757730103885
8.516175,-0.022744916,4.1539397,2017-05-04 16:07:45,56.6332940234757
8.6299,0.06464344,4.033033,2017-05-04 16:07:46,59.077933067446736
8.628703,0.17118542,4.167108,2017-05-04 16:07:47,48.74448385449768
8.628703,0.21428105,4.0066967,2017-05-04 16:07:48,40.05274109614746
8.5700445,0.31364042,4.189853,2017-05-04 16:07:50,36.088735440296595
8.554482,0.34715924,4.2221746,2017-05-04 16:07:51,76.57955490201874
8.550891,0.20590134,4.272453,2017-05-04 16:07:52,59.97738664736096
8.579621,0.30645782,4.1299977,2017-05-04 16:07:53,36.23221822988422
8.500613,0.23343466,4.238934,2017-05-04 16:07:54,36.78499031108639
8.597578,0.23582886,4.1132383,2017-05-04 16:07:55,72.25156710527374
8.5700445,0.16998832,4.015076,2017-05-04 16:07:56,53.872059965497485
8.580819,0.16639702,4.122815,2017-05-04 16:07:57,38.492973088987085
8.543709,0.21547815,4.1611223,2017-05-04 16:07:58,32.495002705942866
8.467094,0.06823475,4.262876,2017-05-04 16:07:59,39.42091336513699
8.542512,0.34476504,4.2425256,2017-05-04 16:08:00,28.29902525432734
8.593987,0.2837129,4.1718965,2017-05-04 16:08:01,28.261740470955008
8.670602,0.36272156,4.1659107,2017-05-04 16:08:02,37.08247168844911
-3.7217865,0.62847793,11.263522,2017-05-04 16:08:03,72.68085386001079
5.007473,0.7577648,7.4244194,2017-05-04 16:08:04,59.518320365216695
6.3206925,-0.24540567,7.21373,2017-05-04 16:08:05,38.65276687885598
6.3422403,-0.5351041,7.0569096,2017-05-04 16:08:06,45.58324981838763
6.1746464,-0.32441434,7.2568254,2017-05-04 16:08:07,43.456245661074874
6.215348,-0.41060558,7.153875,2017-05-04 16:08:08,44.37722378333757
6.23091,-0.30166942,7.1873937,2017-05-04 16:08:09,39.76541832182729
6.233304,-0.30286652,7.15986,2017-05-04 16:08:10,41.249403991386814
6.1387334,-0.38307226,7.1706343,2017-05-04 16:08:11,65.61829261326554
6.191406,-0.23223756,7.2580223,2017-05-04 16:08:12,70.25485135929233
6.217742,-0.29328972,7.2699933,2017-05-04 16:08:13,47.890259892439495
6.2404866,-0.046686932,7.2209125,2017-05-04 16:08:14,36.420290181954236
6.2752028,-0.1436521,7.1395097,2017-05-04 16:08:15,37.04875969863026
6.2345014,-0.08499416,7.28795,2017-05-04 16:08:16,54.960207767463906
6.232107,-0.14963761,7.201759,2017-05-04 16:08:17,50.415935615823045
6.1926026,-0.031124622,7.241263,2017-05-04 16:08:18,53.92327618475751
6.2464724,-0.073023155,7.147889,2017-05-04 16:08:19,40.5165613257639
6.1758432,-0.094570965,7.2580223,2017-05-04 16:08:21,38.74878097264924
6.343437,0.05267244,6.9862804,2017-05-04 16:08:22,32.330722957237946
6.3111157,-0.045489833,7.062895,2017-05-04 16:08:23,45.99172056063107
6.31351,-0.09935937,7.0569096,2017-05-04 16:08:24,45.231030818594924
6.3218894,-0.092176765,7.2005615,2017-05-04 16:08:25,36.109953346072224
6.7444663,-1.8926164,6.479907,2017-05-04 16:08:26,41.81908941489582
6.8246717,-1.411382,6.525397,2017-05-04 16:08:27,39.760302742748046
6.528988,-1.0905589,6.7205243,2017-05-04 16:08:28,63.66237190649021
7.8446016,-0.4297592,5.2480903,2017-05-04 16:08:29,42.57342151305893
8.589199,-0.45370123,4.2197804,2017-05-04 16:08:30,41.61079812151162
8.933964,-0.31244332,3.5745432,2017-05-04 16:08:31,63.357219182313564
8.969876,-0.5243302,2.846706,2017-05-04 16:08:32,48.81946119364648
8.845378,-0.39145198,3.217807,2017-05-04 16:08:33,47.21758540017369
8.39048,0.1352724,4.408922,2017-05-04 16:08:34,49.91712597888256
8.080431,-1.1061212,5.01705,2017-05-04 16:08:35,39.877603630393416
