ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,HUMI_1,TEMP_2,TIME,VOICE
7.313089,4.0521865,5.305551,-0.204029,-0.50671273,0.72692966,71.0,5.26663,5.317688,6.3368125,2.0273051,-1.1996613,-1.0318599,0.4009817,-0.1238165,0.41069317,60.436905,25.546682,2017-05-29 10:57:49,58.14784927416155
8.866327,0.37229836,5.288193,0.106595986,0.16462818,0.07696902,30.0,7.951306,1.4862069,5.5442142,0.9072404,-1.0917622,-0.24165583,0.33016503,-0.3299931,0.50008166,60.436905,25.546682,2017-05-29 10:57:50,69.90074325384478
8.585608,-0.010175358,5.3282957,0.005497787,-0.053145275,0.0021380284,36.0,8.066434,0.69884384,5.5330505,0.54371357,-0.73774964,-0.19098806,0.32652947,-0.33321014,0.56217074,60.436905,25.546682,2017-05-29 10:57:51,74.45396357970276
8.693346,-0.11971009,5.1648917,0.032375857,-0.0021380284,-0.013133603,30.0,8.3480425,0.21370384,5.1414886,0.34470558,-0.33880088,0.006643772,0.32405975,-0.36440942,0.56340086,59.531685,25.546682,2017-05-29 10:57:52,77.6801371859115
8.72088,-0.10534488,5.2026005,0.021380283,0.011911872,-3.0543262E-4,34.0,8.41817,0.03587737,5.030261,0.28595066,-0.14421499,0.19807673,0.33061257,-0.36637765,0.5799019,59.531685,25.546682,2017-05-29 10:57:53,77.2132524746333
8.683769,-0.12449849,5.157709,0.02321288,-0.003970624,-0.0018325958,31.0,8.443458,-0.099713296,4.986831,0.23193264,-0.048727214,0.2014041,0.32960343,-0.37019908,0.5851407,59.531685,25.546682,2017-05-29 10:57:54,81.50686356037014
8.69993,-0.14065935,5.163096,0.0061086523,-6.1086525E-4,-0.00580322,31.0,8.468033,-0.14915976,4.94374,0.22052479,0.01807721,0.21456766,0.3318719,-0.37116346,0.58929896,59.391514,25.588587,2017-05-29 10:57:55,69.94574978004779
8.738836,-0.12330139,5.1960163,0.016187929,0.008857546,-0.005497787,33.0,8.474165,-0.15377046,4.9330783,0.26467133,0.05141834,0.231215,0.33043334,-0.37322488,0.58633333,59.391514,25.588587,2017-05-29 10:57:56,80.6897016275025
8.710705,-0.11731588,5.117606,0.014966198,-0.015271631,-0.005192355,32.0,8.4907,-0.1447592,4.9048414,0.22060299,0.037020117,0.20378637,0.3334459,-0.37235254,0.5887063,59.391514,25.588587,2017-05-29 10:57:57,84.64859746134748
8.728063,-0.094570965,5.104438,0.01863139,-0.010995574,-0.008246681,31.0,8.485707,-0.14079028,4.913588,0.24594593,0.040233813,0.18725872,0.33314788,-0.37205258,0.5885912,59.939816,25.6859,2017-05-29 10:57:58,84.52973589741251
8.754398,-0.11252748,5.1080294,0.0125227375,-0.0030543262,-6.1086525E-4,29.0,8.483949,-0.13069384,4.916901,0.26626015,0.027743168,0.20669031,0.33413187,-0.37099233,0.58965456,59.939816,25.6859,2017-05-29 10:57:59,82.23399420737131
8.72507,-0.08080431,5.1301756,0.018020526,0.007941248,-0.002443461,31.0,8.472327,-0.11740795,4.9372344,0.2695017,0.038997844,0.20670795,0.33180517,-0.3717509,0.5862325,59.939816,25.6859,2017-05-29 10:58:00,79.99369573765317
8.709507,-0.089184016,5.1289787,0.020158553,-0.004581489,0.003970624,31.0,8.456885,-0.11547902,4.9636827,0.25441742,0.0077399462,0.13955832,0.3322579,-0.36945575,0.5890171,60.763645,25.6859,2017-05-29 10:58:01,84.57658695584706
8.713697,-0.089782566,5.118803,0.02565634,0.0012217305,-0.0030543262,32.0,8.463099,-0.10073008,4.953403,0.26556206,0.0013707057,0.2013135,0.33304563,-0.36949196,0.58847153,60.763645,25.6859,2017-05-29 10:58:02,79.30192296765755
8.773552,-0.024540568,4.575918,0.10873401,0.08277224,0.18967366,30.0,8.4614315,-0.17148381,4.954307,0.3288803,0.0020940453,-0.63576555,0.33048996,-0.37220055,0.5880052,60.763645,25.6859,2017-05-29 10:58:03,82.00047320182024
9.339182,1.9303252,5.793968,-0.38606682,0.01985312,-0.093767814,36.0,8.51506,1.4379817,4.6471877,0.68406105,0.93706644,1.0162964,0.39134628,-0.33186594,0.5528774,61.471016,25.970753,2017-05-29 10:58:04,82.22191163041975
8.913014,0.8379706,4.1665096,0.16218472,0.07269296,-0.029626964,59.0,8.717287,1.2685946,4.309289,0.22685146,-0.38034582,-0.2044301,0.42440918,-0.31682733,0.60017663,61.471016,25.970753,2017-05-29 10:58:05,68.12593996823895
8.507795,1.459266,4.799177,0.054367006,0.05589417,-0.021685716,54.0,8.412184,1.3544624,4.8549967,0.07346535,0.11138761,-0.080359936,0.4079864,-0.29362324,0.61275107,61.471016,25.970753,2017-05-29 10:58:06,58.28018347904827
8.714295,1.0815806,5.2319293,0.009468411,-0.0033597588,6.1086525E-4,61.0,8.320928,1.0825285,5.0754995,0.4406538,-0.015313029,0.18875122,0.39306024,-0.29446033,0.6239173,62.116394,26.105686,2017-05-29 10:58:07,62.45643727292985
8.401254,1.2725182,5.4102974,0.029321533,0.01863139,-0.053145275,58.0,8.208412,1.1668258,5.2374506,0.204813,0.10030544,0.22432184,0.39152735,-0.28237057,0.63152933,62.116394,26.105686,2017-05-29 10:58:08,69.57825674605351
8.3408,1.4460979,5.6509147,-0.027183503,-0.005192355,-0.012217305,57.0,8.139478,1.3316855,5.3052726,0.18695736,0.09585726,0.27920294,0.39353913,-0.27318785,0.63069284,62.21291,26.105686,2017-05-29 10:58:09,66.57731268716918
8.628703,1.3964181,5.207389,0.041233405,0.009468411,0.035430185,57.0,8.194722,1.3039716,5.226527,0.42859364,0.057132006,-0.07360649,0.39869016,-0.27309555,0.63544714,62.21291,26.105686,2017-05-29 10:58:10,61.1615518857605
8.506598,1.264737,5.6102133,-0.04153884,0.005192355,0.013744468,46.0,8.171374,1.2235935,5.2822213,0.29332542,0.03096819,0.29686737,0.39395472,-0.2748274,0.63679576,62.21291,26.105686,2017-05-29 10:58:11,58.45082865939439
8.275558,1.2413936,5.3522377,0.06994407,-0.02321288,-0.01985312,41.0,8.189694,1.172844,5.265332,0.056534767,0.063761115,0.12521267,0.39193678,-0.27891082,0.63533837,61.42145,26.278963,2017-05-29 10:58:12,67.24987184830779
8.521563,1.0749966,5.2241483,0.04428773,-0.020158553,0.024740042,45.0,8.226616,1.1178814,5.2195334,0.24047852,-0.06443262,0.07524347,0.39332914,-0.28118,0.6370212,61.42145,26.278963,2017-05-29 10:58:13,64.0501443263177
8.249821,1.1947067,5.5168395,0.070554934,0.018936822,-0.034208454,44.0,8.186211,1.1077827,5.2848053,0.19529057,0.095902205,0.2458005,0.39120838,-0.2783792,0.6404133,61.42145,26.278963,2017-05-29 10:58:14,68.93634952876191
8.195353,1.168969,5.3678,0.08460484,-0.022602014,-0.046731193,46.0,8.073264,1.0789024,5.4615707,0.17895031,0.06552601,0.028932095,0.38046947,-0.27684438,0.63899064,60.533787,26.359076,2017-05-29 10:58:15,68.79137598320256
