ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
-0.335,5.899,7.843,49.0,2017-06-03 14:15:57,29.78745191318893
-0.22,4.635,9.261,81.0,2017-06-03 14:15:57,67.37564004194029
-1.752,5.248,9.069,105.0,2017-06-03 14:15:57,66.92209817618723
-0.45,-2.566,8.111,152.0,2017-06-03 14:15:58,50.957592957764064
-5.775,-0.766,8.15,105.0,2017-06-03 14:15:59,64.32124779280302
0.967,-0.536,10.103,274.0,2017-06-03 14:16:00,61.15068714276041
1.043,-0.727,9.759,281.0,2017-06-03 14:16:01,62.15157193984088
1.005,-0.727,9.874,281.0,2017-06-03 14:16:02,64.1417728246723
1.043,-0.727,9.912,281.0,2017-06-03 14:16:03,64.73543883803256
1.043,-0.727,9.835,281.0,2017-06-03 14:16:04,67.65289499037026
0.928,-0.727,9.797,276.0,2017-06-03 14:16:05,58.68884516208463
1.082,-0.689,9.797,288.0,2017-06-03 14:16:06,48.12108023779213
0.967,-0.689,9.797,288.0,2017-06-03 14:16:07,57.703356911732996
1.158,-0.727,9.759,288.0,2017-06-03 14:16:08,60.8221377216094
1.005,-0.727,9.95,288.0,2017-06-03 14:16:09,64.91890862128399
1.043,-0.689,9.988,282.0,2017-06-03 14:16:10,64.31633538421336
0.928,-0.727,9.797,282.0,2017-06-03 14:16:11,63.155598685586355
1.043,-0.651,9.912,282.0,2017-06-03 14:16:12,68.156792117953
1.043,-0.727,9.835,282.0,2017-06-03 14:16:13,67.56086322513048
1.043,-0.651,9.835,282.0,2017-06-03 14:16:15,67.2934304833971
1.043,-0.727,9.912,282.0,2017-06-03 14:16:16,66.24769224567073
1.043,-0.689,9.759,282.0,2017-06-03 14:16:17,66.8302201266745
1.043,-0.766,9.988,282.0,2017-06-03 14:16:18,57.624190893001874
1.005,-0.766,9.912,277.0,2017-06-03 14:16:19,55.603066237348415
1.005,-0.727,9.797,277.0,2017-06-03 14:16:20,61.00991089094994
1.043,-0.689,9.759,277.0,2017-06-03 14:16:21,66.68480941066726
1.005,-0.727,9.797,277.0,2017-06-03 14:16:22,65.86429882191207
1.005,-0.804,9.835,288.0,2017-06-03 14:16:23,43.114415996645015
1.043,-0.689,9.835,283.0,2017-06-03 14:16:24,42.73150444691835
1.005,-0.727,9.874,278.0,2017-06-03 14:16:25,52.1396608687828
0.928,-0.727,9.95,278.0,2017-06-03 14:16:26,63.58569370019403
0.967,-0.727,9.759,278.0,2017-06-03 14:16:27,59.925704195711404
1.005,-0.727,9.797,273.0,2017-06-03 14:16:28,60.65882443488401
1.082,-0.727,9.874,273.0,2017-06-03 14:16:29,59.56814935194827
1.043,-0.727,9.912,284.0,2017-06-03 14:16:30,63.893908847037125
1.005,-0.689,9.912,279.0,2017-06-03 14:16:31,62.67699710384943
1.082,-0.727,9.759,279.0,2017-06-03 14:16:32,61.36231639858812
1.005,-0.727,9.835,279.0,2017-06-03 14:16:33,60.922397986263405
0.967,-0.689,9.95,279.0,2017-06-03 14:16:34,63.56615076225985
0.967,-0.612,9.835,279.0,2017-06-03 14:16:35,61.0365264403658
1.043,-0.766,9.835,279.0,2017-06-03 14:16:36,60.40615114383938
1.005,-0.689,9.874,284.0,2017-06-03 14:16:37,65.60324008495832
0.967,-0.727,9.644,284.0,2017-06-03 14:16:38,68.0783692289455
0.967,-0.689,9.797,284.0,2017-06-03 14:16:39,64.80431957962585
1.005,-0.766,9.797,273.0,2017-06-03 14:16:40,65.40043609611557
0.967,-0.842,9.912,273.0,2017-06-03 14:16:41,63.080558302005784
1.043,-0.574,9.874,279.0,2017-06-03 14:16:43,50.40371058229236
1.005,-0.689,9.797,279.0,2017-06-03 14:16:44,62.56341417707186
1.043,-0.727,9.835,279.0,2017-06-03 14:16:45,67.6006223264561
1.043,-0.766,9.72,279.0,2017-06-03 14:16:46,62.61753492357131
1.043,-0.689,9.797,279.0,2017-06-03 14:16:47,63.78793995348072
0.967,-0.766,9.759,274.0,2017-06-03 14:16:48,59.151904313299255
1.043,-0.727,9.759,280.0,2017-06-03 14:16:49,54.580688397976516
1.005,-0.651,9.874,275.0,2017-06-03 14:16:50,57.21318047103403
1.005,-0.766,9.835,270.0,2017-06-03 14:16:51,66.24131443152372
1.043,-0.766,9.874,270.0,2017-06-03 14:16:52,65.48320856067218
1.043,-0.766,9.874,281.0,2017-06-03 14:16:53,63.464294460955216
0.967,-0.727,9.874,281.0,2017-06-03 14:16:54,48.36845921923279
0.967,-0.766,9.874,276.0,2017-06-03 14:16:55,64.43410110358626
1.082,-0.727,9.797,276.0,2017-06-03 14:16:56,62.73874677554755
0.967,-0.727,9.797,276.0,2017-06-03 14:16:57,62.85851181294211
1.005,-0.727,9.95,271.0,2017-06-03 14:16:58,64.04483847916204
1.043,-0.651,9.835,281.0,2017-06-03 14:16:59,62.994062699524214
1.043,-0.689,9.835,275.0,2017-06-03 14:17:00,64.24659358116146
1.043,-0.727,9.874,275.0,2017-06-03 14:17:01,59.97963521747073
1.005,-0.727,9.835,275.0,2017-06-03 14:17:02,65.04796423202707
1.005,-0.842,9.874,275.0,2017-06-03 14:17:03,64.71323344066866
1.043,-0.727,9.835,280.0,2017-06-03 14:17:04,64.43616738176816
1.043,-0.766,9.874,280.0,2017-06-03 14:17:05,66.74140304719666
1.043,-0.727,9.797,280.0,2017-06-03 14:17:06,66.281231943659
0.967,-0.727,9.759,280.0,2017-06-03 14:17:07,58.1567386668915
1.043,-0.766,9.874,280.0,2017-06-03 14:17:09,63.30344036984939
1.005,-0.766,9.72,280.0,2017-06-03 14:17:10,65.3294771505249
1.005,-0.651,9.874,280.0,2017-06-03 14:17:11,61.01288132620033
1.043,-0.766,9.835,274.0,2017-06-03 14:17:12,66.97901575762319
1.005,-0.727,9.835,274.0,2017-06-03 14:17:13,63.72571448517803
0.967,-0.766,9.835,274.0,2017-06-03 14:17:14,60.27946319909235
1.005,-0.651,9.835,274.0,2017-06-03 14:17:15,67.70089880584037
1.043,-0.689,9.797,280.0,2017-06-03 14:17:16,68.0672171540365
0.928,-0.651,9.874,275.0,2017-06-03 14:17:17,64.22670286316028
1.005,-0.727,9.912,270.0,2017-06-03 14:17:18,50.39680718962131
1.005,-0.689,9.988,276.0,2017-06-03 14:17:19,55.74941279126284
0.967,-0.766,9.95,276.0,2017-06-03 14:17:20,51.53843426481926
1.043,-0.727,9.874,270.0,2017-06-03 14:17:21,63.57314089710829
0.967,-0.727,9.874,270.0,2017-06-03 14:17:22,59.42218510760082
1.043,-0.727,9.835,281.0,2017-06-03 14:17:23,62.274062855549595
0.967,-0.651,9.835,271.0,2017-06-03 14:17:24,66.44255474641261
1.043,-0.727,9.759,271.0,2017-06-03 14:17:25,67.30992264410608
1.043,-0.727,9.912,276.0,2017-06-03 14:17:26,58.413457805908095
1.043,-0.651,9.759,271.0,2017-06-03 14:17:27,52.86687636797158
1.005,-0.651,9.72,271.0,2017-06-03 14:17:28,65.3296298038096
1.005,-0.727,9.874,276.0,2017-06-03 14:17:29,67.60127985666837
1.005,-0.689,9.797,276.0,2017-06-03 14:17:30,66.27143230721762
1.005,-0.689,9.874,271.0,2017-06-03 14:17:31,59.44651901824444
0.967,-0.689,9.835,271.0,2017-06-03 14:17:32,48.07582074617882
1.005,-0.689,9.874,271.0,2017-06-03 14:17:33,45.389950802334305
1.043,-0.727,9.797,271.0,2017-06-03 14:17:34,59.89752805631692
1.005,-0.766,9.874,277.0,2017-06-03 14:17:35,65.27218511563837
1.005,-0.727,9.759,272.0,2017-06-03 14:17:36,59.90777903471442
1.005,-0.766,9.759,267.0,2017-06-03 14:17:37,62.42470866017736
1.043,-0.842,9.835,268.0,2017-06-03 14:17:38,64.11645484693172
1.043,-0.689,9.759,262.0,2017-06-03 14:17:40,65.63310246729293
0.967,-0.689,9.874,273.0,2017-06-03 14:17:41,67.52556284189347
1.005,-0.766,9.95,272.0,2017-06-03 14:17:42,62.27221784734751
0.967,-0.689,9.797,272.0,2017-06-03 14:17:43,67.35034489386243
1.005,-0.727,9.874,272.0,2017-06-03 14:17:44,60.657297459066
1.043,-0.766,9.874,271.0,2017-06-03 14:17:45,65.05279088177498
1.043,-0.651,9.797,276.0,2017-06-03 14:17:46,69.75602314427569
1.082,-0.651,9.605,271.0,2017-06-03 14:17:47,62.74513071402364
1.005,-0.727,9.797,266.0,2017-06-03 14:17:48,53.53002655937998
1.005,-0.689,9.835,271.0,2017-06-03 14:17:49,64.12271626867133
0.967,-0.689,9.874,276.0,2017-06-03 14:17:50,61.15664139337742
0.967,-0.727,9.72,275.0,2017-06-03 14:17:51,54.646350570345945
1.043,-0.689,9.874,280.0,2017-06-03 14:17:52,51.379976719311635
0.967,-0.727,9.912,279.0,2017-06-03 14:17:53,42.83362676954697
1.043,-0.727,9.835,278.0,2017-06-03 14:17:54,59.719030954098365
1.005,-0.651,9.912,278.0,2017-06-03 14:17:55,58.87487840049872
1.005,-0.766,9.835,279.0,2017-06-03 14:17:56,45.57290414108654
1.043,-0.689,9.797,274.0,2017-06-03 14:17:57,42.66408911485413
0.928,-0.766,9.835,279.0,2017-06-03 14:17:58,54.35235362689008
1.005,-0.727,9.835,279.0,2017-06-03 14:17:59,59.86678975503125
1.082,-0.689,9.682,274.0,2017-06-03 14:18:00,44.09374300938595
1.005,-0.689,9.874,280.0,2017-06-03 14:18:01,43.21159389428621
0.928,-0.727,9.682,280.0,2017-06-03 14:18:02,42.84114636113632
1.005,-0.689,9.72,274.0,2017-06-03 14:18:03,42.190791560169586
1.005,-0.727,9.797,274.0,2017-06-03 14:18:04,59.94374403227032
1.043,-0.689,9.759,274.0,2017-06-03 14:18:05,56.06194941999326
1.005,-0.727,9.72,274.0,2017-06-03 14:18:06,55.89093070552637
0.967,-0.727,9.874,279.0,2017-06-03 14:18:07,59.88203961971078
0.967,-0.727,9.874,274.0,2017-06-03 14:1
