ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
0.0,0.0,0.0,0.0,0.0,0.0,550.0,-0.10928106,-0.052670956,0.009692192,0.0,0.0,0.0,2017-06-10 07:06:02,10.382583682586697
4.949,4.677,7.132,0.021849187,0.002664535,0.015321077,550.0,0.049643517,-0.021129608,-0.13250113,0.07804083,-0.36263356,-0.5083348,2017-06-10 07:06:03,47.11196674625751
5.575,5.007,6.647,0.514122,-0.7924327,-0.26312283,550.0,-0.39677906,-0.32817268,-0.2484951,-0.004611993,-0.4011847,-0.64575714,2017-06-10 07:06:04,60.93490805049028
3.592,4.295,-2.66,1.7296829,-6.7347455,-1.2222222,80.0,-0.8705077,-2.003201,0.6256403,0.72367877,0.49261147,0.45553252,2017-06-10 07:06:05,57.26285421065636
0.089,4.499,-8.758,0.041300293,0.0051958435,-0.040767387,80.0,0.10125792,-0.73804164,-0.03754139,0.85652757,0.46361694,0.12673248,2017-06-10 07:06:06,62.142594508119444
0.399,4.252,-8.69,-0.0025313082,-0.0070610177,0.0055955234,80.0,-0.15606104,0.06168604,0.053030014,0.8557261,0.46449837,0.1236922,2017-06-10 07:06:07,62.75719121411168
0.421,4.23,-8.678,-0.0025313082,-0.008260058,0.007993605,80.0,-0.077562615,0.054897785,0.052713394,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:08,48.72838545751484
0.371,4.239,-8.682,-0.0025313082,-0.008260058,0.0067945644,80.0,-0.11108144,0.034546852,0.029369354,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:09,48.19749711420996
0.398,4.225,-8.676,-0.0025313082,-0.0070610177,0.004396483,80.0,-0.099708974,0.027364254,0.053910255,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:10,60.820370724232774
0.405,4.251,-8.676,-0.0025313082,-0.008260058,0.003197442,80.0,-0.100906074,0.04412365,0.050917625,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:11,52.39151702832065
0.409,4.254,-8.678,-0.0013322675,-0.008260058,0.0067945644,80.0,-0.095519125,0.057890415,0.04553032,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:12,49.95418910284697
0.409,4.242,-8.673,-0.0038635759,-0.005861977,0.003197442,80.0,-0.12903795,0.04113102,0.050917625,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:13,50.73430804940558
0.413,4.232,-8.673,-0.0025313082,-0.0070610177,0.004396483,80.0,-0.118264034,0.048313618,0.050318718,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:14,55.33219403523599
0.375,4.224,-8.685,-0.0025313082,-0.0070610177,0.0055955234,80.0,-0.111679986,0.021977425,0.041340828,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:15,50.99648477248732
0.398,4.243,-8.68,-0.0013322675,-0.0070610177,0.004396483,80.0,-0.11048289,0.017787457,0.04553032,0.8554421,0.46472833,0.12280246,2017-06-10 07:06:16,48.436636897293425
0.421,4.259,-8.678,-0.0038635759,-0.008260058,0.004396483,80.0,-0.114074185,0.060284615,0.043136597,0.74688166,0.6254291,0.15508313,2017-06-10 07:06:17,50.04556261953786
