ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,TIME,VOICE
9.80665,1.685518,-2.6048915,0.6044799,-1.0812528,-1.4537315,22.0,2017-06-10 14:56:01,51.35268599002434
9.500193,1.685518,-1.532289,-0.06811041,0.036183655,0.1990101,16.0,2017-06-10 14:56:02,51.461965609070305
9.500193,0.0,-0.61291564,0.51827765,0.1734687,0.25115713,23.0,2017-06-10 14:56:03,50.87108817070561
9.346964,-0.15322891,-2.7581203,0.009578027,-0.06598196,0.44378188,21.0,2017-06-10 14:56:04,50.567992331880404
4.7500963,5.209783,13.9438305,0.11280787,-0.92055476,-0.15856954,392.0,2017-06-10 14:56:05,54.80477823402847
1.685518,5.363012,7.5082164,1.9400824,1.4260617,0.05533971,170.0,2017-06-10 14:56:06,49.77591849312003
-7.201759,6.742072,4.7500963,-1.3260245,0.1649549,-1.3568871,104.0,2017-06-10 14:56:07,48.991401539905524
0.61291564,-1.3790601,7.3549876,1.271749,-0.6715261,0.48102978,3.0,2017-06-10 14:56:08,64.60254739364247
0.0,0.0,9.653421,-0.0042569004,0.007449576,0.0031926755,1.0,2017-06-10 14:56:09,49.89477544214907
-0.15322891,0.0,9.653421,-0.0010642251,0.005321126,-0.005321126,1.0,2017-06-10 14:56:10,51.20771279234429
-0.15322891,0.0,9.653421,-0.0,-0.005321126,-0.0021284502,1.0,2017-06-10 14:56:11,52.103384211891495
-0.15322891,0.0,9.80665,-0.0010642251,-0.005321126,0.0021284502,1.0,2017-06-10 14:56:12,51.89896958513966
-0.15322891,0.0,9.80665,-0.0031926755,-0.0021284502,-0.0031926755,1.0,2017-06-10 14:56:13,50.740445137098604
0.0,0.0,9.80665,0.0031926755,-0.0021284502,-0.0,1.0,2017-06-10 14:56:14,52.69697698966995
-0.15322891,-0.15322891,9.80665,0.0010642251,-0.0021284502,0.0010642251,1.0,2017-06-10 14:56:15,54.8908029503023
-0.15322891,0.0,9.80665,-0.0031926755,-0.0031926755,-0.0042569004,1.0,2017-06-10 14:56:16,46.50402929513512
-0.15322891,0.0,9.653421,-0.0010642251,0.0,-0.007449576,1.0,2017-06-10 14:56:17,47.30485581349814
-0.15322891,0.0,9.653421,-0.007449576,0.0,-0.0021284502,1.0,2017-06-10 14:56:18,50.16333589594961
-0.15322891,0.0,9.80665,0.0031926755,-0.0021284502,-0.0021284502,1.0,2017-06-10 14:56:19,48.94283886401758
0.0,0.0,9.80665,-0.0010642251,-0.006385351,-0.0010642251,1.0,2017-06-10 14:56:20,45.45365188643583
-0.15322891,0.0,9.80665,-0.0,-0.0021284502,-0.0042569004,1.0,2017-06-10 14:56:21,54.93554702131466
0.0,0.0,9.80665,0.0021284502,-0.0031926755,-0.0031926755,1.0,2017-06-10 14:56:22,47.72096431404178
-0.15322891,0.0,9.80665,0.0031926755,-0.005321126,-0.0021284502,1.0,2017-06-10 14:56:23,51.27088120380235
-0.15322891,0.0,9.80665,-0.0042569004,-0.0021284502,-0.005321126,1.0,2017-06-10 14:56:24,48.60551694267173
-0.15322891,-0.15322891,9.80665,-0.0021284502,-0.0021284502,-0.0021284502,1.0,2017-06-10 14:56:25,52.62146566488841
-0.15322891,0.0,9.80665,-0.006385351,-0.0042569004,-0.0010642251,1.0,2017-06-10 14:56:26,46.85686086392359
-0.15322891,0.0,9.653421,-0.005321126,-0.006385351,-0.0031926755,1.0,2017-06-10 14:56:27,21.818435879447726
-0.15322891,0.0,9.80665,-0.0042569004,-0.0021284502,-0.0021284502,1.0,2017-06-10 14:56:28,53.24234838094863
0.0,0.0,9.80665,-0.0042569004,0.0021284502,-0.0021284502,1.0,2017-06-10 14:56:29,50.20726434090314
-0.15322891,0.0,9.80665,-0.005321126,-0.006385351,-0.0021284502,1.0,2017-06-10 14:56:30,51.572830684988276
-0.15322891,-0.15322891,9.80665,-0.0031926755,-0.0042569004,-0.005321126,1.0,2017-06-10 14:56:31,49.75516744220923
-0.15322891,0.0,9.653421,-0.006385351,-0.008513801,-0.0042569004,1.0,2017-06-10 14:56:32,52.11081983446823
-0.15322891,0.0,9.80665,-0.0010642251,-0.006385351,-0.0021284502,1.0,2017-06-10 14:56:33,52.04340715533128
-0.15322891,0.0,9.80665,-0.0010642251,0.0010642251,-0.0042569004,1.0,2017-06-10 14:56:34,47.156650154972326
0.0,0.0,9.80665,-0.0021284502,-0.0031926755,-0.0010642251,1.0,2017-06-10 14:56:36,49.12777703292211
-0.15322891,0.0,9.80665,-0.0021284502,-0.0021284502,-0.0010642251,1.0,2017-06-10 14:56:37,49.142018187013065
-0.15322891,0.0,9.80665,0.0010642251,-0.0042569004,-0.0,1.0,2017-06-10 14:56:38,48.91350468236865
-0.15322891,-0.15322891,9.80665,-0.0,0.0010642251,-0.0021284502,1.0,2017-06-10 14:56:39,46.24924980796191
-0.15322891,0.0,9.653421,-0.006385351,-0.0042569004,-0.0021284502,1.0,2017-06-10 14:56:40,47.98421412339902
-0.15322891,0.0,9.80665,-0.005321126,-0.006385351,-0.0,1.0,2017-06-10 14:56:41,50.15130006246933
-0.15322891,0.0,9.80665,0.0010642251,-0.0031926755,-0.0010642251,1.0,2017-06-10 14:56:42,13.349979536670517
-0.15322891,0.0,9.80665,-0.0031926755,0.0,-0.006385351,1.0,2017-06-10 14:56:43,52.897221549553244
-0.15322891,0.0,9.80665,-0.0031926755,-0.0010642251,-0.006385351,1.0,2017-06-10 14:56:44,51.349074319807855
