ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
7.814,-0.459,6.589,13.0,2017-06-19 19:11:45,55.025224928668365
7.968,-0.153,6.282,11.0,2017-06-19 19:11:46,57.38688504011988
7.968,-0.459,6.282,11.0,2017-06-19 19:11:47,49.47206066232607
7.968,-0.459,6.435,11.0,2017-06-19 19:11:48,67.5764357262417
7.968,-0.459,6.435,11.0,2017-06-19 19:11:50,53.43727623184041
7.968,-0.459,6.435,11.0,2017-06-19 19:11:51,49.735759712841954
7.968,-0.612,6.435,10.0,2017-06-19 19:11:52,58.45101053648825
7.968,-0.612,6.435,10.0,2017-06-19 19:11:53,67.96060428205878
7.968,-0.612,6.435,10.0,2017-06-19 19:11:54,66.05323617170897
7.968,-0.612,6.435,10.0,2017-06-19 19:11:55,68.00686781540287
7.814,-0.612,6.589,10.0,2017-06-19 19:11:56,63.48495964810127
7.814,-0.612,6.589,10.0,2017-06-19 19:11:57,65.99512137907632
7.814,-0.612,6.589,9.0,2017-06-19 19:11:58,66.89053555949634
7.814,-0.612,6.589,9.0,2017-06-19 19:11:59,66.00496807196512
7.814,-0.612,6.589,9.0,2017-06-19 19:12:00,65.11827973677947
7.814,-0.612,6.589,9.0,2017-06-19 19:12:01,60.95387246245284
7.814,-0.612,6.589,9.0,2017-06-19 19:12:02,68.94924183472128
7.814,-0.612,6.589,9.0,2017-06-19 19:12:03,65.94100553252626
7.814,-0.612,6.589,9.0,2017-06-19 19:12:04,64.99636374209771
7.814,-0.612,6.589,9.0,2017-06-19 19:12:05,65.70477889114316
7.814,-0.612,6.589,9.0,2017-06-19 19:12:06,69.87354148021447
7.814,-0.612,6.589,9.0,2017-06-19 19:12:07,63.32541975602381
7.814,-0.612,6.589,9.0,2017-06-19 19:12:08,66.0437499048295
7.814,-0.612,6.589,9.0,2017-06-19 19:12:09,65.57699569077599
7.814,-0.612,6.589,9.0,2017-06-19 19:12:10,69.82629150630625
7.814,-0.612,6.589,9.0,2017-06-19 19:12:11,53.85496597042923
7.814,-0.612,6.589,9.0,2017-06-19 19:12:12,67.74998711853476
7.814,-0.612,6.589,9.0,2017-06-19 19:12:13,54.60253811706245
7.814,-0.612,6.589,9.0,2017-06-19 19:12:14,58.7060671668757
7.814,-0.612,6.435,9.0,2017-06-19 19:12:15,64.38648241197782
8.121,-0.612,6.895,10.0,2017-06-19 19:12:16,61.396377187108925
7.814,-0.459,6.589,11.0,2017-06-19 19:12:17,68.42038930219746
7.814,0.306,6.895,11.0,2017-06-19 19:12:18,56.69516003096745
7.661,0.306,6.895,13.0,2017-06-19 19:12:19,65.41737084531557
7.661,0.306,6.742,13.0,2017-06-19 19:12:20,54.67701559936021
7.508,1.685,6.282,16.0,2017-06-19 19:12:21,66.41535608639879
7.814,1.379,6.589,16.0,2017-06-19 19:12:22,67.06794459686412
7.968,0.766,5.976,15.0,2017-06-19 19:12:23,63.65094469692073
8.274,0.153,5.976,13.0,2017-06-19 19:12:25,62.77330226001623
8.274,0.153,5.976,12.0,2017-06-19 19:12:26,64.89792111991623
8.274,0.153,5.976,12.0,2017-06-19 19:12:27,57.501210911964904
8.274,0.153,5.976,12.0,2017-06-19 19:12:28,60.47494651661674
8.274,0.153,5.976,12.0,2017-06-19 19:12:29,62.696469516283024
8.274,0.153,5.976,12.0,2017-06-19 19:12:30,58.0772172700285
8.274,0.153,5.976,12.0,2017-06-19 19:12:31,69.07870532995571
8.274,0.153,5.976,12.0,2017-06-19 19:12:32,62.38266645144687
8.274,0.153,5.976,12.0,2017-06-19 19:12:33,63.532233417938684
8.274,0.153,5.976,12.0,2017-06-19 19:12:34,68.70215135743406
8.274,0.153,5.976,12.0,2017-06-19 19:12:35,64.97085855288691
8.274,0.153,5.976,12.0,2017-06-19 19:12:36,55.613677794190835
8.274,0.153,5.822,12.0,2017-06-19 19:12:37,61.95808138048733
8.274,0.153,5.822,12.0,2017-06-19 19:12:38,64.8054416077873
8.274,0.153,5.822,12.0,2017-06-19 19:12:39,54.05133244372402
8.274,0.153,5.822,12.0,2017-06-19 19:12:40,64.20138219556239
8.274,0.153,5.822,12.0,2017-06-19 19:12:41,64.76861899104773
8.274,0.153,5.822,12.0,2017-06-19 19:12:42,67.55671976519348
