ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.182004,2.8224366,9.5321455,55.0,1.2728325,7.4910874,6.199507,1.8986249,-3.1769652,2.836259,-0.0113677,-0.4287002,-0.8943089,2017-07-26 13:19:06,-0.9606260887207092
9.139676,0.045397937,4.974397,60.0,8.370296,0.47244352,5.0877624,0.4403906,-0.13926435,-0.52722025,-0.48585638,-0.04702605,-0.8722707,2017-07-26 13:19:07,2.199445427615631
9.159543,-0.50378114,5.0091963,57.0,8.59886,-0.27274325,4.7069755,-0.21237278,-0.111587524,0.6816888,-0.5124834,-0.02370062,-0.8556938,2017-07-26 13:19:08,-0.6739941549951802
9.513043,-0.6247681,3.909728,55.0,8.962361,-0.35808426,3.964623,8.239746E-4,-0.0023815036,-0.052001238,-0.4538573,-0.3031073,-0.67769206,2017-07-26 13:19:09,-0.19428551838325955
9.503598,-0.58507997,3.7977998,56.0,9.021756,-0.17382048,3.840324,-0.0519104,0.1623527,0.029279947,-0.37536842,-0.40365922,-0.5594124,2017-07-26 13:19:10,3.5488841148728745
9.438367,-0.71645814,3.2814605,53.0,9.176824,-0.3248378,3.4424958,-0.37421608,-0.1475113,0.5758226,-0.39190036,-0.41213888,-0.5477667,2017-07-26 13:19:11,24.3267371782521
9.721936,-0.10584718,3.3905647,55.0,9.181848,-0.017724533,3.4443798,-0.028745651,-0.049887016,-0.033905745,-0.39166456,-0.41294414,-0.5612799,2017-07-26 13:19:12,25.793762545685922
9.596219,-0.2145508,3.8025064,53.0,9.10245,-0.038442157,3.6488771,-0.07893276,-0.1315164,0.13119245,-0.39897737,-0.39614362,-0.58268607,2017-07-26 13:19:13,19.91482200660356
9.58772,-0.83933717,3.8288488,55.0,8.949713,-0.3297241,3.9955359,-0.17916489,-0.27781668,0.13567162,-0.38969582,-0.38273183,-0.5720816,2017-07-26 13:19:14,33.52507815521036
9.382611,-0.6436737,4.196578,55.0,8.885967,-0.2774444,4.139202,0.14648914,0.4028817,0.11663818,-0.37316212,-0.3878553,-0.5675888,2017-07-26 13:19:15,46.93279965456306
9.453504,-0.8516205,3.9332464,55.0,8.998824,-0.35452116,3.8814769,-0.1322689,0.07529098,0.16808915,-0.38020495,-0.3979637,-0.5573095,2017-07-26 13:19:16,-0.7218068744550022
8.521512,-1.2911499,4.7119913,55.0,8.955465,-0.6521971,3.942673,-0.46477985,-0.26916492,0.48060584,-0.3656882,-0.39249605,-0.5211901,2017-07-26 13:19:17,-0.39767126871487696
9.652936,-1.3043792,3.1827111,57.0,9.114806,-0.5108928,3.5818563,0.47009087,-0.18871218,-1.1989934,-0.3485294,-0.43701905,-0.49106303,2017-07-26 13:19:18,-0.5799194697768675
10.155805,-0.31379396,1.8509448,53.0,9.385253,-0.73643875,2.74683,0.18637848,0.4175996,-0.6298046,-0.37676227,-0.4669056,-0.45215908,2017-07-26 13:19:19,-1.3500713126880393
9.773923,-0.8724182,2.8742254,51.0,9.417736,-0.79885453,2.6150467,0.004719734,0.16815007,0.009332418,-0.3828029,-0.47357786,-0.44120625,2017-07-26 13:19:20,1.632359383700942
10.093411,-1.114392,2.0719619,51.0,9.503336,-0.8686432,2.2588613,0.058796883,0.015829325,-0.14411068,-0.3867297,-0.48504665,-0.43110502,2017-07-26 13:19:21,3.257593212265374
10.099088,-1.1304595,1.8688151,51.0,9.576937,-0.831963,1.9392033,0.0010967255,-0.03298384,-0.04004979,-0.3820212,-0.50516135,-0.41160965,2017-07-26 13:19:22,-1.9765394040669304
10.1208315,-0.9801758,1.860343,49.0,9.595812,-0.74394584,1.8807797,0.007335663,-0.005203545,-0.04203236,-0.38810855,-0.5036337,-0.42286152,2017-07-26 13:19:23,-1.4153799842776162
10.110425,-0.9404724,1.9496943,49.0,9.605643,-0.69735193,1.848164,-0.011601448,0.01527518,0.07700634,-0.38463908,-0.5077624,-0.41975528,2017-07-26 13:19:24,-2.498774732165999
10.136899,-0.89510804,1.880096,51.0,9.602826,-0.67233366,1.8719205,0.011220932,-0.00728482,0.0021252632,-0.37634826,-0.5129198,-0.4125764,2017-07-26 13:19:25,-1.7677037488116822
10.107587,-0.9744995,1.9054817,49.0,9.605923,-0.6709187,1.8564785,0.009243965,-0.002620995,-0.01896131,-0.38642713,-0.5067803,-0.42424858,2017-07-26 13:19:26,-1.8189787814821883
10.135953,-0.9669464,1.8114389,49.0,9.61064,-0.6696697,1.8323567,0.014210701,0.019108117,-0.014219999,-0.37244028,-0.5177852,-0.40466967,2017-07-26 13:19:27,-2.1623037265817944
10.137845,-0.95371705,1.8095562,51.0,9.610368,-0.68530744,1.8279982,0.0027275085,-0.03188491,0.014060378,-0.37359658,-0.516718,-0.40592858,2017-07-26 13:19:28,-2.8373574047756733
