ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.195483,9.044097,-3.2411506,-0.028068934,-0.08487196,0.069340914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-08-02 21:17:21,49.661189316801995
2.2409728,8.9124155,-3.2243912,-0.09192244,-0.101899564,0.1236164,0.0,2.1634605,9.031955,-3.1485894,0.077512264,-0.11953926,-0.07580185,0.65912706,0.47548386,0.4415622,2017-08-02 21:17:22,54.89651023530479
4.1491513,8.110358,-3.4039562,0.095381185,-0.06571591,0.14490089,0.0,3.9026523,8.37998,-3.2734735,0.16509628,-0.025413513,-0.08020449,0.708948,0.40533122,0.47120696,2017-08-02 21:17:23,51.852643994655395
5.896919,7.7560163,-3.8253357,0.24224424,0.67179215,1.4549621,0.0,5.7995133,7.2408104,-3.1791036,0.09740543,0.51520586,-0.6462321,0.743954,0.32957792,0.5160257,2017-08-02 21:17:24,50.59893612046608
8.544906,2.6659436,-6.2554507,-0.25900578,0.18650545,0.37158087,0.0,7.834635,2.3476517,-5.4108615,0.7102709,0.3182919,-0.84458923,0.88033324,0.029841503,0.45783746,2017-08-02 21:17:25,49.17828145663387
8.743625,2.682703,-5.1780596,-0.11107849,-0.07422971,0.07679049,0.0,8.240004,2.6461337,-4.6120186,0.59699535,-0.04483342,-0.40084124,0.8573575,0.009253495,0.49166226,2017-08-02 21:17:26,53.65796007879454
8.611943,2.304419,-5.6736593,-0.119592294,-0.116798714,-0.004090622,0.0,8.169102,2.3130503,-4.9077477,0.44284153,-0.008631229,-0.7659116,0.866061,-0.012800634,0.47880533,2017-08-02 21:17:27,47.52906676031191
8.765172,2.2517467,-5.5300074,-0.032325834,-0.048688304,0.06827669,0.0,8.166322,2.2481096,-4.942429,0.59885025,0.0036370754,-0.5875783,0.8668957,-0.022036992,0.47662687,2017-08-02 21:17:28,47.31347093115295
8.614338,2.3403323,-5.620987,-0.09085822,-0.046559855,0.06508401,0.0,8.074891,2.2823043,-5.0751963,0.5633888,0.084364176,-0.58649206,0.87066627,-0.026518833,0.46835664,2017-08-02 21:17:29,47.97076860207596
8.580819,2.2493525,-5.7119665,0.0059862714,0.11520237,0.06827669,0.0,8.166599,2.1714892,-4.976115,0.41421986,0.07786322,-0.7358513,0.8681147,-0.009387285,0.47820285,2017-08-02 21:17:30,49.278326563546166
8.784326,2.2732944,-5.383961,-0.03551851,0.017293658,0.07253359,0.0,8.234967,2.137902,-4.8769994,0.54935837,0.13539243,-0.5069618,0.86522037,-0.0071760383,0.48419294,2017-08-02 21:17:31,49.76874930924468
