ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
-0.25720215,-0.5471802,9.972717,-6.5612793E-4,-9.1552734E-5,3.0517578E-4,20.0,-0.24810426,-0.5459432,9.788298,-9.872615E-4,-0.0056540966,-0.0048675537,-0.01778889,0.024884842,-0.49978903,2017-10-21 15:31:36,45.588348402416294
-0.24763489,-0.5603485,9.964325,-1.2207031E-4,0.0014953613,-0.0012969971,20.0,-0.24743079,-0.5464819,9.788285,0.0041643083,-0.0042183995,0.0032262802,-0.017669812,0.024982817,-0.5053369,2017-10-21 15:31:37,57.65133478075195
-0.24163818,-0.5639496,9.96553,4.119873E-4,4.4250488E-4,3.0517578E-4,138.0,-0.2486831,-0.5481977,9.7881565,-6.8202615E-4,-0.0039848685,0.0052547455,-0.017728085,0.025071668,-0.50481945,2017-10-21 15:31:38,50.24185382991667
-0.24284363,-0.5663452,9.947571,-1.2207031E-4,-9.1552734E-5,-7.6293945E-4,264.0,-0.24655962,-0.5495307,9.788136,0.0054520667,0.005562544,-0.009380341,-0.017803015,0.025039932,-0.50614476,2017-10-21 15:31:39,44.152762305887634
-0.24763489,-0.5531769,9.959549,-2.593994E-4,2.593994E-4,-6.5612793E-4,264.0,-0.24483886,-0.5475455,9.788291,0.0013626516,0.0036689043,0.0050001144,-0.017747812,0.024921598,-0.5065707,2017-10-21 15:31:40,48.20699323247393
-0.25001526,-0.5555725,9.946381,-2.593994E-4,2.593994E-4,-1.2207031E-4,264.0,-0.245558,-0.5524001,9.788,-0.0039541274,-0.0023167133,-0.0016288757,-0.017937388,0.025082799,-0.5067538,2017-10-21 15:31:41,41.56637680158461
-0.24163818,-0.5639496,9.945175,7.9345703E-4,-2.746582E-4,-6.5612793E-4,262.0,-0.24483342,-0.55137664,9.788076,1.5223026E-4,3.6031008E-4,0.0010156631,-0.017912542,0.025023386,-0.50670487,2017-10-21 15:31:42,51.420156385611676
-0.24523926,-0.5591583,9.94278,2.746582E-4,7.9345703E-4,-1.2207031E-4,254.0,-0.24549682,-0.5489703,9.788194,0.0042471588,-0.0012666583,-0.004483223,-0.017791674,0.02498873,-0.5066325,2017-10-21 15:31:43,61.60439989275237
-0.2512207,-0.56874084,9.949966,7.9345703E-4,2.593994E-4,-1.2207031E-4,256.0,-0.24001196,-0.5505715,9.78824,-0.004811704,0.0053833723,-2.5463104E-4,-0.018005121,0.024788013,-0.50658965,2017-10-21 15:31:44,58.832448378315256
-0.24403381,-0.5639496,9.951172,-2.593994E-4,0.0013122559,-1.2207031E-4,260.0,-0.24554485,-0.5493561,9.788171,0.005460128,-0.0057581663,0.0055770874,-0.01780698,0.025001135,-0.5066469,2017-10-21 15:31:45,54.74542570509914
-0.2512207,-0.5555725,9.949966,-2.593994E-4,0.0013122559,-6.5612793E-4,264.0,-0.24282038,-0.55316293,9.788025,-0.012802348,-0.0029214025,-0.006668091,-0.018042382,0.024981664,-0.5067312,2017-10-21 15:31:46,60.47864449607986
-0.240448,-0.5603485,9.953552,-2.593994E-4,2.593994E-4,-1.2207031E-4,269.0,-0.24291863,-0.5533241,9.788013,0.0029181242,-2.3287535E-4,0.003022194,-0.018046714,0.024990318,-0.5067386,2017-10-21 15:31:48,54.03741291147489
-0.24882507,-0.56155396,9.946381,-2.593994E-4,7.9345703E-4,4.119873E-4,269.0,-0.2412746,-0.55149275,9.788157,-0.0072458386,3.683567E-5,-0.006793976,-0.018011406,0.02486858,-0.5066447,2017-10-21 15:31:49,60.30712136259935
-0.23326111,-0.5531769,9.957153,2.746582E-4,2.593994E-4,-1.2207031E-4,269.0,-0.2370508,-0.54876804,9.788414,0.0077095777,0.004665673,0.0068769455,-0.018005693,0.024608582,-0.5064729,2017-10-21 15:31:50,62.445617038621165
-0.24284363,-0.5531769,9.945175,-2.593994E-4,2.593994E-4,-1.2207031E-4,269.0,-0.2411924,-0.55018103,9.788234,0.0035916567,0.002628088,-0.004511833,-0.017957214,0.02482999,-0.5065973,2017-10-21 15:31:51,62.657628019584266
-0.24403381,-0.5567627,9.954758,2.746582E-4,-2.746582E-4,-1.2207031E-4,269.0,-0.24081506,-0.5486824,9.788327,8.557886E-4,0.0012032986,8.134842E-4,-0.01790277,0.024773333,-0.5065379,2017-10-21 15:31:52,64.61201490537611
-0.240448,-0.5483856,9.951172,2.746582E-4,2.593994E-4,-6.5612793E-4,268.0,-0.24049746,-0.5497373,9.788275,0.0065315366,0.008296967,0.0025587082,-0.017956475,0.024787337,-0.50656915,2017-10-21 15:31:53,61.480689759948476
-0.24763489,-0.5555725,9.948776,2.746582E-4,7.9345703E-4,-1.2207031E-4,269.0,-0.2397807,-0.5498187,9.788288,-0.0038425773,0.0034448504,-0.003273964,-0.017978873,0.0247577,-0.5065591,2017-10-21 15:31:54,51.567939408309165
-0.24284363,-0.5603485,9.94278,2.746582E-4,2.593994E-4,-1.2207031E-4,269.0,-0.24095087,-0.55061847,9.788215,-3.5101175E-4,0.0028533936,6.122589E-4,-0.01798238,0.024830924,-0.50660825,2017-10-21 15:31:55,59.01633178948657
-0.24642944,-0.5567627,9.945175,2.746582E-4,7.9345703E-4,4.119873E-4,269.0,-0.24354003,-0.54968435,9.788203,0.001162231,0.0020664334,-0.0058689117,-0.01787396,0.024920925,-0.5066222,2017-10-21 15:31:56,47.661031089824284
-0.24403381,-0.5567627,9.953552,2.746582E-4,2.593994E-4,4.119873E-4,269.0,-0.2418177,-0.54994553,9.788231,-0.002991125,-0.0024745464,-0.0068149567,-0.017930606,0.024851464,-0.5066003,2017-10-21 15:31:57,44.76031347221196
-0.23924255,-0.5603485,9.941589,-2.593994E-4,2.593994E-4,4.119873E-4,268.0,-0.24068393,-0.5490919,9.788307,0.005332336,-0.0023798943,-0.004958153,-0.017923823,0.02477842,-0.5065499,2017-10-21 15:31:58,53.005869352634505
-0.23805237,-0.5663452,9.948776,7.9345703E-4,2.593994E-4,-6.5612793E-4,269.0,-0.24130757,-0.551502,9.7881565,0.0037520677,-0.0055124164,-0.009777069,-0.018010933,0.024870288,-0.5066457,2017-10-21 15:31:59,52.20931648622893
-0.23805237,-0.55197144,9.946381,-2.593994E-4,2.593994E-4,-1.2207031E-4,269.0,-0.23968035,-0.5492591,9.788323,0.0056108832,0.00641495,-0.004599571,-0.017957471,0.024738342,-0.5065376,2017-10-21 15:32:00,51.4361140849292
-0.240448,-0.5591583,9.954758,-2.593994E-4,-2.746582E-4,4.119873E-4,269.0,-0.23867169,-0.54984003,9.788314,0.004601389,0.0034412146,0.0019264221,-0.018009031,0.024709059,-0.50653976,2017-10-21 15:32:01,52.32489908460338
-0.24403381,-0.5591583,9.933212,2.746582E-4,7.9345703E-4,-1.2207031E-4,269.0,-0.24083944,-0.5498649,9.78826,7.7416E-4,-2.3281574E-4,-0.016338348,-0.017952938,0.024805907,-0.5065798,2017-10-21 15:32:02,49.8036445610167
