ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.628,9.644,1.776,0.105648816,0.087263525,0.1882494,0.0,2.845688,9.265273,1.4923674,-0.21768808,0.37872696,0.28363264,0.5174297,0.39519227,0.61749256,2017-01-20 21:23:39,65.73872668328087
2.581,9.644,2.001,0.12683187,-0.53943515,0.2733813,0.0,3.5567796,9.12725,0.46154872,-0.97577953,0.51675034,1.5394512,0.57217175,0.38611794,0.59488744,2017-01-20 21:23:40,41.090681301358856
3.047,9.39,1.987,-0.12416733,-0.28763655,0.6393552,0.0,3.7761805,9.0281725,-0.6348118,-0.7291806,0.36182785,2.6218119,0.587643,0.43248358,0.5864679,2017-01-20 21:23:41,41.572847045188645
2.518,9.608,1.917,0.06394884,-0.34052756,0.29243273,0.0,4.6860347,8.5351715,-1.1671824,-2.1680348,1.0728283,3.0841825,0.62896395,0.40486306,0.58347183,2017-01-20 21:23:42,43.862278954214
2.571,9.689,1.673,0.41193712,0.44044763,-0.47322142,0.0,5.095971,8.263886,-1.3819051,-2.524971,1.4251137,3.054905,0.6289099,0.41824624,0.5953625,2017-01-20 21:23:43,42.315425911841544
2.715,9.55,1.738,-0.004662936,-0.1813216,0.12310152,0.0,4.802524,8.504465,-0.8833248,-2.0875242,1.0455351,2.6213248,0.5892939,0.4447131,0.618537,2017-01-20 21:23:44,42.713425246561975
2.621,9.665,1.762,0.15334399,-0.0876632,0.055955235,0.0,4.78037,8.53169,-0.7271333,-2.1593702,1.1333103,2.4891334,0.5906283,0.43385673,0.6194311,2017-01-20 21:23:45,41.56037426764592
5.588,8.145,2.83,-2.4284573,-2.4152677,-2.3375967,0.0,6.767524,6.98886,-1.2356589,-1.179524,1.1561403,4.0656586,0.74177784,-0.112989776,0.3831019,2017-01-20 21:23:46,42.46137403360578
6.165,3.593,8.13,-5.318279,1.3194778,1.9509726,0.0,-0.84268403,-9.318882,2.9357624,7.0076838,12.911882,5.1942377,0.02453417,0.5913678,-0.80507225,2017-01-20 21:23:47,51.76736046059844
2.367,4.192,9.433,1.5018651,1.3828937,0.019451106,0.0,-7.1605697,-4.1066656,5.2945194,9.52757,8.298666,4.13848,-0.47831786,-0.03559075,0.79146355,2017-01-20 21:23:48,40.718874614717265
0.847,7.134,7.855,0.50186515,-3.843192,-0.7673861,0.0,-8.360162,1.6255472,4.8616543,9.207162,5.5084524,2.9933457,-0.3165395,0.3897786,0.6632817,2017-01-20 21:23:49,58.170339978533754
-1.843,3.723,12.51,-2.5680788,0.6329603,3.9849453,0.0,-3.200654,0.5952186,9.250508,1.357654,3.1277814,3.259492,0.016434392,0.16758646,0.084780216,2017-01-20 21:23:50,42.42145738363121
-0.074,-0.814,11.229,2.5301092,2.870637,-0.11470823,0.0,-5.7303343,-2.1871066,7.651811,5.6563344,1.3731066,3.577189,-0.3176023,0.09484181,0.74833363,2017-01-20 21:23:51,43.88291721173857
0.002,0.081,10.786,0.10098588,-0.08193445,0.071276315,0.0,-2.5222313,0.9110089,9.4328575,2.5242314,-0.83000886,1.3531427,-0.057038847,0.12571672,0.6912768,2017-01-20 21:23:52,67.43578136673436
-0.043,0.117,10.803,0.092992276,-0.07873701,0.06554756,0.0,-0.690565,2.1232266,9.549105,0.647565,-2.0062265,1.2538958,0.06800243,0.09223227,0.57803535,2017-01-20 21:23:53,43.053015329919646
-0.009,0.1,10.819,0.086730614,-0.08979483,0.06767919,0.0,0.5964678,2.879649,9.355332,-0.6054678,-2.779649,1.4636679,0.14883246,0.029321007,0.38378242,2017-01-20 21:23:54,41.71088111877758
-0.055,0.138,10.8,0.0876632,-0.07394085,0.07447375,0.0,1.1795107,3.330816,9.14794,-1.2345107,-3.192816,1.6520605,0.18070757,-0.030489946,0.16940704,2017-01-20 21:23:55,45.17239573870349
-0.007,0.141,10.817,0.105115905,-0.07553957,0.06448175,0.0,1.190222,3.5603724,9.059664,-1.197222,-3.4193723,1.7573366,0.18471465,-0.06297777,-0.005854014,2017-01-20 21:23:56,44.93857703324249
-0.067,0.15,10.774,0.09778844,-0.08246736,0.07287503,0.0,0.8699771,3.5665805,9.093571,-0.93697715,-3.4165804,1.6804295,0.17618324,-0.07291355,-0.14974025,2017-01-20 21:23:57,39.61338534299321
-0.064,0.107,10.824,0.08979483,-0.09139355,0.069810815,0.0,0.47283086,3.2950103,9.224409,-0.53683084,-3.1880102,1.5995913,0.1582161,-0.06821799,-0.25757295,2017-01-20 21:23:58,39.37547116328156
-0.019,0.119,10.814,0.091926455,-0.09139355,0.08193445,0.0,0.18670338,2.8689706,9.375742,-0.20570338,-2.7499707,1.4382582,0.13613863,-0.058621474,-0.33131358,2017-01-20 21:23:59,40.229528622904624
-0.079,0.153,10.843,0.08979483,-0.0876632,0.069810815,0.0,0.01893281,2.350532,9.520768,-0.097932816,-2.1975322,1.3222322,0.11081548,-0.047915027,-0.38662037,2017-01-20 21:24:00,41.51088202381619
-0.067,0.126,10.824,0.10098588,-0.0856648,0.088196106,0.0,-3.6459554E-5,1.8716724,9.626383,-0.06696354,-1.7456723,1.1976175,0.08685427,-0.04058886,-0.42143992,2017-01-20 21:24:01,38.56279886133709
-0.026,0.122,10.757,0.10365041,-0.087263525,0.06501465,0.0,0.07125636,1.4223624,9.70269,-0.09725636,-1.3003625,1.0543098,0.06352444,-0.035568718,-0.4431037,2017-01-20 21:24:02,38.684290989495416
-0.079,0.114,10.779,0.09032774,-0.092459366,0.0776712,0.0,0.17164434,1.04201,9.749622,-0.25064436,-0.9280099,1.0293779,0.043309957,-0.03212233,-0.4565841,2017-01-20 21:24:03,41.9250704395245
-0.023,0.129,10.81,0.10671463,-0.092992276,0.07713829,0.0,0.27907616,0.77588093,9.771924,-0.30207616,-0.6468809,1.0380764,0.028691301,-0.03077847,-0.4571106,2017-01-20 21:24:04,51.43501477130676
-0.019,0.158,10.774,0.09832134,-0.09778844,0.07660538,0.0,0.3715019,0.5410944,9.784661,-0.3905019,-0.38309443,0.9893389,0.016070936,-0.029374493,-0.45131257,2017-01-20 21:24:05,51.55853107686773
-0.038,0.177,10.798,0.07873701,-0.10151879,0.07873701,0.0,0.428919,0.38784686,9.789586,-0.46691898,-0.21084686,1.0084143,0.008141542,-0.028350556,-0.43972495,2017-01-20 21:24:06,43.663905727323296
-0.067,0.112,10.838,0.09139355,-0.092459366,0.07447375,0.0,0.43840778,0.2723895,9.793058,-0.5054078,-0.1603895,1.0449419,0.003126364,-0.02613848,-0.42298892,2017-01-20 21:24:07,46.50483851150932
0.028,0.141,10.822,0.087263525,-0.08513189,0.07713829,0.0,0.4346613,0.1963873,9.795044,-0.4066613,-0.055387303,1.0269556,1.6302166E-4,-0.024325248,-0.40550467,2017-01-20 21:24:08,47.77670912379227
-0.04,0.134,10.769,0.10205169,-0.0951239,0.07660538,0.0,0.40649998,0.12878644,9.797375,-0.44649997,0.0052135587,0.9716253,-0.0019267318,-0.021660637,-0.3852072,2017-01-20 21:24:09,46.61883562054145
-0.055,0.189,10.8,0.092459366,-0.083000265,0.07713829,0.0,0.36973894,0.09245937,9.799241,-0.42473894,0.09654062,1.0007591,-0.0024969014,-0.019274537,-0.36514997,2017-01-20 21:24:10,50.49366279761743
-0.095,0.124,10.848,0.099387154,-0.083000265,0.07607248,0.0,0.30739072,0.049096406,9.801708,-0.40239072,0.07490359,1.0462914,-0.0030789883,-0.0155717265,-0.3462276,2017-01-20 21:24:11,45.91819482819436
-0.047,0.143,10.769,0.079269916,-0.08086864,0.07234213,0.0,0.25601113,0.03279263,9.803253,-0.30301112,0.11020738,0.9657469,-0.0027195495,-0.012876668,-0.32924867,2017-01-20 21:24:12,42.75973712789187
-0.004,0.11,10.757,0.087263525,-0.08086864,0.068745,0.0,0.2108711,0.02237695,9.804358,-0.2148711,0.087623045,0.95264244,-0.0023192246,-0.010560769,-0.31634825,2017-01-20 21:24:13,40.163129893209266
-0.071,0.124,10.855,0.096722625,-0.07287503,0.0776712,0.0,0.14827801,0.019157903,9.8055105,-0.21927801,0.1048421,1.049489,-0.0013732761,-0.0074984203,-0.3046931,2017-01-20 21:24:14,40.733118770275766
-0.016,0.155,10.834,0.07607248,-0.08926193,0.06501465,0.0,0.11031618,0.031177206,9.80598,-0.12631617,0.12382279,1.0280199,-1.3832276E-4,-0.0058433316,-0.29465628,2017-01-20 21:24:15,41.98191531580715
-0.076,0.193,10.781,0.08193445,-0.091926455,0.06927791,0.0,0.07125183,0.039941147,9.80631,-0.14725183,0.15305886,0.97469044,9.2082383E-4,-0.004061639,-0.28400695,2017-01-20 21:24:16,45.741175016806906
-0.059,0.086,10.781,0.09032774,-0.096722625,0.052757792,0.0,0.05163491,0.06317293,9.806311,-0.11063491,0.022827074,0.9746895,0.0023605695,-0.0034253742,-0.27842733,2017-01-20 21:24:17,41.55396669914811
-0.011,0.117,10.743,0.0856648,-0.092459366,0.08406608,0.0,0.027096003,0.0678384,9.806378,-0.038096003,0.049161598,0.93662167,0.0029564586,-0.0022652564,-0.27037686,2017-01-20 21:24:18,49.18369798853728
-0.062,0.141,10.726,0.09139355,-0.088196106,0.059685584,0.0,0.020828927,0.070107855,9.806377,-0.082828924,0.07089215,0.9196224,0.0031649524,-0.0019718425,-0.2651726,2017-01-20 21:24:19,42.626116793744835
