ACC_X,ACC_Y,ACC_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
9.599057,0.11534423,3.4197156,81.0,9.124973,0.374419,3.5728226,-4.7302246E-4,0.0023651123,0.039230347,0.56486946,-0.026841724,0.8215138,2017-07-12 13:51:29,13.125145339139506
9.684125,0.14274901,3.1902266,81.0,9.186546,0.39272597,3.4093282,0.007423401,0.021550179,-0.03746867,0.567962,-0.029846275,0.8188121,2017-07-12 13:51:30,19.08895327108675
5.061063,-1.8979766,8.718601,87.0,5.761508,-0.49085483,7.92051,-1.4500723,-0.7258521,1.5284371,-0.32111123,-0.07508886,-0.9137116,2017-07-12 13:51:31,21.412341404862026
4.455167,-8.083493,3.8965645,73.0,4.885025,-7.0299363,4.7840266,-0.6470132,-1.4501324,-1.312335,-0.42776895,0.285913,-0.7874736,2017-07-12 13:51:32,11.439900858243131
2.8917816,-9.361432,2.2751088,64.0,3.020881,-8.835687,2.9958823,-0.45777965,-0.3760624,-0.3697443,-0.5207077,0.2572677,-0.58919907,2017-07-12 13:51:33,31.128698621693566
3.1961334,-8.681821,3.3820925,58.0,2.5362163,-8.99498,2.97125,-0.016922712,-0.04492569,0.033009052,-0.53162634,0.27198735,-0.53937346,2017-07-12 13:51:34,55.244125437563305
2.9588897,-9.137418,2.7284393,59.0,2.4803774,-9.052566,2.8406293,0.03916359,0.016924858,-0.05206108,-0.53110605,0.2703601,-0.54045147,2017-07-12 13:51:35,51.78698134590951
2.6016052,-9.338742,2.5619743,59.0,2.1965592,-9.176476,2.6716673,-0.19556856,-0.20159912,-0.16359377,-0.5255679,0.29461494,-0.5422845,2017-07-12 13:51:36,51.09080479411393
2.659253,-9.220593,2.7369113,59.0,2.2306945,-9.148114,2.7397816,0.015393972,0.011675835,0.009182453,-0.52708286,0.28886285,-0.53925866,2017-07-12 13:51:37,50.238584088044945
2.565686,-9.335919,2.2516057,57.0,2.159612,-9.208438,2.5905864,0.06615591,-0.042681694,-0.10703468,-0.53577125,0.2894645,-0.5257809,2017-07-12 13:51:38,39.120220064269915
0.05706483,-9.300946,3.1864765,60.0,0.5941697,-9.5849085,1.986675,-0.80055445,0.22244644,0.9924092,-0.5242172,0.35200012,-0.47127554,2017-07-12 13:51:39,50.460019743122814
1.4465454,-8.198819,4.4524097,98.0,1.5723249,-8.419652,4.775735,-0.45660865,0.19994259,-0.1537261,-0.48629877,0.14148779,-0.3887757,2017-07-12 13:51:40,53.77910036642259
0.058010876,-9.54292,2.355062,61.0,-0.41845143,-9.477723,2.4835577,0.31810495,-0.16868973,-0.114254475,-0.546679,0.2715023,-0.3208974,2017-07-12 13:51:41,55.15297887302796
0.6629608,-9.594907,2.3315437,66.0,0.03327591,-9.516994,2.3656056,0.14977282,0.0062093735,0.02034545,-0.55015594,0.2769767,-0.35670972,2017-07-12 13:51:42,24.131032181282357
0.6922577,-9.598691,2.321189,67.0,0.19611101,-9.51201,2.3777285,0.021033078,0.0033988953,-3.516674E-4,-0.5503766,0.27541816,-0.36717513,2017-07-12 13:51:43,45.03275035261513
0.6799744,-9.581677,2.312732,69.0,0.20518996,-9.511115,2.380542,-0.008621037,0.006381035,0.010820866,-0.55276406,0.27045518,-0.36161616,2017-07-12 13:51:44,42.010231440287114
0.6705139,-9.595853,2.3334262,67.0,0.19773483,-9.5106325,2.3830965,-0.003134802,-0.0016698837,0.0061883926,-0.5524557,0.27071866,-0.36154458,2017-07-12 13:51:45,40.432006771471166
0.68186647,-9.595853,2.332485,70.0,0.20733696,-9.512757,2.3737843,-0.0016221702,-0.0027952194,0.011044502,-0.55292165,0.27064428,-0.36180046,2017-07-12 13:51:46,-7.12758288821652
