ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
8.198,1.57,-4.443,0.0,2017-07-26 00:28:57,12.795898657625708
4.788,-1.264,-8.351,0.0,2017-07-26 00:28:58,33.06374759076541
4.941,2.988,-6.167,0.0,2017-07-26 00:28:59,31.069582436795635
0.574,-0.727,-9.27,0.0,2017-07-26 00:29:00,36.24745152479249
0.038,0.383,-9.347,0.0,2017-07-26 00:29:01,47.68350174318429
-0.076,0.076,-9.538,0.0,2017-07-26 00:29:02,63.376266640535064
-0.076,0.076,-9.5,0.0,2017-07-26 00:29:03,46.92697670287592
-0.114,0.153,-9.462,0.0,2017-07-26 00:29:04,42.829185829212584
-0.191,0.114,-9.538,0.0,2017-07-26 00:29:05,38.57526603791736
-0.114,0.153,-9.462,0.0,2017-07-26 00:29:06,36.64061825736975
-0.038,0.191,-9.538,0.0,2017-07-26 00:29:07,35.5627929159328
-0.153,0.114,-9.577,0.0,2017-07-26 00:29:08,36.58110376778878
-0.114,0.076,-9.5,0.0,2017-07-26 00:29:09,36.150179486969805
-0.153,0.114,-9.423,0.0,2017-07-26 00:29:10,41.14475063523956
-0.114,0.114,-9.5,0.0,2017-07-26 00:29:11,39.716646965505454
-0.651,-0.766,-9.577,0.0,2017-07-26 00:29:12,42.19596689313997
-0.114,0.076,-9.5,0.0,2017-07-26 00:29:13,42.278859768405525
-0.153,0.114,-9.5,0.0,2017-07-26 00:29:15,51.81117999602456
-0.114,0.114,-9.423,0.0,2017-07-26 00:29:16,56.25877117390538
-0.114,0.153,-9.538,0.0,2017-07-26 00:29:17,41.055477215456335
0.957,1.302,-9.002,0.0,2017-07-26 00:29:18,42.367573325958745
-0.268,0.076,-9.462,0.0,2017-07-26 00:29:19,41.130801372752124
-0.114,0.076,-9.538,0.0,2017-07-26 00:29:20,42.75116228739434
-0.191,0.153,-9.653,0.0,2017-07-26 00:29:21,43.096720364384765
-0.191,0.076,-9.538,0.0,2017-07-26 00:29:22,40.23873776646284
-0.191,0.191,-9.423,0.0,2017-07-26 00:29:23,37.15343138250749
-0.191,0.191,-9.538,0.0,2017-07-26 00:29:24,38.945873795102514
-0.114,0.153,-9.5,0.0,2017-07-26 00:29:25,39.03073181081969
-0.191,0.114,-9.5,0.0,2017-07-26 00:29:26,38.92711823160681
-0.191,0.153,-9.5,0.0,2017-07-26 00:29:27,38.73243493347069
-0.114,0.076,-9.462,0.0,2017-07-26 00:29:28,40.64118051793414
-0.114,0.114,-9.615,0.0,2017-07-26 00:29:29,43.82796583445014
-0.153,0.114,-9.423,0.0,2017-07-26 00:29:30,50.949387944295
-0.191,0.153,-9.577,0.0,2017-07-26 00:29:31,50.71689579687991
-0.229,0.114,-9.5,0.0,2017-07-26 00:29:33,45.81827920438445
-0.191,0.114,-9.577,0.0,2017-07-26 00:29:34,43.441905031912654
-0.229,0.191,-9.577,0.0,2017-07-26 00:29:35,43.340855176305
-0.114,0.114,-9.5,0.0,2017-07-26 00:29:36,38.8483556184315
-0.191,0.114,-9.538,0.0,2017-07-26 00:29:37,39.476958429689766
-0.191,0.114,-9.385,0.0,2017-07-26 00:29:38,38.53948005851299
-0.153,0.114,-9.462,0.0,2017-07-26 00:29:39,38.25397620568407
-0.153,0.114,-9.462,0.0,2017-07-26 00:29:40,38.472347110952384
-0.153,0.153,-9.5,0.0,2017-07-26 00:29:41,39.077304325960895
-0.153,0.114,-9.5,0.0,2017-07-26 00:29:42,38.911270312135656
-0.153,0.076,-9.538,0.0,2017-07-26 00:29:43,38.709336409655855
-0.153,0.153,-9.423,0.0,2017-07-26 00:29:44,39.784688065316345
-0.114,0.114,-9.462,0.0,2017-07-26 00:29:45,40.57960211360566
-0.191,0.114,-9.423,0.0,2017-07-26 00:29:46,39.36285474871279
-0.153,0.153,-9.5,0.0,2017-07-26 00:29:47,38.68565375801684
-0.229,0.076,-9.462,0.0,2017-07-26 00:29:48,40.065195234982255
-0.191,0.114,-9.423,0.0,2017-07-26 00:29:49,39.54163216126246
-0.076,0.114,-9.5,0.0,2017-07-26 00:29:50,37.17973250192638
-0.153,0.153,-9.538,0.0,2017-07-26 00:29:52,40.1929215124439
-0.153,0.038,-9.385,0.0,2017-07-26 00:29:53,40.03276036254839
-0.153,0.153,-9.385,0.0,2017-07-26 00:29:54,38.78173246864869
-0.076,0.114,-9.462,0.0,2017-07-26 00:29:55,38.599815739043606
-0.191,0.153,-9.423,0.0,2017-07-26 00:29:56,39.969044214657295
-0.229,0.153,-9.462,0.0,2017-07-26 00:29:57,40.33808371953497
-0.076,0.076,-9.538,0.0,2017-07-26 00:29:58,42.02544653745041
-0.191,0.191,-9.5,0.0,2017-07-26 00:29:59,38.4854862428461
