ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
2.6024973,0.035913024,9.533711,0.89672893,0.028045483,0.4517853,13.0,3.1970074,1.1399393,9.200468,-0.5945102,-1.1040263,0.33324295,-0.11152803,-0.13588676,-0.84383446,2016-12-08 21:22:14,-Infinity
2.944868,1.2737153,8.331821,-0.07268272,0.075991966,-0.023315975,12.0,3.041085,2.1428106,9.073576,-0.096216984,-0.8690952,-0.74175364,-0.07670017,-0.17746201,-0.83694917,2016-12-08 21:22:15,-Infinity
2.9257145,1.8291701,8.7053175,0.05622732,-0.2201574,-0.07338767,12.0,3.0934582,2.2719479,9.024344,-0.16774376,-0.44277766,-0.31902736,-0.07448543,-0.185305,-0.8327072,2016-12-08 21:22:16,-Infinity
3.0597897,2.2290018,8.623915,0.017909491,0.041883267,-0.0073513896,11.0,3.3007064,2.6192567,8.855104,-0.24091655,-0.39025488,-0.2311901,-0.07559597,-0.20687073,-0.8317595,2016-12-08 21:22:17,-Infinity
3.4811692,1.5466543,8.334216,-0.025752502,-0.051866125,0.03632019,11.0,3.5731964,2.1130326,8.884583,-0.09202713,-0.56637836,-0.5503671,-0.09759772,-0.19360647,-0.8219617,2016-12-08 21:22:18,-Infinity
3.3566709,1.5873557,8.157045,-0.057685934,-0.07531286,-0.08193188,11.0,3.564667,1.6659155,8.982595,-0.20799628,-0.07855974,-0.8255507,-0.10799384,-0.17421064,-0.8194116,2016-12-08 21:22:19,-Infinity
3.335123,1.4101849,8.520964,-0.033151563,-0.012477176,-0.013765614,12.0,3.5058594,1.6240169,9.013271,-0.1707365,-0.21383214,-0.49230772,-0.108325705,-0.16943973,-0.82566494,2016-12-08 21:22:20,-Infinity
3.4979286,1.3144168,8.425196,-0.029937658,0.025864087,-0.014836737,11.0,3.680786,1.4218565,8.977658,-0.18285716,-0.1074398,-0.55246204,-0.12161103,-0.16574994,-0.8243652,2016-12-08 21:22:21,-Infinity
3.526659,1.3551182,8.444349,-0.028864937,0.02053457,-0.00844728,11.0,3.7386956,1.4016554,8.956859,-0.21203649,-0.046537295,-0.5125088,-0.124696344,-0.16665289,-0.8236124,2016-12-08 21:22:22,-Infinity
3.4620156,1.340753,8.597578,0.019085543,-0.034865305,0.008592423,11.0,3.7491703,1.4185646,8.949825,-0.28715456,-0.077811554,-0.3522469,-0.12503183,-0.16747272,-0.82448584,2016-12-08 21:22:23,-Infinity
