ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
4.855441,1.3790601,8.561666,140.0,2017-01-29 10:53:32,NaN
5.5258174,3.7828386,8.322245,126.0,2017-01-29 10:53:33,NaN
8.331821,0.7661445,4.7788267,307.0,2017-01-29 10:53:34,NaN
3.6774938,5.6215854,6.7324953,1268.0,2017-01-29 10:53:35,NaN
1.6089035,1.7142484,9.011775,73.0,2017-01-29 10:53:36,NaN
-0.45010993,-0.34476504,9.988609,63.0,2017-01-29 10:53:37,NaN
-0.79487497,-1.6089035,9.557653,38.0,2017-01-29 10:53:38,NaN
-0.20111294,-1.8387469,9.739613,29.0,2017-01-29 10:53:39,NaN
0.92895025,0.40222588,9.672575,35.0,2017-01-29 10:53:40,NaN
0.92895025,0.41180268,9.653421,35.0,2017-01-29 10:53:41,NaN
0.92895025,0.4309563,9.662998,37.0,2017-01-29 10:53:42,NaN
0.93852705,0.4213795,9.653421,38.0,2017-01-29 10:53:43,NaN
0.92895025,0.41180268,9.662998,39.0,2017-01-29 10:53:44,NaN
0.92895025,0.41180268,9.662998,41.0,2017-01-29 10:53:45,NaN
0.92895025,0.41180268,9.662998,42.0,2017-01-29 10:53:46,NaN
0.91937345,0.41180268,9.672575,42.0,2017-01-29 10:53:47,NaN
0.91937345,0.4213795,9.672575,40.0,2017-01-29 10:53:48,NaN
0.91937345,0.41180268,9.672575,40.0,2017-01-29 10:53:49,NaN
0.91937345,0.4213795,9.662998,37.0,2017-01-29 10:53:50,NaN
0.93852705,0.41180268,9.672575,35.0,2017-01-29 10:53:51,NaN
0.91937345,0.4213795,9.662998,37.0,2017-01-29 10:53:52,NaN
0.91937345,0.41180268,9.653421,38.0,2017-01-29 10:53:54,NaN
0.93852705,0.4213795,9.672575,39.0,2017-01-29 10:53:55,NaN
0.91937345,0.40222588,9.672575,40.0,2017-01-29 10:53:56,NaN
0.91937345,0.41180268,9.672575,40.0,2017-01-29 10:53:57,NaN
0.91937345,0.41180268,9.672575,42.0,2017-01-29 10:53:58,NaN
0.91937345,0.40222588,9.672575,41.0,2017-01-29 10:53:59,NaN
0.93852705,0.4213795,9.662998,41.0,2017-01-29 10:54:00,NaN
0.91937345,0.41180268,9.672575,40.0,2017-01-29 10:54:01,NaN
0.91937345,0.4213795,9.682152,42.0,2017-01-29 10:54:02,NaN
0.92895025,0.40222588,9.682152,41.0,2017-01-29 10:54:03,NaN
0.91937345,0.41180268,9.682152,42.0,2017-01-29 10:54:04,NaN
0.92895025,0.41180268,9.662998,43.0,2017-01-29 10:54:05,NaN
0.91937345,0.41180268,9.672575,43.0,2017-01-29 10:54:06,NaN
0.91937345,0.41180268,9.672575,44.0,2017-01-29 10:54:07,NaN
0.92895025,0.4213795,9.662998,43.0,2017-01-29 10:54:08,NaN
0.91937345,0.41180268,9.672575,43.0,2017-01-29 10:54:09,NaN
0.91937345,0.41180268,9.672575,44.0,2017-01-29 10:54:10,NaN
0.92895025,0.4213795,9.662998,45.0,2017-01-29 10:54:11,NaN
0.92895025,0.40222588,9.662998,43.0,2017-01-29 10:54:12,NaN
0.92895025,0.40222588,9.662998,43.0,2017-01-29 10:54:13,NaN
0.92895025,0.40222588,9.672575,43.0,2017-01-29 10:54:15,NaN
0.92895025,0.41180268,9.662998,43.0,2017-01-29 10:54:16,NaN
0.92895025,0.41180268,9.662998,42.0,2017-01-29 10:54:17,NaN
0.93852705,0.4213795,9.672575,40.0,2017-01-29 10:54:18,NaN
0.91937345,0.41180268,9.672575,39.0,2017-01-29 10:54:19,NaN
0.92895025,0.4213795,9.662998,38.0,2017-01-29 10:54:20,NaN
0.93852705,0.41180268,9.662998,41.0,2017-01-29 10:54:21,NaN
0.93852705,0.41180268,9.662998,43.0,2017-01-29 10:54:22,NaN
0.92895025,0.40222588,9.662998,43.0,2017-01-29 10:54:23,NaN
0.92895025,0.41180268,9.672575,43.0,2017-01-29 10:54:24,NaN
0.93852705,0.41180268,9.682152,44.0,2017-01-29 10:54:25,NaN
0.94810385,0.41180268,9.662998,44.0,2017-01-29 10:54:26,NaN
0.93852705,0.41180268,9.662998,44.0,2017-01-29 10:54:27,NaN
0.93852705,0.4213795,9.662998,44.0,2017-01-29 10:54:28,NaN
0.91937345,0.41180268,9.662998,40.0,2017-01-29 10:54:29,NaN
0.92895025,0.41180268,9.672575,39.0,2017-01-29 10:54:30,NaN
0.93852705,0.4213795,9.662998,37.0,2017-01-29 10:54:31,NaN
0.92895025,0.41180268,9.662998,35.0,2017-01-29 10:54:32,NaN
0.92895025,0.4309563,9.662998,33.0,2017-01-29 10:54:33,NaN
0.91937345,0.4213795,9.672575,33.0,2017-01-29 10:54:34,NaN
0.92895025,0.4213795,9.672575,30.0,2017-01-29 10:54:35,NaN
0.92895025,0.40222588,9.662998,29.0,2017-01-29 10:54:36,NaN
0.91937345,0.4213795,9.672575,28.0,2017-01-29 10:54:37,NaN
0.92895025,0.41180268,9.662998,25.0,2017-01-29 10:54:38,NaN
0.93852705,0.40222588,9.672575,23.0,2017-01-29 10:54:40,NaN
0.92895025,0.40222588,9.672575,23.0,2017-01-29 10:54:41,NaN
0.94810385,0.4213795,9.672575,25.0,2017-01-29 10:54:42,NaN
0.93852705,0.40222588,9.672575,27.0,2017-01-29 10:54:43,NaN
0.92895025,0.40222588,9.672575,28.0,2017-01-29 10:54:44,NaN
0.92895025,0.40222588,9.672575,29.0,2017-01-29 10:54:45,NaN
0.93852705,0.41180268,9.662998,27.0,2017-01-29 10:54:46,NaN
0.93852705,0.4213795,9.672575,27.0,2017-01-29 10:54:47,NaN
0.93852705,0.4213795,9.672575,25.0,2017-01-29 10:54:48,NaN
0.94810385,0.40222588,9.672575,23.0,2017-01-29 10:54:49,NaN
0.94810385,0.4213795,9.662998,23.0,2017-01-29 10:54:50,NaN
0.92895025,0.40222588,9.662998,21.0,2017-01-29 10:54:51,NaN
0.91937345,0.41180268,9.672575,21.0,2017-01-29 10:54:52,NaN
0.92895025,0.41180268,9.662998,22.0,2017-01-29 10:54:53,NaN
0.93852705,0.41180268,9.662998,26.0,2017-01-29 10:54:54,NaN
0.92895025,0.4213795,9.662998,31.0,2017-01-29 10:54:55,NaN
0.91937345,0.41180268,9.672575,38.0,2017-01-29 10:54:56,NaN
0.93852705,0.4213795,9.672575,42.0,2017-01-29 10:54:57,NaN
0.92895025,0.40222588,9.672575,43.0,2017-01-29 10:54:58,NaN
0.92895025,0.40222588,9.682152,45.0,2017-01-29 10:54:59,NaN
0.93852705,0.41180268,9.662998,47.0,2017-01-29 10:55:00,NaN
0.92895025,0.4213795,9.672575,49.0,2017-01-29 10:55:01,NaN
0.93852705,0.4309563,9.672575,49.0,2017-01-29 10:55:03,NaN
0.93852705,0.4213795,9.653421,49.0,2017-01-29 10:55:04,NaN
0.91937345,0.40222588,9.662998,49.0,2017-01-29 10:55:05,NaN
0.93852705,0.41180268,9.662998,48.0,2017-01-29 10:55:06,NaN
0.94810385,0.4213795,9.662998,47.0,2017-01-29 10:55:07,NaN
0.93852705,0.4213795,9.662998,47.0,2017-01-29 10:55:08,NaN
0.92895025,0.41180268,9.672575,46.0,2017-01-29 10:55:09,NaN
0.93852705,0.4213795,9.672575,43.0,2017-01-29 10:55:10,NaN
0.92895025,0.40222588,9.672575,41.0,2017-01-29 10:55:11,NaN
0.93852705,0.41180268,9.662998,43.0,2017-01-29 10:55:12,NaN
0.92895025,0.4213795,9.662998,43.0,2017-01-29 10:55:13,NaN
0.91937345,0.41180268,9.662998,43.0,2017-01-29 10:55:14,NaN
0.93852705,0.41180268,9.662998,42.0,2017-01-29 10:55:15,NaN
0.91937345,0.4213795,9.672575,43.0,2017-01-29 10:55:16,NaN
0.91937345,0.40222588,9.672575,45.0,2017-01-29 10:55:17,NaN
0.91937345,0.40222588,9.672575,45.0,2017-01-29 10:55:18,NaN
0.93852705,0.4213795,9.672575,43.0,2017-01-29 10:55:19,NaN
0.93852705,0.4213795,9.662998,42.0,2017-01-29 10:55:20,NaN
0.94810385,0.4213795,9.672575,43.0,2017-01-29 10:55:21,NaN
0.92895025,0.41180268,9.672575,43.0,2017-01-29 10:55:22,NaN
0.93852705,0.4213795,9.672575,43.0,2017-01-29 10:55:23,NaN
0.93852705,0.4213795,9.662998,43.0,2017-01-29 10:55:24,NaN
0.93852705,0.41180268,9.672575,43.0,2017-01-29 10:55:25,NaN
0.93852705,0.4213795,9.662998,42.0,2017-01-29 10:55:26,NaN
0.92895025,0.4213795,9.672575,42.0,2017-01-29 10:55:27,NaN
0.93852705,0.4213795,9.672575,42.0,2017-01-29 10:55:28,NaN
0.92895025,0.41180268,9.672575,42.0,2017-01-29 10:55:30,NaN
0.94810385,0.4309563,9.672575,40.0,2017-01-29 10:55:31,NaN
0.92895025,0.41180268,9.662998,39.0,2017-01-29 10:55:32,NaN
0.93852705,0.4213795,9.672575,40.0,2017-01-29 10:55:33,NaN
0.92895025,0.41180268,9.662998,39.0,2017-01-29 10:55:34,NaN
0.93852705,0.41180268,9.672575,39.0,2017-01-29 10:55:35,NaN
0.92895025,0.4213795,9.672575,39.0,2017-01-29 10:55:36,NaN
0.92895025,0.4213795,9.672575,39.0,2017-01-29 10:55:37,NaN
0.92895025,0.4213795,9.662998,38.0,2017-01-29 10:55:38,NaN
0.92895025,0.40222588,9.672575,39.0,2017-01-29 10:55:39,NaN
0.92895025,0.4213795,9.662998,39.0,2017-01-29 10:55:40,NaN
0.93852705,0.41180268,9.662998,39.0,2017-01-29 10:55:41,NaN
0.93852705,0.41180268,9.672575,39.0,2017-01-29 10:55:42,NaN
0.91937345,0.4213795,9.662998,39.0,2017-01-29 10:55:43,NaN
0.93852705,0.40222588,9.672575,39.0,2017-01-29 10:55:44,NaN
0.93852705,0.41180268,9.672575,40.0,2017-01-29 10:55:45,NaN
0.92895025,0.40222588,9.672575,39.0,2017-01-29 10:55:46,NaN
0.91937345,0.41180268,9.672575,39.0,2017-01-29 10:55:47,NaN
0.93852705,0.41180268,9.672575,39.0,2017-01-29 10:55:48,NaN
0.93852705,0.41180268,9.662998,39.0,2017-01-29 10:55:49,NaN
0.93852705,0.40222588,9.662998,39.0,2017-01-29 10:55:50,NaN
0.91937345,0.41180268,9.672575,39.0,2017-01-29 10:55:52,NaN
0.92895025,0.41180268,9.662998,38.0,2017-01-29 10:55:53,NaN
0.93852705,0.40222588,9.653421,39.0,2017-01-29 10:55:54,NaN
0.93852705,0.40222588,9.662998,40.0,2017-01-29 10:55:55,NaN
0.92895025,0.41180268,9.662998,40.0,2017-01-29 10:55:56,NaN
0.91937345,0.40222588,9.672575,40.0,2017-01-29 10:55:57,NaN
0.93852705,0.41180268,9.672575,40.0,2017-01-29 10:55:58,NaN
0.94810385,0.4309563,9.653421,40.0,2017-01-29 10:55:59,NaN
0.92895025,0.40222588,9.662998,40.0,2017-01-29 10:56:00,NaN
0.92895025,0.41180268,9.672575,39.0,2017-01-29 10:56:01,NaN
0.91937345,0.41180268,9.672575,40.0,2017-01-29 10:56:02,NaN
0.93852705,0.41180268,9.662998,40.0,2017-01-29 10:56:03,NaN
0.93852705,0.4213795,9.672575,40.0,2017-01-29 10:56:04,NaN
0.92895025,0.4213795,9.662998,40.0,2017-01-29 10:56:05,NaN
0.92895025,0.41180268,9.662998,40.0,2017-01-29 10:56:06,NaN
0.92895025,0.4213795,9.662998,40.0,2017-01-29 10:56:07,NaN
0.92895025,0.40222588,9.662998,40.0,2017-01-29 10:56:08,NaN
0.92895025,0.41180268,9.662998,40.0,2017-01-29 10:56:09,NaN
0.91937345,0.40222588,9.672575,40.0,2017-01-29 10:56:10,NaN
0.92895025,0.40222588,9.672575,39.0,2017-01-29 10:56:11,NaN
0.91937345,0.40222588,9.662998,39.0,2017-01-29 10:56:13,NaN
0.93852705,0.41180268,9.672575,38.0,2017-01-29 10:56:14,NaN
0.92895025,0.41180268,9.672575,38.0,2017-01-29 10:56:15,NaN
0.93852705,0.40222588,9.662998,38.0,2017-01-29 10:56:16,NaN
0.91937345,0.41180268,9.682152,39.0,2017-01-29 10:56:17,NaN
0.92895025,0.40222588,9.662998,38.0,2017-01-29 10:56:18,NaN
0.91937345,0.41180268,9.662998,39.0,2017-01-29 10:56:19,NaN
0.92895025,0.40222588,9.662998,37.0,2017-01-29 10:56:20,NaN
0.92895025,0.39264908,9.662998,38.0,2017-01-29 10:56:21,NaN
0.91937345,0.4213795,9.662998,38.0,2017-01-29 10:56:22,NaN
0.92895025,0.39264908,9.682152,37.0,2017-01-29 10:56:23,NaN
0.91937345,0.40222588,9.682152,38.0,2017-01-29 10:56:24,NaN
0.91937345,0.40222588,9.672575,40.0,2017-01-29 10:56:25,NaN
0.93852705,0.40222588,9.662998,40.0,2017-01-29 10:56:26,NaN
0.92895025,0.40222588,9.672575,41.0,2017-01-29 10:56:27,NaN
0.92895025,0.41180268,9.662998,41.0,2017-01-29 10:56:28,NaN
0.93852705,0.41180268,9.672575,41.0,2017-01-29 10:56:29,NaN
0.92895025,0.41180268,9.672575,39.0,2017-01-29 10:56:30,NaN
0.92895025,0.41180268,9.672575,39.0,2017-01-29 10:56:31,NaN
0.92895025,0.41180268,9.662998,40.0,2017-01-29 10:56:32,NaN
0.93852705,0.4213795,9.662998,39.0,2017-01-29 10:56:34,NaN
0.92895025,0.41180268,9.672575,41.0,2017-01-29 10:56:35,NaN
0.93852705,0.4213795,9.672575,40.0,2017-01-29 10:56:36,NaN
0.93852705,0.4213795,9.672575,40.0,2017-01-29 10:56:37,NaN
0.93852705,0.41180268,9.682152,39.0,2017-01-29 10:56:38,NaN
0.92895025,0.40222588,9.682152,39.0,2017-01-29 10:56:39,NaN
0.92895025,0.40222588,9.672575,39.0,2017-01-29 10:56:40,NaN
0.92895025,0.4213795,9.672575,38.0,2017-01-29 10:56:41,NaN
0.92895025,0.41180268,9.662998,37.0,2017-01-29 10:56:42,NaN
0.93852705,0.41180268,9.662998,36.0,2017-01-29 10:56:43,NaN
0.92895025,0.41180268,9.662998,37.0,2017-01-29 10:56:44,NaN
0.93852705,0.40222588,9.672575,37.0,2017-01-29 10:56:45,NaN
0.93852705,0.40222588,9.662998,37.0,2017-01-29 10:56:46,NaN
0.93852705,0.40222588,9.672575,37.0,2017-01-29 10:56:47,NaN
0.94810385,0.41180268,9.662998,37.0,2017-01-29 10:56:48,NaN
0.93852705,0.4213795,9.672575,37.0,2017-01-29 10:56:49,NaN
0.93852705,0.41180268,9.662998,38.0,2017-01-29 10:56:50,NaN
0.93852705,0.4213795,9.672575,37.0,2017-01-29 10:56:51,NaN
0.93852705,0.40222588,9.662998,38.0,2017-01-29 10:56:52,NaN
0.93852705,0.41180268,9.653421,37.0,2017-01-29 10:56:53,NaN
0.92895025,0.41180268,9.662998,37.0,2017-01-29 10:56:55,NaN
0.92895025,0.4213795,9.672575,37.0,2017-01-29 10:56:56,NaN
0.94810385,0.4213795,9.672575,36.0,2017-01-29 10:56:57,NaN
0.93852705,0.41180268,9.672575,36.0,2017-01-29 10:56:58,NaN
0.92895025,0.41180268,9.662998,35.0,2017-01-29 10:56:59,NaN
0.93852705,0.40222588,9.672575,35.0,2017-01-29 10:57:00,NaN
0.92895025,0.4213795,9.672575,35.0,2017-01-29 10:57:01,NaN
0.93852705,0.40222588,9.662998,35.0,2017-01-29 10:57:02,NaN
0.93852705,0.4213795,9.662998,34.0,2017-01-29 10:57:03,NaN
0.93852705,0.4213795,9.653421,36.0,2017-01-29 10:57:04,NaN
0.93852705,0.40222588,9.662998,36.0,2017-01-29 10:57:05,NaN
0.92895025,0.40222588,9.662998,36.0,2017-01-29 10:57:06,NaN
0.92895025,0.40222588,9.662998,37.0,2017-01-29 10:57:07,NaN
0.92895025,0.40222588,9.653421,37.0,2017-01-29 10:57:08,NaN
0.93852705,0.41180268,9.662998,36.0,2017-01-29 10:57:09,NaN
0.92895025,0.41180268,9.672575,37.0,2017-01-29 10:57:10,NaN
0.92895025,0.40222588,9.662998,37.0,2017-01-29 10:57:11,NaN
0.93852705,0.40222588,9.662998,36.0,2017-01-29 10:57:12,NaN
0.92895025,0.40222588,9.672575,37.0,2017-01-29 10:57:13,NaN
0.94810385,0.41180268,9.662998,36.0,2017-01-29 10:57:14,NaN
0.93852705,0.41180268,9.672575,35.0,2017-01-29 10:57:15,NaN
0.92895025,0.40222588,9.662998,35.0,2017-01-29 10:57:17,NaN
0.93852705,0.41180268,9.672575,35.0,2017-01-29 10:57:18,NaN
0.92895025,0.41180268,9.662998,35.0,2017-01-29 10:57:19,NaN
0.91937345,0.41180268,9.672575,35.0,2017-01-29 10:57:20,NaN
0.93852705,0.40222588,9.662998,34.0,2017-01-29 10:57:21,NaN
0.92895025,0.41180268,9.672575,34.0,2017-01-29 10:57:22,NaN
0.92895025,0.39264908,9.672575,35.0,2017-01-29 10:57:23,NaN
0.91937345,0.40222588,9.672575,35.0,2017-01-29 10:57:24,NaN
0.93852705,0.40222588,9.662998,35.0,2017-01-29 10:57:25,NaN
0.92895025,0.41180268,9.672575,35.0,2017-01-29 10:57:26,NaN
0.93852705,0.40222588,9.662998,35.0,2017-01-29 10:57:27,NaN
0.92895025,0.41180268,9.662998,35.0,2017-01-29 10:57:28,NaN
0.92895025,0.4213795,9.662998,35.0,2017-01-29 10:57:29,NaN
