ACC_X,ACC_Y,ACC_Z,LIGH_1,TIME,VOICE
1.379,1.379,10.113,0.0,2017-05-31 16:08:01,-Infinity
0.459,0.766,8.734,0.0,2017-05-31 16:08:02,-Infinity
1.532,0.0,6.895,38.0,2017-05-31 16:08:03,-3.9456026802065702
-0.612,-0.306,8.274,33.0,2017-05-31 16:08:04,7.8309924725208
-0.459,0.153,9.807,35.0,2017-05-31 16:08:06,50.83236949774982
-0.459,0.153,9.807,33.0,2017-05-31 16:08:07,53.30038359904373
-0.459,0.153,9.807,33.0,2017-05-31 16:08:08,53.897902939459854
-0.459,0.0,9.807,35.0,2017-05-31 16:08:09,57.53561010898993
-0.459,0.0,9.807,38.0,2017-05-31 16:08:10,72.37106582654361
-0.459,0.0,9.807,40.0,2017-05-31 16:08:11,53.56846862212798
-0.459,0.0,9.807,39.0,2017-05-31 16:08:12,53.970778606667096
-0.306,0.0,9.807,39.0,2017-05-31 16:08:13,51.11034413450133
-0.459,0.153,9.807,40.0,2017-05-31 16:08:14,52.49345052275416
-0.459,0.0,9.807,40.0,2017-05-31 16:08:15,46.060059654918106
-0.306,0.0,9.807,40.0,2017-05-31 16:08:16,47.94624722475585
-0.459,0.0,9.807,40.0,2017-05-31 16:08:17,50.486694886790175
-0.459,0.0,9.807,39.0,2017-05-31 16:08:19,50.31561311534234
-0.459,0.0,9.807,40.0,2017-05-31 16:08:20,48.86361986425968
-0.459,0.153,9.807,40.0,2017-05-31 16:08:21,48.08494851642895
-0.459,0.0,9.807,40.0,2017-05-31 16:08:22,47.73942537202244
-0.459,0.153,9.807,40.0,2017-05-31 16:08:23,47.407917134539694
-0.459,0.153,9.807,40.0,2017-05-31 16:08:25,52.77139637450749
-0.459,0.153,9.807,40.0,2017-05-31 16:08:27,56.95112413019665
-0.459,0.0,9.807,40.0,2017-05-31 16:08:28,57.55279974528819
-0.306,0.0,9.807,38.0,2017-05-31 16:08:29,57.2532872952899
-0.459,0.0,9.807,38.0,2017-05-31 16:08:30,59.96787827312111
-0.459,0.0,9.807,39.0,2017-05-31 16:08:31,58.32586739446618
-0.459,0.0,9.807,38.0,2017-05-31 16:08:32,56.22909467460744
-0.459,0.0,9.807,39.0,2017-05-31 16:08:33,55.96867510914819
-0.459,0.0,9.807,39.0,2017-05-31 16:08:34,56.74073388492229
-0.459,0.0,9.807,39.0,2017-05-31 16:08:35,57.09999957984525
-0.459,0.153,9.807,40.0,2017-05-31 16:08:36,57.33201815742329
-0.459,0.0,9.807,40.0,2017-05-31 16:08:37,56.355924953146626
-0.459,0.153,9.807,40.0,2017-05-31 16:08:38,58.556649333054665
