ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,LIGH_1,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,VOICE
4.960786,-7.2113357,-4.4915223,0.02687807,0.002443461,-0.017104227,4.0,4.9481997,-7.2082,-4.4413,-0.0212,0.0176,-0.121199995,-0.818835,0.236215,-0.404177,2017-07-01 15:40:36,6.748324469726858
5.0374002,-7.192182,-4.3766007,-0.018325957,0.02565634,-0.015882496,4.0,5.0341997,-7.1633997,-4.4172,-0.0267,0.0196,0.0368,-0.816281,0.242695,-0.411131,2017-07-01 15:40:37,12.432706441476624
5.0661306,-7.1155677,-4.414908,-0.017104227,0.0036651916,-0.012217305,4.0,5.0849,-7.1305,-4.4122,0.0078,0.024799999,-0.0055,-0.815679,0.244063,-0.414191,2017-07-01 15:40:38,11.133165138791743
5.0757074,-7.1730285,-4.271256,0.018325957,-0.0036651916,-0.04520403,4.0,5.1742,-7.1559,-4.265,0.0032,0.0451,-0.060399998,-0.806265,0.260293,-0.428375,2017-07-01 15:40:39,18.52727720909967
5.257667,-7.2209125,-4.0797195,0.008552114,-0.002443461,-0.014660766,4.0,5.2433,-7.2158,-4.0755,0.0348,0.011899999,-0.049399998,-0.805491,0.242971,-0.430445,2017-07-01 15:40:40,28.61880565968957
5.315128,-7.1826053,-3.964798,-0.3652974,0.16126843,0.036651913,4.0,5.2572,-7.2441998,-4.0065,0.17359999,0.0352,-0.0179,-0.802779,0.240402,-0.433078,2017-07-01 15:40:41,16.16163597371116
5.2768207,-7.201759,-4.0414124,0.029321533,-0.007330383,-0.036651913,4.0,5.2553,-7.2181997,-4.0557,0.0317,0.0368,0.0056999996,-0.803853,0.24654,-0.432671,2017-07-01 15:40:42,14.180681269787062
5.2768207,-7.1730285,-4.0318356,-0.032986723,0.05497787,0.02076942,4.0,5.2496,-7.2149997,-4.0687,0.042,-5.9999997E-4,0.0128,-0.80383897,0.24746,-0.432983,2017-07-01 15:40:43,11.174266690335719
5.1523223,-7.240066,-4.0414124,0.004886922,-0.021991149,-0.0061086523,4.0,5.2314,-7.2236,-4.0769,-0.021499999,-0.0339,-0.0177,-0.804032,0.247733,-0.432167,2017-07-01 15:40:44,10.410841277868775
5.209783,-7.192182,-4.098873,-0.018325957,0.008552114,0.0012217305,4.0,5.2278,-7.2188997,-4.0896997,0.0361,-0.0049,-0.0158,-0.804478,0.247492,-0.431338,2017-07-01 15:40:45,15.874127761830142
5.209783,-7.3166804,-3.9456444,0.036651913,-0.008552114,-0.018325957,4.0,5.2165,-7.2605996,-4.0299997,0.0122,-0.078099996,0.0717,-0.802584,0.247492,-0.432385,2017-07-01 15:40:46,18.019715063299845
5.209783,-7.240066,-3.9935284,-0.007330383,-0.007330383,-0.015882496,4.0,5.2293,-7.2718,-3.9929998,-0.0026999998,-0.0199,-0.0034999999,-0.80146897,0.247368,-0.434077,2017-07-01 15:40:47,17.834904280510067
5.2289367,-7.2592196,-4.003105,0.0,-0.004886922,-0.014660766,4.0,5.2193,-7.269,-4.0111,-0.0032,-0.023599999,0.0251,-0.801192,0.250204,-0.434257,2017-07-01 15:40:48,23.09533691177947
5.2480903,-7.2592196,-3.9839516,-0.009773844,0.010995574,0.002443461,4.0,5.2342997,-7.2823,-3.9671,0.0299,-0.0029,-0.0254,-0.79993397,0.24975,-0.436039,2017-07-01 15:40:49,19.479618698455702
5.1810527,-7.326257,-3.8786068,-0.018325957,0.019547688,0.002443461,6.0,5.2118998,-7.3171997,-3.9322999,0.0105,-0.0116,0.0,-0.798717,0.250294,-0.436231,2017-07-01 15:40:50,13.704610433087796
5.209783,-7.3166804,-3.8307228,0.052534413,-0.028099801,-0.019547688,6.0,5.2127,-7.3292,-3.9088998,0.0198,0.0211,0.0334,-0.798611,0.248031,-0.436062,2017-07-01 15:40:51,21.72721485009005
5.142745,-7.335834,-3.8786068,-0.004886922,0.0036651916,-0.004886922,6.0,5.1653,-7.3616,-3.9108999,0.0037,-0.0155,0.018099999,-0.79669,0.254335,-0.436482,2017-07-01 15:40:52,24.857280792259967
5.1906295,-7.3549876,-3.821146,0.002443461,0.014660766,0.008552114,6.0,5.1829,-7.3742,-3.8636,0.0058,-0.058799997,0.0437,-0.795226,0.254174,-0.438611,2017-07-01 15:40:53,24.43003702782248
5.2289367,-7.345411,-3.8115692,0.035430185,-0.06352998,-0.040317107,6.0,5.2023,-7.3815,-3.8235,0.044,0.0145,-0.0029,-0.79454297,0.252281,-0.439883,2017-07-01 15:40:54,13.110250121088956
5.209783,-7.3645644,-3.7828386,0.008552114,0.012217305,-0.009773844,4.0,5.1969,-7.3866,-3.8209999,0.014699999,-0.009099999,0.0056999996,-0.792958,0.256974,-0.441682,2017-07-01 15:40:55,13.357398999299932
5.104438,-7.4603324,-3.6966474,-0.028099801,0.018325957,-0.0012217305,6.0,5.1396,-7.4916,-3.6917999,0.0173,0.0138,-0.0223,-0.785452,0.267365,-0.447326,2017-07-01 15:40:56,17.487450788118636
5.104438,-7.469909,-3.715801,-0.040317107,0.014660766,-0.0036651916,6.0,5.1238,-7.4965997,-3.7036,-0.015199999,0.0407,-0.0632,-0.783678,0.273276,-0.44885,2017-07-01 15:40:57,20.037297284746018
5.90889,-6.8761473,-3.5817258,-0.21624629,0.35796702,-0.25289822,6.0,6.3862,-6.6759,-3.2889,-1.8304,0.433,0.1783,-0.769614,0.274565,-0.51528,2017-07-01 15:40:58,13.428851062237339
-14.585477,-8.303091,4.8841715,-4.4532075,2.6047294,2.670703,2.0,-6.9304,-6.9302998,0.331,-3.8772998,-5.9298,7.8595996,0.111312,0.721823,-0.527582,2017-07-01 15:40:59,20.854243788417225
-7.192182,-3.217807,-4.2999864,-0.58276546,0.2919936,0.344528,2.0,-8.095799,-4.0855,-3.7331998,0.80979997,0.5029,-0.38529998,0.221683,0.766141,-0.432339,2017-07-01 15:41:00,30.52236903739601
-2.3942018,-8.772355,0.8619126,-1.3744467,0.36774087,-0.096516706,2.0,-4.1008,-8.250199,3.3595998,-1.3436999,-2.158,-2.4047,-0.046762,0.571418,-0.701496,2017-07-01 15:41:01,27.80400579943972
-8.197746,0.22026655,5.659893,1.3390167,1.7605137,-2.6230555,2.0,-7.7942996,-3.3365,4.928,-0.861,4.0069,0.4536,0.326028,0.377418,-0.779007,2017-07-01 15:41:02,27.39839246731505
-3.6391866,0.40222588,13.503298,0.4642576,-0.9737192,0.1881465,2.0,-1.2382,2.231,9.4688,-2.093,-0.7421,-0.28669998,0.076415,-0.108774,-0.94922,2017-07-01 15:41:03,25.820047377266626
-0.20111294,-0.39264908,10.70687,0.07941248,-0.057421334,-0.007330383,8.0,0.3434,-0.1096,9.8,-0.3807,-0.0871,0.0616,-0.018386,-3.0E-6,-0.952421,2017-07-01 15:41:04,23.90435535704091
-0.41180268,-0.20111294,9.835381,-0.008552114,0.0012217305,-0.010995574,10.0,-0.2828,-0.19399999,9.8006,-0.1416,0.0358,0.11,0.011313,0.01326,-0.965829,2017-07-01 15:41:05,29.6564259424699
-0.45010993,-0.19153613,9.816227,-0.002443461,-0.0012217305,-0.010995574,10.0,-0.3373,-0.23979999,9.7979,-0.1082,0.0525,0.0734,0.013608,0.016021,-0.970045,2017-07-01 15:41:06,24.857768629047165
-0.46926352,-0.22026655,9.816227,-0.002443461,-0.002443461,-0.009773844,10.0,-0.3132,-0.2692,9.7979,-0.1396,0.071499996,0.053799998,0.012289,0.017107,-0.971623,2017-07-01 15:41:07,23.818987668218632
-0.45010993,-0.19153613,9.787497,-0.002443461,-0.002443461,-0.012217305,12.0,-0.36589998,-0.2426,9.7968,-0.0726,0.0426,0.064899996,0.015247,0.016581,-0.968051,2017-07-01 15:41:08,35.07605650388268
-0.45010993,-0.20111294,9.816227,-0.002443461,-0.0012217305,-0.012217305,12.0,-0.41579998,-0.20789999,9.7956,-0.0349,0.0126,-0.011,0.017737,0.01574,-0.965585,2017-07-01 15:41:09,35.153650206828445
-0.45010993,-0.19153613,9.80665,-0.002443461,-0.002443461,-0.010995574,12.0,-0.44619998,-0.19469999,9.794499,-0.0037,-9.0E-4,-1.0E-4,0.019385,0.015489,-0.96544397,2017-07-01 15:41:10,34.26845850277355
-0.46926352,-0.20111294,9.816227,-0.0012217305,-0.002443461,-0.010995574,12.0,-0.1029,-0.38619998,9.7984,0.0425,0.4005,-9.8984995,0.005021,0.019366,-0.986975,2017-07-01 15:41:11,14.37403702014304
-0.45968673,-0.19153613,9.80665,-0.002443461,-0.002443461,-0.012217305,12.0,-0.2844,-0.7224,9.7758,-0.166,0.518,0.0185,0.003826,0.03943,-0.960752,2017-07-01 15:41:12,14.095368812656364
-0.4405331,-0.21068975,9.80665,-0.002443461,-0.0012217305,-0.012217305,12.0,-0.41279998,-0.3003,9.7933,-0.052199997,0.0972,-0.0088,0.016759,0.020039,-0.967729,2017-07-01 15:41:13,13.360217161796262
-0.4405331,-0.21068975,9.825804,-0.002443461,-0.002443461,-0.010995574,12.0,-0.5474,-0.7007,9.7662,0.099,0.57229996,0.0232,0.021523999,0.03996,-0.984716,2017-07-01 15:41:14,17.272870309006485
-0.45968673,-0.21068975,9.80665,-0.004886922,-0.0012217305,-0.010995574,12.0,-0.2527,-0.38599998,9.7957,-0.1841,0.2068,-0.0206,0.009556,0.021912,-0.985644,2017-07-01 15:41:16,13.798435191335592
-0.45968673,-0.19153613,9.797073,-0.0012217305,-0.002443461,-0.010995574,12.0,-0.1026,-0.4854,9.794,-0.3482,0.2995,-0.009699999,4.33E-4,0.025293,-0.981396,2017-07-01 15:41:17,12.20802469207718
-0.45010993,-0.19153613,9.825804,-0.002443461,-0.002443461,-0.010995574,12.0,-0.3444,-0.2659,9.7969,-0.1166,0.076,-0.003,0.013436,0.01737,-0.973607,2017-07-01 15:41:18,12.34896745731588
-0.45010993,-0.18195933,9.80665,-0.002443461,-0.002443461,-0.010995574,12.0,-5.9999997E-4,-0.8897,9.7662,-0.85249996,-1.1488,-18.5654,-0.008843,0.044558,-0.979795,2017-07-01 15:41:19,19.312750751060783
-0.46926352,-0.21068975,9.816227,-0.002443461,-0.0012217305,-0.010995574,12.0,-0.43039998,-0.3153,9.7921,-0.0209,0.1398,0.0018999999,0.016851,0.02135,-0.963835,2017-07-01 15:41:20,14.806580760751258
-0.45010993,-0.19153613,9.80665,-0.002443461,-0.002443461,-0.010995574,12.0,-0.44889998,-0.21239999,9.794,-0.0018,0.0185,1.0E-4,0.019173,0.016661,-0.963017,2017-07-01 15:41:21,20.048451136934933
-0.45968673,-0.20111294,9.797073,-0.002443461,-0.002443461,-0.010995574,12.0,0.138,-0.6547,9.7837,-0.5974,0.43629998,-9.999999E-4,-0.003672,0.027448,-0.972743,2017-07-01 15:41:22,17.537625416751045
-0.47884035,-0.19153613,9.816227,-0.002443461,-0.002443461,-0.010995574,12.0,0.21869999,-0.9952,9.7535,-0.653,0.8624,0.0563,-0.012727,0.053521,-0.997476,2017-07-01 15:41:23,17.67376205347943
-0.4405331,-0.18195933,9.80665,-0.002443461,-0.0012217305,-0.010995574,12.0,0.029099999,-0.3821,9.7991,-0.36949998,0.1664,0.0033,0.00237,0.017812,-0.994739,2017-07-01 15:41:24,18.80053984474367
-0.46926352,-0.19153613,9.787497,-0.0012217305,-0.002443461,-0.009773844,12.0,-0.28919998,-0.3488,9.7961,-0.1692,0.1656,-0.0023999999,0.010292,0.020722,-0.982107,2017-07-01 15:41:25,19.90054283147236
-0.4405331,-0.19153613,9.797073,-0.002443461,-0.002443461,-0.010995574,12.0,0.17639999,-0.5255,9.790899,-0.71389997,0.3516,0.0158,-0.014779,0.027333999,-0.99549,2017-07-01 15:41:26,12.28769172692485
-0.4405331,-0.20111294,9.825804,-0.0036651916,-0.002443461,-0.010995574,12.0,0.0061999997,-0.3462,9.8005,-0.4475,0.16,-0.0164,-0.002862,0.017729,-0.995927,2017-07-01 15:41:27,12.787536009528289
